time,Cleveland,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. T. Thompson (J. Smith gains possession),,,,Jump ball: J. Henson vs. T. Thompson (J. Smith gains possession)
11:42.0,Turnover by L. James (bad pass),,0-0,,
11:22.0,,,0-2,2,J. Henson makes 2-pt shot from 9 ft (assist by M. Dellavedova)
11:07.0,K. Irving makes 2-pt shot from 18 ft,2,2-2,,
10:51.0,,,2-4,2,J. Henson makes 2-pt shot at rim (assist by T. Snell)
10:33.0,Turnover by T. Thompson (offensive foul),,2-4,,
10:33.0,Offensive foul by T. Thompson,,2-4,,
10:23.0,,,2-4,,J. Parker misses 2-pt shot from 1 ft
10:21.0,Defensive rebound by T. Thompson,,2-4,,
10:12.0,J. Smith makes 3-pt shot from 25 ft (assist by L. James),3,5-4,,
9:56.0,,,5-4,,Offensive foul by J. Henson
9:56.0,,,5-4,,Turnover by J. Henson (offensive foul)
9:34.0,R. Jefferson misses 2-pt shot from 12 ft,,5-4,,
9:33.0,,,5-4,,Defensive rebound by T. Snell
9:25.0,,,5-4,,G. Antetokounmpo misses 2-pt shot at rim (block by T. Thompson)
9:22.0,Defensive rebound by K. Irving,,5-4,,
9:16.0,J. Smith misses 3-pt shot from 25 ft,,5-4,,
9:15.0,Offensive rebound by L. James,,5-4,,
9:12.0,L. James makes 2-pt shot from 3 ft,2,7-4,,
9:05.0,,,7-4,,Turnover by M. Dellavedova (bad pass)
8:53.0,T. Thompson misses 2-pt shot from 5 ft,,7-4,,
8:52.0,,,7-4,,Defensive rebound by J. Henson
8:40.0,,,7-4,,M. Dellavedova misses 3-pt shot from 25 ft
8:39.0,Defensive rebound by J. Smith,,7-4,,
8:34.0,K. Irving makes 3-pt shot from 28 ft,3,10-4,,
8:16.0,,,10-4,,T. Snell misses 3-pt shot from 24 ft
8:16.0,Defensive rebound by Team,,10-4,,
