time,Atlanta,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. K. Humphries (P. Millsap gains possession),,,,Jump ball: M. Gasol vs. K. Humphries (P. Millsap gains possession)
11:39.0,K. Bazemore makes 2-pt shot from 2 ft (assist by P. Millsap),2,2-0,,
11:14.0,,,2-0,,C. Parsons misses 3-pt shot from 25 ft
11:13.0,Defensive rebound by D. Schroder,,2-0,,
10:49.0,Turnover by T. Sefolosha (bad pass; steal by M. Conley),,2-0,,
10:41.0,,,2-2,2,J. Green makes 2-pt shot at rim (assist by J. Ennis)
10:33.0,D. Schroder makes 2-pt shot from 20 ft,2,4-2,,
10:10.0,,,4-2,,M. Conley misses 3-pt shot from 25 ft
10:09.0,Defensive rebound by P. Millsap,,4-2,,
9:55.0,,,4-2,,Personal foul by J. Ennis (drawn by D. Schroder)
9:43.0,P. Millsap misses 3-pt shot from 23 ft,,4-2,,
9:42.0,,,4-2,,Defensive rebound by M. Gasol
9:29.0,,,4-2,,J. Ennis misses 3-pt shot from 23 ft
9:28.0,Defensive rebound by D. Schroder,,4-2,,
9:21.0,D. Schroder misses 2-pt shot from 20 ft,,4-2,,
9:18.0,,,4-2,,Defensive rebound by M. Gasol
9:13.0,,,4-2,,M. Gasol misses 2-pt shot from 13 ft
9:12.0,Defensive rebound by K. Humphries,,4-2,,
9:12.0,,,4-2,,Personal foul by J. Green (drawn by K. Humphries)
9:00.0,T. Sefolosha makes 3-pt shot from 26 ft (assist by P. Millsap),3,7-2,,
8:49.0,,,7-2,,Turnover by M. Gasol (bad pass)
8:33.0,K. Bazemore makes 3-pt shot from 25 ft (assist by D. Schroder),3,10-2,,
8:32.0,,,10-2,,Memphis full timeout
8:14.0,,,10-2,,M. Gasol misses 2-pt shot from 1 ft
8:11.0,,,10-2,,Offensive rebound by J. Green
8:11.0,,,10-2,,J. Green misses 2-pt shot from 1 ft
8:10.0,Defensive rebound by P. Millsap,,10-2,,
8:08.0,Turnover by K. Humphries (lost ball),,10-2,,
8:01.0,,,10-2,,Shooting foul by K. Humphries (drawn by M. Conley)
8:01.0,,,10-3,1,M. Conley makes free throw 1 of 2
8:01.0,,,10-4,1,M. Conley makes free throw 2 of 2
7:45.0,P. Millsap misses 2-pt shot from 9 ft,,10-4,,
7:43.0,,,10-4,,Defensive rebound by Team
7:22.0,,,10-4,,C. Parsons misses 2-pt shot from 1 ft
7:21.0,,,10-4,,Offensive rebound by C. Parsons
7:18.0,,,10-4,,C. Parsons misses 2-pt shot from 11 ft
7:17.0,Defensive rebound by K. Humphries,,10-4,,
7:07.0,Shooting foul by M. Gasol (drawn by K. Humphries),,10-4,,
7:07.0,K. Humphries misses free throw 1 of 2,,10-4,,
7:07.0,Offensive rebound by Team,,10-4,,
7:07.0,K. Humphries makes free throw 2 of 2,1,11-4,,
6:58.0,Personal foul by K. Humphries (drawn by M. Gasol),,11-4,,
6:45.0,,,11-4,,J. Ennis misses 2-pt shot from 2 ft
6:43.0,Defensive rebound by D. Schroder,,11-4,,
6:28.0,P. Millsap makes 2-pt shot from 10 ft,2,13-4,,
6:17.0,,,13-6,2,J. Green makes 2-pt shot from 3 ft (assist by J. Ennis)
6:17.0,,,13-6,,Shooting foul by T. Sefolosha (drawn by J. Green)
6:17.0,,,13-7,1,J. Green makes free throw 1 of 1
6:17.0,E. Ilyasova enters the game for K. Humphries,,13-6,,
6:17.0,,,13-6,,T. Daniels enters the game for C. Parsons
6:06.0,D. Schroder misses 2-pt shot from 2 ft,,13-7,,
6:04.0,,,13-7,,Defensive rebound by J. Ennis
5:56.0,,,13-7,,T. Daniels misses 3-pt shot from 26 ft
5:56.0,,,13-7,,Offensive rebound by J. Green
