time,Detroit,pts.away,score,pts.home,LA Lakers
2:07.0,,,96-94,,Defensive rebound by J. Randle
2:02.0,,,96-94,,L. Williams misses 3-pt shot from 27 ft
1:59.0,Defensive rebound by T. Harris,,96-94,,
1:40.0,T. Harris misses 3-pt shot from 25 ft,,96-94,,
1:39.0,,,96-94,,Defensive rebound by J. Randle
1:33.0,,,96-94,,Shooting foul by S. Johnson (drawn by B. Ingram)
1:33.0,,,96-95,1,B. Ingram makes free throw 1 of 2
1:33.0,,,96-95,,B. Ingram misses free throw 2 of 2
1:31.0,Defensive rebound by A. Drummond,,96-95,,
1:19.0,A. Drummond misses 2-pt shot at rim,,96-95,,
1:19.0,Offensive rebound by Team,,96-95,,
1:09.0,R. Jackson misses 2-pt shot from 8 ft,,96-95,,
1:07.0,,,96-95,,Defensive rebound by J. Randle
0:57.0,,,96-95,,D. Russell misses 3-pt shot from 27 ft
0:53.0,Defensive rebound by A. Drummond,,96-95,,
0:31.0,T. Harris makes 3-pt shot from 23 ft (assist by A. Drummond),3,99-95,,
0:31.0,,,99-95,,LA Lakers full timeout
0:31.0,,,99-95,,N. Young enters the game for B. Ingram
0:23.0,,,99-95,,L. Williams misses 3-pt shot from 28 ft
0:23.0,,,99-95,,Offensive rebound by J. Randle
0:18.0,,,99-95,,D. Russell misses 3-pt shot from 27 ft
0:17.0,Defensive rebound by T. Harris,,99-95,,
0:16.0,,,99-95,,Personal take foul by L. Deng (drawn by T. Harris)
0:16.0,A. Baynes enters the game for A. Drummond,,99-95,,
0:15.0,,,99-95,,Personal take foul by L. Williams
0:15.0,M. Morris misses free throw 1 of 2,,99-95,,
0:15.0,Offensive rebound by Team,,99-95,,
0:15.0,M. Morris makes free throw 2 of 2,1,100-95,,
0:15.0,,,100-95,,LA Lakers full timeout
0:10.0,,,100-95,,N. Young misses 3-pt shot from 26 ft
0:09.0,,,100-95,,Offensive rebound by D. Russell
0:09.0,Personal foul by T. Harris (drawn by D. Russell),,100-95,,
0:09.0,,,100-96,1,D. Russell makes free throw 1 of 2
0:09.0,,,100-97,1,D. Russell makes free throw 2 of 2
0:09.0,Detroit full timeout,,100-97,,
0:09.0,B. Udrih enters the game for S. Johnson,,100-97,,
0:09.0,,,100-97,,B. Ingram enters the game for L. Williams
0:08.0,,,100-97,,Personal take foul by N. Young (drawn by R. Jackson)
0:08.0,R. Jackson makes free throw 1 of 2,1,101-97,,
0:08.0,R. Jackson makes free throw 2 of 2,1,102-97,,
0:08.0,S. Johnson enters the game for B. Udrih,,101-97,,
0:02.0,,,102-97,,D. Russell misses 3-pt shot from 29 ft
0:01.0,Defensive rebound by M. Morris,,102-97,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
