time,New Orleans,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Davis (O. Asik gains possession),,,,Jump ball: S. Adams vs. A. Davis (O. Asik gains possession)
11:41.0,A. Davis makes 2-pt shot from 15 ft,2,2-0,,
11:23.0,,,2-2,2,S. Adams makes 2-pt shot at rim (assist by V. Oladipo)
11:23.0,,,2-2,,Shooting foul by O. Asik (drawn by S. Adams)
11:23.0,,,2-3,1,S. Adams makes free throw 1 of 1
11:17.0,New Orleans full timeout,,2-3,,
11:00.0,S. Hill misses 3-pt shot from 25 ft,,2-3,,
10:59.0,,,2-3,,Defensive rebound by R. Westbrook
10:37.0,,,2-3,,R. Westbrook misses 3-pt shot from 25 ft
10:37.0,Defensive rebound by O. Asik,,2-3,,
10:23.0,E. Moore makes 2-pt shot at rim,2,4-3,,
10:10.0,,,4-3,,A. Roberson misses 3-pt shot from 25 ft
10:10.0,Defensive rebound by O. Asik,,4-3,,
9:54.0,A. Davis makes 2-pt shot from 4 ft,2,6-3,,
9:47.0,,,6-5,2,V. Oladipo makes 2-pt shot from 2 ft (assist by R. Westbrook)
9:32.0,Turnover by J. Holiday (bad pass; steal by R. Westbrook),,6-5,,
9:28.0,,,6-7,2,R. Westbrook makes 2-pt shot at rim (assist by V. Oladipo)
9:20.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,8-7,,
9:03.0,,,8-9,2,V. Oladipo makes 2-pt shot from 14 ft
8:58.0,Turnover by E. Moore (lost ball),,8-9,,
8:42.0,,,8-9,,D. Sabonis misses 2-pt shot from 6 ft
8:42.0,Defensive rebound by A. Davis,,8-9,,
8:33.0,A. Davis makes 2-pt shot from 12 ft,2,10-9,,
8:21.0,,,10-11,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
7:58.0,A. Davis misses 2-pt shot from 15 ft,,10-11,,
7:57.0,,,10-11,,Defensive rebound by S. Adams
