time,Portland,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Nowitzki vs. M. Plumlee (N. Vonleh gains possession),,,,Jump ball: D. Nowitzki vs. M. Plumlee (N. Vonleh gains possession)
11:45.0,C. McCollum misses 2-pt shot from 18 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by D. Nowitzki
11:23.0,,,0-2,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by W. Matthews)
11:01.0,N. Vonleh misses 2-pt shot at rim,,0-2,,
11:00.0,Offensive rebound by N. Vonleh,,0-2,,
10:58.0,Turnover by N. Vonleh (lost ball; steal by W. Matthews),,0-2,,
10:49.0,,,0-2,,Shooting foul by D. Lillard (drawn by H. Barnes)
10:49.0,,,0-3,1,H. Barnes makes free throw 1 of 2
10:49.0,,,0-3,,H. Barnes misses free throw 2 of 2
10:49.0,Defensive rebound by M. Plumlee,,0-3,,
10:33.0,,,0-3,,Personal foul by S. Curry (drawn by D. Lillard)
10:30.0,C. McCollum misses 3-pt shot from 24 ft,,0-3,,
10:29.0,Offensive rebound by C. McCollum,,0-3,,
10:27.0,C. McCollum makes 2-pt shot from 1 ft,2,2-3,,
10:11.0,,,2-3,,D. Nowitzki misses 2-pt shot from 19 ft
10:10.0,Defensive rebound by N. Vonleh,,2-3,,
10:03.0,D. Lillard makes 3-pt shot from 25 ft (assist by E. Turner),3,5-3,,
9:42.0,,,5-5,2,H. Barnes makes 2-pt shot from 7 ft (assist by D. Nowitzki)
9:27.0,E. Turner makes 3-pt shot from 24 ft (assist by D. Lillard),3,8-5,,
9:09.0,,,8-8,3,H. Barnes makes 3-pt shot from 25 ft (assist by S. Curry)
8:49.0,D. Lillard makes 3-pt shot from 25 ft (assist by M. Plumlee),3,11-8,,
8:29.0,,,11-8,,W. Matthews misses 2-pt shot from 22 ft
8:28.0,Defensive rebound by N. Vonleh,,11-8,,
8:19.0,E. Turner makes 2-pt shot from 12 ft (assist by D. Lillard),2,13-8,,
8:18.0,,,13-8,,Dallas full timeout
8:04.0,,,13-8,,Shooting foul by M. Plumlee (drawn by H. Barnes)
8:04.0,,,13-9,1,H. Barnes makes free throw 1 of 2
8:04.0,,,13-10,1,H. Barnes makes free throw 2 of 2
7:52.0,D. Lillard makes 2-pt shot from 19 ft (assist by C. McCollum),2,15-10,,
7:33.0,,,15-10,,H. Barnes misses 2-pt shot from 2 ft
7:32.0,,,15-10,,Offensive rebound by W. Matthews
7:28.0,,,15-10,,D. Nowitzki misses 3-pt shot from 25 ft
7:27.0,Defensive rebound by N. Vonleh,,15-10,,
7:16.0,Shooting foul by H. Barnes (drawn by N. Vonleh),,15-10,,
7:16.0,N. Vonleh misses free throw 1 of 2,,15-10,,
7:16.0,Offensive rebound by Team,,15-10,,
7:16.0,N. Vonleh misses free throw 2 of 2,,15-10,,
7:16.0,,,15-10,,S. Mejri enters the game for D. Nowitzki
7:16.0,,,15-10,,D. Harris enters the game for Y. Ferrell
7:15.0,,,15-10,,Defensive rebound by S. Mejri
6:56.0,Personal foul by C. McCollum (drawn by W. Matthews),,15-10,,
6:47.0,,,15-10,,H. Barnes misses 3-pt shot from 25 ft
6:46.0,Defensive rebound by M. Plumlee,,15-10,,
6:40.0,D. Lillard misses 2-pt shot from 21 ft,,15-10,,
