time,Charlotte,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. C. Zeller (S. Ibaka gains possession),,,,Jump ball: J. Valanciunas vs. C. Zeller (S. Ibaka gains possession)
11:38.0,,,0-0,,J. Valanciunas misses 2-pt shot from 17 ft
11:38.0,Defensive rebound by C. Zeller,,0-0,,
11:31.0,K. Walker misses 2-pt shot from 2 ft,,0-0,,
11:30.0,,,0-0,,Defensive rebound by J. Valanciunas
11:07.0,,,0-0,,S. Ibaka misses 3-pt shot from 26 ft
11:06.0,Defensive rebound by M. Williams,,0-0,,
10:58.0,M. Williams misses 3-pt shot from 28 ft,,0-0,,
10:57.0,,,0-0,,Defensive rebound by J. Valanciunas
10:38.0,,,0-0,,S. Ibaka misses 2-pt shot from 14 ft
10:37.0,Defensive rebound by C. Zeller,,0-0,,
10:18.0,C. Zeller misses 2-pt shot from 5 ft,,0-0,,
10:18.0,,,0-0,,Defensive rebound by J. Valanciunas
10:08.0,,,0-2,2,D. DeRozan makes 2-pt shot from 3 ft
9:54.0,,,0-2,,Personal foul by C. Joseph (drawn by N. Batum)
9:48.0,N. Batum misses 3-pt shot from 26 ft,,0-2,,
9:48.0,,,0-2,,Defensive rebound by D. DeRozan
9:39.0,Personal foul by C. Zeller (drawn by J. Valanciunas),,0-2,,
9:27.0,,,0-2,,D. DeRozan misses 2-pt shot from 17 ft
9:27.0,Defensive rebound by M. Williams,,0-2,,
9:19.0,Turnover by C. Zeller (lost ball),,0-2,,
9:06.0,,,0-2,,S. Ibaka misses 3-pt shot from 26 ft
9:06.0,Defensive rebound by N. Batum,,0-2,,
8:58.0,M. Williams misses 2-pt shot from 3 ft (block by S. Ibaka),,0-2,,
8:57.0,,,0-2,,Defensive rebound by J. Valanciunas
8:48.0,,,0-5,3,S. Ibaka makes 3-pt shot from 26 ft (assist by C. Joseph)
8:33.0,,,0-5,,Personal foul by S. Ibaka (drawn by M. Williams)
8:28.0,K. Walker misses 3-pt shot from 27 ft,,0-5,,
8:27.0,Offensive rebound by C. Zeller,,0-5,,
8:21.0,N. Batum makes 3-pt shot from 27 ft (assist by C. Zeller),3,3-5,,
8:07.0,,,3-7,2,J. Valanciunas makes 2-pt shot from 5 ft
7:53.0,K. Walker makes 2-pt shot from 4 ft,2,5-7,,
7:38.0,,,5-7,,Turnover by S. Ibaka (traveling)
7:27.0,N. Batum makes 2-pt shot from 2 ft (assist by C. Zeller),2,7-7,,
7:07.0,,,7-7,,D. Carroll misses 2-pt shot from 18 ft
7:06.0,Defensive rebound by M. Kidd-Gilchrist,,7-7,,
6:56.0,M. Kidd-Gilchrist makes 2-pt shot at rim,2,9-7,,
6:37.0,,,9-9,2,J. Valanciunas makes 2-pt shot from 15 ft (assist by D. DeRozan)
6:23.0,,,9-9,,Personal foul by D. Carroll (drawn by C. Zeller)
6:11.0,N. Batum misses 2-pt shot from 17 ft (block by D. Carroll),,9-9,,
6:10.0,Offensive rebound by N. Batum,,9-9,,
6:06.0,C. Zeller misses 2-pt shot from 18 ft,,9-9,,
6:06.0,,,9-9,,Defensive rebound by C. Joseph
5:58.0,,,9-9,,D. DeRozan misses 2-pt shot from 12 ft
5:58.0,Defensive rebound by C. Zeller,,9-9,,
5:44.0,M. Kidd-Gilchrist misses 2-pt shot from 10 ft,,9-9,,
5:43.0,,,9-9,,Defensive rebound by J. Valanciunas
5:39.0,,,9-9,,Toronto full timeout
5:39.0,F. Kaminsky enters the game for M. Williams,,9-9,,
5:32.0,,,9-9,,Shooting foul by C. Zeller (drawn by D. DeRozan)
5:32.0,,,9-10,1,D. DeRozan makes free throw 1 of 2
5:32.0,,,9-10,,D. DeRozan misses free throw 2 of 2
5:32.0,,,9-10,,P. Tucker enters the game for D. Carroll
5:32.0,M. Plumlee enters the game for C. Zeller,,9-10,,
5:31.0,Defensive rebound by F. Kaminsky,,9-10,,
5:17.0,N. Batum makes 2-pt shot from 15 ft,2,11-10,,
5:00.0,,,11-10,,C. Joseph misses 3-pt shot from 26 ft
5:00.0,Defensive rebound by F. Kaminsky,,11-10,,
4:45.0,M. Kidd-Gilchrist misses 2-pt shot from 20 ft,,11-10,,
4:45.0,,,11-10,,Defensive rebound by C. Joseph
4:34.0,,,11-10,,S. Ibaka misses 2-pt shot from 18 ft
4:34.0,Defensive rebound by N. Batum,,11-10,,
4:16.0,F. Kaminsky misses 2-pt shot from 19 ft,,11-10,,
4:16.0,Offensive rebound by N. Batum,,11-10,,
4:14.0,N. Batum makes 2-pt shot from 1 ft,2,13-10,,
4:04.0,,,13-10,,C. Joseph misses 3-pt shot from 26 ft
4:03.0,Defensive rebound by F. Kaminsky,,13-10,,
3:53.0,Turnover by K. Walker (bad pass; steal by C. Joseph),,13-10,,
3:38.0,,,13-10,,P. Patterson enters the game for S. Ibaka
3:38.0,C. Zeller enters the game for N. Batum,,13-10,,
3:38.0,M. Belinelli enters the game for F. Kaminsky,,13-10,,
3:29.0,,,13-12,2,C. Joseph makes 2-pt shot from 22 ft (assist by P. Patterson)
3:12.0,M. Belinelli misses 3-pt shot from 26 ft,,13-12,,
3:11.0,,,13-12,,Defensive rebound by J. Valanciunas
3:04.0,,,13-12,,P. Patterson misses 3-pt shot from 24 ft
3:04.0,Defensive rebound by M. Kidd-Gilchrist,,13-12,,
