time,New York,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. J. Noah (K. Porzingis gains possession),,,,Jump ball: T. Chandler vs. J. Noah (K. Porzingis gains possession)
11:47.0,K. Porzingis makes 2-pt shot at rim (assist by J. Noah),2,2-0,,
11:26.0,,,2-0,,Turnover by E. Bledsoe (bad pass; steal by C. Lee)
11:18.0,D. Rose misses 2-pt shot from 1 ft,,2-0,,
11:15.0,,,2-0,,Defensive rebound by T. Chandler
11:01.0,,,2-0,,Shooting foul by J. Noah (drawn by E. Bledsoe)
11:01.0,,,2-1,1,E. Bledsoe makes free throw 1 of 2
11:01.0,,,2-2,1,E. Bledsoe makes free throw 2 of 2
10:43.0,C. Anthony makes 2-pt shot from 21 ft (assist by C. Lee),2,4-2,,
10:32.0,,,4-2,,D. Booker misses 2-pt shot from 12 ft
10:30.0,Defensive rebound by C. Anthony,,4-2,,
10:13.0,C. Anthony misses 3-pt shot from 26 ft,,4-2,,
10:11.0,,,4-2,,Defensive rebound by M. Chriss
10:06.0,,,4-5,3,D. Booker makes 3-pt shot from 25 ft (assist by E. Bledsoe)
9:55.0,K. Porzingis makes 2-pt shot at rim,2,6-5,,
9:46.0,,,6-8,3,P. Tucker makes 3-pt shot from 24 ft (assist by E. Bledsoe)
9:33.0,Turnover by K. Porzingis (lost ball; steal by P. Tucker),,6-8,,
9:28.0,,,6-10,2,P. Tucker makes 2-pt shot from 2 ft (assist by E. Bledsoe)
9:15.0,D. Rose misses 2-pt shot from 9 ft,,6-10,,
9:12.0,,,6-10,,Defensive rebound by E. Bledsoe
9:11.0,,,6-10,,Shooting foul by C. Anthony (drawn by M. Chriss)
9:11.0,,,6-11,1,M. Chriss makes free throw 1 of 2
9:11.0,,,6-12,1,M. Chriss makes free throw 2 of 2
8:53.0,D. Rose misses 3-pt shot from 24 ft,,6-12,,
8:51.0,,,6-12,,Defensive rebound by T. Chandler
8:37.0,,,6-12,,M. Chriss misses 2-pt shot from 20 ft
8:37.0,Defensive rebound by Team,,6-12,,
8:18.0,K. Porzingis misses 2-pt shot from 16 ft,,6-12,,
8:18.0,Offensive rebound by Team,,6-12,,
8:18.0,,,6-12,,Loose ball foul by D. Booker (drawn by J. Noah)
8:13.0,Turnover by J. Noah (bad pass; steal by T. Chandler),,6-12,,
8:08.0,,,6-12,,D. Booker misses 2-pt shot from 1 ft
8:05.0,,,6-12,,Offensive rebound by M. Chriss
8:05.0,,,6-14,2,M. Chriss makes 2-pt shot at rim
7:51.0,D. Rose misses 2-pt shot from 18 ft,,6-14,,
7:49.0,Offensive rebound by J. Noah,,6-14,,
7:33.0,K. Porzingis misses 2-pt shot from 14 ft (block by E. Bledsoe),,6-14,,
7:31.0,,,6-14,,Defensive rebound by E. Bledsoe
7:24.0,,,6-14,,Turnover by P. Tucker (bad pass)
7:09.0,C. Lee misses 2-pt shot from 13 ft,,6-14,,
7:05.0,,,6-14,,Defensive rebound by T. Chandler
6:59.0,,,6-17,3,M. Chriss makes 3-pt shot from 25 ft (assist by E. Bledsoe)
6:52.0,New York full timeout,,6-17,,
6:41.0,J. Noah makes 2-pt shot from 2 ft (assist by C. Lee),2,8-17,,
6:25.0,,,8-17,,M. Chriss misses 3-pt shot from 25 ft
6:23.0,Defensive rebound by J. Noah,,8-17,,
6:18.0,D. Rose misses 2-pt shot from 6 ft,,8-17,,
6:14.0,Offensive rebound by J. Noah,,8-17,,
6:14.0,J. Noah makes 2-pt shot from 1 ft,2,10-17,,
5:57.0,,,10-17,,D. Booker misses 3-pt shot from 25 ft
5:55.0,Defensive rebound by C. Anthony,,10-17,,
5:47.0,C. Anthony misses 2-pt shot from 19 ft,,10-17,,
5:44.0,,,10-17,,Defensive rebound by E. Bledsoe
5:33.0,,,10-17,,E. Bledsoe misses 2-pt shot from 14 ft
5:30.0,,,10-17,,Offensive rebound by M. Chriss
5:30.0,,,10-19,2,M. Chriss makes 2-pt shot at rim
5:12.0,D. Rose misses 2-pt shot from 8 ft,,10-19,,
5:12.0,Offensive rebound by Team,,10-19,,
5:12.0,Shooting foul by M. Chriss (drawn by J. Noah),,10-19,,
5:12.0,J. Noah makes free throw 1 of 2,1,11-19,,
5:12.0,J. Noah makes free throw 2 of 2,1,12-19,,
5:12.0,,,11-19,,B. Knight enters the game for D. Booker
5:00.0,,,12-19,,E. Bledsoe misses 3-pt shot from 25 ft
4:59.0,Defensive rebound by Team,,12-19,,
4:59.0,L. Thomas enters the game for K. Porzingis,,12-19,,
4:47.0,Shooting foul by P. Tucker (drawn by C. Anthony),,12-19,,
4:47.0,C. Anthony makes free throw 1 of 2,1,13-19,,
4:47.0,C. Anthony misses free throw 2 of 2,,13-19,,
4:45.0,,,13-19,,Defensive rebound by M. Chriss
4:31.0,,,13-19,,P. Tucker misses 3-pt shot from 25 ft
4:30.0,,,13-19,,Offensive rebound by Team
4:30.0,Loose ball foul by J. Noah (drawn by T. Chandler),,13-19,,
4:30.0,K. O'Quinn enters the game for J. Noah,,13-19,,
4:22.0,,,13-19,,B. Knight misses 3-pt shot from 25 ft
4:19.0,Defensive rebound by D. Rose,,13-19,,
4:11.0,L. Thomas misses 3-pt shot from 25 ft,,13-19,,
4:09.0,,,13-19,,Defensive rebound by T. Chandler
3:54.0,,,13-19,,Shooting foul by K. O'Quinn (drawn by E. Bledsoe)
3:54.0,,,13-20,1,E. Bledsoe makes free throw 1 of 2
3:54.0,,,13-21,1,E. Bledsoe makes free throw 2 of 2
3:54.0,,,13-20,,J. Dudley enters the game for M. Chriss
3:33.0,C. Lee makes 2-pt shot from 19 ft,2,15-21,,
3:15.0,,,15-21,,E. Bledsoe misses 2-pt shot from 3 ft
3:13.0,,,15-21,,Offensive rebound by T. Chandler
3:13.0,,,15-21,,T. Chandler misses 2-pt shot from 2 ft
3:10.0,Defensive rebound by K. O'Quinn,,15-21,,
3:08.0,Shooting foul by E. Bledsoe (drawn by D. Rose),,15-21,,
3:08.0,,,15-21,,Violation by Team (jump ball)
3:08.0,D. Rose makes free throw 1 of 2,1,16-21,,
3:08.0,D. Rose makes free throw 2 of 2,1,17-21,,
2:54.0,Personal foul by C. Lee (drawn by B. Knight),,17-21,,
2:54.0,,,17-21,,Phoenix full timeout
2:54.0,,,17-21,,B. Knight misses free throw 1 of 2
2:54.0,,,17-21,,Offensive rebound by Team
2:54.0,,,17-22,1,B. Knight makes free throw 2 of 2
2:54.0,,,17-21,,A. Williams enters the game for T. Chandler
2:54.0,,,17-21,,L. Barbosa enters the game for E. Bledsoe
2:54.0,J. Holiday enters the game for C. Lee,,17-21,,
2:32.0,K. O'Quinn misses 2-pt shot from 20 ft,,17-22,,
2:30.0,,,17-22,,Defensive rebound by B. Knight
2:27.0,,,17-24,2,B. Knight makes 2-pt shot from 1 ft
2:06.0,K. O'Quinn misses 2-pt shot from 16 ft,,17-24,,
2:06.0,Offensive rebound by Team,,17-24,,
2:06.0,,,17-24,,Loose ball foul by P. Tucker (drawn by C. Anthony)
2:06.0,C. Anthony makes free throw 1 of 2,1,18-24,,
2:06.0,C. Anthony makes free throw 2 of 2,1,19-24,,
2:06.0,B. Jennings enters the game for D. Rose,,18-24,,
1:53.0,,,19-24,,B. Knight misses 2-pt shot from 16 ft
1:51.0,Defensive rebound by C. Anthony,,19-24,,
