time,Atlanta,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. D. Howard (D. Schroder gains possession),,,,Jump ball: M. Gortat vs. D. Howard (D. Schroder gains possession)
11:43.0,Shooting foul by M. Morris (drawn by P. Millsap),,0-0,,
11:43.0,P. Millsap misses free throw 1 of 2,,0-0,,
11:43.0,Offensive rebound by Team,,0-0,,
11:43.0,P. Millsap misses free throw 2 of 2,,0-0,,
11:42.0,,,0-0,,Defensive rebound by O. Porter
11:25.0,,,0-2,2,J. Wall makes 2-pt shot from 18 ft
10:56.0,D. Schroder misses 2-pt shot from 19 ft,,0-2,,
10:55.0,,,0-2,,Defensive rebound by O. Porter
10:44.0,,,0-5,3,M. Morris makes 3-pt shot from 23 ft (assist by J. Wall)
10:23.0,D. Howard misses 2-pt shot from 18 ft,,0-5,,
10:22.0,,,0-5,,Defensive rebound by O. Porter
10:07.0,,,0-5,,M. Morris misses 3-pt shot from 27 ft
10:06.0,Defensive rebound by T. Hardaway,,0-5,,
10:01.0,Turnover by T. Hardaway (bad pass; steal by M. Morris),,0-5,,
9:53.0,,,0-5,,B. Beal misses 3-pt shot from 26 ft
9:53.0,Defensive rebound by T. Waller-Prince,,0-5,,
9:29.0,T. Hardaway misses 3-pt shot from 29 ft,,0-5,,
9:28.0,Offensive rebound by Team,,0-5,,
9:23.0,D. Schroder misses 2-pt shot from 3 ft,,0-5,,
9:21.0,,,0-5,,Defensive rebound by M. Gortat
9:05.0,,,0-5,,J. Wall misses 2-pt shot from 12 ft
9:05.0,Defensive rebound by D. Howard,,0-5,,
8:51.0,P. Millsap makes 2-pt shot at rim,2,2-5,,
8:36.0,,,2-5,,B. Beal misses 2-pt shot from 20 ft
8:35.0,Defensive rebound by D. Howard,,2-5,,
8:28.0,T. Hardaway misses 2-pt shot from 2 ft,,2-5,,
8:27.0,,,2-5,,Defensive rebound by M. Gortat
8:20.0,,,2-7,2,O. Porter makes 2-pt shot from 5 ft
8:02.0,Turnover by P. Millsap (bad pass),,2-7,,
7:52.0,,,2-7,,Turnover by J. Wall (bad pass; steal by T. Hardaway)
7:46.0,D. Schroder makes 3-pt shot from 25 ft (assist by T. Hardaway),3,5-7,,
7:26.0,,,5-9,2,M. Gortat makes 2-pt shot from 6 ft (assist by J. Wall)
7:14.0,P. Millsap makes 2-pt shot from 14 ft (assist by D. Howard),2,7-9,,
7:05.0,,,7-9,,O. Porter misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by D. Howard,,7-9,,
6:59.0,Shooting foul by M. Gortat (drawn by T. Hardaway),,7-9,,
6:59.0,T. Hardaway misses free throw 1 of 2,,7-9,,
6:59.0,Offensive rebound by Team,,7-9,,
6:59.0,T. Hardaway makes free throw 2 of 2,1,8-9,,
6:35.0,,,8-9,,M. Gortat misses 2-pt shot from 20 ft
6:34.0,,,8-9,,Offensive rebound by O. Porter
6:20.0,,,8-9,,B. Beal misses 3-pt shot from 27 ft
6:19.0,Defensive rebound by Team,,8-9,,
6:08.0,D. Schroder misses 3-pt shot from 28 ft,,8-9,,
6:08.0,,,8-9,,Defensive rebound by M. Gortat
6:03.0,,,8-11,2,J. Wall makes 2-pt shot from 2 ft
6:03.0,,,8-11,,Shooting foul by T. Hardaway (drawn by J. Wall)
6:03.0,,,8-12,1,J. Wall makes free throw 1 of 1
6:03.0,K. Bazemore enters the game for T. Waller-Prince,,8-11,,
5:57.0,Offensive foul by T. Hardaway,,8-12,,
5:57.0,Turnover by T. Hardaway (offensive foul),,8-12,,
5:57.0,,,8-12,,Washington full timeout
5:57.0,M. Dunleavy enters the game for T. Hardaway,,8-12,,
5:43.0,,,8-14,2,J. Wall makes 2-pt shot from 2 ft
5:31.0,Turnover by M. Dunleavy (bad pass),,8-14,,
5:12.0,,,8-14,,M. Morris misses 2-pt shot from 18 ft
5:11.0,,,8-14,,Offensive rebound by M. Gortat
5:08.0,,,8-14,,M. Gortat misses 2-pt shot from 4 ft
5:06.0,,,8-14,,Offensive rebound by O. Porter
5:03.0,,,8-14,,O. Porter misses 2-pt shot at rim
5:02.0,,,8-14,,Offensive rebound by B. Beal
4:59.0,,,8-16,2,B. Beal makes 2-pt shot from 1 ft
4:41.0,D. Howard misses 2-pt shot from 3 ft,,8-16,,
4:40.0,,,8-16,,Defensive rebound by M. Morris
4:35.0,,,8-18,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
4:34.0,Atlanta full timeout,,8-18,,
4:34.0,,,8-18,,J. Smith enters the game for M. Morris
4:34.0,M. Muscala enters the game for D. Howard,,8-18,,
4:34.0,E. Ilyasova enters the game for P. Millsap,,8-18,,
4:23.0,Shooting foul by B. Beal (drawn by M. Muscala),,8-18,,
4:23.0,M. Muscala makes free throw 1 of 2,1,9-18,,
4:23.0,M. Muscala makes free throw 2 of 2,1,10-18,,
4:11.0,,,10-20,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
3:50.0,Shooting foul by B. Beal (drawn by E. Ilyasova),,10-20,,
3:50.0,E. Ilyasova makes free throw 1 of 2,1,11-20,,
3:50.0,E. Ilyasova makes free throw 2 of 2,1,12-20,,
3:50.0,,,11-20,,K. Oubre enters the game for M. Gortat
3:50.0,,,11-20,,B. Jennings enters the game for B. Beal
3:38.0,,,12-22,2,O. Porter makes 2-pt shot at rim (assist by J. Wall)
3:38.0,,,12-22,,Shooting foul by D. Schroder (drawn by O. Porter)
3:38.0,,,12-23,1,O. Porter makes free throw 1 of 1
3:20.0,D. Schroder makes 2-pt shot from 4 ft,2,14-23,,
3:20.0,Shooting foul by B. Jennings (drawn by D. Schroder),,14-23,,
3:20.0,D. Schroder makes free throw 1 of 1,1,15-23,,
3:11.0,,,15-23,,J. Wall misses 2-pt shot from 1 ft (block by K. Bazemore)
3:11.0,,,15-23,,Offensive rebound by Team
3:03.0,,,15-23,,B. Jennings misses 3-pt shot from 22 ft
3:02.0,Defensive rebound by M. Dunleavy,,15-23,,
2:57.0,D. Schroder misses 2-pt shot from 2 ft (block by J. Wall),,15-23,,
2:55.0,Offensive rebound by M. Muscala,,15-23,,
2:55.0,M. Muscala misses 2-pt shot at rim,,15-23,,
2:53.0,Offensive rebound by D. Schroder,,15-23,,
2:50.0,K. Bazemore makes 3-pt shot from 28 ft (assist by D. Schroder),3,18-23,,
2:35.0,,,18-23,,Washington full timeout
2:35.0,,,18-23,,B. Bogdanovic enters the game for O. Porter
2:31.0,Personal foul by M. Muscala (drawn by J. Smith),,18-23,,
2:27.0,,,18-23,,J. Wall misses 3-pt shot from 24 ft
2:26.0,Defensive rebound by D. Schroder,,18-23,,
2:26.0,,,18-23,,Loose ball foul by J. Smith (drawn by D. Schroder)
2:26.0,D. Schroder makes free throw 1 of 2,1,19-23,,
2:26.0,D. Schroder makes free throw 2 of 2,1,20-23,,
2:14.0,,,20-23,,B. Bogdanovic misses 2-pt shot from 3 ft
2:13.0,Defensive rebound by K. Bazemore,,20-23,,
2:04.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by D. Schroder),2,22-23,,
1:52.0,,,22-23,,Turnover by J. Wall (bad pass)
1:52.0,T. Waller-Prince enters the game for D. Schroder,,22-23,,
1:40.0,Turnover by K. Bazemore (bad pass; steal by K. Oubre),,22-23,,
1:36.0,,,22-23,,K. Oubre misses 2-pt shot at rim
1:34.0,Defensive rebound by E. Ilyasova,,22-23,,
1:27.0,K. Bazemore misses 2-pt shot at rim,,22-23,,
1:26.0,,,22-23,,Defensive rebound by B. Jennings
1:21.0,,,22-23,,Shooting foul by M. Muscala (drawn by K. Oubre)
1:21.0,,,22-24,1,K. Oubre makes free throw 1 of 2
1:21.0,,,22-25,1,K. Oubre makes free throw 2 of 2
1:21.0,,,22-24,,T. Satoransky enters the game for J. Wall
1:14.0,,,22-25,,Personal foul by K. Oubre (drawn by K. Bazemore)
1:14.0,K. Bazemore makes free throw 1 of 2,1,23-25,,
1:14.0,K. Bazemore makes free throw 2 of 2,1,24-25,,
1:01.0,,,24-25,,K. Oubre misses 2-pt shot from 13 ft
1:00.0,Defensive rebound by E. Ilyasova,,24-25,,
0:49.0,K. Bazemore misses 2-pt shot from 2 ft,,24-25,,
0:49.0,Offensive rebound by E. Ilyasova,,24-25,,
0:49.0,E. Ilyasova makes 2-pt shot from 2 ft,2,26-25,,
0:49.0,Shooting foul by T. Satoransky (drawn by E. Ilyasova),,26-25,,
0:49.0,E. Ilyasova makes free throw 1 of 1,1,27-25,,
0:31.0,,,27-25,,B. Bogdanovic misses 2-pt shot from 22 ft
0:31.0,,,27-25,,Offensive rebound by K. Oubre
0:08.0,,,27-25,,K. Oubre misses 3-pt shot from 29 ft
0:07.0,Defensive rebound by T. Waller-Prince,,27-25,,
0:02.0,T. Waller-Prince makes 2-pt shot from 4 ft,2,29-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,29-25,,K. Oubre misses 3-pt shot from 22 ft
11:40.0,Defensive rebound by E. Ilyasova,,29-25,,
11:32.0,Turnover by E. Ilyasova (bad pass; steal by K. Oubre),,29-25,,
11:29.0,,,29-27,2,K. Oubre makes 2-pt shot at rim
11:15.0,,,29-27,,Personal foul by K. Oubre (drawn by T. Hardaway)
11:15.0,,,29-27,,M. Morris enters the game for T. Satoransky
11:08.0,E. Ilyasova misses 3-pt shot from 27 ft,,29-27,,
11:07.0,,,29-27,,Defensive rebound by K. Oubre
10:53.0,,,29-27,,M. Morris misses 2-pt shot from 11 ft
10:52.0,,,29-27,,Offensive rebound by Team
10:52.0,Loose ball foul by T. Waller-Prince (drawn by K. Oubre),,29-27,,
10:38.0,,,29-27,,Turnover by J. Smith (3 sec)
10:24.0,J. Calderon misses 3-pt shot from 25 ft (block by J. Smith),,29-27,,
10:24.0,Offensive rebound by Team,,29-27,,
10:14.0,J. Calderon misses 2-pt shot from 1 ft,,29-27,,
10:14.0,Offensive rebound by E. Ilyasova,,29-27,,
10:10.0,Turnover by Team (shot clock),,29-27,,
9:57.0,,,29-27,,B. Jennings misses 2-pt shot from 5 ft
9:56.0,Defensive rebound by T. Hardaway,,29-27,,
9:51.0,Shooting foul by J. Smith (drawn by P. Millsap),,29-27,,
