time,Boston,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. A. Johnson (K. Olynyk gains possession),,,,Jump ball: A. Davis vs. A. Johnson (K. Olynyk gains possession)
11:43.0,K. Olynyk misses 3-pt shot from 25 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by D. Cunningham
11:27.0,,,0-2,2,B. Hield makes 2-pt shot from 8 ft (assist by T. Frazier)
11:14.0,A. Bradley makes 2-pt shot from 3 ft,2,2-2,,
10:58.0,,,2-2,,T. Frazier misses 3-pt shot from 25 ft
10:56.0,Defensive rebound by A. Bradley,,2-2,,
10:44.0,A. Johnson makes 3-pt shot from 25 ft (assist by I. Thomas),3,5-2,,
10:32.0,,,5-2,,Turnover by A. Davis (bad pass)
10:12.0,A. Johnson misses 3-pt shot from 23 ft,,5-2,,
10:12.0,,,5-2,,Defensive rebound by A. Davis
10:03.0,Personal foul by A. Johnson (drawn by A. Davis),,5-2,,
9:57.0,,,5-2,,A. Davis misses 2-pt shot from 18 ft
9:56.0,Defensive rebound by A. Bradley,,5-2,,
9:42.0,A. Bradley makes 2-pt shot from 2 ft,2,7-2,,
9:18.0,,,7-2,,A. Davis misses 2-pt shot from 6 ft
9:17.0,Defensive rebound by K. Olynyk,,7-2,,
9:11.0,I. Thomas makes 2-pt shot from 2 ft,2,9-2,,
8:55.0,,,9-4,2,O. Asik makes 2-pt shot from 2 ft (assist by B. Hield)
8:33.0,A. Johnson misses 3-pt shot from 23 ft,,9-4,,
8:32.0,,,9-4,,Defensive rebound by A. Davis
8:28.0,,,9-6,2,D. Cunningham makes 2-pt shot from 2 ft (assist by T. Frazier)
8:10.0,K. Olynyk misses 3-pt shot from 25 ft,,9-6,,
8:09.0,Offensive rebound by A. Johnson,,9-6,,
8:06.0,A. Bradley makes 3-pt shot from 23 ft (assist by A. Johnson),3,12-6,,
7:55.0,,,12-6,,Shooting foul by A. Bradley (drawn by T. Frazier)
7:55.0,,,12-7,1,T. Frazier makes free throw 1 of 2
7:55.0,,,12-8,1,T. Frazier makes free throw 2 of 2
7:35.0,K. Olynyk misses 2-pt shot from 3 ft,,12-8,,
7:33.0,,,12-8,,Defensive rebound by A. Davis
7:23.0,,,12-10,2,A. Davis makes 2-pt shot from 17 ft (assist by T. Frazier)
7:09.0,I. Thomas makes 3-pt shot from 25 ft (assist by A. Johnson),3,15-10,,
6:51.0,,,15-10,,Shooting foul by A. Johnson (drawn by A. Davis)
6:51.0,,,15-10,,A. Davis misses free throw 1 of 2
6:51.0,,,15-10,,Offensive rebound by Team
6:51.0,,,15-11,1,A. Davis makes free throw 2 of 2
6:37.0,Turnover by M. Smart (bad pass; steal by A. Davis),,15-11,,
6:29.0,Violation by M. Smart (kicked ball),,15-11,,
6:29.0,J. Mickey enters the game for A. Johnson,,15-11,,
6:12.0,,,15-13,2,A. Davis makes 2-pt shot from 15 ft (assist by B. Hield)
5:53.0,I. Thomas misses 2-pt shot from 15 ft,,15-13,,
5:51.0,,,15-13,,Defensive rebound by O. Asik
5:39.0,,,15-13,,A. Davis misses 2-pt shot from 3 ft
5:38.0,,,15-13,,Offensive rebound by O. Asik
5:36.0,,,15-15,2,O. Asik makes 2-pt shot from 2 ft
5:35.0,Boston full timeout,,15-15,,
5:35.0,J. Brown enters the game for A. Bradley,,15-15,,
5:35.0,,,15-15,,T. Jones enters the game for O. Asik
5:20.0,Turnover by I. Thomas (lost ball; steal by A. Davis),,15-15,,
5:20.0,Personal foul by I. Thomas (drawn by A. Davis),,15-15,,
5:03.0,,,15-15,,Turnover by A. Davis (lost ball; steal by J. Mickey)
4:58.0,M. Smart makes 3-pt shot from 26 ft (assist by I. Thomas),3,18-15,,
4:39.0,,,18-15,,T. Jones misses 2-pt shot from 6 ft
4:38.0,Defensive rebound by J. Mickey,,18-15,,
4:28.0,I. Thomas misses 2-pt shot from 2 ft,,18-15,,
4:27.0,Offensive rebound by J. Mickey,,18-15,,
4:26.0,Shooting foul by B. Hield (drawn by J. Mickey),,18-15,,
4:26.0,J. Mickey misses free throw 1 of 2,,18-15,,
4:26.0,Offensive rebound by Team,,18-15,,
4:26.0,J. Mickey makes free throw 2 of 2,1,19-15,,
4:26.0,J. Jerebko enters the game for K. Olynyk,,18-15,,
4:26.0,,,18-15,,S. Hill enters the game for D. Cunningham
4:13.0,,,19-15,,A. Davis misses 2-pt shot from 18 ft
4:12.0,Defensive rebound by I. Thomas,,19-15,,
4:04.0,,,19-15,,Violation by T. Frazier (kicked ball)
4:04.0,,,19-15,,L. Galloway enters the game for B. Hield
3:54.0,Turnover by J. Mickey (lost ball; steal by A. Davis),,19-15,,
3:44.0,Personal foul by I. Thomas (drawn by A. Davis),,19-15,,
3:44.0,,,19-16,1,A. Davis makes free throw 1 of 2
3:44.0,,,19-17,1,A. Davis makes free throw 2 of 2
3:31.0,J. Jerebko makes 2-pt shot from 1 ft (assist by I. Thomas),2,21-17,,
3:18.0,,,21-17,,Turnover by S. Hill (bad pass; steal by J. Brown)
3:15.0,J. Brown makes 2-pt shot from 2 ft (assist by J. Mickey),2,23-17,,
3:04.0,,,23-19,2,A. Davis makes 2-pt shot from 17 ft (assist by T. Frazier)
2:47.0,I. Thomas misses 3-pt shot from 25 ft,,23-19,,
2:46.0,Offensive rebound by J. Brown,,23-19,,
2:42.0,J. Mickey misses 2-pt shot from 7 ft,,23-19,,
2:41.0,,,23-19,,Defensive rebound by A. Davis
2:34.0,,,23-19,,Shooting foul by J. Mickey (drawn by A. Davis)
2:34.0,,,23-21,2,A. Davis makes 2-pt shot from 3 ft
2:34.0,,,23-21,,New Orleans full timeout
2:34.0,,,23-21,,A. Davis misses free throw 1 of 1
2:34.0,,,23-21,,A. Goodwin enters the game for T. Frazier
2:34.0,T. Rozier enters the game for M. Smart,,23-21,,
2:34.0,A. Bradley enters the game for I. Thomas,,23-21,,
2:33.0,,,23-21,,Offensive rebound by T. Jones
2:31.0,,,23-23,2,T. Jones makes 2-pt shot from 4 ft
2:12.0,A. Bradley makes 3-pt shot from 23 ft,3,26-23,,
1:47.0,,,26-23,,A. Goodwin misses 2-pt shot from 1 ft
1:45.0,Defensive rebound by J. Mickey,,26-23,,
1:36.0,Offensive foul by J. Mickey,,26-23,,
1:36.0,Turnover by J. Mickey (offensive foul),,26-23,,
1:24.0,,,26-25,2,T. Jones makes 2-pt shot at rim (assist by L. Galloway)
1:10.0,J. Jerebko misses 3-pt shot from 25 ft,,26-25,,
1:09.0,,,26-25,,Defensive rebound by T. Jones
0:49.0,,,26-25,,T. Jones misses 2-pt shot from 8 ft
0:48.0,Defensive rebound by J. Mickey,,26-25,,
0:26.0,J. Mickey misses 2-pt shot from 19 ft,,26-25,,
0:26.0,,,26-25,,Defensive rebound by A. Davis
0:04.0,,,26-27,2,L. Galloway makes 2-pt shot from 2 ft
0:00.0,T. Rozier misses 3-pt shot from 23 ft,,26-27,,
0:00.0,,,26-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:54.0,Personal foul by A. Bradley (drawn by A. Goodwin),,26-27,,
11:45.0,,,26-29,2,L. Galloway makes 2-pt shot from 16 ft (assist by A. Ajinca)
11:19.0,K. Olynyk makes 3-pt shot from 24 ft (assist by A. Bradley),3,29-29,,
11:06.0,,,29-31,2,A. Ajinca makes 2-pt shot from 4 ft (assist by L. Galloway)
10:53.0,A. Bradley misses 3-pt shot from 26 ft,,29-31,,
10:52.0,,,29-31,,Defensive rebound by T. Jones
10:46.0,,,29-34,3,S. Hill makes 3-pt shot from 24 ft (assist by L. Galloway)
10:33.0,K. Olynyk misses 3-pt shot from 26 ft,,29-34,,
10:31.0,Offensive rebound by T. Rozier,,29-34,,
10:29.0,T. Rozier makes 2-pt shot from 22 ft,2,31-34,,
10:16.0,,,31-34,,A. Goodwin misses 2-pt shot at rim
10:15.0,Defensive rebound by K. Olynyk,,31-34,,
10:02.0,,,31-34,,Personal foul by L. Galloway (drawn by T. Rozier)
9:52.0,A. Bradley makes 3-pt shot from 25 ft (assist by T. Zeller),3,34-34,,
9:50.0,,,34-34,,New Orleans full timeout
9:36.0,,,34-34,,A. Ajinca misses 2-pt shot from 18 ft
9:36.0,Defensive rebound by Team,,34-34,,
9:23.0,A. Bradley misses 2-pt shot from 20 ft,,34-34,,
9:23.0,,,34-34,,Defensive rebound by T. Jones
