time,Chicago,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. R. Lopez (B. Portis gains possession),,,,Jump ball: A. Johnson vs. R. Lopez (B. Portis gains possession)
11:39.0,D. Wade misses 2-pt shot from 14 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by A. Horford
11:19.0,,,0-0,,A. Bradley misses 2-pt shot from 16 ft
11:18.0,Defensive rebound by J. Butler,,0-0,,
11:06.0,J. Grant misses 2-pt shot from 16 ft,,0-0,,
11:04.0,Offensive rebound by J. Grant,,0-0,,
10:58.0,B. Portis misses 2-pt shot from 13 ft,,0-0,,
10:56.0,,,0-0,,Defensive rebound by J. Crowder
10:48.0,,,0-3,3,I. Thomas makes 3-pt shot from 29 ft (assist by A. Johnson)
10:23.0,J. Butler misses 2-pt shot from 3 ft,,0-3,,
10:22.0,,,0-3,,Defensive rebound by A. Horford
10:15.0,,,0-3,,J. Crowder misses 3-pt shot from 26 ft
10:14.0,Defensive rebound by J. Butler,,0-3,,
10:03.0,B. Portis misses 2-pt shot from 14 ft,,0-3,,
10:02.0,,,0-3,,Defensive rebound by J. Crowder
9:47.0,,,0-5,2,A. Horford makes 2-pt shot from 11 ft
9:29.0,B. Portis misses 2-pt shot from 3 ft (block by A. Johnson),,0-5,,
9:27.0,,,0-5,,Defensive rebound by J. Crowder
9:20.0,,,0-5,,Turnover by I. Thomas (bad pass; steal by J. Grant)
9:09.0,Turnover by B. Portis (bad pass; steal by J. Crowder),,0-5,,
8:57.0,,,0-7,2,A. Bradley makes 2-pt shot from 1 ft (assist by I. Thomas)
8:45.0,J. Butler misses 2-pt shot from 2 ft,,0-7,,
8:44.0,Offensive rebound by B. Portis,,0-7,,
8:32.0,D. Wade misses 3-pt shot from 26 ft,,0-7,,
8:31.0,Offensive rebound by J. Butler,,0-7,,
8:26.0,B. Portis misses 2-pt shot from 17 ft,,0-7,,
8:25.0,,,0-7,,Defensive rebound by A. Bradley
8:17.0,,,0-7,,I. Thomas misses 2-pt shot from 11 ft
8:16.0,Defensive rebound by B. Portis,,0-7,,
8:01.0,J. Butler misses 2-pt shot from 4 ft (block by A. Horford),,0-7,,
7:59.0,,,0-7,,Defensive rebound by A. Horford
7:47.0,,,0-10,3,A. Bradley makes 3-pt shot from 26 ft (assist by A. Horford)
7:47.0,Chicago full timeout,,0-10,,
7:47.0,J. Lauvergne enters the game for B. Portis,,0-10,,
7:24.0,J. Lauvergne misses 2-pt shot from 14 ft,,0-10,,
7:23.0,,,0-10,,Defensive rebound by A. Johnson
7:04.0,,,0-10,,A. Bradley misses 2-pt shot from 6 ft
7:03.0,Defensive rebound by J. Grant,,0-10,,
6:51.0,Turnover by J. Grant (bad pass; steal by A. Bradley),,0-10,,
6:46.0,,,0-10,,I. Thomas misses 3-pt shot from 28 ft
6:45.0,Defensive rebound by D. Wade,,0-10,,
6:37.0,D. Wade misses 2-pt shot from 5 ft,,0-10,,
6:36.0,,,0-10,,Defensive rebound by A. Horford
6:22.0,,,0-13,3,I. Thomas makes 3-pt shot from 27 ft
6:05.0,D. Wade makes 2-pt shot from 21 ft (assist by R. Lopez),2,2-13,,
5:48.0,,,2-13,,Turnover by A. Bradley (lost ball; steal by J. Butler)
5:44.0,J. Butler misses 2-pt shot from 1 ft (block by A. Bradley),,2-13,,
5:43.0,,,2-13,,Defensive rebound by J. Crowder
5:35.0,,,2-13,,A. Johnson misses 3-pt shot from 22 ft
5:34.0,Defensive rebound by J. Lauvergne,,2-13,,
5:24.0,Turnover by J. Lauvergne (bad pass; steal by I. Thomas),,2-13,,
5:19.0,,,2-15,2,I. Thomas makes 2-pt shot from 2 ft
4:59.0,Shooting foul by A. Johnson (drawn by R. Lopez),,2-15,,
4:59.0,R. Lopez makes free throw 1 of 2,1,3-15,,
4:59.0,R. Lopez makes free throw 2 of 2,1,4-15,,
4:59.0,R. Rondo enters the game for J. Grant,,3-15,,
4:59.0,,,3-15,,K. Olynyk enters the game for A. Horford
4:45.0,Personal foul by R. Rondo (drawn by I. Thomas),,4-15,,
4:35.0,,,4-15,,A. Bradley misses 2-pt shot from 3 ft
4:35.0,Defensive rebound by Team,,4-15,,
4:17.0,R. Lopez misses 2-pt shot from 18 ft,,4-15,,
4:16.0,,,4-15,,Defensive rebound by J. Crowder
4:09.0,,,4-15,,J. Crowder misses 3-pt shot from 26 ft
4:08.0,,,4-15,,Offensive rebound by K. Olynyk
3:59.0,,,4-15,,Turnover by A. Johnson (offensive foul)
3:59.0,,,4-15,,Offensive charge foul by A. Johnson
3:59.0,D. Valentine enters the game for D. Wade,,4-15,,
3:59.0,,,4-15,,M. Smart enters the game for A. Bradley
3:43.0,J. Lauvergne misses 3-pt shot from 24 ft,,4-15,,
3:42.0,,,4-15,,Defensive rebound by J. Crowder
3:33.0,,,4-15,,I. Thomas misses 3-pt shot from 26 ft
3:31.0,Defensive rebound by Team,,4-15,,
3:06.0,R. Rondo misses 2-pt shot from 10 ft,,4-15,,
3:06.0,,,4-15,,Defensive rebound by K. Olynyk
2:51.0,,,4-15,,K. Olynyk misses 2-pt shot from 3 ft
2:50.0,,,4-15,,Offensive rebound by K. Olynyk
2:46.0,,,4-17,2,A. Johnson makes 2-pt shot at rim (assist by K. Olynyk)
2:46.0,Chicago full timeout,,4-17,,
2:46.0,,,4-17,,Boston full timeout
2:46.0,,,4-17,,J. Brown enters the game for A. Johnson
2:46.0,,,4-17,,A. Horford enters the game for I. Thomas
2:46.0,P. Zipser enters the game for R. Lopez,,4-17,,
2:21.0,P. Zipser misses 2-pt shot from 15 ft,,4-17,,
2:21.0,Offensive rebound by Team,,4-17,,
2:21.0,Turnover by Team (shot clock),,4-17,,
1:59.0,,,4-20,3,J. Brown makes 3-pt shot from 25 ft (assist by A. Horford)
1:43.0,D. Valentine misses 3-pt shot from 27 ft,,4-20,,
1:42.0,,,4-20,,Defensive rebound by J. Crowder
1:34.0,,,4-20,,Offensive charge foul by A. Horford
1:34.0,,,4-20,,Turnover by A. Horford (offensive foul)
1:11.0,J. Butler makes 2-pt shot from 19 ft,2,6-20,,
0:52.0,,,6-20,,J. Crowder misses 3-pt shot from 25 ft
0:52.0,Defensive rebound by D. Valentine,,6-20,,
0:46.0,D. Valentine makes 3-pt shot from 26 ft,3,9-20,,
0:36.0,,,9-22,2,A. Horford makes 2-pt shot from 2 ft (assist by K. Olynyk)
0:27.0,Turnover by D. Valentine (step out of bounds),,9-22,,
0:27.0,C. Felicio enters the game for J. Lauvergne,,9-22,,
0:11.0,,,9-22,,Turnover by A. Horford (traveling)
0:02.0,R. Rondo misses 2-pt shot from 23 ft,,9-22,,
0:01.0,,,9-22,,Defensive rebound by K. Olynyk
0:00.0,,,9-22,,K. Olynyk misses 3-pt shot from 35 ft
0:00.0,,,9-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,9-22,,M. Smart misses 3-pt shot from 27 ft
11:46.0,Defensive rebound by D. Valentine,,9-22,,
11:39.0,P. Zipser misses 2-pt shot from 1 ft,,9-22,,
11:38.0,,,9-22,,Defensive rebound by M. Smart
