time,Phoenix,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. K. Towns (E. Bledsoe gains possession),,,,Jump ball: T. Chandler vs. K. Towns (E. Bledsoe gains possession)
11:45.0,P. Tucker misses 2-pt shot from 19 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by K. Towns
11:30.0,,,0-0,,A. Wiggins misses 2-pt shot from 19 ft
11:29.0,Defensive rebound by P. Tucker,,0-0,,
11:23.0,M. Chriss makes 2-pt shot at rim (assist by E. Bledsoe),2,2-0,,
11:03.0,,,2-2,2,K. Towns makes 2-pt shot from 19 ft
10:48.0,P. Tucker makes 2-pt shot from 21 ft (assist by D. Booker),2,4-2,,
10:31.0,,,4-2,,K. Towns misses 2-pt shot from 6 ft
10:29.0,Defensive rebound by T. Chandler,,4-2,,
10:22.0,D. Booker misses 3-pt shot from 25 ft,,4-2,,
10:21.0,,,4-2,,Defensive rebound by K. Towns
10:08.0,,,4-2,,R. Rubio misses 2-pt shot from 1 ft
10:07.0,Defensive rebound by T. Chandler,,4-2,,
9:53.0,T. Chandler makes 2-pt shot at rim (assist by E. Bledsoe),2,6-2,,
9:53.0,,,6-2,,Minnesota full timeout
9:35.0,,,6-2,,Turnover by A. Wiggins (lost ball; steal by P. Tucker)
9:30.0,D. Booker makes 2-pt shot from 1 ft (assist by P. Tucker),2,8-2,,
9:18.0,,,8-2,,Turnover by Z. LaVine (bad pass; steal by E. Bledsoe)
9:08.0,Turnover by M. Chriss (step out of bounds),,8-2,,
8:49.0,,,8-4,2,K. Towns makes 2-pt shot from 7 ft (assist by Z. LaVine)
8:36.0,D. Booker misses 3-pt shot from 24 ft,,8-4,,
8:36.0,,,8-4,,Defensive rebound by K. Towns
8:29.0,,,8-4,,Z. LaVine misses 2-pt shot from 3 ft (block by D. Booker)
8:28.0,Defensive rebound by P. Tucker,,8-4,,
8:22.0,P. Tucker misses 2-pt shot from 4 ft,,8-4,,
8:21.0,,,8-4,,Defensive rebound by A. Wiggins
8:18.0,,,8-4,,Shooting foul by M. Chriss (drawn by Z. LaVine)
8:18.0,,,8-5,1,Z. LaVine makes free throw 1 of 2
8:18.0,,,8-6,1,Z. LaVine makes free throw 2 of 2
8:02.0,Turnover by T. Chandler (bad pass; steal by A. Wiggins),,8-6,,
7:52.0,,,8-8,2,G. Dieng makes 2-pt shot from 18 ft (assist by Z. LaVine)
7:33.0,E. Bledsoe misses 2-pt shot from 17 ft,,8-8,,
7:32.0,Offensive rebound by M. Chriss,,8-8,,
7:32.0,M. Chriss misses 2-pt shot from 1 ft,,8-8,,
7:31.0,Offensive rebound by M. Chriss,,8-8,,
7:31.0,,,8-8,,Personal foul by R. Rubio (drawn by M. Chriss)
7:18.0,E. Bledsoe misses 2-pt shot from 15 ft (block by Z. LaVine),,8-8,,
7:17.0,Offensive rebound by Team,,8-8,,
7:12.0,D. Booker misses 2-pt shot from 18 ft,,8-8,,
7:11.0,,,8-8,,Defensive rebound by K. Towns
7:00.0,,,8-8,,A. Wiggins misses 2-pt shot from 18 ft
6:58.0,Defensive rebound by T. Chandler,,8-8,,
6:50.0,E. Bledsoe misses 2-pt shot from 2 ft (block by K. Towns),,8-8,,
6:49.0,,,8-8,,Defensive rebound by Team
6:34.0,,,8-8,,K. Towns misses 3-pt shot from 25 ft
6:33.0,,,8-8,,Offensive rebound by G. Dieng
6:33.0,,,8-10,2,G. Dieng makes 2-pt shot from 1 ft
6:20.0,D. Booker misses 2-pt shot from 2 ft,,8-10,,
6:19.0,,,8-10,,Defensive rebound by K. Towns
6:14.0,,,8-12,2,Z. LaVine makes 2-pt shot from 1 ft (assist by K. Towns)
6:14.0,Phoenix full timeout,,8-12,,
6:14.0,A. Len enters the game for D. Booker,,8-12,,
6:14.0,B. Knight enters the game for M. Chriss,,8-12,,
6:14.0,,,8-12,,S. Muhammad enters the game for Z. LaVine
6:00.0,A. Len misses 2-pt shot from 18 ft,,8-12,,
5:59.0,,,8-12,,Defensive rebound by R. Rubio
5:48.0,,,8-12,,G. Dieng misses 2-pt shot from 18 ft
5:47.0,Defensive rebound by P. Tucker,,8-12,,
5:38.0,E. Bledsoe makes 2-pt shot from 20 ft,2,10-12,,
5:24.0,,,10-12,,A. Wiggins misses 2-pt shot from 17 ft
5:23.0,Defensive rebound by A. Len,,10-12,,
5:08.0,P. Tucker misses 3-pt shot from 24 ft,,10-12,,
5:07.0,,,10-12,,Defensive rebound by G. Dieng
5:02.0,,,10-12,,Shooting foul by P. Tucker (drawn by A. Wiggins)
5:02.0,,,10-13,1,A. Wiggins makes free throw 1 of 2
5:02.0,,,10-14,1,A. Wiggins makes free throw 2 of 2
4:49.0,Turnover by E. Bledsoe (lost ball; steal by R. Rubio),,10-14,,
