time,Portland,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. M. Plumlee (D. Lillard gains possession),,,,Jump ball: J. Henson vs. M. Plumlee (D. Lillard gains possession)
11:32.0,C. McCollum makes 3-pt shot from 25 ft (assist by M. Harkless),3,3-0,,
11:09.0,,,3-2,2,J. Parker makes 2-pt shot from 8 ft
11:08.0,,,3-2,,Violation by Team (jump ball)
10:48.0,M. Plumlee makes 2-pt shot from 4 ft (assist by M. Harkless),2,5-2,,
10:35.0,,,5-2,,J. Parker misses 3-pt shot from 26 ft
10:33.0,,,5-2,,Offensive rebound by M. Dellavedova
10:30.0,,,5-2,,G. Antetokounmpo misses 3-pt shot from 26 ft
10:29.0,Defensive rebound by M. Plumlee,,5-2,,
10:20.0,C. McCollum makes 2-pt shot from 16 ft (assist by M. Plumlee),2,7-2,,
10:05.0,,,7-4,2,J. Parker makes 2-pt shot from 5 ft (assist by M. Dellavedova)
9:46.0,M. Harkless makes 3-pt shot from 24 ft (assist by D. Lillard),3,10-4,,
9:20.0,,,10-4,,Turnover by G. Antetokounmpo (bad pass; steal by M. Harkless)
9:06.0,C. McCollum misses 3-pt shot from 27 ft,,10-4,,
9:05.0,,,10-4,,Defensive rebound by M. Dellavedova
9:00.0,,,10-4,,M. Dellavedova misses 2-pt shot from 1 ft
8:58.0,,,10-4,,Offensive rebound by G. Antetokounmpo
8:58.0,,,10-6,2,G. Antetokounmpo makes 2-pt shot at rim
8:42.0,,,10-6,,Shooting block foul by M. Dellavedova (drawn by D. Lillard)
8:42.0,D. Lillard makes free throw 1 of 2,1,11-6,,
8:42.0,D. Lillard makes free throw 2 of 2,1,12-6,,
8:31.0,,,12-6,,J. Parker misses 2-pt shot from 18 ft
8:30.0,Defensive rebound by D. Lillard,,12-6,,
8:21.0,M. Plumlee misses 2-pt shot from 5 ft,,12-6,,
8:20.0,,,12-6,,Defensive rebound by M. Dellavedova
8:13.0,,,12-8,2,G. Antetokounmpo makes 2-pt shot from 2 ft
8:03.0,M. Harkless makes 2-pt shot at rim (assist by D. Lillard),2,14-8,,
7:56.0,,,14-8,,Turnover by M. Dellavedova (bad pass; steal by M. Harkless)
7:52.0,M. Harkless misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,14-8,,
7:52.0,Offensive rebound by Team,,14-8,,
7:43.0,D. Lillard makes 3-pt shot from 25 ft (assist by M. Plumlee),3,17-8,,
7:25.0,,,17-8,,M. Dellavedova misses 3-pt shot from 24 ft
7:24.0,Defensive rebound by M. Plumlee,,17-8,,
7:18.0,D. Lillard misses 3-pt shot from 30 ft,,17-8,,
7:17.0,,,17-8,,Defensive rebound by J. Henson
7:11.0,,,17-8,,G. Antetokounmpo misses 3-pt shot from 25 ft
7:09.0,Defensive rebound by E. Davis,,17-8,,
7:00.0,Turnover by Team (5 sec),,17-8,,
6:45.0,,,17-10,2,J. Parker makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
6:26.0,M. Harkless misses 3-pt shot from 25 ft,,17-10,,
6:25.0,,,17-10,,Defensive rebound by T. Snell
6:19.0,,,17-10,,Turnover by M. Dellavedova (bad pass; steal by M. Plumlee)
6:07.0,M. Harkless misses 3-pt shot from 25 ft,,17-10,,
6:06.0,,,17-10,,Defensive rebound by G. Antetokounmpo
6:01.0,,,17-12,2,G. Antetokounmpo makes 2-pt shot at rim
5:46.0,Turnover by M. Harkless (traveling),,17-12,,
5:46.0,,,17-12,,Milwaukee full timeout
5:46.0,,,17-12,,G. Monroe enters the game for G. Antetokounmpo
5:46.0,,,17-12,,M. Beasley enters the game for J. Henson
5:31.0,,,17-14,2,G. Monroe makes 2-pt shot from 5 ft
5:13.0,M. Plumlee misses 2-pt shot from 4 ft,,17-14,,
5:12.0,,,17-14,,Defensive rebound by G. Monroe
5:10.0,,,17-14,,Turnover by G. Monroe (bad pass; steal by M. Harkless)
5:07.0,M. Harkless makes 2-pt shot at rim,2,19-14,,
4:45.0,,,19-16,2,G. Monroe makes 2-pt shot from 6 ft
4:27.0,M. Harkless misses 2-pt shot at rim,,19-16,,
4:25.0,Offensive rebound by E. Davis,,19-16,,
4:24.0,E. Davis misses 2-pt shot from 1 ft,,19-16,,
4:22.0,,,19-16,,Defensive rebound by M. Beasley
4:15.0,,,19-19,3,M. Dellavedova makes 3-pt shot from 25 ft (assist by T. Snell)
3:44.0,D. Lillard makes 2-pt shot from 9 ft,2,21-19,,
3:28.0,,,21-19,,Shooting foul by E. Davis (drawn by J. Parker)
3:28.0,,,21-20,1,J. Parker makes free throw 1 of 2
3:28.0,,,21-20,,J. Parker misses free throw 2 of 2
3:28.0,,,21-20,,M. Brogdon enters the game for M. Dellavedova
3:28.0,A. Aminu enters the game for M. Harkless,,21-20,,
3:28.0,A. Crabbe enters the game for M. Plumlee,,21-20,,
3:28.0,E. Turner enters the game for C. McCollum,,21-20,,
3:16.0,Defensive rebound by E. Davis,,21-20,,
3:12.0,E. Davis makes 2-pt shot at rim (assist by A. Aminu),2,23-20,,
