time,Orlando,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. N. Vucevic (A. Horford gains possession),,,,Jump ball: A. Johnson vs. N. Vucevic (A. Horford gains possession)
11:39.0,,,0-0,,J. Brown misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by N. Vucevic,,0-0,,
11:21.0,A. Gordon misses 2-pt shot from 11 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by J. Brown
11:15.0,,,0-0,,Shooting foul by N. Vucevic (drawn by I. Thomas)
11:15.0,,,0-1,1,I. Thomas makes free throw 1 of 2
11:15.0,,,0-1,,I. Thomas misses free throw 2 of 2
11:15.0,Defensive rebound by A. Gordon,,0-1,,
10:57.0,T. Ross misses 3-pt shot from 26 ft,,0-1,,
10:56.0,,,0-1,,Defensive rebound by A. Johnson
10:46.0,,,0-1,,Turnover by A. Horford (lost ball; steal by E. Payton)
10:40.0,Turnover by E. Payton (lost ball; steal by I. Thomas),,0-1,,
10:39.0,Personal take foul by E. Fournier (drawn by I. Thomas),,0-1,,
10:25.0,,,0-4,3,J. Brown makes 3-pt shot from 24 ft (assist by I. Thomas)
10:18.0,E. Fournier makes 3-pt shot from 25 ft (assist by E. Payton),3,3-4,,
9:59.0,,,3-4,,J. Brown misses 2-pt shot from 19 ft
9:58.0,Defensive rebound by A. Gordon,,3-4,,
9:48.0,A. Gordon makes 2-pt shot from 19 ft,2,5-4,,
9:29.0,,,5-4,,A. Horford misses 2-pt shot from 9 ft
9:28.0,Defensive rebound by E. Payton,,5-4,,
9:18.0,A. Gordon makes 2-pt shot from 1 ft (assist by E. Payton),2,7-4,,
9:05.0,,,7-4,,Shooting foul by N. Vucevic (drawn by A. Johnson)
9:05.0,,,7-4,,A. Johnson misses free throw 1 of 3
9:05.0,,,7-4,,Offensive rebound by Team
9:05.0,,,7-5,1,A. Johnson makes free throw 2 of 3
9:05.0,,,7-6,1,A. Johnson makes free throw 3 of 3
9:05.0,B. Biyombo enters the game for N. Vucevic,,7-5,,
8:51.0,A. Gordon makes 3-pt shot from 26 ft (assist by E. Payton),3,10-6,,
8:37.0,,,10-6,,J. Crowder misses 3-pt shot from 25 ft
8:36.0,Defensive rebound by B. Biyombo,,10-6,,
8:25.0,E. Payton makes 2-pt shot from 2 ft,2,12-6,,
8:20.0,,,12-6,,Boston full timeout
8:20.0,,,12-6,,J. Jerebko enters the game for A. Johnson
8:11.0,,,12-6,,I. Thomas misses 2-pt shot from 15 ft
8:10.0,Defensive rebound by B. Biyombo,,12-6,,
