time,Sacramento,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. S. Mejri (B. McLemore gains possession),,,,Jump ball: K. Koufos vs. S. Mejri (B. McLemore gains possession)
11:35.0,Offensive charge foul by D. Cousins,,0-0,,
11:35.0,Turnover by D. Cousins (offensive foul),,0-0,,
11:11.0,,,0-0,,H. Barnes misses 3-pt shot from 26 ft
11:10.0,Defensive rebound by K. Koufos,,0-0,,
10:54.0,R. Gay misses 2-pt shot from 14 ft,,0-0,,
10:52.0,,,0-0,,Defensive rebound by S. Mejri
10:42.0,,,0-3,3,D. Finney-Smith makes 3-pt shot from 25 ft (assist by D. Williams)
10:24.0,B. McLemore misses 3-pt shot from 24 ft,,0-3,,
10:23.0,,,0-3,,Defensive rebound by S. Mejri
10:09.0,,,0-3,,S. Mejri misses 2-pt shot from 1 ft
10:08.0,Defensive rebound by K. Koufos,,0-3,,
9:59.0,D. Cousins makes 3-pt shot from 25 ft (assist by D. Collison),3,3-3,,
9:39.0,,,3-3,,Turnover by D. Finney-Smith (step out of bounds)
9:19.0,R. Gay makes 2-pt shot from 8 ft,2,5-3,,
9:00.0,,,5-3,,H. Barnes misses 2-pt shot from 8 ft
8:59.0,Defensive rebound by D. Cousins,,5-3,,
8:37.0,D. Cousins misses 2-pt shot from 18 ft,,5-3,,
8:36.0,,,5-3,,Defensive rebound by S. Mejri
8:27.0,,,5-3,,H. Barnes misses 3-pt shot from 25 ft
8:26.0,,,5-3,,Offensive rebound by S. Mejri
8:14.0,,,5-6,3,D. Finney-Smith makes 3-pt shot from 25 ft (assist by D. Williams)
8:01.0,B. McLemore misses 2-pt shot from 6 ft,,5-6,,
7:59.0,Offensive rebound by D. Cousins,,5-6,,
7:59.0,D. Cousins makes 2-pt shot from 1 ft,2,7-6,,
7:59.0,,,7-6,,Turnover by S. Mejri (inbound)
7:54.0,D. Cousins misses 2-pt shot at rim,,7-6,,
7:53.0,,,7-6,,Defensive rebound by D. Finney-Smith
7:48.0,,,7-6,,H. Barnes misses 2-pt shot from 2 ft
7:46.0,Defensive rebound by R. Gay,,7-6,,
7:42.0,Shooting foul by D. Williams (drawn by B. McLemore),,7-6,,
7:42.0,B. McLemore makes free throw 1 of 2,1,8-6,,
7:42.0,B. McLemore makes free throw 2 of 2,1,9-6,,
7:36.0,,,9-6,,Offensive foul by H. Barnes
7:36.0,,,9-6,,Turnover by H. Barnes (offensive foul)
7:20.0,B. McLemore misses 3-pt shot from 26 ft,,9-6,,
7:19.0,,,9-6,,Defensive rebound by D. Finney-Smith
7:11.0,,,9-8,2,D. Finney-Smith makes 2-pt shot from 1 ft (assist by D. Williams)
7:00.0,D. Collison misses 2-pt shot from 16 ft,,9-8,,
6:57.0,,,9-8,,Defensive rebound by D. Finney-Smith
6:37.0,,,9-11,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Finney-Smith)
6:32.0,,,9-11,,Personal foul by D. Williams (drawn by D. Collison)
6:32.0,,,9-11,,J. Gibson enters the game for D. Williams
6:24.0,B. McLemore makes 2-pt shot from 2 ft (assist by R. Gay),2,11-11,,
6:07.0,Personal foul by B. McLemore (drawn by W. Matthews),,11-11,,
