time,Washington,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Henson (O. Porter gains possession),,,,Jump ball: M. Gortat vs. J. Henson (O. Porter gains possession)
11:42.0,M. Gortat misses 2-pt shot from 8 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by J. Parker
11:34.0,,,0-0,,T. Snell misses 3-pt shot from 23 ft
11:33.0,,,0-0,,Offensive rebound by J. Henson
11:25.0,,,0-3,3,T. Snell makes 3-pt shot from 23 ft (assist by J. Parker)
11:08.0,O. Porter makes 3-pt shot from 26 ft (assist by M. Gortat),3,3-3,,
10:51.0,,,3-3,,M. Dellavedova misses 3-pt shot from 27 ft
10:49.0,Defensive rebound by J. Wall,,3-3,,
10:33.0,M. Morris misses 2-pt shot from 14 ft,,3-3,,
10:32.0,Offensive rebound by B. Beal,,3-3,,
10:31.0,B. Beal misses 2-pt shot at rim,,3-3,,
10:30.0,Offensive rebound by O. Porter,,3-3,,
10:29.0,O. Porter misses 2-pt shot from 8 ft,,3-3,,
10:27.0,,,3-3,,Defensive rebound by J. Parker
10:18.0,,,3-5,2,G. Antetokounmpo makes 2-pt shot at rim (assist by T. Snell)
10:01.0,O. Porter makes 2-pt shot from 10 ft (assist by B. Beal),2,5-5,,
9:36.0,,,5-7,2,M. Dellavedova makes 2-pt shot from 7 ft (assist by G. Antetokounmpo)
9:28.0,M. Morris misses 2-pt shot from 15 ft,,5-7,,
9:27.0,,,5-7,,Defensive rebound by T. Snell
9:16.0,,,5-9,2,G. Antetokounmpo makes 2-pt shot from 4 ft
9:00.0,O. Porter makes 3-pt shot from 23 ft (assist by B. Beal),3,8-9,,
8:44.0,,,8-9,,J. Parker misses 3-pt shot from 24 ft
8:42.0,Defensive rebound by M. Gortat,,8-9,,
8:36.0,J. Wall makes 2-pt shot from 17 ft,2,10-9,,
8:24.0,,,10-11,2,G. Antetokounmpo makes 2-pt shot from 18 ft
8:03.0,J. Wall misses 3-pt shot from 27 ft,,10-11,,
8:02.0,,,10-11,,Defensive rebound by G. Antetokounmpo
7:54.0,,,10-13,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
7:44.0,B. Beal misses 2-pt shot from 3 ft (block by J. Parker),,10-13,,
7:42.0,,,10-13,,Defensive rebound by J. Parker
7:23.0,,,10-13,,J. Parker misses 3-pt shot from 23 ft
7:21.0,Defensive rebound by M. Morris,,10-13,,
7:13.0,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall),3,13-13,,
6:55.0,,,13-13,,G. Antetokounmpo misses 2-pt shot from 20 ft
6:54.0,Defensive rebound by M. Gortat,,13-13,,
6:47.0,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall),3,16-13,,
6:46.0,,,16-13,,Milwaukee full timeout
6:46.0,,,16-13,,M. Brogdon enters the game for J. Henson
6:46.0,,,16-13,,G. Monroe enters the game for M. Dellavedova
6:25.0,,,16-15,2,G. Antetokounmpo makes 2-pt shot from 6 ft
6:06.0,Turnover by M. Gortat (bad pass; steal by J. Parker),,16-15,,
6:03.0,,,16-15,,Shooting foul by M. Gortat (drawn by J. Parker)
6:03.0,,,16-16,1,J. Parker makes free throw 1 of 2
6:03.0,,,16-17,1,J. Parker makes free throw 2 of 2
6:03.0,,,16-16,,M. Teletovic enters the game for G. Antetokounmpo
5:48.0,M. Morris misses 3-pt shot from 23 ft,,16-17,,
5:47.0,,,16-17,,Defensive rebound by M. Brogdon
5:33.0,,,16-19,2,J. Parker makes 2-pt shot at rim (assist by T. Snell)
5:14.0,Shooting foul by J. Parker (drawn by M. Morris),,16-19,,
5:14.0,M. Morris makes free throw 1 of 2,1,17-19,,
5:14.0,M. Morris makes free throw 2 of 2,1,18-19,,
5:03.0,,,18-21,2,T. Snell makes 2-pt shot from 13 ft (assist by M. Brogdon)
4:50.0,M. Morris makes 2-pt shot at rim (assist by J. Wall),2,20-21,,
4:27.0,,,20-21,,M. Teletovic misses 3-pt shot from 28 ft
4:26.0,Defensive rebound by M. Gortat,,20-21,,
4:12.0,M. Gortat misses 2-pt shot from 7 ft,,20-21,,
4:11.0,,,20-21,,Defensive rebound by G. Monroe
3:56.0,,,20-24,3,M. Brogdon makes 3-pt shot from 26 ft (assist by J. Parker)
3:45.0,Turnover by J. Wall (bad pass; steal by J. Parker),,20-24,,
3:45.0,Personal foul by O. Porter (drawn by J. Parker),,20-24,,
3:45.0,K. Oubre enters the game for O. Porter,,20-24,,
3:36.0,,,20-26,2,M. Brogdon makes 2-pt shot from 4 ft
3:34.0,Washington full timeout,,20-26,,
3:34.0,S. Mac enters the game for M. Morris,,20-26,,
3:19.0,M. Gortat misses 2-pt shot from 1 ft (block by G. Monroe),,20-26,,
3:17.0,Offensive rebound by M. Gortat,,20-26,,
3:10.0,B. Beal misses 2-pt shot from 17 ft,,20-26,,
3:07.0,,,20-26,,Defensive rebound by G. Monroe
2:54.0,,,20-26,,Turnover by M. Brogdon (lost ball; steal by K. Oubre)
2:49.0,J. Wall misses 2-pt shot from 1 ft (block by J. Parker),,20-26,,
2:47.0,,,20-26,,Defensive rebound by T. Snell
2:44.0,,,20-28,2,T. Snell makes 2-pt shot from 2 ft
2:33.0,K. Oubre makes 3-pt shot from 24 ft (assist by B. Beal),3,23-28,,
2:08.0,,,23-28,,M. Teletovic misses 2-pt shot from 15 ft
2:07.0,Defensive rebound by J. Wall,,23-28,,
2:00.0,J. Wall makes 2-pt shot at rim,2,25-28,,
1:37.0,,,25-30,2,M. Brogdon makes 2-pt shot from 1 ft (assist by J. Parker)
1:24.0,B. Beal makes 2-pt shot from 11 ft (assist by J. Wall),2,27-30,,
1:09.0,Personal foul by S. Mac (drawn by J. Parker),,27-30,,
1:09.0,,,27-30,,G. Antetokounmpo enters the game for J. Parker
1:09.0,,,27-30,,J. Terry enters the game for T. Snell
1:07.0,Personal foul by K. Oubre (drawn by G. Antetokounmpo),,27-30,,
1:07.0,,,27-31,1,G. Antetokounmpo makes free throw 1 of 2
1:07.0,,,27-32,1,G. Antetokounmpo makes free throw 2 of 2
1:07.0,M. Thornton enters the game for B. Beal,,27-30,,
0:48.0,J. Wall makes 2-pt shot from 14 ft,2,29-32,,
0:31.0,,,29-34,2,G. Monroe makes 2-pt shot at rim (assist by M. Brogdon)
0:07.0,J. Wall misses 2-pt shot from 5 ft,,29-34,,
0:06.0,,,29-34,,Defensive rebound by G. Monroe
0:02.0,,,29-37,3,J. Terry makes 3-pt shot from 27 ft (assist by G. Monroe)
0:00.0,S. Mac misses 3-pt shot from 40 ft,,29-37,,
0:00.0,Offensive rebound by Team,,29-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,29-39,2,G. Antetokounmpo makes 2-pt shot from 2 ft
11:23.0,S. Mac misses 3-pt shot from 25 ft,,29-39,,
11:20.0,,,29-39,,Defensive rebound by G. Monroe
11:17.0,,,29-41,2,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe)
10:59.0,,,29-41,,Personal foul by G. Antetokounmpo (drawn by S. Mac)
10:48.0,M. Morris makes 3-pt shot from 26 ft (assist by T. Burke),3,32-41,,
10:37.0,,,32-41,,M. Dellavedova enters the game for M. Brogdon
10:37.0,J. Smith enters the game for M. Gortat,,32-41,,
10:29.0,,,32-43,2,G. Monroe makes 2-pt shot from 3 ft
10:23.0,Offensive foul by J. Smith,,32-43,,
10:23.0,Turnover by J. Smith (offensive foul),,32-43,,
10:08.0,,,32-45,2,G. Monroe makes 2-pt shot from 1 ft
9:53.0,M. Morris misses 2-pt shot from 1 ft (block by M. Teletovic),,32-45,,
9:51.0,,,32-45,,Defensive rebound by J. Terry
9:32.0,,,32-45,,M. Teletovic misses 3-pt shot from 24 ft
9:31.0,Defensive rebound by S. Mac,,32-45,,
9:26.0,T. Burke makes 2-pt shot at rim,2,34-45,,
9:15.0,,,34-47,2,G. Monroe makes 2-pt shot at rim (assist by M. Dellavedova)
9:15.0,Washington full timeout,,34-47,,
9:01.0,M. Morris makes 2-pt shot from 15 ft,2,36-47,,
8:43.0,,,36-47,,Offensive foul by G. Monroe
8:43.0,,,36-47,,Turnover by G. Monroe (offensive foul)
8:29.0,M. Morris misses 2-pt shot from 6 ft,,36-47,,
8:28.0,,,36-47,,Defensive rebound by G. Monroe
8:18.0,,,36-47,,Shooting foul by M. Morris (drawn by G. Antetokounmpo)
8:18.0,,,36-48,1,G. Antetokounmpo makes free throw 1 of 2
8:18.0,,,36-49,1,G. Antetokounmpo makes free throw 2 of 2
8:18.0,,,36-48,,J. Parker enters the game for M. Teletovic
8:05.0,M. Thornton misses 3-pt shot from 26 ft,,36-49,,
8:04.0,,,36-49,,Defensive rebound by G. Monroe
7:59.0,,,36-52,3,J. Terry makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
7:54.0,Washington full timeout,,36-52,,
7:54.0,J. Wall enters the game for M. Thornton,,36-52,,
7:54.0,B. Beal enters the game for T. Burke,,36-52,,
7:43.0,Turnover by B. Beal (bad pass; steal by G. Monroe),,36-52,,
7:39.0,,,36-54,2,J. Parker makes 2-pt shot at rim (assist by G. Monroe)
7:13.0,Turnover by Team (shot clock),,36-54,,
7:13.0,,,36-54,,T. Snell enters the game for J. Terry
7:13.0,O. Porter enters the game for S. Mac,,36-54,,
6:55.0,,,36-54,,Shooting foul by J. Smith (drawn by G. Monroe)
6:55.0,,,36-55,1,G. Monroe makes free throw 1 of 2
6:55.0,,,36-56,1,G. Monroe makes free throw 2 of 2
6:55.0,M. Gortat enters the game for J. Smith,,36-55,,
