time,San Antonio,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Dedmon (L. Aldridge gains possession),,,,Jump ball: A. Bogut vs. D. Dedmon (L. Aldridge gains possession)
11:36.0,L. Aldridge misses 2-pt shot from 14 ft,,0-0,,
11:35.0,Offensive rebound by D. Dedmon,,0-0,,
11:30.0,D. Green misses 2-pt shot from 14 ft,,0-0,,
11:29.0,Offensive rebound by L. Aldridge,,0-0,,
11:16.0,K. Leonard misses 2-pt shot from 17 ft,,0-0,,
11:14.0,,,0-0,,Defensive rebound by D. Williams
11:04.0,Personal foul by N. Laprovittola (drawn by D. Williams),,0-0,,
10:53.0,,,0-0,,D. Finney-Smith misses 2-pt shot from 1 ft (block by D. Dedmon)
10:52.0,Defensive rebound by K. Leonard,,0-0,,
10:47.0,N. Laprovittola makes 2-pt shot from 1 ft (assist by K. Leonard),2,2-0,,
10:33.0,,,2-2,2,D. Williams makes 2-pt shot from 1 ft (assist by A. Bogut)
10:07.0,L. Aldridge misses 2-pt shot from 21 ft,,2-2,,
10:06.0,,,2-2,,Defensive rebound by D. Williams
9:54.0,,,2-4,2,H. Barnes makes 2-pt shot at rim (assist by A. Bogut)
9:52.0,San Antonio full timeout,,2-4,,
9:39.0,Shooting foul by D. Finney-Smith (drawn by K. Leonard),,2-4,,
9:39.0,K. Leonard misses free throw 1 of 2,,2-4,,
9:39.0,Offensive rebound by Team,,2-4,,
9:39.0,K. Leonard makes free throw 2 of 2,1,3-4,,
9:13.0,,,3-7,3,W. Matthews makes 3-pt shot from 23 ft (assist by A. Bogut)
8:59.0,K. Leonard makes 2-pt shot from 18 ft,2,5-7,,
8:44.0,,,5-7,,D. Williams misses 3-pt shot from 25 ft
8:43.0,,,5-7,,Offensive rebound by D. Finney-Smith
8:22.0,,,5-10,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Finney-Smith)
7:53.0,D. Dedmon makes 2-pt shot from 19 ft,2,7-10,,
7:42.0,,,7-10,,D. Williams misses 2-pt shot from 14 ft
7:41.0,Defensive rebound by N. Laprovittola,,7-10,,
7:20.0,N. Laprovittola misses 3-pt shot from 26 ft,,7-10,,
7:19.0,,,7-10,,Defensive rebound by A. Bogut
6:59.0,,,7-13,3,H. Barnes makes 3-pt shot from 25 ft (assist by D. Williams)
6:38.0,D. Green makes 3-pt shot from 26 ft (assist by L. Aldridge),3,10-13,,
6:19.0,,,10-13,,W. Matthews misses 2-pt shot from 12 ft
6:18.0,Defensive rebound by L. Aldridge,,10-13,,
5:56.0,K. Leonard misses 2-pt shot from 11 ft,,10-13,,
5:56.0,,,10-13,,Defensive rebound by A. Bogut
5:56.0,Loose ball foul by N. Laprovittola (drawn by A. Bogut),,10-13,,
5:56.0,,,10-13,,D. Powell enters the game for D. Finney-Smith
5:56.0,,,10-13,,D. Harris enters the game for A. Bogut
5:56.0,P. Mills enters the game for K. Leonard,,10-13,,
5:56.0,D. Lee enters the game for L. Aldridge,,10-13,,
5:56.0,D. Bertans enters the game for D. Dedmon,,10-13,,
5:56.0,K. Anderson enters the game for D. Green,,10-13,,
5:56.0,J. Simmons enters the game for N. Laprovittola,,10-13,,
5:40.0,,,10-13,,D. Powell misses 2-pt shot from 1 ft (block by D. Lee)
5:38.0,Defensive rebound by P. Mills,,10-13,,
5:31.0,P. Mills makes 2-pt shot from 1 ft,2,12-13,,
5:13.0,,,12-13,,H. Barnes misses 3-pt shot from 24 ft
5:13.0,,,12-13,,Offensive rebound by D. Williams
5:07.0,,,12-13,,D. Harris misses 3-pt shot from 25 ft
5:07.0,,,12-13,,Offensive rebound by D. Powell
5:00.0,Violation by K. Anderson (kicked ball),,12-13,,
4:54.0,,,12-15,2,W. Matthews makes 2-pt shot from 15 ft (assist by D. Williams)
4:44.0,J. Simmons misses 2-pt shot from 13 ft,,12-15,,
4:43.0,Offensive rebound by K. Anderson,,12-15,,
4:39.0,K. Anderson makes 2-pt shot from 4 ft,2,14-15,,
4:26.0,,,14-15,,W. Matthews misses 2-pt shot from 24 ft
4:24.0,Defensive rebound by D. Lee,,14-15,,
4:14.0,,,14-15,,Violation by D. Harris (kicked ball)
4:01.0,P. Mills misses 2-pt shot from 14 ft,,14-15,,
4:00.0,,,14-15,,Defensive rebound by D. Harris
3:45.0,,,14-15,,Turnover by W. Matthews (bad pass; steal by P. Mills)
3:45.0,,,14-15,,Loose ball foul by D. Williams (drawn by J. Simmons)
3:45.0,,,14-15,,A. Bogut enters the game for D. Williams
3:45.0,,,14-15,,S. Curry enters the game for H. Barnes
3:40.0,Turnover by P. Mills (bad pass),,14-15,,
3:24.0,,,14-15,,Turnover by D. Powell (traveling)
3:13.0,Offensive foul by D. Lee,,14-15,,
3:13.0,Turnover by D. Lee (offensive foul),,14-15,,
3:13.0,,,14-15,,Dallas full timeout
2:59.0,,,14-15,,D. Harris misses 2-pt shot from 1 ft (block by J. Simmons)
2:59.0,Defensive rebound by Team,,14-15,,
2:41.0,D. Lee misses 2-pt shot from 2 ft,,14-15,,
2:39.0,,,14-15,,Defensive rebound by W. Matthews
2:23.0,,,14-15,,Offensive foul by A. Bogut
2:23.0,,,14-15,,Turnover by A. Bogut (offensive foul)
2:16.0,D. Bertans makes 3-pt shot from 25 ft (assist by K. Anderson),3,17-15,,
1:50.0,,,17-15,,W. Matthews misses 3-pt shot from 25 ft
1:49.0,Defensive rebound by D. Lee,,17-15,,
1:41.0,Shooting foul by D. Powell (drawn by D. Bertans),,17-15,,
1:41.0,D. Bertans makes free throw 1 of 2,1,18-15,,
