time,Cleveland,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. M. Turner (T. Young gains possession),,,,Jump ball: T. Thompson vs. M. Turner (T. Young gains possession)
11:43.0,,,0-2,2,T. Young makes 2-pt shot from 1 ft (assist by J. Teague)
11:29.0,I. Shumpert makes 2-pt shot from 2 ft,2,2-2,,
11:10.0,,,2-4,2,P. George makes 2-pt shot from 10 ft
10:54.0,K. Love misses 2-pt shot from 16 ft,,2-4,,
10:53.0,,,2-4,,Defensive rebound by M. Turner
10:46.0,,,2-4,,T. Young misses 2-pt shot from 3 ft
10:46.0,Defensive rebound by K. Love,,2-4,,
10:33.0,K. Love makes 2-pt shot from 2 ft,2,4-4,,
10:33.0,Shooting foul by T. Young (drawn by K. Love),,4-4,,
10:33.0,K. Love makes free throw 1 of 1,1,5-4,,
10:13.0,,,5-4,,T. Young misses 2-pt shot from 1 ft
10:13.0,Defensive rebound by K. Love,,5-4,,
9:57.0,K. Irving makes 2-pt shot from 1 ft,2,7-4,,
9:40.0,,,7-4,,M. Turner misses 2-pt shot from 21 ft
9:39.0,Defensive rebound by R. Jefferson,,7-4,,
9:28.0,I. Shumpert misses 2-pt shot from 16 ft,,7-4,,
9:28.0,,,7-4,,Defensive rebound by T. Young
9:20.0,,,7-4,,P. George misses 3-pt shot from 26 ft
9:19.0,Defensive rebound by K. Love,,7-4,,
9:04.0,Turnover by K. Love (lost ball; steal by P. George),,7-4,,
8:58.0,,,7-4,,P. George misses 3-pt shot from 26 ft
8:58.0,Defensive rebound by T. Thompson,,7-4,,
8:54.0,Turnover by I. Shumpert (bad pass),,7-4,,
8:41.0,,,7-6,2,M. Turner makes 2-pt shot from 10 ft (assist by J. Teague)
8:23.0,R. Jefferson misses 3-pt shot from 23 ft,,7-6,,
8:20.0,Offensive rebound by K. Love,,7-6,,
8:17.0,K. Irving misses 3-pt shot from 26 ft,,7-6,,
8:16.0,,,7-6,,Defensive rebound by T. Young
8:12.0,,,7-8,2,T. Young makes 2-pt shot from 1 ft
7:49.0,K. Love misses 2-pt shot from 8 ft,,7-8,,
7:47.0,,,7-8,,Defensive rebound by M. Ellis
7:30.0,,,7-10,2,M. Turner makes 2-pt shot from 13 ft (assist by P. George)
7:08.0,K. Irving misses 3-pt shot from 27 ft,,7-10,,
7:08.0,,,7-10,,Defensive rebound by T. Young
6:58.0,,,7-13,3,J. Teague makes 3-pt shot from 26 ft
6:57.0,Cleveland full timeout,,7-13,,
6:46.0,I. Shumpert misses 2-pt shot from 20 ft,,7-13,,
6:45.0,,,7-13,,Defensive rebound by M. Turner
