time,Washington,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. M. Plumlee (J. Wall gains possession),,,,Jump ball: M. Gortat vs. M. Plumlee (J. Wall gains possession)
11:44.0,M. Gortat makes 2-pt shot from 7 ft,2,2-0,,
11:18.0,,,2-0,,Turnover by Team (shot clock)
11:08.0,B. Beal misses 3-pt shot from 25 ft,,2-0,,
11:06.0,,,2-0,,Defensive rebound by M. Plumlee
11:01.0,,,2-2,2,R. Baker makes 2-pt shot from 2 ft
10:42.0,Shooting foul by M. Plumlee (drawn by J. Smith),,2-2,,
10:42.0,J. Smith makes free throw 1 of 2,1,3-2,,
10:42.0,J. Smith makes free throw 2 of 2,1,4-2,,
10:28.0,,,4-4,2,R. Baker makes 2-pt shot from 22 ft
10:10.0,M. Gortat makes 2-pt shot from 4 ft,2,6-4,,
9:57.0,,,6-6,2,C. Anthony makes 2-pt shot from 20 ft
9:54.0,,,6-6,,Violation by Team (jump ball)
9:39.0,O. Porter misses 2-pt shot from 19 ft,,6-6,,
9:37.0,,,6-6,,Defensive rebound by W. Hernangomez
9:25.0,,,6-8,2,W. Hernangomez makes 2-pt shot from 12 ft (assist by M. Plumlee)
9:19.0,B. Beal misses 2-pt shot from 2 ft,,6-8,,
9:17.0,,,6-8,,Defensive rebound by W. Hernangomez
9:14.0,,,6-8,,Turnover by W. Hernangomez (lost ball; steal by B. Beal)
9:06.0,J. Wall makes 2-pt shot from 3 ft,2,8-8,,
8:54.0,,,8-11,3,C. Anthony makes 3-pt shot from 25 ft (assist by C. Lee)
8:35.0,J. Smith misses 3-pt shot from 24 ft,,8-11,,
8:33.0,Offensive rebound by O. Porter,,8-11,,
8:31.0,O. Porter makes 2-pt shot from 12 ft,2,10-11,,
8:16.0,,,10-14,3,C. Lee makes 3-pt shot from 25 ft (assist by W. Hernangomez)
7:54.0,Shooting foul by M. Plumlee (drawn by B. Beal),,10-14,,
7:54.0,B. Beal makes free throw 1 of 2,1,11-14,,
7:54.0,B. Beal makes free throw 2 of 2,1,12-14,,
7:39.0,,,12-14,,C. Anthony misses 2-pt shot from 19 ft
7:37.0,Defensive rebound by J. Smith,,12-14,,
7:23.0,J. Smith makes 3-pt shot from 24 ft (assist by J. Wall),3,15-14,,
7:14.0,,,15-14,,Turnover by R. Baker (bad pass; steal by B. Beal)
7:10.0,B. Beal makes 2-pt shot at rim,2,17-14,,
6:48.0,,,17-14,,C. Lee misses 3-pt shot from 24 ft
6:46.0,Defensive rebound by O. Porter,,17-14,,
6:40.0,Turnover by J. Wall (lost ball; steal by M. Plumlee),,17-14,,
6:33.0,,,17-14,,R. Baker misses 3-pt shot from 24 ft
6:31.0,,,17-14,,Offensive rebound by M. Plumlee
6:25.0,,,17-14,,Turnover by R. Baker (bad pass; steal by J. Smith)
6:10.0,J. Smith misses 3-pt shot from 24 ft,,17-14,,
6:08.0,,,17-14,,Defensive rebound by C. Anthony
6:01.0,,,17-14,,C. Anthony misses 2-pt shot from 19 ft
6:00.0,Defensive rebound by O. Porter,,17-14,,
5:54.0,J. Wall makes 3-pt shot from 24 ft,3,20-14,,
5:53.0,,,20-14,,New York full timeout
5:53.0,,,20-14,,M. Ndour enters the game for M. Plumlee
5:35.0,,,20-14,,W. Hernangomez misses 2-pt shot from 2 ft (block by J. Smith)
5:34.0,,,20-14,,Offensive rebound by Team
5:29.0,,,20-14,,R. Baker misses 2-pt shot from 16 ft
5:27.0,Defensive rebound by J. Smith,,20-14,,
5:09.0,O. Porter makes 3-pt shot from 23 ft (assist by J. Smith),3,23-14,,
4:51.0,,,23-14,,C. Lee misses 3-pt shot from 24 ft
4:49.0,,,23-14,,Offensive rebound by M. Ndour
4:46.0,,,23-14,,W. Hernangomez misses 2-pt shot from 2 ft
4:44.0,,,23-14,,Offensive rebound by C. Lee
4:44.0,,,23-14,,C. Lee misses 2-pt shot from 1 ft
4:43.0,Defensive rebound by B. Beal,,23-14,,
4:38.0,O. Porter misses 3-pt shot from 26 ft,,23-14,,
4:37.0,Offensive rebound by J. Smith,,23-14,,
4:35.0,Turnover by J. Smith (bad pass; steal by C. Lee),,23-14,,
4:31.0,,,23-14,,C. Anthony misses 3-pt shot from 24 ft
4:30.0,,,23-14,,Offensive rebound by W. Hernangomez
4:29.0,,,23-16,2,W. Hernangomez makes 2-pt shot from 1 ft
4:29.0,,,23-16,,Shooting foul by J. Smith (drawn by W. Hernangomez)
4:29.0,,,23-17,1,W. Hernangomez makes free throw 1 of 1
4:29.0,,,23-16,,J. Holiday enters the game for C. Lee
4:19.0,,,23-17,,Personal foul by C. Anthony (drawn by O. Porter)
4:09.0,J. Wall makes 3-pt shot from 25 ft (assist by M. Gortat),3,26-17,,
3:53.0,,,26-19,2,R. Baker makes 2-pt shot from 2 ft (assist by C. Anthony)
3:47.0,B. Beal makes 3-pt shot from 24 ft (assist by J. Wall),3,29-19,,
3:26.0,,,29-19,,W. Hernangomez misses 2-pt shot from 7 ft
3:25.0,Defensive rebound by J. Smith,,29-19,,
3:08.0,J. Wall makes 2-pt shot at rim,2,31-19,,
2:49.0,,,31-19,,Shooting foul by J. Smith (drawn by C. Anthony)
2:49.0,Washington full timeout,,31-19,,
2:49.0,,,31-20,1,C. Anthony makes free throw 1 of 2
2:49.0,,,31-21,1,C. Anthony makes free throw 2 of 2
2:49.0,,,31-19,,K. O'Quinn enters the game for W. Hernangomez
2:49.0,K. Oubre enters the game for J. Smith,,31-19,,
2:49.0,B. Jennings enters the game for J. Wall,,31-19,,
2:24.0,K. Oubre misses 3-pt shot from 24 ft,,31-21,,
2:22.0,,,31-21,,Defensive rebound by K. O'Quinn
2:09.0,,,31-21,,Shooting foul by B. Jennings (drawn by R. Baker)
2:09.0,,,31-22,1,R. Baker makes free throw 1 of 2
2:09.0,,,31-23,1,R. Baker makes free throw 2 of 2
2:09.0,,,31-22,,C. Lee enters the game for C. Anthony
2:09.0,I. Mahinmi enters the game for M. Gortat,,31-22,,
1:47.0,B. Beal misses 3-pt shot from 24 ft,,31-23,,
1:46.0,Offensive rebound by O. Porter,,31-23,,
1:45.0,Turnover by Team (shot clock),,31-23,,
1:45.0,,,31-23,,S. Vujacic enters the game for R. Baker
1:45.0,B. Bogdanovic enters the game for B. Beal,,31-23,,
1:32.0,,,31-23,,Turnover by K. O'Quinn (dbl dribble)
1:23.0,I. Mahinmi makes 2-pt shot at rim (assist by B. Jennings),2,33-23,,
1:06.0,,,33-25,2,C. Lee makes 2-pt shot from 1 ft
0:45.0,O. Porter misses 2-pt shot from 17 ft,,33-25,,
0:43.0,,,33-25,,Defensive rebound by C. Lee
0:32.0,,,33-25,,Turnover by C. Lee (bad pass)
0:26.0,B. Jennings misses 2-pt shot from 19 ft,,33-25,,
0:24.0,,,33-25,,Defensive rebound by M. Ndour
0:03.0,,,33-27,2,C. Lee makes 2-pt shot from 18 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,33-27,,C. Lee misses 3-pt shot from 23 ft
11:39.0,Defensive rebound by B. Jennings,,33-27,,
11:19.0,Turnover by J. Smith (bad pass; steal by M. Ndour),,33-27,,
11:15.0,,,33-27,,Turnover by M. Ndour (bad pass; steal by B. Jennings)
11:10.0,K. Oubre makes 2-pt shot from 2 ft,2,35-27,,
10:54.0,,,35-27,,J. Holiday misses 2-pt shot from 21 ft
10:53.0,Defensive rebound by I. Mahinmi,,35-27,,
10:40.0,B. Bogdanovic misses 3-pt shot from 24 ft (block by K. O'Quinn),,35-27,,
10:38.0,,,35-27,,Defensive rebound by Team
10:23.0,,,35-27,,S. Vujacic misses 2-pt shot from 19 ft
10:21.0,,,35-27,,Offensive rebound by C. Lee
10:20.0,,,35-27,,C. Lee misses 2-pt shot from 2 ft (block by I. Mahinmi)
10:18.0,Defensive rebound by I. Mahinmi,,35-27,,
10:15.0,Turnover by B. Jennings (bad pass; steal by S. Vujacic),,35-27,,
10:08.0,,,35-27,,S. Vujacic misses 2-pt shot from 14 ft
10:07.0,Defensive rebound by J. Smith,,35-27,,
