time,Toronto,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. J. Valanciunas,,,,Jump ball: D. Jordan vs. J. Valanciunas
12:00.0,Violation by Team (jump ball),,0-0,,
11:47.0,,,0-2,2,J. Redick makes 2-pt shot from 23 ft (assist by C. Paul)
11:27.0,J. Valanciunas misses 2-pt shot from 13 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by J. Redick
11:22.0,,,0-2,,Turnover by J. Redick (step out of bounds)
11:06.0,D. DeRozan misses 2-pt shot from 15 ft,,0-2,,
11:05.0,,,0-2,,Defensive rebound by L. Mbah a Moute
10:59.0,,,0-2,,Turnover by C. Paul (bad pass; steal by P. Siakam)
10:49.0,J. Valanciunas misses 2-pt shot at rim,,0-2,,
10:46.0,Offensive rebound by J. Valanciunas,,0-2,,
10:46.0,J. Valanciunas makes 2-pt shot from 1 ft,2,2-2,,
10:33.0,,,2-2,,J. Redick misses 2-pt shot from 5 ft
10:32.0,Defensive rebound by K. Lowry,,2-2,,
10:25.0,N. Powell misses 3-pt shot from 24 ft,,2-2,,
10:23.0,,,2-2,,Defensive rebound by L. Mbah a Moute
10:16.0,,,2-2,,Shooting foul by P. Siakam (drawn by B. Griffin)
10:16.0,,,2-2,,B. Griffin misses free throw 1 of 2
10:16.0,,,2-2,,Offensive rebound by Team
10:16.0,,,2-3,1,B. Griffin makes free throw 2 of 2
9:50.0,P. Siakam misses 2-pt shot from 16 ft,,2-3,,
9:49.0,,,2-3,,Defensive rebound by D. Jordan
9:46.0,Personal foul by P. Siakam (drawn by B. Griffin),,2-3,,
9:46.0,P. Patterson enters the game for P. Siakam,,2-3,,
9:41.0,,,2-3,,J. Redick misses 2-pt shot from 22 ft
9:41.0,Defensive rebound by Team,,2-3,,
9:41.0,,,2-3,,Loose ball foul by B. Griffin (drawn by K. Lowry)
9:20.0,Turnover by D. DeRozan (lost ball; steal by C. Paul),,2-3,,
9:17.0,Violation by D. DeRozan (def goaltending),,2-3,,
9:17.0,,,2-5,2,L. Mbah a Moute makes 2-pt shot from 3 ft
8:53.0,D. DeRozan misses 2-pt shot from 15 ft,,2-5,,
8:51.0,,,2-5,,Defensive rebound by D. Jordan
8:42.0,,,2-7,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
8:24.0,,,2-7,,Violation by D. Jordan (kicked ball)
8:14.0,K. Lowry makes 2-pt shot from 16 ft,2,4-7,,
8:05.0,,,4-7,,B. Griffin misses 2-pt shot from 4 ft
8:03.0,Defensive rebound by J. Valanciunas,,4-7,,
7:54.0,Turnover by N. Powell (lost ball),,4-7,,
7:43.0,,,4-7,,C. Paul misses 3-pt shot from 26 ft
7:42.0,,,4-7,,Offensive rebound by D. Jordan
7:39.0,,,4-7,,D. Jordan misses 2-pt shot at rim (block by J. Valanciunas)
7:36.0,Defensive rebound by D. DeRozan,,4-7,,
7:25.0,Turnover by N. Powell (bad pass; steal by B. Griffin),,4-7,,
7:18.0,,,4-7,,J. Redick misses 3-pt shot from 25 ft
7:16.0,Defensive rebound by J. Valanciunas,,4-7,,
7:08.0,Shooting foul by J. Redick (drawn by J. Valanciunas),,4-7,,
7:08.0,J. Valanciunas makes free throw 1 of 2,1,5-7,,
7:08.0,J. Valanciunas makes free throw 2 of 2,1,6-7,,
6:55.0,,,6-7,,C. Paul misses 3-pt shot from 25 ft
6:54.0,,,6-7,,Offensive rebound by D. Jordan
6:54.0,,,6-7,,Shooting foul by J. Valanciunas (drawn by D. Jordan)
6:54.0,,,6-7,,D. Jordan misses free throw 1 of 2
6:54.0,,,6-7,,Offensive rebound by Team
6:54.0,,,6-8,1,D. Jordan makes free throw 2 of 2
6:36.0,N. Powell misses 2-pt shot from 1 ft (block by D. Jordan),,6-8,,
6:35.0,,,6-8,,Defensive rebound by D. Jordan
6:30.0,,,6-8,,Turnover by L. Mbah a Moute (bad pass)
6:08.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by N. Powell),2,8-8,,
5:55.0,,,8-8,,Turnover by Team (back court)
5:55.0,,,8-8,,LA Clippers full timeout
5:45.0,Turnover by K. Lowry (bad pass; steal by L. Mbah a Moute),,8-8,,
5:29.0,,,8-8,,B. Griffin misses 2-pt shot from 5 ft
5:27.0,,,8-8,,Offensive rebound by B. Griffin
5:13.0,,,8-8,,Turnover by L. Mbah a Moute (bad pass; steal by P. Patterson)
4:58.0,D. DeRozan makes 2-pt shot from 12 ft,2,10-8,,
4:41.0,,,10-8,,B. Griffin misses 2-pt shot from 15 ft
4:40.0,Defensive rebound by J. Valanciunas,,10-8,,
4:33.0,K. Lowry misses 2-pt shot from 2 ft,,10-8,,
4:32.0,,,10-8,,Defensive rebound by C. Paul
4:25.0,,,10-11,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
4:23.0,Toronto full timeout,,10-11,,
4:23.0,,,10-11,,J. Crawford enters the game for J. Redick
4:02.0,D. DeRozan makes 2-pt shot from 5 ft,2,12-11,,
3:42.0,,,12-13,2,C. Paul makes 2-pt shot from 18 ft (assist by B. Griffin)
3:27.0,Shooting foul by D. Jordan (drawn by D. DeRozan),,12-13,,
3:27.0,D. DeRozan makes free throw 1 of 2,1,13-13,,
3:27.0,D. DeRozan makes free throw 2 of 2,1,14-13,,
3:27.0,,,13-13,,W. Johnson enters the game for B. Griffin
3:27.0,T. Ross enters the game for N. Powell,,13-13,,
3:12.0,,,14-13,,D. Jordan misses 2-pt shot from 5 ft
3:10.0,Defensive rebound by J. Valanciunas,,14-13,,
3:01.0,D. DeRozan makes 2-pt shot from 14 ft,2,16-13,,
2:46.0,,,16-15,2,C. Paul makes 2-pt shot from 16 ft
2:19.0,K. Lowry makes 2-pt shot from 17 ft (assist by D. DeRozan),2,18-15,,
2:19.0,Shooting foul by W. Johnson (drawn by K. Lowry),,18-15,,
2:19.0,K. Lowry makes free throw 1 of 1,1,19-15,,
2:19.0,,,18-15,,M. Speights enters the game for D. Jordan
2:19.0,,,18-15,,A. Rivers enters the game for L. Mbah a Moute
2:19.0,L. Nogueira enters the game for J. Valanciunas,,18-15,,
1:57.0,,,19-15,,J. Crawford misses 3-pt shot from 28 ft
1:57.0,Defensive rebound by P. Patterson,,19-15,,
1:47.0,D. DeRozan misses 2-pt shot from 3 ft,,19-15,,
1:46.0,,,19-15,,Defensive rebound by M. Speights
1:36.0,,,19-18,3,C. Paul makes 3-pt shot from 25 ft
1:21.0,P. Patterson misses 3-pt shot from 25 ft,,19-18,,
1:21.0,,,19-18,,Defensive rebound by M. Speights
1:14.0,,,19-18,,LA Clippers full timeout
1:14.0,C. Joseph enters the game for K. Lowry,,19-18,,
1:14.0,,,19-18,,R. Felton enters the game for C. Paul
1:01.0,,,19-20,2,J. Crawford makes 2-pt shot from 2 ft (assist by A. Rivers)
0:49.0,Offensive foul by L. Nogueira,,19-20,,
0:49.0,Turnover by L. Nogueira (offensive foul),,19-20,,
0:34.0,,,19-20,,M. Speights misses 3-pt shot from 23 ft
0:33.0,Defensive rebound by P. Patterson,,19-20,,
0:08.0,D. DeRozan misses 3-pt shot from 26 ft,,19-20,,
0:07.0,,,19-20,,Defensive rebound by A. Rivers
0:04.0,Personal take foul by P. Patterson (drawn by A. Rivers),,19-20,,
0:00.0,,,19-23,3,J. Crawford makes 3-pt shot from 27 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,C. Joseph misses 2-pt shot from 19 ft,,19-23,,
11:45.0,,,19-23,,Defensive rebound by R. Felton
11:38.0,,,19-23,,J. Crawford misses 2-pt shot from 18 ft
11:36.0,Defensive rebound by C. Joseph,,19-23,,
11:27.0,,,19-23,,Personal foul by A. Rivers (drawn by C. Joseph)
11:18.0,C. Joseph misses 2-pt shot from 1 ft,,19-23,,
11:16.0,,,19-23,,Defensive rebound by M. Speights
11:06.0,,,19-23,,A. Rivers misses 2-pt shot from 5 ft
11:06.0,Defensive rebound by C. Joseph,,19-23,,
10:58.0,K. Lowry misses 2-pt shot from 2 ft,,19-23,,
10:58.0,,,19-23,,Defensive rebound by M. Speights
10:52.0,,,19-23,,R. Felton misses 2-pt shot from 2 ft (block by L. Nogueira)
10:50.0,,,19-23,,Offensive rebound by W. Johnson
10:46.0,,,19-23,,W. Johnson misses 3-pt shot from 26 ft
10:45.0,Defensive rebound by C. Joseph,,19-23,,
10:41.0,L. Nogueira misses 2-pt shot at rim,,19-23,,
10:37.0,Offensive rebound by C. Joseph,,19-23,,
10:37.0,C. Joseph makes 2-pt shot from 2 ft,2,21-23,,
10:16.0,,,21-23,,J. Crawford misses 3-pt shot from 28 ft
10:16.0,Defensive rebound by P. Patterson,,21-23,,
10:00.0,Shooting foul by W. Johnson (drawn by C. Joseph),,21-23,,
10:00.0,C. Joseph makes free throw 1 of 2,1,22-23,,
10:00.0,C. Joseph makes free throw 2 of 2,1,23-23,,
9:51.0,,,23-25,2,A. Rivers makes 2-pt shot from 2 ft
9:51.0,,,23-25,,Shooting foul by L. Nogueira (drawn by A. Rivers)
9:51.0,,,23-26,1,A. Rivers makes free throw 1 of 1
9:44.0,Turnover by T. Ross (bad pass),,23-26,,
9:30.0,,,23-26,,M. Speights misses 3-pt shot from 25 ft
9:28.0,Defensive rebound by T. Ross,,23-26,,
9:09.0,P. Patterson misses 3-pt shot from 25 ft,,23-26,,
9:09.0,,,23-26,,Defensive rebound by M. Speights
8:51.0,,,23-26,,R. Felton misses 2-pt shot from 8 ft
8:51.0,Defensive rebound by Team,,23-26,,
8:51.0,,,23-26,,Loose ball foul by M. Speights (drawn by C. Joseph)
8:51.0,Official timeout,,23-26,,
8:38.0,K. Lowry misses 3-pt shot from 24 ft,,23-26,,
8:38.0,,,23-26,,Defensive rebound by W. Johnson
8:18.0,,,23-26,,Shooting foul by T. Ross (drawn by J. Crawford)
8:18.0,,,23-28,2,J. Crawford makes 2-pt shot from 19 ft
8:18.0,,,23-29,1,J. Crawford makes free throw 1 of 1
8:01.0,T. Ross makes 2-pt shot from 16 ft (assist by K. Lowry),2,25-29,,
7:42.0,,,25-29,,A. Rivers misses 2-pt shot from 8 ft
7:39.0,Defensive rebound by T. Ross,,25-29,,
7:36.0,,,25-29,,Personal block foul by M. Speights (drawn by K. Lowry)
7:36.0,,,25-29,,B. Griffin enters the game for W. Johnson
7:28.0,Turnover by K. Lowry (bad pass),,25-29,,
7:09.0,,,25-31,2,J. Crawford makes 2-pt shot from 19 ft
6:53.0,T. Ross misses 2-pt shot from 16 ft,,25-31,,
6:53.0,,,25-31,,Defensive rebound by B. Griffin
6:34.0,,,25-31,,Shooting foul by L. Nogueira (drawn by M. Speights)
6:34.0,,,25-32,1,M. Speights makes free throw 1 of 2
6:34.0,,,25-33,1,M. Speights makes free throw 2 of 2
6:34.0,N. Powell enters the game for C. Joseph,,25-32,,
6:34.0,J. Valanciunas enters the game for L. Nogueira,,25-32,,
6:34.0,P. Siakam enters the game for P. Patterson,,25-32,,
6:18.0,K. Lowry makes 2-pt shot from 2 ft,2,27-33,,
5:52.0,,,27-33,,B. Griffin misses 2-pt shot from 6 ft
5:52.0,Defensive rebound by J. Valanciunas,,27-33,,
5:44.0,K. Lowry misses 2-pt shot from 11 ft (block by R. Felton),,27-33,,
5:44.0,Offensive rebound by J. Valanciunas,,27-33,,
5:44.0,,,27-33,,Personal foul by M. Speights (drawn by J. Valanciunas)
5:44.0,,,27-33,,LA Clippers full timeout
5:44.0,J. Valanciunas makes free throw 1 of 2,1,28-33,,
5:44.0,J. Valanciunas makes free throw 2 of 2,1,29-33,,
5:44.0,D. DeRozan enters the game for T. Ross,,27-33,,
5:44.0,,,27-33,,D. Jordan enters the game for M. Speights
5:44.0,,,27-33,,J. Redick enters the game for A. Rivers
5:44.0,,,27-33,,C. Paul enters the game for R. Felton
5:28.0,,,29-35,2,J. Crawford makes 2-pt shot from 17 ft
5:15.0,J. Valanciunas misses 2-pt shot from 20 ft,,29-35,,
5:15.0,,,29-35,,Defensive rebound by C. Paul
5:05.0,,,29-38,3,C. Paul makes 3-pt shot from 24 ft (assist by J. Crawford)
4:52.0,J. Valanciunas makes 2-pt shot from 4 ft (assist by K. Lowry),2,31-38,,
