time,Denver,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. J. Nurkic (K. Faried gains possession),,,,Jump ball: B. Lopez vs. J. Nurkic (K. Faried gains possession)
11:42.0,Turnover by D. Gallinari (bad pass),,0-0,,
11:30.0,,,0-0,,T. Booker misses 2-pt shot from 5 ft
11:28.0,Defensive rebound by E. Mudiay,,0-0,,
11:21.0,E. Mudiay misses 2-pt shot from 3 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by T. Booker
11:17.0,,,0-2,2,B. Bogdanovic makes 2-pt shot at rim (assist by T. Booker)
11:11.0,Turnover by J. Nurkic (bad pass; steal by I. Whitehead),,0-2,,
11:07.0,,,0-4,2,I. Whitehead makes 2-pt shot from 13 ft
10:50.0,Turnover by W. Barton (bad pass; steal by T. Booker),,0-4,,
10:47.0,,,0-6,2,T. Booker makes 2-pt shot from 1 ft
10:44.0,Denver full timeout,,0-6,,
10:23.0,D. Gallinari misses 2-pt shot from 15 ft,,0-6,,
10:22.0,Offensive rebound by K. Faried,,0-6,,
10:21.0,K. Faried misses 2-pt shot from 2 ft,,0-6,,
10:20.0,,,0-6,,Defensive rebound by B. Lopez
10:00.0,,,0-8,2,T. Booker makes 2-pt shot from 8 ft
9:36.0,D. Gallinari misses 2-pt shot from 19 ft,,0-8,,
9:35.0,,,0-8,,Defensive rebound by S. Kilpatrick
9:21.0,,,0-8,,Shooting foul by J. Nurkic (drawn by B. Lopez)
9:21.0,,,0-10,2,B. Lopez makes 2-pt shot from 3 ft
9:21.0,,,0-11,1,B. Lopez makes free throw 1 of 1
9:08.0,,,0-11,,Personal foul by B. Bogdanovic (drawn by D. Gallinari)
8:58.0,E. Mudiay makes 2-pt shot from 9 ft,2,2-11,,
8:50.0,,,2-11,,T. Booker misses 2-pt shot from 6 ft
8:49.0,Defensive rebound by K. Faried,,2-11,,
8:39.0,Turnover by W. Barton (bad pass; steal by I. Whitehead),,2-11,,
8:36.0,,,2-13,2,S. Kilpatrick makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
8:24.0,W. Barton misses 3-pt shot from 24 ft,,2-13,,
8:22.0,,,2-13,,Defensive rebound by Team
8:22.0,W. Chandler enters the game for K. Faried,,2-13,,
8:22.0,N. Jokic enters the game for J. Nurkic,,2-13,,
8:14.0,,,2-13,,I. Whitehead misses 2-pt shot from 3 ft
8:13.0,Defensive rebound by W. Chandler,,2-13,,
8:00.0,D. Gallinari misses 2-pt shot from 3 ft,,2-13,,
7:59.0,,,2-13,,Defensive rebound by T. Booker
7:52.0,,,2-15,2,T. Booker makes 2-pt shot from 1 ft
7:52.0,Denver full timeout,,2-15,,
7:49.0,J. Murray enters the game for W. Barton,,2-15,,
7:47.0,J. Nelson enters the game for E. Mudiay,,2-15,,
7:34.0,J. Murray makes 3-pt shot from 25 ft,3,5-15,,
7:24.0,,,5-15,,Shooting foul by W. Chandler (drawn by B. Lopez)
7:24.0,,,5-15,,B. Lopez misses free throw 1 of 2
7:24.0,,,5-15,,Offensive rebound by Team
7:24.0,,,5-16,1,B. Lopez makes free throw 2 of 2
7:04.0,N. Jokic makes 2-pt shot from 17 ft (assist by J. Nelson),2,7-16,,
6:57.0,,,7-18,2,I. Whitehead makes 2-pt shot from 2 ft (assist by B. Lopez)
6:43.0,D. Gallinari makes 3-pt shot from 25 ft (assist by J. Nelson),3,10-18,,
6:34.0,,,10-20,2,B. Lopez makes 2-pt shot from 16 ft
6:16.0,J. Nelson makes 2-pt shot from 22 ft,2,12-20,,
6:05.0,,,12-20,,B. Bogdanovic misses 3-pt shot from 24 ft
6:04.0,,,12-20,,Offensive rebound by T. Booker
6:01.0,,,12-20,,T. Booker misses 2-pt shot from 3 ft
5:59.0,Defensive rebound by D. Gallinari,,12-20,,
5:52.0,J. Nelson misses 3-pt shot from 25 ft,,12-20,,
5:49.0,,,12-20,,Defensive rebound by Team
5:35.0,,,12-20,,B. Lopez misses 3-pt shot from 25 ft
5:34.0,Defensive rebound by W. Chandler,,12-20,,
5:26.0,W. Chandler misses 2-pt shot from 6 ft,,12-20,,
5:25.0,,,12-20,,Defensive rebound by S. Kilpatrick
5:18.0,,,12-20,,Turnover by S. Kilpatrick (offensive foul)
5:18.0,,,12-20,,Offensive charge foul by S. Kilpatrick
5:18.0,,,12-20,,J. Hamilton enters the game for B. Lopez
5:08.0,J. Murray misses 3-pt shot from 25 ft,,12-20,,
5:07.0,,,12-20,,Defensive rebound by T. Booker
5:02.0,,,12-23,3,I. Whitehead makes 3-pt shot from 26 ft (assist by T. Booker)
4:43.0,D. Gallinari makes 2-pt shot from 1 ft (assist by N. Jokic),2,14-23,,
4:28.0,Personal foul by N. Jokic (drawn by J. Hamilton),,14-23,,
4:28.0,,,14-23,,J. Harris enters the game for I. Whitehead
4:18.0,,,14-23,,T. Booker misses 2-pt shot from 10 ft
4:17.0,Defensive rebound by D. Gallinari,,14-23,,
4:07.0,Turnover by W. Chandler (traveling),,14-23,,
3:58.0,,,14-23,,S. Kilpatrick misses 2-pt shot from 9 ft
3:56.0,,,14-23,,Offensive rebound by J. Hamilton
3:55.0,,,14-25,2,J. Hamilton makes 2-pt shot from 1 ft
3:43.0,Turnover by N. Jokic (bad pass; steal by S. Kilpatrick),,14-25,,
3:40.0,,,14-27,2,S. Kilpatrick makes 2-pt shot from 3 ft
3:19.0,J. Murray misses 3-pt shot from 24 ft,,14-27,,
3:18.0,,,14-27,,Defensive rebound by T. Booker
3:12.0,,,14-27,,Turnover by T. Booker (bad pass; steal by J. Murray)
3:09.0,,,14-27,,Shooting block foul by J. Hamilton (drawn by J. Murray)
3:09.0,,,14-27,,Brooklyn full timeout
3:09.0,J. Murray makes free throw 1 of 2,1,15-27,,
3:09.0,J. Murray makes free throw 2 of 2,1,16-27,,
3:09.0,D. Arthur enters the game for D. Gallinari,,14-27,,
3:09.0,,,14-27,,R. Foye enters the game for S. Kilpatrick
3:09.0,,,14-27,,R. Hollis-Jefferson enters the game for B. Bogdanovic
2:45.0,,,16-29,2,T. Booker makes 2-pt shot from 5 ft
2:25.0,N. Jokic makes 2-pt shot from 15 ft (assist by J. Murray),2,18-29,,
2:09.0,,,18-31,2,J. Harris makes 2-pt shot from 20 ft
1:56.0,W. Chandler misses 3-pt shot from 26 ft,,18-31,,
1:54.0,,,18-31,,Defensive rebound by T. Booker
1:47.0,,,18-33,2,T. Booker makes 2-pt shot from 8 ft
1:41.0,J. Nelson makes 2-pt shot from 17 ft,2,20-33,,
1:14.0,,,20-33,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
1:13.0,Defensive rebound by N. Jokic,,20-33,,
1:10.0,Shooting foul by J. Hamilton (drawn by W. Chandler),,20-33,,
1:10.0,W. Chandler misses free throw 1 of 2,,20-33,,
1:10.0,Offensive rebound by Team,,20-33,,
1:10.0,W. Chandler makes free throw 2 of 2,1,21-33,,
1:10.0,,,20-33,,B. Lopez enters the game for T. Booker
0:58.0,Personal foul by J. Murray (drawn by J. Harris),,21-33,,
0:51.0,,,21-35,2,B. Lopez makes 2-pt shot from 3 ft
0:51.0,,,21-35,,Shooting foul by N. Jokic (drawn by B. Lopez)
0:51.0,,,21-36,1,B. Lopez makes free throw 1 of 1
0:51.0,J. Nurkic enters the game for N. Jokic,,21-35,,
0:40.0,W. Chandler makes 2-pt shot from 16 ft (assist by J. Nelson),2,23-36,,
0:23.0,,,23-36,,Turnover by B. Lopez (traveling)
0:03.0,J. Murray misses 3-pt shot from 26 ft,,23-36,,
0:02.0,Offensive rebound by W. Chandler,,23-36,,
0:01.0,W. Chandler misses 2-pt shot from 20 ft,,23-36,,
0:00.0,Offensive rebound by Team,,23-36,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,23-38,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by B. Lopez)
11:28.0,W. Chandler misses 2-pt shot from 9 ft,,23-38,,
11:26.0,,,23-38,,Defensive rebound by R. Hollis-Jefferson
11:18.0,,,23-38,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
11:16.0,,,23-38,,Offensive rebound by B. Bogdanovic
11:15.0,,,23-40,2,B. Bogdanovic makes 2-pt shot from 1 ft
11:02.0,W. Chandler makes 2-pt shot from 5 ft,2,25-40,,
11:02.0,Shooting foul by R. Hollis-Jefferson (drawn by W. Chandler),,25-40,,
11:02.0,W. Chandler misses free throw 1 of 1,,25-40,,
11:02.0,,,25-40,,Defensive rebound by C. LeVert
11:02.0,W. Barton enters the game for D. Arthur,,25-40,,
10:46.0,,,25-43,3,B. Bogdanovic makes 3-pt shot from 24 ft (assist by B. Lopez)
10:35.0,J. Nelson misses 2-pt shot from 3 ft,,25-43,,
10:34.0,,,25-43,,Defensive rebound by R. Hollis-Jefferson
10:28.0,,,25-43,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
10:27.0,,,25-43,,Offensive rebound by C. LeVert
10:26.0,,,25-43,,C. LeVert misses 2-pt shot from 1 ft
10:24.0,Defensive rebound by W. Chandler,,25-43,,
10:17.0,Turnover by W. Chandler (lost ball; steal by C. LeVert),,25-43,,
10:11.0,,,25-43,,C. LeVert misses 2-pt shot from 8 ft
10:09.0,Defensive rebound by J. Murray,,25-43,,
9:58.0,Shooting foul by B. Lopez (drawn by J. Nurkic),,25-43,,
9:58.0,J. Nurkic misses free throw 1 of 2,,25-43,,
9:58.0,Offensive rebound by Team,,25-43,,
9:58.0,J. Nurkic makes free throw 2 of 2,1,26-43,,
9:46.0,,,26-43,,B. Lopez misses 2-pt shot from 5 ft
9:45.0,,,26-43,,Offensive rebound by B. Lopez
9:44.0,,,26-43,,B. Lopez misses 2-pt shot from 1 ft
9:43.0,Defensive rebound by W. Barton,,26-43,,
9:42.0,Turnover by W. Barton (bad pass),,26-43,,
9:33.0,,,26-43,,B. Lopez misses 2-pt shot from 12 ft
9:32.0,Defensive rebound by W. Chandler,,26-43,,
9:18.0,W. Chandler misses 2-pt shot from 15 ft,,26-43,,
9:17.0,Offensive rebound by W. Barton,,26-43,,
9:09.0,W. Barton makes 2-pt shot from 14 ft (assist by J. Nurkic),2,28-43,,
8:54.0,,,28-43,,B. Lopez misses 2-pt shot from 17 ft
8:53.0,Defensive rebound by W. Barton,,28-43,,
8:47.0,,,28-43,,Shooting block foul by B. Lopez (drawn by J. Nurkic)
8:47.0,Official timeout,,28-43,,
8:47.0,J. Nurkic makes free throw 1 of 2,1,29-43,,
8:47.0,J. Nurkic makes free throw 2 of 2,1,30-43,,
8:47.0,,,28-43,,I. Whitehead enters the game for R. Foye
8:47.0,,,28-43,,A. Bennett enters the game for B. Lopez
8:32.0,,,30-43,,R. Hollis-Jefferson misses 2-pt shot from 13 ft
8:31.0,Defensive rebound by W. Chandler,,30-43,,
8:22.0,Turnover by J. Nurkic (bad pass; steal by C. LeVert),,30-43,,
8:15.0,,,30-43,,I. Whitehead misses 3-pt shot from 24 ft
8:14.0,,,30-43,,Offensive rebound by A. Bennett
8:01.0,,,30-45,2,I. Whitehead makes 2-pt shot from 3 ft (assist by B. Bogdanovic)
8:01.0,,,30-45,,Shooting foul by W. Chandler (drawn by I. Whitehead)
8:01.0,,,30-46,1,I. Whitehead makes free throw 1 of 1
8:01.0,D. Gallinari enters the game for W. Chandler,,30-45,,
8:01.0,E. Mudiay enters the game for J. Nelson,,30-45,,
