time,Milwaukee,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. T. Maker (S. Dinwiddie gains possession),,,,Jump ball: B. Lopez vs. T. Maker (S. Dinwiddie gains possession)
11:44.0,,,0-0,,Turnover by R. Foye (bad pass; steal by M. Beasley)
11:39.0,Shooting foul by R. Foye (drawn by M. Dellavedova),,0-0,,
11:39.0,M. Dellavedova misses free throw 1 of 2,,0-0,,
11:39.0,Offensive rebound by Team,,0-0,,
11:39.0,M. Dellavedova makes free throw 2 of 2,1,1-0,,
11:19.0,,,1-0,,B. Bogdanovic misses 3-pt shot from 23 ft
11:18.0,Defensive rebound by G. Antetokounmpo,,1-0,,
11:05.0,G. Antetokounmpo misses 2-pt shot from 13 ft,,1-0,,
11:04.0,,,1-0,,Defensive rebound by S. Dinwiddie
10:59.0,,,1-2,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by S. Dinwiddie)
10:59.0,,,1-2,,Shooting foul by G. Antetokounmpo (drawn by B. Bogdanovic)
10:59.0,,,1-3,1,B. Bogdanovic makes free throw 1 of 1
10:43.0,T. Snell misses 3-pt shot from 24 ft,,1-3,,
10:42.0,,,1-3,,Defensive rebound by R. Hollis-Jefferson
10:31.0,,,1-5,2,B. Bogdanovic makes 2-pt shot from 11 ft (assist by R. Foye)
10:17.0,T. Snell makes 2-pt shot from 2 ft (assist by T. Maker),2,3-5,,
9:51.0,,,3-8,3,B. Lopez makes 3-pt shot from 23 ft (assist by R. Hollis-Jefferson)
9:41.0,G. Antetokounmpo makes 2-pt shot at rim,2,5-8,,
9:29.0,,,5-11,3,B. Lopez makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
9:19.0,G. Antetokounmpo misses 2-pt shot from 13 ft (block by B. Lopez),,5-11,,
9:18.0,,,5-11,,Defensive rebound by R. Foye
9:12.0,,,5-11,,R. Foye misses 2-pt shot from 3 ft (block by T. Snell)
9:11.0,Defensive rebound by M. Beasley,,5-11,,
9:07.0,Shooting foul by B. Lopez (drawn by G. Antetokounmpo),,5-11,,
9:07.0,G. Antetokounmpo makes free throw 1 of 2,1,6-11,,
9:07.0,G. Antetokounmpo misses free throw 2 of 2,,6-11,,
9:07.0,Offensive rebound by M. Beasley,,6-11,,
9:04.0,M. Beasley makes 2-pt shot from 8 ft,2,8-11,,
8:53.0,,,8-11,,S. Dinwiddie misses 3-pt shot from 24 ft
8:52.0,Defensive rebound by T. Snell,,8-11,,
8:37.0,M. Beasley makes 2-pt shot from 3 ft,2,10-11,,
8:16.0,,,10-11,,B. Bogdanovic misses 2-pt shot from 3 ft (block by M. Beasley)
8:14.0,Defensive rebound by T. Maker,,10-11,,
