time,Charlotte,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. C. Zeller (D. Schroder gains possession),,,,Jump ball: D. Howard vs. C. Zeller (D. Schroder gains possession)
11:41.0,,,0-2,2,D. Howard makes 2-pt shot at rim
11:24.0,M. Williams misses 3-pt shot from 24 ft,,0-2,,
11:23.0,,,0-2,,Defensive rebound by D. Howard
11:07.0,,,0-4,2,P. Millsap makes 2-pt shot from 10 ft
10:53.0,M. Kidd-Gilchrist makes 2-pt shot from 20 ft (assist by N. Batum),2,2-4,,
10:33.0,,,2-4,,T. Waller-Prince misses 3-pt shot from 23 ft
10:32.0,,,2-4,,Offensive rebound by D. Howard
10:32.0,,,2-6,2,D. Howard makes 2-pt shot from 1 ft
10:32.0,,,2-6,,Shooting foul by M. Kidd-Gilchrist (drawn by D. Howard)
10:32.0,,,2-6,,D. Howard misses free throw 1 of 1
10:31.0,Defensive rebound by M. Williams,,2-6,,
10:20.0,N. Batum misses 2-pt shot from 22 ft,,2-6,,
10:19.0,,,2-6,,Defensive rebound by D. Howard
10:08.0,,,2-6,,Offensive foul by D. Howard
10:08.0,,,2-6,,Turnover by D. Howard (offensive foul)
9:58.0,C. Zeller makes 2-pt shot from 10 ft (assist by N. Batum),2,4-6,,
9:49.0,,,4-6,,Shooting foul by C. Zeller (drawn by D. Howard)
9:49.0,,,4-7,1,D. Howard makes free throw 1 of 2
9:49.0,,,4-8,1,D. Howard makes free throw 2 of 2
9:28.0,M. Williams makes 2-pt shot from 12 ft (assist by N. Batum),2,6-8,,
9:15.0,,,6-8,,T. Waller-Prince misses 2-pt shot from 1 ft
9:13.0,Defensive rebound by B. Roberts,,6-8,,
9:03.0,M. Williams misses 3-pt shot from 23 ft,,6-8,,
9:01.0,,,6-8,,Defensive rebound by T. Hardaway
8:55.0,,,6-8,,D. Schroder misses 2-pt shot from 1 ft
8:52.0,Defensive rebound by B. Roberts,,6-8,,
8:47.0,B. Roberts makes 2-pt shot from 21 ft,2,8-8,,
8:31.0,,,8-8,,Shooting foul by M. Kidd-Gilchrist (drawn by D. Howard)
8:31.0,,,8-9,1,D. Howard makes free throw 1 of 2
8:31.0,,,8-10,1,D. Howard makes free throw 2 of 2
8:21.0,,,8-10,,Personal foul by T. Waller-Prince (drawn by N. Batum)
8:11.0,M. Kidd-Gilchrist makes 2-pt shot from 12 ft (assist by N. Batum),2,10-10,,
8:00.0,,,10-10,,Turnover by T. Hardaway (bad pass; steal by M. Williams)
7:57.0,Shooting foul by T. Hardaway (drawn by M. Kidd-Gilchrist),,10-10,,
7:57.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,11-10,,
7:57.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,12-10,,
7:45.0,,,12-12,2,D. Howard makes 2-pt shot at rim (assist by T. Hardaway)
7:30.0,M. Kidd-Gilchrist misses 2-pt shot from 20 ft,,12-12,,
7:28.0,Offensive rebound by M. Kidd-Gilchrist,,12-12,,
7:23.0,B. Roberts misses 3-pt shot from 25 ft,,12-12,,
7:22.0,,,12-12,,Defensive rebound by T. Hardaway
7:17.0,,,12-12,,P. Millsap misses 2-pt shot from 2 ft
7:14.0,Defensive rebound by M. Williams,,12-12,,
6:54.0,C. Zeller misses 2-pt shot from 20 ft,,12-12,,
6:53.0,,,12-12,,Defensive rebound by D. Schroder
