time,Boston,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. T. Maker (M. Dellavedova gains possession),,,,Jump ball: A. Johnson vs. T. Maker (M. Dellavedova gains possession)
11:41.0,,,0-0,,G. Antetokounmpo misses 2-pt shot from 1 ft (block by J. Crowder)
11:38.0,Defensive rebound by I. Thomas,,0-0,,
11:37.0,,,0-0,,Personal foul by T. Maker (drawn by J. Crowder)
11:37.0,J. Crowder makes free throw 1 of 2,1,1-0,,
11:37.0,J. Crowder makes free throw 2 of 2,1,2-0,,
11:21.0,Personal foul by I. Thomas (drawn by T. Snell),,2-0,,
11:13.0,,,2-0,,G. Antetokounmpo misses 2-pt shot from 20 ft
11:12.0,Defensive rebound by Team,,2-0,,
11:12.0,,,2-0,,Loose ball foul by T. Maker (drawn by J. Crowder)
11:01.0,J. Crowder makes 3-pt shot from 26 ft (assist by J. Jerebko),3,5-0,,
10:43.0,,,5-2,2,M. Dellavedova makes 2-pt shot from 1 ft
10:26.0,I. Thomas makes 3-pt shot from 24 ft (assist by A. Johnson),3,8-2,,
10:05.0,,,8-2,,G. Antetokounmpo misses 2-pt shot from 4 ft
10:03.0,Defensive rebound by A. Johnson,,8-2,,
9:51.0,J. Crowder misses 3-pt shot from 24 ft,,8-2,,
9:50.0,Offensive rebound by J. Jerebko,,8-2,,
9:48.0,J. Crowder makes 3-pt shot from 24 ft (assist by J. Jerebko),3,11-2,,
9:48.0,,,11-2,,Milwaukee full timeout
9:38.0,,,11-2,,M. Dellavedova misses 2-pt shot at rim (block by J. Brown)
9:35.0,Defensive rebound by J. Brown,,11-2,,
9:22.0,A. Johnson makes 2-pt shot from 1 ft (assist by J. Brown),2,13-2,,
9:05.0,Def 3 sec tech foul by A. Johnson,,13-2,,
9:05.0,,,13-3,1,M. Dellavedova makes technical free throw
8:55.0,,,13-3,,J. Parker misses 2-pt shot at rim
8:55.0,,,13-3,,Offensive rebound by Team
8:50.0,,,13-5,2,M. Dellavedova makes 2-pt shot from 20 ft (assist by G. Antetokounmpo)
8:24.0,A. Johnson makes 3-pt shot from 25 ft (assist by J. Jerebko),3,16-5,,
8:15.0,,,16-8,3,T. Snell makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
7:58.0,,,16-8,,Personal foul by M. Dellavedova (drawn by J. Brown)
7:51.0,J. Brown makes 2-pt shot from 11 ft (assist by J. Crowder),2,18-8,,
7:38.0,,,18-8,,J. Parker misses 2-pt shot from 2 ft
7:36.0,Defensive rebound by A. Johnson,,18-8,,
7:29.0,J. Brown misses 3-pt shot from 29 ft,,18-8,,
7:27.0,,,18-8,,Defensive rebound by M. Dellavedova
7:20.0,,,18-11,3,T. Snell makes 3-pt shot from 26 ft (assist by M. Dellavedova)
7:03.0,J. Jerebko misses 3-pt shot from 30 ft,,18-11,,
7:02.0,,,18-11,,Defensive rebound by M. Dellavedova
6:59.0,,,18-11,,Turnover by M. Dellavedova (bad pass; steal by J. Jerebko)
6:46.0,Turnover by J. Jerebko (traveling),,18-11,,
6:46.0,,,18-11,,G. Monroe enters the game for T. Maker
6:46.0,,,18-11,,M. Beasley enters the game for J. Parker
6:32.0,,,18-11,,G. Antetokounmpo misses 2-pt shot from 18 ft
6:31.0,,,18-11,,Offensive rebound by G. Monroe
6:25.0,,,18-11,,G. Monroe misses 2-pt shot from 1 ft (block by A. Johnson)
6:22.0,Defensive rebound by J. Crowder,,18-11,,
6:21.0,Shooting foul by M. Dellavedova (drawn by I. Thomas),,18-11,,
6:21.0,I. Thomas makes free throw 1 of 2,1,19-11,,
6:21.0,I. Thomas makes free throw 2 of 2,1,20-11,,
6:21.0,,,19-11,,M. Brogdon enters the game for M. Dellavedova
6:10.0,,,20-11,,M. Beasley misses 2-pt shot from 3 ft
6:08.0,,,20-11,,Offensive rebound by G. Monroe
6:08.0,,,20-11,,Shooting foul by A. Johnson (drawn by G. Monroe)
6:08.0,,,20-12,1,G. Monroe makes free throw 1 of 2
6:08.0,,,20-12,,G. Monroe misses free throw 2 of 2
6:06.0,Defensive rebound by J. Brown,,20-12,,
5:50.0,J. Jerebko misses 3-pt shot from 23 ft,,20-12,,
5:49.0,,,20-12,,Defensive rebound by M. Beasley
5:39.0,,,20-14,2,M. Beasley makes 2-pt shot from 20 ft (assist by G. Antetokounmpo)
5:19.0,J. Crowder makes 3-pt shot from 26 ft (assist by I. Thomas),3,23-14,,
4:55.0,,,23-17,3,M. Beasley makes 3-pt shot from 27 ft (assist by G. Antetokounmpo)
4:55.0,,,23-17,,Loose ball foul by G. Monroe (drawn by J. Brown)
