time,Oklahoma City,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. R. Lopez,,,,Jump ball: S. Adams vs. R. Lopez
12:00.0,Violation by Team (jump ball),,0-0,,
11:42.0,,,0-2,2,T. Gibson makes 2-pt shot from 10 ft
11:22.0,S. Adams makes 2-pt shot from 8 ft,2,2-2,,
11:07.0,,,2-2,,D. Wade misses 2-pt shot from 15 ft
11:06.0,Defensive rebound by D. Sabonis,,2-2,,
11:03.0,Turnover by D. Sabonis (bad pass; steal by T. Gibson),,2-2,,
10:48.0,,,2-2,,T. Gibson misses 2-pt shot from 10 ft
10:45.0,Defensive rebound by R. Westbrook,,2-2,,
10:26.0,A. Roberson makes 3-pt shot from 25 ft (assist by R. Westbrook),3,5-2,,
10:03.0,,,5-2,,R. Lopez misses 2-pt shot from 18 ft
10:02.0,Defensive rebound by R. Westbrook,,5-2,,
9:56.0,V. Oladipo misses 2-pt shot from 1 ft,,5-2,,
9:55.0,,,5-2,,Defensive rebound by M. Carter-Williams
9:45.0,,,5-2,,T. Gibson misses 2-pt shot from 16 ft
9:44.0,Defensive rebound by R. Westbrook,,5-2,,
9:31.0,D. Sabonis misses 3-pt shot from 25 ft,,5-2,,
9:30.0,,,5-2,,Defensive rebound by J. Butler
9:20.0,,,5-4,2,D. Wade makes 2-pt shot from 1 ft (assist by J. Butler)
8:59.0,S. Adams misses 2-pt shot from 13 ft,,5-4,,
8:58.0,,,5-4,,Defensive rebound by T. Gibson
8:38.0,,,5-4,,R. Lopez misses 2-pt shot from 5 ft
8:37.0,Defensive rebound by D. Sabonis,,5-4,,
8:30.0,S. Adams makes 2-pt shot from 5 ft (assist by R. Westbrook),2,7-4,,
8:14.0,,,7-6,2,D. Wade makes 2-pt shot from 6 ft
8:14.0,,,7-6,,Shooting foul by V. Oladipo (drawn by D. Wade)
8:14.0,,,7-7,1,D. Wade makes free throw 1 of 1
8:00.0,D. Sabonis makes 2-pt shot from 3 ft,2,9-7,,
8:00.0,Shooting foul by T. Gibson (drawn by D. Sabonis),,9-7,,
8:00.0,D. Sabonis makes free throw 1 of 1,1,10-7,,
7:44.0,,,10-7,,R. Lopez misses 2-pt shot from 9 ft
7:43.0,Defensive rebound by R. Westbrook,,10-7,,
7:36.0,R. Westbrook misses 2-pt shot from 20 ft,,10-7,,
7:35.0,,,10-7,,Defensive rebound by T. Gibson
7:26.0,,,10-7,,M. Carter-Williams misses 3-pt shot from 26 ft
7:26.0,Defensive rebound by Team,,10-7,,
7:26.0,,,10-7,,Loose ball foul by T. Gibson (drawn by D. Sabonis)
7:26.0,,,10-7,,N. Mirotic enters the game for T. Gibson
7:16.0,Turnover by A. Roberson (bad pass; steal by N. Mirotic),,10-7,,
6:58.0,,,10-10,3,N. Mirotic makes 3-pt shot from 23 ft (assist by D. Wade)
6:42.0,V. Oladipo makes 2-pt shot from 15 ft (assist by R. Westbrook),2,12-10,,
6:33.0,,,12-10,,Turnover by N. Mirotic (bad pass; steal by V. Oladipo)
6:31.0,V. Oladipo makes 2-pt shot at rim,2,14-10,,
6:31.0,,,14-10,,Chicago full timeout
6:15.0,,,14-12,2,M. Carter-Williams makes 2-pt shot from 5 ft (assist by D. Wade)
6:15.0,,,14-12,,Shooting foul by D. Sabonis (drawn by M. Carter-Williams)
6:15.0,,,14-13,1,M. Carter-Williams makes free throw 1 of 1
5:56.0,R. Westbrook makes 2-pt shot from 21 ft (assist by S. Adams),2,16-13,,
5:29.0,,,16-13,,D. Wade misses 2-pt shot from 19 ft
5:28.0,,,16-13,,Offensive rebound by R. Lopez
5:18.0,,,16-13,,M. Carter-Williams misses 2-pt shot from 22 ft
5:16.0,Defensive rebound by V. Oladipo,,16-13,,
5:10.0,S. Adams makes 2-pt shot at rim (assist by V. Oladipo),2,18-13,,
4:52.0,,,18-15,2,R. Lopez makes 2-pt shot from 18 ft (assist by M. Carter-Williams)
4:39.0,D. Sabonis misses 3-pt shot from 25 ft,,18-15,,
4:38.0,,,18-15,,Defensive rebound by R. Lopez
4:23.0,,,18-15,,R. Lopez misses 2-pt shot at rim
4:22.0,Defensive rebound by S. Adams,,18-15,,
4:18.0,,,18-15,,Personal take foul by M. Carter-Williams (drawn by S. Adams)
4:18.0,,,18-15,,Chicago full timeout
4:18.0,,,18-15,,D. McDermott enters the game for D. Wade
4:18.0,E. Kanter enters the game for D. Sabonis,,18-15,,
3:59.0,E. Kanter makes 2-pt shot from 4 ft (assist by R. Westbrook),2,20-15,,
3:42.0,,,20-15,,J. Butler misses 3-pt shot from 25 ft
