time,Philadelphia,pts.away,score,pts.home,Golden State
3:33.0,N. Stauskas makes 2-pt shot from 2 ft (assist by S. Rodriguez),2,24-22,,
3:33.0,,,24-22,,Golden State full timeout
3:33.0,,,24-22,,J. McGee enters the game for Z. Pachulia
3:33.0,,,24-22,,D. Green enters the game for P. McCaw
3:13.0,,,24-25,3,S. Curry makes 3-pt shot from 24 ft (assist by D. Green)
2:51.0,D. Saric makes 3-pt shot from 26 ft,3,27-25,,
2:24.0,,,27-25,,D. Green misses 2-pt shot from 14 ft
2:24.0,Defensive rebound by Team,,27-25,,
2:24.0,,,27-25,,Loose ball foul by J. McGee (drawn by N. Stauskas)
2:00.0,N. Stauskas misses 3-pt shot from 25 ft,,27-25,,
2:00.0,Offensive rebound by Team,,27-25,,
2:00.0,Turnover by Team (shot clock),,27-25,,
1:51.0,,,27-25,,Shooting foul by N. Stauskas (drawn by S. Curry)
1:51.0,,,27-26,1,S. Curry makes free throw 1 of 3
1:51.0,,,27-27,1,S. Curry makes free throw 2 of 3
1:51.0,,,27-28,1,S. Curry makes free throw 3 of 3
1:39.0,R. Holmes makes 2-pt shot at rim (assist by D. Saric),2,29-28,,
1:27.0,,,29-31,3,A. Iguodala makes 3-pt shot from 23 ft (assist by D. Green)
1:08.0,S. Rodriguez makes 3-pt shot from 24 ft,3,32-31,,
0:51.0,,,32-31,,Shooting foul by R. Holmes (drawn by J. McGee)
0:51.0,,,32-31,,J. McGee misses free throw 1 of 2
0:51.0,,,32-31,,Offensive rebound by Team
0:51.0,,,32-31,,J. McGee misses free throw 2 of 2
0:49.0,Defensive rebound by G. Henderson,,32-31,,
0:37.0,Turnover by G. Henderson (lost ball; steal by D. Green),,32-31,,
0:33.0,,,32-33,2,J. McGee makes 2-pt shot from 1 ft (assist by D. Green)
0:25.0,R. Holmes makes 2-pt shot from 1 ft (assist by S. Rodriguez),2,34-33,,
0:25.0,Personal foul by D. Saric (drawn by D. Green),,34-33,,
0:25.0,,,34-34,1,D. Green makes free throw 1 of 2
0:25.0,,,34-35,1,D. Green makes free throw 2 of 2
0:25.0,,,34-34,,I. Clark enters the game for S. Curry
0:25.0,,,34-34,,J. McAdoo enters the game for J. McGee
0:07.0,,,34-35,,Personal foul by S. Livingston (drawn by S. Rodriguez)
0:00.0,S. Rodriguez misses 3-pt shot from 27 ft,,34-35,,
0:00.0,Offensive rebound by Team,,34-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,Turnover by D. Saric (bad pass),,34-35,,
11:20.0,,,34-37,2,K. Thompson makes 2-pt shot from 2 ft (assist by A. Iguodala)
11:11.0,,,34-37,,Personal foul by M. Barnes (drawn by D. Saric)
11:11.0,R. Covington enters the game for G. Henderson,,34-37,,
10:57.0,J. Okafor misses 2-pt shot from 13 ft,,34-37,,
10:56.0,,,34-37,,Defensive rebound by I. Clark
10:47.0,,,34-37,,Turnover by D. West (lost ball; steal by D. Saric)
10:34.0,D. Saric makes 2-pt shot from 2 ft (assist by R. Covington),2,36-37,,
10:14.0,,,36-37,,A. Iguodala misses 2-pt shot from 9 ft
10:13.0,,,36-37,,Offensive rebound by M. Barnes
10:13.0,,,36-37,,M. Barnes misses 2-pt shot from 1 ft
10:11.0,,,36-37,,Offensive rebound by M. Barnes
10:11.0,,,36-37,,Shooting foul by R. Covington (drawn by M. Barnes)
10:11.0,,,36-38,1,M. Barnes makes free throw 1 of 2
10:11.0,,,36-39,1,M. Barnes makes free throw 2 of 2
9:59.0,S. Rodriguez misses 2-pt shot from 4 ft (block by D. West),,36-39,,
9:58.0,Offensive rebound by S. Rodriguez,,36-39,,
9:58.0,,,36-39,,Personal foul by A. Iguodala (drawn by R. Covington)
9:47.0,Turnover by D. Saric (bad pass; steal by I. Clark),,36-39,,
9:45.0,,,36-39,,Turnover by I. Clark (bad pass; steal by J. Okafor)
9:43.0,J. Okafor makes 2-pt shot from 3 ft,2,38-39,,
9:30.0,,,38-39,,K. Thompson misses 2-pt shot from 18 ft
9:28.0,Defensive rebound by D. Saric,,38-39,,
9:21.0,J. Okafor misses 2-pt shot from 13 ft,,38-39,,
9:20.0,,,38-39,,Defensive rebound by M. Barnes
9:06.0,,,38-42,3,M. Barnes makes 3-pt shot from 25 ft (assist by D. West)
9:00.0,Philadelphia full timeout,,38-42,,
9:00.0,T. Luwawu-Cabarrot enters the game for D. Saric,,38-42,,
8:53.0,,,38-42,,Personal foul by D. West (drawn by J. Okafor)
8:38.0,R. Covington misses 3-pt shot from 24 ft,,38-42,,
8:37.0,,,38-42,,Defensive rebound by I. Clark
8:24.0,,,38-42,,Turnover by D. West (bad pass; steal by J. Anderson)
8:17.0,S. Rodriguez misses 3-pt shot from 27 ft,,38-42,,
8:17.0,,,38-42,,Defensive rebound by I. Clark
8:10.0,,,38-44,2,A. Iguodala makes 2-pt shot at rim (assist by I. Clark)
7:52.0,J. Okafor makes 2-pt shot from 5 ft,2,40-44,,
7:38.0,,,40-44,,A. Iguodala misses 2-pt shot from 4 ft (block by R. Covington)
7:37.0,Defensive rebound by R. Covington,,40-44,,
7:28.0,J. Okafor makes 2-pt shot from 2 ft,2,42-44,,
7:28.0,Shooting foul by M. Barnes (drawn by J. Okafor),,42-44,,
7:28.0,J. Okafor makes free throw 1 of 1,1,43-44,,
7:28.0,,,42-44,,D. Green enters the game for A. Iguodala
7:14.0,,,43-46,2,K. Thompson makes 2-pt shot from 12 ft
7:14.0,,,43-46,,Shooting foul by T. Luwawu-Cabarrot (drawn by K. Thompson)
7:14.0,,,43-47,1,K. Thompson makes free throw 1 of 1
7:14.0,N. Stauskas enters the game for T. Luwawu-Cabarrot,,43-46,,
6:55.0,S. Rodriguez misses 3-pt shot from 26 ft,,43-47,,
6:55.0,,,43-47,,Defensive rebound by D. West
6:46.0,,,43-47,,K. Thompson misses 3-pt shot from 26 ft
6:46.0,Defensive rebound by Team,,43-47,,
6:46.0,T. McConnell enters the game for S. Rodriguez,,43-47,,
6:34.0,J. Okafor makes 2-pt shot from 16 ft (assist by T. McConnell),2,45-47,,
6:24.0,,,45-47,,K. Thompson misses 2-pt shot from 15 ft
6:24.0,,,45-47,,Offensive rebound by Team
6:23.0,,,45-47,,P. McCaw enters the game for M. Barnes
6:23.0,,,45-47,,Z. Pachulia enters the game for D. West
6:19.0,,,45-47,,I. Clark misses 2-pt shot from 15 ft
6:19.0,Defensive rebound by J. Okafor,,45-47,,
6:06.0,T. McConnell makes 2-pt shot from 10 ft,2,47-47,,
