time,Philadelphia,pts.away,score,pts.home,Golden State
0:19.0,,,90-78,,S. Curry enters the game for M. Barnes
0:01.0,,,90-78,,S. Curry misses 3-pt shot from 23 ft
0:00.0,,,90-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,90-80,2,D. Green makes 2-pt shot from 2 ft
11:24.0,,,90-80,,Personal foul by D. Green (drawn by D. Saric)
11:11.0,J. Okafor misses 2-pt shot from 8 ft,,90-80,,
11:10.0,,,90-80,,Defensive rebound by S. Livingston
11:02.0,,,90-80,,D. Green misses 2-pt shot from 7 ft
11:00.0,,,90-80,,Offensive rebound by D. Green
10:43.0,,,90-83,3,S. Curry makes 3-pt shot from 26 ft
10:43.0,,,90-83,,Technical foul by D. West
10:43.0,G. Henderson misses technical free throw,,90-83,,
10:43.0,Offensive rebound by Team,,90-83,,
10:19.0,N. Stauskas misses 2-pt shot from 10 ft,,90-83,,
10:19.0,,,90-83,,Defensive rebound by D. West
10:17.0,Personal foul by S. Rodriguez (drawn by S. Curry),,90-83,,
10:17.0,Inbound foul by S. Rodriguez (drawn by S. Curry),,90-83,,
10:17.0,,,90-84,1,S. Curry makes free throw 1 of 1
10:10.0,,,90-84,,Turnover by S. Curry (bad pass; steal by D. Saric)
10:05.0,D. Saric misses 2-pt shot from 2 ft (block by D. West),,90-84,,
10:05.0,,,90-84,,Defensive rebound by Team
9:55.0,,,90-86,2,S. Curry makes 2-pt shot from 19 ft
9:55.0,Philadelphia full timeout,,90-86,,
9:34.0,D. Saric misses 2-pt shot from 6 ft,,90-86,,
9:33.0,,,90-86,,Defensive rebound by D. West
9:18.0,,,90-86,,S. Curry misses 3-pt shot from 26 ft
9:18.0,Defensive rebound by D. Saric,,90-86,,
9:06.0,G. Henderson misses 3-pt shot from 25 ft,,90-86,,
9:05.0,Offensive rebound by G. Henderson,,90-86,,
8:53.0,D. Saric makes 2-pt shot from 19 ft,2,92-86,,
8:37.0,,,92-88,2,D. West makes 2-pt shot from 20 ft (assist by S. Curry)
8:19.0,J. Okafor misses 2-pt shot from 6 ft,,92-88,,
8:19.0,,,92-88,,Defensive rebound by Team
8:19.0,R. Covington enters the game for N. Stauskas,,92-88,,
8:04.0,,,92-91,3,D. Green makes 3-pt shot from 26 ft (assist by S. Curry)
7:39.0,S. Rodriguez misses 3-pt shot from 28 ft,,92-91,,
7:38.0,,,92-91,,Defensive rebound by S. Livingston
7:34.0,,,92-93,2,S. Livingston makes 2-pt shot from 12 ft
7:34.0,Philadelphia full timeout,,92-93,,
7:34.0,T. McConnell enters the game for G. Henderson,,92-93,,
7:34.0,T. Luwawu-Cabarrot enters the game for S. Rodriguez,,92-93,,
7:19.0,D. Saric misses 2-pt shot from 4 ft (block by D. Green),,92-93,,
7:18.0,,,92-93,,Defensive rebound by S. Curry
7:11.0,,,92-93,,A. Iguodala misses 2-pt shot from 2 ft (block by J. Okafor)
7:09.0,,,92-93,,Offensive rebound by S. Curry
7:08.0,,,92-93,,Turnover by S. Curry (bad pass; steal by T. Luwawu-Cabarrot)
7:02.0,J. Okafor makes 2-pt shot from 5 ft (assist by D. Saric),2,94-93,,
6:36.0,,,94-93,,Shooting foul by T. Luwawu-Cabarrot (drawn by S. Livingston)
6:36.0,,,94-94,1,S. Livingston makes free throw 1 of 2
6:36.0,,,94-95,1,S. Livingston makes free throw 2 of 2
6:36.0,,,94-94,,K. Thompson enters the game for A. Iguodala
6:26.0,J. Okafor makes 2-pt shot from 10 ft,2,96-95,,
6:26.0,Shooting foul by D. West (drawn by J. Okafor),,96-95,,
6:26.0,J. Okafor misses free throw 1 of 1,,96-95,,
6:26.0,,,96-95,,M. Barnes enters the game for D. West
6:24.0,,,96-95,,Defensive rebound by D. Green
6:17.0,,,96-95,,S. Curry misses 3-pt shot from 26 ft
6:17.0,Defensive rebound by J. Okafor,,96-95,,
5:57.0,J. Okafor misses 2-pt shot from 4 ft (block by D. Green),,96-95,,
5:56.0,,,96-95,,Defensive rebound by M. Barnes
5:51.0,,,96-98,3,S. Curry makes 3-pt shot from 27 ft (assist by M. Barnes)
5:38.0,D. Saric misses 3-pt shot from 27 ft,,96-98,,
5:38.0,,,96-98,,Defensive rebound by S. Curry
5:31.0,,,96-98,,Turnover by K. Thompson (step out of bounds)
5:31.0,Official timeout,,96-98,,
5:31.0,R. Holmes enters the game for J. Okafor,,96-98,,
5:17.0,Turnover by D. Saric (traveling),,96-98,,
5:01.0,,,96-98,,D. Green misses 2-pt shot from 11 ft (block by R. Holmes)
4:59.0,Defensive rebound by D. Saric,,96-98,,
4:51.0,T. Luwawu-Cabarrot makes 3-pt shot from 24 ft (assist by D. Saric),3,99-98,,
4:34.0,,,99-98,,M. Barnes misses 3-pt shot from 27 ft
4:34.0,Defensive rebound by D. Saric,,99-98,,
4:18.0,Turnover by T. Luwawu-Cabarrot (lost ball; steal by D. Green),,99-98,,
4:16.0,,,99-98,,Turnover by M. Barnes (bad pass)
4:16.0,,,99-98,,A. Iguodala enters the game for S. Livingston
4:02.0,T. Luwawu-Cabarrot misses 3-pt shot from 26 ft,,99-98,,
4:02.0,,,99-98,,Defensive rebound by Team
4:01.0,,,99-98,,Golden State full timeout
3:42.0,,,99-101,3,S. Curry makes 3-pt shot from 23 ft (assist by A. Iguodala)
3:16.0,Turnover by Team (shot clock),,99-101,,
3:07.0,,,99-101,,D. Green misses 2-pt shot from 2 ft
3:06.0,Defensive rebound by R. Holmes,,99-101,,
3:00.0,Turnover by T. McConnell (traveling),,99-101,,
2:51.0,Personal foul by D. Saric (drawn by D. Green),,99-101,,
2:42.0,,,99-104,3,M. Barnes makes 3-pt shot from 24 ft (assist by K. Thompson)
2:20.0,D. Saric makes 2-pt shot from 10 ft (assist by T. Luwawu-Cabarrot),2,101-104,,
2:05.0,,,101-104,,Turnover by S. Curry (bad pass)
1:47.0,R. Covington misses 3-pt shot from 26 ft,,101-104,,
1:47.0,,,101-104,,Defensive rebound by D. Green
1:33.0,,,101-104,,K. Thompson misses 3-pt shot from 26 ft
1:33.0,Defensive rebound by R. Covington,,101-104,,
1:21.0,,,101-104,,Personal foul by M. Barnes (drawn by R. Covington)
1:11.0,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft,2,103-104,,
0:56.0,Personal foul by T. Luwawu-Cabarrot (drawn by D. Green),,103-104,,
0:56.0,,,103-105,1,D. Green makes free throw 1 of 2
0:56.0,,,103-106,1,D. Green makes free throw 2 of 2
0:46.0,T. McConnell misses 2-pt shot from 3 ft (block by D. Green),,103-106,,
0:46.0,Offensive rebound by Team,,103-106,,
0:46.0,Philadelphia full timeout,,103-106,,
0:36.0,Turnover by R. Holmes (step out of bounds),,103-106,,
0:24.0,,,103-106,,Turnover by D. Green (lost ball; steal by D. Saric)
0:09.0,Philadelphia full timeout,,103-106,,
0:08.0,Turnover by T. McConnell (bad pass; steal by M. Barnes),,103-106,,
0:05.0,,,103-106,,M. Barnes misses 2-pt shot at rim
0:03.0,Defensive rebound by T. Luwawu-Cabarrot,,103-106,,
0:03.0,,,103-106,,Personal foul by D. Green (drawn by D. Saric)
0:03.0,D. Saric makes free throw 1 of 2,1,104-106,,
0:03.0,D. Saric misses free throw 2 of 2,,104-106,,
0:03.0,,,104-106,,Z. Pachulia enters the game for M. Barnes
0:02.0,Offensive rebound by R. Holmes,,104-106,,
0:02.0,R. Holmes misses 2-pt shot from 2 ft,,104-106,,
0:02.0,,,104-106,,Defensive rebound by D. Green
0:00.0,End of 4th quarter,,,,End of 4th quarter
