time,San Antonio,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. D. Jordan (L. Aldridge gains possession),,,,Jump ball: P. Gasol vs. D. Jordan (L. Aldridge gains possession)
11:40.0,L. Aldridge misses 3-pt shot from 23 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by C. Paul
11:27.0,,,0-0,,D. Jordan misses 2-pt shot from 4 ft
11:26.0,Defensive rebound by D. Green,,0-0,,
11:17.0,P. Gasol makes 2-pt shot from 17 ft (assist by T. Parker),2,2-0,,
10:59.0,,,2-2,2,D. Jordan makes 2-pt shot from 2 ft (assist by C. Paul)
10:46.0,L. Aldridge makes 2-pt shot from 19 ft (assist by T. Parker),2,4-2,,
10:21.0,,,4-2,,J. Redick misses 3-pt shot from 24 ft
10:21.0,Defensive rebound by T. Parker,,4-2,,
10:14.0,Shooting foul by L. Mbah a Moute (drawn by K. Leonard),,4-2,,
10:14.0,K. Leonard makes free throw 1 of 2,1,5-2,,
10:14.0,K. Leonard makes free throw 2 of 2,1,6-2,,
9:54.0,,,6-2,,P. Pierce misses 2-pt shot from 14 ft
9:53.0,Defensive rebound by D. Green,,6-2,,
9:39.0,Shooting foul by L. Mbah a Moute (drawn by K. Leonard),,6-2,,
9:39.0,K. Leonard makes free throw 1 of 2,1,7-2,,
9:39.0,K. Leonard makes free throw 2 of 2,1,8-2,,
9:39.0,,,7-2,,W. Johnson enters the game for L. Mbah a Moute
9:20.0,,,8-4,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
9:03.0,P. Gasol misses 2-pt shot from 6 ft,,8-4,,
9:01.0,,,8-4,,Defensive rebound by C. Paul
9:01.0,,,8-4,,Turnover by C. Paul (lost ball; steal by D. Green)
9:01.0,Jump ball: D. Green vs. C. Paul (P. Gasol gains possession),,,,Jump ball: D. Green vs. C. Paul (P. Gasol gains possession)
8:53.0,D. Green misses 3-pt shot from 26 ft,,8-4,,
8:52.0,,,8-4,,Defensive rebound by D. Jordan
8:34.0,,,8-7,3,C. Paul makes 3-pt shot from 24 ft
8:20.0,Turnover by P. Gasol (lost ball; steal by J. Redick),,8-7,,
8:09.0,,,8-10,3,J. Redick makes 3-pt shot from 25 ft (assist by D. Jordan)
7:50.0,L. Aldridge makes 2-pt shot from 19 ft (assist by K. Leonard),2,10-10,,
7:35.0,,,10-10,,C. Paul misses 2-pt shot from 15 ft
7:34.0,,,10-10,,Offensive rebound by D. Jordan
7:23.0,,,10-10,,P. Pierce misses 3-pt shot from 25 ft
7:22.0,Defensive rebound by P. Gasol,,10-10,,
7:10.0,Offensive foul by L. Aldridge,,10-10,,
7:10.0,Turnover by L. Aldridge (offensive foul),,10-10,,
6:45.0,,,10-13,3,J. Redick makes 3-pt shot from 26 ft (assist by D. Jordan)
6:30.0,L. Aldridge misses 2-pt shot from 21 ft,,10-13,,
6:30.0,,,10-13,,Defensive rebound by Team
6:22.0,,,10-13,,Turnover by D. Jordan (bad pass; steal by K. Leonard)
6:19.0,Turnover by K. Leonard (bad pass; steal by C. Paul),,10-13,,
6:12.0,,,10-13,,W. Johnson misses 3-pt shot from 24 ft
6:11.0,Defensive rebound by D. Green,,10-13,,
6:01.0,T. Parker makes 2-pt shot from 19 ft,2,12-13,,
5:46.0,,,12-15,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
5:46.0,San Antonio full timeout,,12-15,,
5:46.0,,,12-15,,B. Bass enters the game for P. Pierce
5:46.0,P. Mills enters the game for T. Parker,,12-15,,
5:30.0,K. Leonard misses 3-pt shot from 24 ft,,12-15,,
5:30.0,,,12-15,,Defensive rebound by D. Jordan
5:07.0,,,12-15,,B. Bass misses 2-pt shot from 9 ft
5:03.0,Defensive rebound by P. Gasol,,12-15,,
5:01.0,,,12-15,,Personal foul by B. Bass (drawn by L. Aldridge)
5:01.0,D. Lee enters the game for P. Gasol,,12-15,,
5:01.0,J. Simmons enters the game for D. Green,,12-15,,
4:49.0,L. Aldridge misses 2-pt shot from 15 ft,,12-15,,
4:47.0,,,12-15,,Defensive rebound by B. Bass
4:22.0,,,12-18,3,J. Redick makes 3-pt shot from 28 ft
4:09.0,P. Mills misses 2-pt shot from 15 ft,,12-18,,
4:09.0,,,12-18,,Defensive rebound by B. Bass
3:54.0,,,12-18,,W. Johnson misses 2-pt shot from 20 ft
3:54.0,,,12-18,,Offensive rebound by Team
3:54.0,Loose ball foul by D. Lee (drawn by D. Jordan),,12-18,,
3:54.0,,,12-18,,LA Clippers full timeout
3:54.0,D. Dedmon enters the game for L. Aldridge,,12-18,,
3:44.0,,,12-18,,J. Redick misses 2-pt shot from 23 ft
3:42.0,Defensive rebound by D. Dedmon,,12-18,,
3:28.0,Turnover by J. Simmons (bad pass; steal by C. Paul),,12-18,,
3:24.0,,,12-20,2,W. Johnson makes 2-pt shot from 1 ft (assist by C. Paul)
3:24.0,,,12-20,,Shooting foul by P. Mills (drawn by W. Johnson)
3:24.0,,,12-20,,W. Johnson misses free throw 1 of 1
3:24.0,,,12-20,,J. Crawford enters the game for J. Redick
3:23.0,Defensive rebound by D. Dedmon,,12-20,,
3:09.0,K. Leonard makes 2-pt shot from 17 ft,2,14-20,,
2:52.0,,,14-20,,B. Bass misses 2-pt shot from 18 ft
2:51.0,Defensive rebound by J. Simmons,,14-20,,
2:45.0,D. Lee makes 2-pt shot at rim (assist by K. Leonard),2,16-20,,
2:31.0,Personal foul by J. Simmons (drawn by B. Bass),,16-20,,
2:31.0,,,16-20,,A. Rivers enters the game for C. Paul
2:23.0,,,16-20,,J. Crawford misses 2-pt shot from 18 ft
2:22.0,Defensive rebound by D. Dedmon,,16-20,,
2:14.0,K. Leonard misses 2-pt shot from 16 ft,,16-20,,
2:13.0,Offensive rebound by D. Dedmon,,16-20,,
2:10.0,D. Dedmon misses 2-pt shot from 8 ft,,16-20,,
2:09.0,,,16-20,,Defensive rebound by W. Johnson
1:56.0,,,16-20,,A. Rivers misses 2-pt shot from 16 ft
1:55.0,Defensive rebound by K. Leonard,,16-20,,
1:50.0,D. Lee makes 2-pt shot from 1 ft (assist by K. Leonard),2,18-20,,
1:34.0,,,18-20,,W. Johnson misses 3-pt shot from 24 ft
1:33.0,Defensive rebound by K. Leonard,,18-20,,
1:31.0,Shooting foul by A. Rivers (drawn by K. Leonard),,18-20,,
1:31.0,K. Leonard makes free throw 1 of 2,1,19-20,,
1:31.0,K. Leonard makes free throw 2 of 2,1,20-20,,
1:31.0,,,19-20,,M. Speights enters the game for D. Jordan
1:10.0,,,20-20,,M. Speights misses 3-pt shot from 27 ft
1:09.0,Defensive rebound by D. Lee,,20-20,,
0:59.0,Turnover by K. Leonard (bad pass; steal by M. Speights),,20-20,,
0:55.0,,,20-20,,Shooting foul by P. Mills (drawn by A. Rivers)
0:55.0,,,20-21,1,A. Rivers makes free throw 1 of 2
0:55.0,,,20-22,1,A. Rivers makes free throw 2 of 2
0:55.0,K. Anderson enters the game for K. Leonard,,20-21,,
0:55.0,,,20-21,,R. Felton enters the game for B. Bass
0:45.0,Shooting foul by J. Crawford (drawn by D. Dedmon),,20-22,,
0:45.0,D. Dedmon makes free throw 1 of 2,1,21-22,,
0:45.0,D. Dedmon makes free throw 2 of 2,1,22-22,,
0:45.0,D. Murray enters the game for P. Mills,,21-22,,
0:28.0,,,22-24,2,J. Crawford makes 2-pt shot from 19 ft
0:08.0,J. Simmons misses 2-pt shot from 16 ft,,22-24,,
0:07.0,,,22-24,,Defensive rebound by R. Felton
0:01.0,,,22-27,3,J. Crawford makes 3-pt shot from 27 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,22-29,2,M. Speights makes 2-pt shot from 17 ft (assist by W. Johnson)
11:13.0,T. Parker misses 2-pt shot from 18 ft,,22-29,,
11:12.0,,,22-29,,Defensive rebound by M. Speights
11:03.0,,,22-29,,A. Rivers misses 2-pt shot from 1 ft
11:03.0,Defensive rebound by D. Dedmon,,22-29,,
10:52.0,Offensive foul by J. Simmons,,22-29,,
10:52.0,Turnover by J. Simmons (offensive foul),,22-29,,
10:28.0,,,22-29,,A. Rivers misses 3-pt shot from 25 ft
10:27.0,Defensive rebound by K. Anderson,,22-29,,
10:15.0,T. Parker misses 2-pt shot from 18 ft,,22-29,,
10:14.0,,,22-29,,Defensive rebound by Team
9:57.0,,,22-31,2,R. Felton makes 2-pt shot from 2 ft
9:42.0,J. Simmons misses 2-pt shot from 16 ft,,22-31,,
9:41.0,Offensive rebound by K. Anderson,,22-31,,
9:41.0,K. Anderson makes 2-pt shot from 2 ft,2,24-31,,
9:30.0,,,24-31,,Turnover by R. Felton (lost ball; steal by K. Anderson)
9:27.0,Shooting foul by W. Johnson (drawn by J. Simmons),,24-31,,
9:27.0,J. Simmons makes free throw 1 of 2,1,25-31,,
9:27.0,J. Simmons misses free throw 2 of 2,,25-31,,
9:27.0,P. Gasol enters the game for D. Dedmon,,25-31,,
9:26.0,,,25-31,,Defensive rebound by W. Johnson
9:13.0,,,25-33,2,J. Crawford makes 2-pt shot from 10 ft
8:56.0,K. Anderson makes 2-pt shot from 9 ft,2,27-33,,
8:43.0,Official timeout,,27-33,,
8:43.0,D. Green enters the game for D. Lee,,27-33,,
8:43.0,L. Aldridge enters the game for J. Simmons,,27-33,,
8:38.0,,,27-33,,A. Rivers misses 2-pt shot from 2 ft (block by K. Anderson)
8:38.0,Defensive rebound by K. Anderson,,27-33,,
8:33.0,,,27-33,,Personal foul by M. Speights (drawn by K. Anderson)
8:24.0,L. Aldridge misses 2-pt shot from 8 ft,,27-33,,
8:24.0,,,27-33,,Defensive rebound by Team
8:24.0,Loose ball foul by K. Anderson (drawn by M. Speights),,27-33,,
8:14.0,,,27-35,2,R. Felton makes 2-pt shot from 1 ft
8:03.0,Shooting foul by M. Speights (drawn by P. Gasol),,27-35,,
8:03.0,P. Gasol makes free throw 1 of 2,1,28-35,,
8:03.0,P. Gasol makes free throw 2 of 2,1,29-35,,
7:51.0,,,29-37,2,M. Speights makes 2-pt shot from 2 ft (assist by R. Felton)
7:49.0,San Antonio full timeout,,29-37,,
7:31.0,L. Aldridge misses 2-pt shot from 2 ft,,29-37,,
7:29.0,,,29-37,,Defensive rebound by W. Johnson
7:16.0,,,29-37,,Turnover by J. Crawford (bad pass; steal by K. Anderson)
7:04.0,P. Gasol misses 2-pt shot from 19 ft,,29-37,,
6:59.0,,,29-37,,Defensive rebound by W. Johnson
6:54.0,,,29-37,,Shooting foul by K. Anderson (drawn by A. Rivers)
6:54.0,,,29-37,,A. Rivers misses free throw 1 of 2
6:54.0,,,29-37,,Offensive rebound by Team
6:54.0,,,29-38,1,A. Rivers makes free throw 2 of 2
6:54.0,,,29-37,,D. Jordan enters the game for W. Johnson
6:54.0,K. Leonard enters the game for K. Anderson,,29-37,,
6:35.0,K. Leonard misses 2-pt shot from 1 ft,,29-38,,
6:35.0,Offensive rebound by L. Aldridge,,29-38,,
6:32.0,L. Aldridge makes 2-pt shot at rim,2,31-38,,
6:27.0,,,31-38,,LA Clippers full timeout
6:27.0,,,31-38,,C. Paul enters the game for A. Rivers
6:27.0,,,31-38,,L. Mbah a Moute enters the game for R. Felton
6:16.0,,,31-38,,J. Crawford misses 3-pt shot from 25 ft
6:16.0,Defensive rebound by Team,,31-38,,
6:16.0,,,31-38,,J. Redick enters the game for J. Crawford
6:02.0,K. Leonard misses 2-pt shot from 14 ft,,31-38,,
6:00.0,,,31-38,,Defensive rebound by C. Paul
5:53.0,,,31-40,2,L. Mbah a Moute makes 2-pt shot from 19 ft
5:47.0,Turnover by Team (back court),,31-40,,
5:47.0,J. Simmons enters the game for D. Green,,31-40,,
5:33.0,,,31-42,2,L. Mbah a Moute makes 2-pt shot from 1 ft
5:18.0,T. Parker misses 2-pt shot from 21 ft,,31-42,,
5:18.0,,,31-42,,Defensive rebound by M. Speights
5:08.0,,,31-44,2,C. Paul makes 2-pt shot from 11 ft
4:51.0,J. Simmons misses 2-pt shot from 18 ft,,31-44,,
4:50.0,Offensive rebound by P. Gasol,,31-44,,
4:39.0,K. Leonard makes 3-pt shot from 24 ft (assist by T. Parker),3,34-44,,
4:26.0,,,34-46,2,M. Speights makes 2-pt shot from 2 ft (assist by C. Paul)
4:26.0,,,34-46,,Shooting foul by J. Simmons (drawn by M. Speights)
4:26.0,,,34-47,1,M. Speights makes free throw 1 of 1
4:26.0,P. Mills enters the game for T. Parker,,34-46,,
4:02.0,K. Leonard makes 2-pt shot from 16 ft (assist by P. Mills),2,36-47,,
3:43.0,Personal foul by P. Gasol (drawn by C. Paul),,36-47,,
3:34.0,,,36-47,,C. Paul misses 2-pt shot from 17 ft
3:33.0,Defensive rebound by K. Leonard,,36-47,,
3:22.0,J. Simmons misses 2-pt shot from 1 ft (block by D. Jordan),,36-47,,
3:21.0,,,36-47,,Defensive rebound by C. Paul
3:19.0,Personal foul by J. Simmons (drawn by C. Paul),,36-47,,
3:19.0,,,36-48,1,C. Paul makes free throw 1 of 2
3:19.0,,,36-49,1,C. Paul makes free throw 2 of 2
3:19.0,D. Green enters the game for J. Simmons,,36-48,,
3:05.0,L. Aldridge misses 2-pt shot from 9 ft (block by D. Jordan),,36-49,,
3:03.0,,,36-49,,Defensive rebound by D. Jordan
2:50.0,,,36-49,,L. Mbah a Moute misses 2-pt shot from 1 ft (block by L. Aldridge)
2:49.0,Defensive rebound by P. Mills,,36-49,,
2:33.0,P. Mills misses 3-pt shot from 23 ft,,36-49,,
2:32.0,,,36-49,,Defensive rebound by L. Mbah a Moute
2:22.0,Personal foul by P. Mills,,36-49,,
2:22.0,,,36-49,,C. Paul misses free throw 1 of 2
2:22.0,,,36-49,,Offensive rebound by Team
2:22.0,,,36-50,1,C. Paul makes free throw 2 of 2
1:57.0,K. Leonard makes 2-pt shot at rim (assist by D. Green),2,38-50,,
1:43.0,,,38-50,,Offensive foul by D. Jordan
1:43.0,,,38-50,,Turnover by D. Jordan (offensive foul)
1:29.0,Turnover by K. Leonard (traveling),,38-50,,
1:15.0,,,38-52,2,C. Paul makes 2-pt shot from 16 ft
0:53.0,P. Mills makes 3-pt shot from 23 ft (assist by K. Leonard),3,41-52,,
0:39.0,,,41-55,3,C. Paul makes 3-pt shot from 26 ft
0:36.0,,,41-55,,Personal foul by C. Paul
0:36.0,,,41-55,,A. Rivers enters the game for J. Redick
0:36.0,,,41-55,,W. Johnson enters the game for L. Mbah a Moute
0:30.0,Shooting foul by D. Jordan (drawn by P. Gasol),,41-55,,
0:30.0,P. Gasol makes free throw 1 of 2,1,42-55,,
0:30.0,P. Gasol makes free throw 2 of 2,1,43-55,,
0:30.0,,,43-55,,LA Clippers full timeout
0:30.0,D. Murray enters the game for P. Mills,,42-55,,
0:30.0,,,43-55,,J. Redick enters the game for W. Johnson
0:30.0,,,43-55,,J. Crawford enters the game for A. Rivers
0:06.0,,,43-55,,C. Paul misses 2-pt shot from 18 ft (block by P. Gasol)
0:06.0,,,43-55,,Offensive rebound by D. Jordan
0:06.0,,,43-57,2,D. Jordan makes 2-pt shot at rim
0:02.0,D. Murray misses 2-pt shot from 8 ft,,43-57,,
0:00.0,Offensive rebound by K. Leonard,,43-57,,
0:00.0,K. Leonard makes 2-pt shot from 2 ft,2,45-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,45-57,,C. Paul misses 2-pt shot from 19 ft
11:34.0,Defensive rebound by L. Aldridge,,45-57,,
11:16.0,D. Green makes 3-pt shot from 23 ft (assist by L. Aldridge),3,48-57,,
11:04.0,,,48-60,3,L. Mbah a Moute makes 3-pt shot from 25 ft
10:50.0,Shooting foul by J. Redick (drawn by P. Gasol),,48-60,,
10:50.0,P. Gasol makes free throw 1 of 2,1,49-60,,
10:50.0,P. Gasol makes free throw 2 of 2,1,50-60,,
10:40.0,,,50-60,,Offensive foul by C. Paul
10:40.0,,,50-60,,Turnover by C. Paul (offensive foul)
10:17.0,D. Green misses 2-pt shot from 11 ft,,50-60,,
10:16.0,Offensive rebound by P. Gasol,,50-60,,
10:16.0,P. Gasol makes 2-pt shot at rim,2,52-60,,
10:14.0,Personal foul by D. Green (drawn by C. Paul),,52-60,,
10:04.0,,,52-62,2,C. Paul makes 2-pt shot from 16 ft
9:53.0,T. Parker misses 2-pt shot from 17 ft,,52-62,,
9:52.0,,,52-62,,Defensive rebound by C. Paul
9:39.0,,,52-62,,J. Redick misses 2-pt shot from 2 ft
9:39.0,Defensive rebound by P. Gasol,,52-62,,
9:30.0,L. Aldridge misses 2-pt shot from 7 ft,,52-62,,
9:30.0,,,52-62,,Defensive rebound by D. Jordan
9:23.0,,,52-62,,Shooting foul by L. Aldridge (drawn by J. Redick)
9:23.0,,,52-63,1,J. Redick makes free throw 1 of 2
9:23.0,,,52-64,1,J. Redick makes free throw 2 of 2
9:07.0,T. Parker misses 2-pt shot from 18 ft,,52-64,,
9:06.0,,,52-64,,Defensive rebound by D. Jordan
8:56.0,Personal foul by P. Gasol (drawn by C. Paul),,52-64,,
8:47.0,,,52-64,,D. Jordan misses 2-pt shot from 2 ft
8:45.0,Defensive rebound by L. Aldridge,,52-64,,
8:40.0,D. Green misses 3-pt shot from 24 ft,,52-64,,
8:38.0,Offensive rebound by L. Aldridge,,52-64,,
8:38.0,L. Aldridge makes 2-pt shot at rim,2,54-64,,
8:25.0,,,54-64,,P. Pierce misses 3-pt shot from 25 ft
8:25.0,Defensive rebound by P. Gasol,,54-64,,
8:09.0,T. Parker misses 3-pt shot from 24 ft (block by L. Mbah a Moute),,54-64,,
8:08.0,Offensive rebound by K. Leonard,,54-64,,
8:08.0,Shooting foul by P. Pierce (drawn by K. Leonard),,54-64,,
8:08.0,K. Leonard makes free throw 1 of 2,1,55-64,,
8:08.0,K. Leonard makes free throw 2 of 2,1,56-64,,
7:52.0,Personal foul by L. Aldridge (drawn by D. Jordan),,56-64,,
7:52.0,,,56-64,,B. Bass enters the game for P. Pierce
7:44.0,,,56-66,2,B. Bass makes 2-pt shot from 16 ft (assist by C. Paul)
7:27.0,L. Aldridge makes 2-pt shot from 4 ft,2,58-66,,
7:22.0,,,58-66,,L. Mbah a Moute misses 2-pt shot from 1 ft (block by K. Leonard)
7:20.0,Defensive rebound by K. Leonard,,58-66,,
7:11.0,P. Gasol misses 3-pt shot from 24 ft,,58-66,,
7:09.0,Offensive rebound by D. Green,,58-66,,
7:06.0,Turnover by D. Green (bad pass; steal by J. Redick),,58-66,,
7:00.0,,,58-66,,J. Redick misses 2-pt shot from 1 ft (block by K. Leonard)
6:57.0,Defensive rebound by K. Leonard,,58-66,,
6:53.0,D. Green misses 3-pt shot from 25 ft,,58-66,,
6:52.0,Offensive rebound by P. Gasol,,58-66,,
6:52.0,P. Gasol makes 2-pt shot from 1 ft,2,60-66,,
6:52.0,,,60-66,,LA Clippers full timeout
6:52.0,J. Simmons enters the game for D. Green,,60-66,,
6:51.0,Personal take foul by P. Gasol (drawn by D. Jordan),,60-66,,
6:51.0,,,60-66,,D. Jordan misses free throw 1 of 2
6:51.0,,,60-66,,Offensive rebound by Team
6:51.0,,,60-67,1,D. Jordan makes free throw 2 of 2
6:31.0,K. Leonard misses 2-pt shot from 15 ft,,60-67,,
6:29.0,,,60-67,,Defensive rebound by D. Jordan
6:18.0,,,60-67,,C. Paul misses 2-pt shot from 19 ft
6:16.0,Defensive rebound by T. Parker,,60-67,,
6:06.0,L. Aldridge misses 2-pt shot from 17 ft,,60-67,,
6:05.0,,,60-67,,Defensive rebound by C. Paul
5:57.0,,,60-67,,Shooting foul by L. Aldridge (drawn by D. Jordan)
5:57.0,,,60-68,1,D. Jordan makes free throw 1 of 2
5:57.0,,,60-69,1,D. Jordan makes free throw 2 of 2
5:57.0,,,60-68,,J. Crawford enters the game for J. Redick
5:57.0,D. Lee enters the game for L. Aldridge,,60-68,,
5:42.0,K. Leonard makes 2-pt shot from 2 ft (assist by P. Gasol),2,62-69,,
5:32.0,,,62-71,2,C. Paul makes 2-pt shot from 12 ft
5:05.0,K. Leonard misses 2-pt shot from 2 ft,,62-71,,
5:05.0,,,62-71,,Defensive rebound by Team
5:01.0,Personal foul by K. Leonard (drawn by C. Paul),,62-71,,
5:01.0,,,62-72,1,C. Paul makes free throw 1 of 2
5:01.0,,,62-73,1,C. Paul makes free throw 2 of 2
5:01.0,D. Green enters the game for K. Leonard,,62-72,,
5:01.0,,,62-72,,A. Rivers enters the game for L. Mbah a Moute
4:45.0,J. Simmons makes 2-pt shot at rim (assist by P. Gasol),2,64-73,,
4:33.0,,,64-73,,Offensive foul by J. Crawford
4:33.0,,,64-73,,Turnover by J. Crawford (offensive foul)
4:33.0,P. Mills enters the game for T. Parker,,64-73,,
4:33.0,,,64-73,,R. Felton enters the game for C. Paul
4:20.0,P. Gasol misses 2-pt shot from 19 ft,,64-73,,
4:19.0,,,64-73,,Defensive rebound by D. Jordan
4:00.0,,,64-75,2,R. Felton makes 2-pt shot from 18 ft
3:40.0,P. Gasol makes 3-pt shot from 24 ft (assist by J. Simmons),3,67-75,,
3:25.0,,,67-75,,A. Rivers misses 2-pt shot from 1 ft (block by P. Gasol)
3:25.0,,,67-75,,Offensive rebound by Team
3:25.0,D. Dedmon enters the game for P. Gasol,,67-75,,
3:25.0,,,67-75,,M. Speights enters the game for D. Jordan
3:14.0,,,67-75,,M. Speights misses 2-pt shot from 2 ft
3:14.0,,,67-75,,Offensive rebound by M. Speights
3:14.0,,,67-75,,Shooting foul by D. Lee (drawn by M. Speights)
3:14.0,,,67-76,1,M. Speights makes free throw 1 of 2
3:14.0,San Antonio full timeout,,67-76,,
3:14.0,,,67-77,1,M. Speights makes free throw 2 of 2
2:51.0,D. Dedmon misses 2-pt shot from 7 ft,,67-77,,
2:51.0,,,67-77,,Defensive rebound by J. Crawford
2:37.0,,,67-77,,M. Speights misses 3-pt shot from 27 ft
2:35.0,,,67-77,,Offensive rebound by B. Bass
2:29.0,,,67-79,2,B. Bass makes 2-pt shot from 1 ft (assist by M. Speights)
2:12.0,D. Green makes 2-pt shot from 2 ft (assist by D. Dedmon),2,69-79,,
1:55.0,,,69-79,,R. Felton misses 2-pt shot from 18 ft
1:55.0,Defensive rebound by D. Lee,,69-79,,
1:43.0,P. Mills misses 2-pt shot from 18 ft,,69-79,,
1:41.0,Offensive rebound by D. Lee,,69-79,,
1:36.0,D. Lee makes 2-pt shot from 2 ft (assist by D. Dedmon),2,71-79,,
1:11.0,,,71-81,2,A. Rivers makes 2-pt shot from 2 ft
1:00.0,,,71-81,,Personal foul by J. Crawford (drawn by J. Simmons)
0:48.0,D. Dedmon makes 2-pt shot at rim (assist by D. Lee),2,73-81,,
0:35.0,,,73-81,,R. Felton misses 3-pt shot from 23 ft
0:33.0,Defensive rebound by D. Dedmon,,73-81,,
0:17.0,Turnover by J. Simmons (lost ball; steal by J. Crawford),,73-81,,
0:12.0,,,73-81,,J. Crawford misses 2-pt shot from 2 ft (block by J. Simmons)
0:10.0,Defensive rebound by P. Mills,,73-81,,
0:04.0,J. Simmons misses 2-pt shot from 12 ft,,73-81,,
0:02.0,,,73-81,,Defensive rebound by B. Bass
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,K. Leonard misses 2-pt shot from 10 ft,,73-81,,
11:31.0,Offensive rebound by D. Lee,,73-81,,
11:26.0,D. Green makes 3-pt shot from 26 ft (assist by D. Lee),3,76-81,,
11:08.0,,,76-81,,M. Speights misses 3-pt shot from 25 ft
11:07.0,Defensive rebound by D. Lee,,76-81,,
11:01.0,,,76-81,,Personal foul by A. Rivers (drawn by K. Leonard)
10:50.0,K. Leonard misses 2-pt shot from 21 ft,,76-81,,
10:49.0,,,76-81,,Defensive rebound by M. Speights
10:37.0,,,76-84,3,W. Johnson makes 3-pt shot from 24 ft (assist by R. Felton)
10:22.0,P. Mills misses 3-pt shot from 25 ft,,76-84,,
10:22.0,,,76-84,,Defensive rebound by W. Johnson
10:10.0,,,76-86,2,J. Crawford makes 2-pt shot from 21 ft (assist by M. Speights)
10:09.0,San Antonio full timeout,,76-86,,
10:09.0,J. Simmons enters the game for D. Lee,,76-86,,
9:51.0,K. Leonard misses 2-pt shot from 5 ft,,76-86,,
9:51.0,Offensive rebound by K. Leonard,,76-86,,
9:51.0,Shooting foul by R. Felton (drawn by K. Leonard),,76-86,,
9:51.0,K. Leonard misses free throw 1 of 2,,76-86,,
9:51.0,Offensive rebound by Team,,76-86,,
9:51.0,K. Leonard makes free throw 2 of 2,1,77-86,,
9:29.0,,,77-88,2,M. Speights makes 2-pt shot from 2 ft (assist by W. Johnson)
9:05.0,J. Simmons misses 3-pt shot from 25 ft (block by J. Crawford),,77-88,,
9:04.0,,,77-88,,Defensive rebound by R. Felton
8:58.0,,,77-88,,W. Johnson misses 3-pt shot from 25 ft
8:57.0,Defensive rebound by D. Green,,77-88,,
8:36.0,J. Simmons makes 3-pt shot from 23 ft (assist by K. Leonard),3,80-88,,
8:13.0,,,80-91,3,W. Johnson makes 3-pt shot from 25 ft (assist by M. Speights)
8:04.0,,,80-91,,Personal foul by M. Speights (drawn by D. Dedmon)
8:04.0,T. Parker enters the game for P. Mills,,80-91,,
7:50.0,Offensive charge foul by K. Leonard,,80-91,,
7:50.0,Turnover by K. Leonard (offensive foul),,80-91,,
7:36.0,,,80-91,,J. Crawford misses 3-pt shot from 24 ft
7:35.0,Defensive rebound by J. Simmons,,80-91,,
7:27.0,J. Simmons misses 2-pt shot from 17 ft,,80-91,,
7:25.0,Offensive rebound by K. Leonard,,80-91,,
7:17.0,K. Leonard misses 2-pt shot from 7 ft (block by W. Johnson),,80-91,,
7:17.0,Offensive rebound by Team,,80-91,,
7:13.0,J. Simmons misses 2-pt shot from 9 ft,,80-91,,
7:11.0,,,80-91,,Defensive rebound by R. Felton
7:03.0,,,80-91,,M. Speights misses 3-pt shot from 24 ft
7:01.0,Defensive rebound by J. Simmons,,80-91,,
6:52.0,T. Parker misses 3-pt shot from 23 ft,,80-91,,
6:51.0,,,80-91,,Defensive rebound by M. Speights
6:47.0,,,80-91,,LA Clippers full timeout
6:47.0,K. Anderson enters the game for K. Leonard,,80-91,,
6:47.0,D. Murray enters the game for J. Simmons,,80-91,,
6:47.0,P. Gasol enters the game for D. Dedmon,,80-91,,
6:33.0,,,80-91,,W. Johnson misses 3-pt shot from 23 ft
6:32.0,,,80-91,,Offensive rebound by M. Speights
6:22.0,,,80-93,2,R. Felton makes 2-pt shot from 2 ft
6:07.0,D. Green makes 2-pt shot from 2 ft,2,82-93,,
5:45.0,,,82-95,2,R. Felton makes 2-pt shot from 1 ft
5:44.0,,,82-95,,Violation by Team (jump ball)
