time,Philadelphia,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. N. Noel (A. Horford gains possession),,,,Jump ball: A. Johnson vs. N. Noel (A. Horford gains possession)
11:38.0,,,0-0,,Turnover by A. Johnson (lost ball; steal by E. Ilyasova)
11:23.0,Turnover by G. Henderson (bad pass; steal by M. Smart),,0-0,,
11:08.0,,,0-0,,Turnover by M. Smart (bad pass; steal by G. Henderson)
11:02.0,R. Covington makes 2-pt shot from 3 ft (assist by N. Noel),2,2-0,,
10:47.0,,,2-0,,Turnover by A. Horford (lost ball; steal by R. Covington)
10:34.0,G. Henderson makes 2-pt shot from 21 ft (assist by N. Noel),2,4-0,,
10:34.0,,,4-0,,Boston full timeout
10:24.0,,,4-0,,Turnover by I. Thomas (bad pass; steal by T. McConnell)
10:20.0,N. Noel makes 2-pt shot at rim,2,6-0,,
10:03.0,,,6-3,3,J. Crowder makes 3-pt shot from 25 ft (assist by A. Horford)
9:49.0,E. Ilyasova misses 3-pt shot from 26 ft,,6-3,,
9:48.0,,,6-3,,Defensive rebound by M. Smart
9:38.0,,,6-5,2,J. Crowder makes 2-pt shot from 18 ft (assist by M. Smart)
9:22.0,G. Henderson makes 2-pt shot from 9 ft (assist by T. McConnell),2,8-5,,
9:07.0,,,8-8,3,I. Thomas makes 3-pt shot from 25 ft (assist by M. Smart)
8:40.0,E. Ilyasova misses 2-pt shot from 12 ft,,8-8,,
8:39.0,,,8-8,,Defensive rebound by A. Horford
8:33.0,,,8-8,,Turnover by J. Crowder (bad pass; steal by R. Covington)
8:28.0,R. Covington makes 3-pt shot from 26 ft (assist by N. Noel),3,11-8,,
8:10.0,,,11-8,,A. Johnson misses 2-pt shot from 6 ft
8:09.0,,,11-8,,Offensive rebound by J. Crowder
8:09.0,,,11-8,,J. Crowder misses 2-pt shot from 1 ft
8:08.0,,,11-8,,Offensive rebound by J. Crowder
8:06.0,,,11-10,2,J. Crowder makes 2-pt shot from 3 ft
8:06.0,,,11-10,,Shooting foul by E. Ilyasova (drawn by J. Crowder)
8:06.0,,,11-11,1,J. Crowder makes free throw 1 of 1
7:53.0,N. Noel misses 2-pt shot from 15 ft,,11-11,,
7:52.0,,,11-11,,Defensive rebound by A. Johnson
7:44.0,,,11-14,3,I. Thomas makes 3-pt shot from 25 ft
7:34.0,T. McConnell misses 2-pt shot from 2 ft,,11-14,,
7:34.0,,,11-14,,Defensive rebound by A. Horford
7:20.0,,,11-16,2,M. Smart makes 2-pt shot from 10 ft
7:10.0,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell),3,14-16,,
6:53.0,,,14-16,,A. Johnson misses 2-pt shot from 1 ft
6:53.0,Defensive rebound by R. Covington,,14-16,,
6:39.0,E. Ilyasova misses 2-pt shot from 3 ft,,14-16,,
6:39.0,Offensive rebound by E. Ilyasova,,14-16,,
6:36.0,E. Ilyasova misses 2-pt shot from 3 ft,,14-16,,
6:36.0,,,14-16,,Defensive rebound by M. Smart
6:32.0,,,14-16,,Shooting foul by R. Covington (drawn by A. Horford)
6:32.0,,,14-16,,A. Horford misses free throw 1 of 2
6:32.0,,,14-16,,Offensive rebound by Team
6:32.0,,,14-17,1,A. Horford makes free throw 2 of 2
6:32.0,D. Saric enters the game for E. Ilyasova,,14-16,,
6:32.0,N. Stauskas enters the game for G. Henderson,,14-16,,
6:05.0,N. Noel misses 2-pt shot from 7 ft (block by M. Smart),,14-17,,
6:04.0,,,14-17,,Defensive rebound by M. Smart
6:04.0,,,14-17,,Turnover by M. Smart (lost ball; steal by N. Noel)
6:02.0,T. McConnell makes 2-pt shot from 2 ft,2,16-17,,
5:48.0,,,16-20,3,I. Thomas makes 3-pt shot from 25 ft
5:32.0,D. Saric misses 3-pt shot from 25 ft,,16-20,,
5:32.0,Offensive rebound by Team,,16-20,,
5:32.0,J. Okafor enters the game for N. Noel,,16-20,,
5:32.0,,,16-20,,T. Rozier enters the game for M. Smart
5:32.0,,,16-20,,K. Olynyk enters the game for A. Johnson
5:12.0,N. Stauskas misses 3-pt shot from 24 ft,,16-20,,
5:11.0,Offensive rebound by R. Covington,,16-20,,
5:03.0,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell),3,19-20,,
4:48.0,,,19-20,,Shooting foul by R. Covington (drawn by I. Thomas)
4:48.0,,,19-21,1,I. Thomas makes free throw 1 of 2
4:48.0,,,19-22,1,I. Thomas makes free throw 2 of 2
4:48.0,T. Luwawu-Cabarrot enters the game for R. Covington,,19-21,,
4:38.0,T. McConnell misses 2-pt shot from 7 ft,,19-22,,
4:36.0,,,19-22,,Defensive rebound by Team
4:19.0,,,19-22,,I. Thomas misses 2-pt shot from 3 ft
4:18.0,Defensive rebound by T. Luwawu-Cabarrot,,19-22,,
4:12.0,D. Saric misses 2-pt shot from 2 ft,,19-22,,
4:11.0,,,19-22,,Defensive rebound by K. Olynyk
4:08.0,Shooting block foul by T. Luwawu-Cabarrot (drawn by J. Crowder),,19-22,,
4:08.0,,,19-23,1,J. Crowder makes free throw 1 of 2
4:08.0,,,19-24,1,J. Crowder makes free throw 2 of 2
4:08.0,S. Rodriguez enters the game for T. McConnell,,19-23,,
4:08.0,,,19-23,,G. Green enters the game for I. Thomas
3:49.0,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft,,19-24,,
3:48.0,,,19-24,,Defensive rebound by Team
3:35.0,,,19-26,2,A. Horford makes 2-pt shot from 21 ft (assist by K. Olynyk)
3:15.0,D. Saric makes 2-pt shot at rim (assist by J. Okafor),2,21-26,,
3:06.0,,,21-26,,T. Rozier misses 2-pt shot from 2 ft (block by J. Okafor)
3:05.0,Defensive rebound by J. Okafor,,21-26,,
2:59.0,D. Saric makes 2-pt shot from 1 ft,2,23-26,,
2:52.0,,,23-26,,K. Olynyk misses 2-pt shot from 2 ft
2:51.0,Defensive rebound by S. Rodriguez,,23-26,,
2:45.0,J. Okafor misses 2-pt shot from 2 ft,,23-26,,
2:44.0,,,23-26,,Defensive rebound by K. Olynyk
2:37.0,,,23-29,3,K. Olynyk makes 3-pt shot from 24 ft (assist by G. Green)
2:37.0,Philadelphia full timeout,,23-29,,
2:37.0,,,23-29,,J. Jerebko enters the game for A. Horford
2:22.0,D. Saric misses 2-pt shot from 2 ft (block by J. Jerebko),,23-29,,
2:21.0,Offensive rebound by Team,,23-29,,
2:18.0,J. Okafor makes 2-pt shot from 2 ft (assist by S. Rodriguez),2,25-29,,
2:01.0,,,25-29,,J. Crowder misses 2-pt shot from 1 ft
2:01.0,,,25-29,,Offensive rebound by Team
1:57.0,,,25-29,,G. Green misses 2-pt shot from 14 ft
1:56.0,Defensive rebound by J. Okafor,,25-29,,
1:44.0,S. Rodriguez misses 2-pt shot from 16 ft,,25-29,,
1:43.0,Offensive rebound by J. Okafor,,25-29,,
1:42.0,Turnover by J. Okafor (traveling),,25-29,,
1:21.0,,,25-29,,Turnover by K. Olynyk (lost ball; steal by T. Luwawu-Cabarrot)
1:14.0,D. Saric makes 2-pt shot from 1 ft (assist by T. Luwawu-Cabarrot),2,27-29,,
1:00.0,,,27-29,,G. Green misses 2-pt shot from 2 ft
1:00.0,Defensive rebound by N. Stauskas,,27-29,,
0:54.0,D. Saric misses 3-pt shot from 24 ft,,27-29,,
0:53.0,,,27-29,,Defensive rebound by J. Jerebko
0:41.0,,,27-29,,T. Rozier misses 2-pt shot from 1 ft
0:41.0,Defensive rebound by D. Saric,,27-29,,
0:39.0,J. Okafor makes 2-pt shot at rim,2,29-29,,
0:26.0,,,29-29,,J. Crowder misses 3-pt shot from 26 ft
0:24.0,Defensive rebound by N. Stauskas,,29-29,,
0:01.0,D. Saric misses 3-pt shot from 24 ft,,29-29,,
0:00.0,Offensive rebound by Team,,29-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Turnover by N. Stauskas (bad pass; steal by M. Smart),,29-29,,
11:33.0,,,29-31,2,K. Olynyk makes 2-pt shot from 2 ft (assist by M. Smart)
11:14.0,Turnover by T. Luwawu-Cabarrot (lost ball; steal by K. Olynyk),,29-31,,
11:09.0,,,29-33,2,T. Rozier makes 2-pt shot at rim (assist by M. Smart)
10:49.0,Shooting foul by J. Jerebko (drawn by T. Luwawu-Cabarrot),,29-33,,
10:49.0,T. Luwawu-Cabarrot misses free throw 1 of 2,,29-33,,
10:49.0,Offensive rebound by Team,,29-33,,
10:49.0,T. Luwawu-Cabarrot makes free throw 2 of 2,1,30-33,,
10:49.0,N. Noel enters the game for D. Saric,,29-33,,
10:49.0,E. Ilyasova enters the game for N. Stauskas,,29-33,,
