time,New York,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. J. Noah (I. Whitehead gains possession),,,,Jump ball: B. Lopez vs. J. Noah (I. Whitehead gains possession)
11:35.0,,,0-0,,R. Hollis-Jefferson misses 2-pt shot from 7 ft
11:34.0,Defensive rebound by J. Noah,,0-0,,
11:18.0,Turnover by J. Noah (bad pass),,0-0,,
11:07.0,,,0-0,,Shooting foul by K. Porzingis (drawn by R. Hollis-Jefferson)
11:07.0,,,0-1,1,R. Hollis-Jefferson makes free throw 1 of 2
11:07.0,,,0-2,1,R. Hollis-Jefferson makes free throw 2 of 2
10:47.0,Turnover by C. Anthony (bad pass; steal by B. Lopez),,0-2,,
10:43.0,,,0-4,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by I. Whitehead)
10:27.0,K. Porzingis misses 2-pt shot from 11 ft,,0-4,,
10:26.0,,,0-4,,Defensive rebound by R. Foye
10:19.0,,,0-4,,Turnover by R. Hollis-Jefferson (lost ball; steal by B. Jennings)
10:09.0,C. Anthony misses 2-pt shot from 23 ft,,0-4,,
10:08.0,Offensive rebound by K. Porzingis,,0-4,,
10:06.0,K. Porzingis misses 2-pt shot from 9 ft,,0-4,,
10:05.0,,,0-4,,Defensive rebound by R. Foye
9:54.0,,,0-6,2,B. Bogdanovic makes 2-pt shot from 1 ft
9:54.0,,,0-6,,Shooting foul by J. Noah (drawn by B. Bogdanovic)
9:54.0,,,0-6,,B. Bogdanovic misses free throw 1 of 1
9:53.0,Defensive rebound by K. Porzingis,,0-6,,
9:34.0,C. Anthony makes 2-pt shot from 18 ft,2,2-6,,
9:21.0,,,2-6,,B. Bogdanovic misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by K. Porzingis,,2-6,,
9:07.0,C. Anthony misses 2-pt shot from 14 ft,,2-6,,
9:06.0,,,2-6,,Defensive rebound by R. Foye
8:53.0,,,2-6,,Turnover by R. Foye (traveling)
8:40.0,K. Porzingis misses 3-pt shot from 27 ft,,2-6,,
8:39.0,Offensive rebound by C. Lee,,2-6,,
8:35.0,C. Lee makes 2-pt shot from 13 ft,2,4-6,,
8:20.0,,,4-8,2,B. Lopez makes 2-pt shot from 6 ft
8:03.0,B. Jennings misses 3-pt shot from 27 ft,,4-8,,
8:01.0,,,4-8,,Defensive rebound by B. Bogdanovic
7:51.0,,,4-8,,Turnover by B. Bogdanovic (bad pass)
7:38.0,Shooting foul by I. Whitehead (drawn by C. Lee),,4-8,,
7:38.0,B. Jennings misses free throw 1 of 2,,4-8,,
7:38.0,Offensive rebound by Team,,4-8,,
7:38.0,B. Jennings makes free throw 2 of 2,1,5-8,,
7:30.0,,,5-10,2,R. Hollis-Jefferson makes 2-pt shot from 3 ft
7:20.0,B. Jennings misses 2-pt shot from 8 ft,,5-10,,
7:18.0,Offensive rebound by J. Noah,,5-10,,
7:12.0,J. Noah makes 2-pt shot from 2 ft (assist by C. Lee),2,7-10,,
6:54.0,,,7-10,,B. Bogdanovic misses 3-pt shot from 24 ft (block by K. Porzingis)
6:52.0,Defensive rebound by B. Jennings,,7-10,,
6:42.0,C. Lee misses 3-pt shot from 25 ft,,7-10,,
6:40.0,,,7-10,,Defensive rebound by R. Foye
6:37.0,,,7-10,,Shooting foul by K. Porzingis (drawn by B. Lopez)
6:37.0,,,7-11,1,B. Lopez makes free throw 1 of 2
6:37.0,,,7-11,,B. Lopez misses free throw 2 of 2
