time,Boston,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. A. Len (D. Booker gains possession),,,,Jump ball: A. Johnson vs. A. Len (D. Booker gains possession)
11:36.0,,,0-0,,E. Bledsoe misses 2-pt shot from 10 ft
11:32.0,Defensive rebound by J. Crowder,,0-0,,
11:22.0,,,0-0,,Personal foul by T. Warren
11:15.0,I. Thomas misses 3-pt shot from 24 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by A. Len
11:01.0,,,0-0,,D. Booker misses 3-pt shot from 26 ft
11:00.0,,,0-0,,Offensive rebound by Team
11:00.0,Loose ball foul by J. Crowder (drawn by A. Len),,0-0,,
10:52.0,,,0-0,,Turnover by E. Bledsoe (bad pass; steal by J. Brown)
10:49.0,I. Thomas makes 2-pt shot from 1 ft (assist by J. Brown),2,2-0,,
10:33.0,,,2-0,,M. Chriss misses 2-pt shot from 3 ft (block by A. Johnson)
10:30.0,Defensive rebound by A. Johnson,,2-0,,
10:15.0,J. Jerebko misses 3-pt shot from 24 ft,,2-0,,
10:14.0,,,2-0,,Defensive rebound by T. Warren
10:10.0,Personal foul by J. Jerebko (drawn by A. Len),,2-0,,
9:59.0,,,2-2,2,D. Booker makes 2-pt shot from 17 ft
9:47.0,I. Thomas makes 3-pt shot from 26 ft (assist by A. Johnson),3,5-2,,
9:35.0,,,5-2,,Turnover by D. Booker (bad pass)
9:25.0,J. Crowder misses 3-pt shot from 25 ft,,5-2,,
9:24.0,,,5-2,,Defensive rebound by M. Chriss
9:07.0,,,5-2,,Turnover by M. Chriss (bad pass)
8:53.0,J. Crowder makes 2-pt shot from 22 ft (assist by A. Johnson),2,7-2,,
8:37.0,,,7-4,2,M. Chriss makes 2-pt shot at rim (assist by T. Warren)
8:22.0,A. Johnson makes 3-pt shot from 26 ft (assist by I. Thomas),3,10-4,,
8:08.0,,,10-6,2,E. Bledsoe makes 2-pt shot at rim (assist by A. Len)
7:45.0,I. Thomas makes 3-pt shot from 24 ft (assist by A. Johnson),3,13-6,,
7:44.0,,,13-6,,Phoenix full timeout
7:31.0,,,13-6,,A. Len misses 2-pt shot from 8 ft
7:28.0,Defensive rebound by J. Jerebko,,13-6,,
7:16.0,J. Crowder makes 3-pt shot from 25 ft (assist by J. Jerebko),3,16-6,,
6:58.0,,,16-6,,E. Bledsoe misses 2-pt shot from 6 ft
6:57.0,,,16-6,,Offensive rebound by A. Len
6:55.0,,,16-8,2,A. Len makes 2-pt shot from 2 ft
6:35.0,J. Jerebko misses 3-pt shot from 23 ft,,16-8,,
6:33.0,,,16-8,,Defensive rebound by E. Bledsoe
6:18.0,,,16-8,,T. Warren misses 3-pt shot from 23 ft
6:17.0,Defensive rebound by J. Brown,,16-8,,
6:04.0,Turnover by J. Brown (bad pass),,16-8,,
5:57.0,,,16-8,,Turnover by E. Bledsoe (lost ball; steal by A. Johnson)
5:54.0,I. Thomas misses 2-pt shot from 1 ft (block by M. Chriss),,16-8,,
5:54.0,Offensive rebound by J. Jerebko,,16-8,,
5:54.0,Shooting foul by D. Booker (drawn by J. Jerebko),,16-8,,
5:54.0,J. Jerebko makes free throw 1 of 2,1,17-8,,
5:54.0,J. Jerebko misses free throw 2 of 2,,17-8,,
5:54.0,,,17-8,,A. Williams enters the game for A. Len
5:53.0,Offensive rebound by A. Johnson,,17-8,,
5:51.0,Shooting foul by M. Chriss (drawn by A. Johnson),,17-8,,
5:51.0,A. Johnson makes free throw 1 of 2,1,18-8,,
5:51.0,A. Johnson makes free throw 2 of 2,1,19-8,,
5:38.0,,,19-8,,Turnover by E. Bledsoe (lost ball; steal by I. Thomas)
5:33.0,I. Thomas misses 2-pt shot from 7 ft (block by M. Chriss),,19-8,,
5:31.0,Offensive rebound by Team,,19-8,,
5:28.0,I. Thomas misses 2-pt shot from 22 ft,,19-8,,
5:27.0,,,19-8,,Defensive rebound by A. Williams
