time,Brooklyn,pts.away,score,pts.home,Philadelphia
2:27.0,,,30-22,,T. Luwawu-Cabarrot enters the game for T. McConnell
2:13.0,S. Kilpatrick makes 2-pt shot from 2 ft,2,32-22,,
2:13.0,Shooting foul by S. Long (drawn by S. Kilpatrick),,32-22,,
2:13.0,S. Kilpatrick makes free throw 1 of 1,1,33-22,,
2:01.0,,,33-22,,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft
2:00.0,Defensive rebound by S. Kilpatrick,,33-22,,
1:41.0,A. Goodwin makes 2-pt shot from 18 ft (assist by S. Dinwiddie),2,35-22,,
1:20.0,,,35-22,,N. Stauskas misses 3-pt shot from 26 ft
1:19.0,Defensive rebound by T. Booker,,35-22,,
1:02.0,S. Dinwiddie makes 3-pt shot from 24 ft,3,38-22,,
0:45.0,,,38-25,3,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by N. Stauskas)
0:32.0,Turnover by S. Kilpatrick (lost ball),,38-25,,
0:23.0,,,38-27,2,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by S. Long)
0:06.0,S. Dinwiddie makes 2-pt shot from 2 ft,2,40-27,,
0:00.0,,,40-27,,N. Stauskas misses 3-pt shot from 30 ft
0:00.0,,,40-27,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Q. Acy misses 2-pt shot from 16 ft,,40-27,,
11:44.0,,,40-27,,Defensive rebound by R. Holmes
11:29.0,,,40-29,2,T. McConnell makes 2-pt shot from 2 ft (assist by R. Holmes)
11:09.0,K. McDaniels makes 3-pt shot from 26 ft (assist by T. Booker),3,43-29,,
10:48.0,,,43-29,,R. Holmes misses 2-pt shot from 11 ft
10:46.0,Defensive rebound by Q. Acy,,43-29,,
10:36.0,Shooting foul by N. Stauskas (drawn by S. Dinwiddie),,43-29,,
10:36.0,S. Dinwiddie makes free throw 1 of 3,1,44-29,,
10:36.0,S. Dinwiddie makes free throw 2 of 3,1,45-29,,
10:36.0,S. Dinwiddie makes free throw 3 of 3,1,46-29,,
10:23.0,,,46-29,,N. Stauskas misses 2-pt shot from 17 ft
10:22.0,Defensive rebound by K. McDaniels,,46-29,,
10:15.0,K. McDaniels misses 2-pt shot from 11 ft,,46-29,,
10:13.0,,,46-29,,Defensive rebound by D. Saric
10:01.0,,,46-29,,Turnover by D. Saric (bad pass; steal by S. Dinwiddie)
9:55.0,Q. Acy misses 3-pt shot from 26 ft,,46-29,,
9:54.0,,,46-29,,Defensive rebound by N. Stauskas
9:44.0,,,46-29,,J. Anderson enters the game for N. Stauskas
9:44.0,Jump ball: Q. Acy vs. T. McConnell (T. Luwawu-Cabarrot gains possession),,,,Jump ball: Q. Acy vs. T. McConnell (T. Luwawu-Cabarrot gains possession)
9:32.0,,,46-29,,T. McConnell misses 3-pt shot from 26 ft
9:30.0,Defensive rebound by T. Booker,,46-29,,
9:24.0,T. Booker misses 2-pt shot from 2 ft (block by R. Holmes),,46-29,,
9:23.0,,,46-29,,Defensive rebound by Team
9:11.0,,,46-29,,T. McConnell misses 2-pt shot from 1 ft
9:09.0,Defensive rebound by Q. Acy,,46-29,,
8:58.0,Turnover by Q. Acy (step out of bounds),,46-29,,
8:58.0,Official timeout,,46-29,,
8:46.0,,,46-29,,T. Luwawu-Cabarrot misses 3-pt shot from 27 ft
8:45.0,Defensive rebound by T. Booker,,46-29,,
8:36.0,T. Booker makes 2-pt shot from 4 ft (assist by S. Dinwiddie),2,48-29,,
8:21.0,,,48-31,2,R. Holmes makes 2-pt shot from 11 ft (assist by T. McConnell)
