time,Portland,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Plumlee vs. M. Turner (D. Lillard gains possession),,,,Jump ball: M. Plumlee vs. M. Turner (D. Lillard gains possession)
11:40.0,M. Harkless makes 2-pt shot from 2 ft (assist by D. Lillard),2,2-0,,
11:20.0,,,2-2,2,J. Teague makes 2-pt shot from 11 ft
11:00.0,C. McCollum misses 2-pt shot from 10 ft,,2-2,,
10:59.0,,,2-2,,Defensive rebound by P. George
10:49.0,,,2-2,,T. Young misses 2-pt shot from 4 ft (block by C. McCollum)
10:47.0,Defensive rebound by D. Lillard,,2-2,,
10:44.0,M. Plumlee makes 2-pt shot from 2 ft (assist by D. Lillard),2,4-2,,
10:36.0,,,4-4,2,M. Turner makes 2-pt shot from 3 ft (assist by T. Young)
10:16.0,D. Lillard makes 3-pt shot from 25 ft (assist by C. McCollum),3,7-4,,
10:00.0,,,7-6,2,T. Young makes 2-pt shot from 17 ft (assist by M. Ellis)
9:46.0,,,7-6,,Personal foul by M. Ellis (drawn by M. Harkless)
9:39.0,C. McCollum makes 2-pt shot from 18 ft,2,9-6,,
9:16.0,,,9-6,,M. Ellis misses 3-pt shot from 26 ft
9:15.0,Defensive rebound by M. Plumlee,,9-6,,
9:03.0,D. Lillard misses 2-pt shot from 4 ft,,9-6,,
9:02.0,Offensive rebound by E. Davis,,9-6,,
9:00.0,E. Davis makes 2-pt shot from 3 ft,2,11-6,,
8:46.0,,,11-8,2,M. Ellis makes 2-pt shot from 7 ft (assist by J. Teague)
8:23.0,Turnover by M. Plumlee (lost ball; steal by P. George),,11-8,,
8:16.0,,,11-8,,P. George misses 2-pt shot from 17 ft (block by C. McCollum)
8:16.0,Defensive rebound by E. Davis,,11-8,,
8:08.0,,,11-8,,Violation by J. Teague (kicked ball)
8:04.0,Shooting foul by P. George (drawn by C. McCollum),,11-8,,
8:04.0,C. McCollum makes free throw 1 of 3,1,12-8,,
8:04.0,C. McCollum makes free throw 2 of 3,1,13-8,,
8:04.0,C. McCollum makes free throw 3 of 3,1,14-8,,
7:55.0,Personal foul by M. Harkless (drawn by P. George),,14-8,,
7:50.0,,,14-10,2,M. Turner makes 2-pt shot from 3 ft (assist by P. George)
7:33.0,M. Harkless misses 3-pt shot from 25 ft,,14-10,,
7:32.0,Offensive rebound by E. Davis,,14-10,,
7:31.0,Shooting foul by M. Turner (drawn by M. Plumlee),,14-10,,
7:31.0,M. Plumlee makes free throw 1 of 2,1,15-10,,
7:31.0,M. Plumlee makes free throw 2 of 2,1,16-10,,
7:14.0,Shooting block foul by M. Plumlee (drawn by M. Ellis),,16-10,,
7:14.0,,,16-11,1,M. Ellis makes free throw 1 of 2
7:14.0,,,16-11,,M. Ellis misses free throw 2 of 2
7:14.0,Defensive rebound by M. Plumlee,,16-11,,
7:05.0,D. Lillard makes 2-pt shot from 3 ft,2,18-11,,
6:46.0,,,18-11,,P. George misses 3-pt shot from 26 ft
6:46.0,Defensive rebound by M. Plumlee,,18-11,,
6:40.0,Shooting foul by J. Teague (drawn by D. Lillard),,18-11,,
6:40.0,D. Lillard makes free throw 1 of 3,1,19-11,,
6:40.0,D. Lillard misses free throw 2 of 3,,19-11,,
6:40.0,Offensive rebound by Team,,19-11,,
6:40.0,D. Lillard makes free throw 3 of 3,1,20-11,,
6:29.0,,,20-11,,M. Turner misses 2-pt shot from 19 ft
6:28.0,Defensive rebound by D. Lillard,,20-11,,
6:20.0,D. Lillard makes 3-pt shot from 26 ft,3,23-11,,
6:08.0,,,23-11,,P. George misses 3-pt shot from 26 ft
6:08.0,Defensive rebound by E. Davis,,23-11,,
5:58.0,D. Lillard makes 3-pt shot from 23 ft (assist by C. McCollum),3,26-11,,
5:57.0,,,26-11,,Indiana full timeout
5:46.0,,,26-14,3,J. Teague makes 3-pt shot from 25 ft (assist by M. Ellis)
