time,LA Clippers,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. M. Turner (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. M. Turner (B. Griffin gains possession)
11:49.0,Turnover by C. Paul (bad pass; steal by J. Teague),,0-0,,
11:44.0,,,0-2,2,G. Robinson makes 2-pt shot at rim (assist by J. Teague)
11:28.0,J. Redick misses 2-pt shot from 19 ft,,0-2,,
11:27.0,,,0-2,,Defensive rebound by M. Turner
11:09.0,,,0-4,2,M. Turner makes 2-pt shot from 20 ft (assist by M. Ellis)
10:59.0,Shooting foul by G. Robinson (drawn by D. Jordan),,0-4,,
10:59.0,D. Jordan misses free throw 1 of 2,,0-4,,
10:59.0,Offensive rebound by Team,,0-4,,
10:59.0,D. Jordan makes free throw 2 of 2,1,1-4,,
10:43.0,,,1-4,,M. Turner misses 2-pt shot from 19 ft
10:42.0,Defensive rebound by D. Jordan,,1-4,,
10:30.0,Shooting foul by M. Turner (drawn by L. Mbah a Moute),,1-4,,
10:30.0,L. Mbah a Moute makes free throw 1 of 2,1,2-4,,
10:30.0,L. Mbah a Moute makes free throw 2 of 2,1,3-4,,
10:24.0,,,3-4,,Turnover by J. Teague (bad pass; steal by C. Paul)
10:21.0,L. Mbah a Moute makes 2-pt shot at rim,2,5-4,,
10:10.0,,,5-6,2,G. Robinson makes 2-pt shot from 1 ft (assist by M. Turner)
10:03.0,Turnover by B. Griffin (bad pass),,5-6,,
9:52.0,,,5-8,2,M. Turner makes 2-pt shot from 17 ft (assist by J. Teague)
9:35.0,B. Griffin misses 2-pt shot from 8 ft,,5-8,,
9:35.0,,,5-8,,Defensive rebound by M. Ellis
9:27.0,,,5-8,,M. Turner misses 2-pt shot from 2 ft (block by C. Paul)
9:25.0,Defensive rebound by C. Paul,,5-8,,
9:23.0,Turnover by C. Paul (bad pass; steal by J. Teague),,5-8,,
9:17.0,,,5-10,2,G. Robinson makes 2-pt shot from 5 ft (assist by J. Teague)
9:02.0,Shooting foul by T. Young (drawn by J. Redick),,5-10,,
9:02.0,J. Redick makes free throw 1 of 2,1,6-10,,
9:02.0,J. Redick makes free throw 2 of 2,1,7-10,,
8:51.0,,,7-10,,M. Ellis misses 2-pt shot from 3 ft
8:51.0,,,7-10,,Offensive rebound by Team
8:51.0,Loose ball foul by C. Paul (drawn by J. Teague),,7-10,,
8:39.0,,,7-10,,J. Teague misses 2-pt shot from 14 ft
8:38.0,,,7-10,,Offensive rebound by M. Turner
8:37.0,,,7-10,,M. Turner misses 2-pt shot from 1 ft
8:37.0,,,7-10,,Offensive rebound by M. Turner
8:37.0,,,7-12,2,M. Turner makes 2-pt shot from 1 ft
8:30.0,Shooting foul by M. Turner (drawn by D. Jordan),,7-12,,
8:30.0,D. Jordan makes free throw 1 of 2,1,8-12,,
8:30.0,D. Jordan makes free throw 2 of 2,1,9-12,,
8:30.0,,,8-12,,A. Jefferson enters the game for M. Turner
