time,Denver,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. K. Towns (G. Dieng gains possession),,,,Jump ball: J. Nurkic vs. K. Towns (G. Dieng gains possession)
11:39.0,,,0-0,,K. Towns misses 2-pt shot from 22 ft
11:38.0,Defensive rebound by D. Gallinari,,0-0,,
11:19.0,J. Nurkic misses 2-pt shot at rim,,0-0,,
11:18.0,,,0-0,,Defensive rebound by K. Towns
11:13.0,,,0-0,,A. Wiggins misses 2-pt shot from 20 ft
11:12.0,Defensive rebound by J. Nurkic,,0-0,,
10:56.0,D. Gallinari makes 2-pt shot from 23 ft (assist by N. Jokic),2,2-0,,
10:40.0,,,2-0,,Z. LaVine misses 2-pt shot from 20 ft
10:39.0,,,2-0,,Offensive rebound by K. Towns
10:38.0,,,2-2,2,K. Towns makes 2-pt shot from 9 ft
10:18.0,J. Nurkic misses 2-pt shot from 20 ft,,2-2,,
10:17.0,,,2-2,,Defensive rebound by K. Towns
10:11.0,,,2-4,2,K. Towns makes 2-pt shot from 1 ft (assist by K. Dunn)
10:11.0,,,2-4,,Shooting foul by N. Jokic (drawn by K. Towns)
10:11.0,,,2-5,1,K. Towns makes free throw 1 of 1
9:58.0,J. Murray misses 2-pt shot from 19 ft,,2-5,,
9:57.0,,,2-5,,Defensive rebound by K. Towns
9:52.0,,,2-7,2,A. Wiggins makes 2-pt shot from 6 ft (assist by K. Dunn)
9:52.0,,,2-7,,Shooting foul by N. Jokic (drawn by A. Wiggins)
9:52.0,,,2-8,1,A. Wiggins makes free throw 1 of 1
9:52.0,K. Faried enters the game for N. Jokic,,2-7,,
9:42.0,E. Mudiay misses 2-pt shot from 18 ft,,2-8,,
9:41.0,,,2-8,,Defensive rebound by Team
9:31.0,,,2-8,,K. Towns misses 2-pt shot from 17 ft
9:30.0,Defensive rebound by D. Gallinari,,2-8,,
9:26.0,Turnover by D. Gallinari (bad pass; steal by K. Dunn),,2-8,,
9:22.0,,,2-8,,Turnover by K. Dunn (traveling)
9:07.0,D. Gallinari makes 3-pt shot from 24 ft (assist by K. Faried),3,5-8,,
8:51.0,,,5-8,,Shooting foul by J. Nurkic (drawn by K. Towns)
8:51.0,,,5-9,1,K. Towns makes free throw 1 of 2
8:51.0,,,5-10,1,K. Towns makes free throw 2 of 2
8:41.0,K. Faried makes 2-pt shot at rim (assist by E. Mudiay),2,7-10,,
8:27.0,,,7-10,,K. Towns misses 2-pt shot from 5 ft
8:26.0,Defensive rebound by D. Gallinari,,7-10,,
8:16.0,Offensive foul by K. Faried,,7-10,,
8:16.0,Turnover by K. Faried (offensive foul),,7-10,,
8:02.0,,,7-10,,A. Wiggins misses 2-pt shot from 20 ft
8:00.0,Defensive rebound by J. Nurkic,,7-10,,
7:40.0,J. Murray misses 3-pt shot from 24 ft,,7-10,,
7:39.0,,,7-10,,Defensive rebound by K. Towns
7:30.0,,,7-10,,G. Dieng misses 2-pt shot from 1 ft (block by J. Nurkic)
7:29.0,Defensive rebound by J. Murray,,7-10,,
7:24.0,K. Faried makes 2-pt shot at rim (assist by J. Murray),2,9-10,,
7:07.0,,,9-13,3,K. Towns makes 3-pt shot from 24 ft (assist by K. Dunn)
7:06.0,Denver full timeout,,9-13,,
7:06.0,D. Arthur enters the game for J. Nurkic,,9-13,,
6:48.0,Turnover by E. Mudiay (lost ball; steal by K. Dunn),,9-13,,
6:46.0,,,9-13,,Turnover by A. Wiggins (bad pass; steal by E. Mudiay)
6:25.0,D. Gallinari makes 3-pt shot from 28 ft (assist by E. Mudiay),3,12-13,,
6:17.0,,,12-13,,Minnesota full timeout
