time,Orlando,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. C. Zeller (D. Augustin gains possession),,,,Jump ball: B. Biyombo vs. C. Zeller (D. Augustin gains possession)
11:33.0,D. Augustin misses 2-pt shot from 21 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by M. Williams
11:14.0,,,0-2,2,K. Walker makes 2-pt shot from 16 ft
10:54.0,A. Gordon misses 3-pt shot from 25 ft,,0-2,,
10:53.0,,,0-2,,Defensive rebound by Team
10:46.0,Violation by B. Biyombo (kicked ball),,0-2,,
10:42.0,,,0-2,,Turnover by M. Williams (bad pass; steal by A. Gordon)
10:36.0,Turnover by A. Gordon (bad pass; steal by C. Zeller),,0-2,,
10:27.0,,,0-2,,K. Walker misses 2-pt shot from 1 ft
10:25.0,,,0-2,,Offensive rebound by C. Zeller
10:20.0,,,0-2,,M. Williams misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by D. Augustin,,0-2,,
10:03.0,D. Augustin misses 3-pt shot from 23 ft,,0-2,,
10:02.0,,,0-2,,Defensive rebound by N. Batum
9:53.0,,,0-2,,N. Batum misses 2-pt shot at rim
9:52.0,Defensive rebound by E. Fournier,,0-2,,
9:45.0,Shooting foul by M. Kidd-Gilchrist (drawn by S. Ibaka),,0-2,,
9:45.0,S. Ibaka makes free throw 1 of 2,1,1-2,,
9:45.0,S. Ibaka makes free throw 2 of 2,1,2-2,,
9:33.0,,,2-2,,M. Williams misses 3-pt shot from 23 ft
9:32.0,,,2-2,,Offensive rebound by C. Zeller
9:31.0,,,2-2,,Shooting foul by B. Biyombo (drawn by M. Williams)
9:31.0,,,2-3,1,M. Williams makes free throw 1 of 2
9:31.0,,,2-4,1,M. Williams makes free throw 2 of 2
9:23.0,E. Fournier misses 3-pt shot from 26 ft,,2-4,,
9:22.0,,,2-4,,Defensive rebound by M. Williams
9:14.0,,,2-4,,Shooting foul by E. Fournier (drawn by M. Kidd-Gilchrist)
9:14.0,,,2-5,1,M. Kidd-Gilchrist makes free throw 1 of 2
9:14.0,,,2-6,1,M. Kidd-Gilchrist makes free throw 2 of 2
8:55.0,A. Gordon misses 2-pt shot from 10 ft,,2-6,,
8:53.0,,,2-6,,Defensive rebound by C. Zeller
8:47.0,,,2-8,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft
8:47.0,Orlando full timeout,,2-8,,
8:35.0,D. Augustin misses 3-pt shot from 25 ft,,2-8,,
8:34.0,,,2-8,,Defensive rebound by M. Williams
8:25.0,,,2-10,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
8:13.0,Shooting foul by M. Williams (drawn by B. Biyombo),,2-10,,
8:13.0,B. Biyombo makes free throw 1 of 2,1,3-10,,
8:13.0,B. Biyombo misses free throw 2 of 2,,3-10,,
8:10.0,,,3-10,,Defensive rebound by M. Kidd-Gilchrist
8:01.0,Personal foul by E. Fournier (drawn by M. Kidd-Gilchrist),,3-10,,
8:01.0,J. Green enters the game for E. Fournier,,3-10,,
7:54.0,,,3-12,2,N. Batum makes 2-pt shot from 19 ft
7:35.0,Turnover by S. Ibaka (bad pass; steal by M. Williams),,3-12,,
7:35.0,Personal foul by D. Augustin (drawn by M. Williams),,3-12,,
7:09.0,,,3-12,,M. Kidd-Gilchrist misses 2-pt shot from 22 ft
7:09.0,,,3-12,,Offensive rebound by Team
7:05.0,,,3-12,,Turnover by K. Walker (bad pass; steal by A. Gordon)
7:01.0,D. Augustin misses 2-pt shot at rim,,3-12,,
6:56.0,Offensive rebound by A. Gordon,,3-12,,
6:56.0,A. Gordon makes 2-pt shot from 1 ft,2,5-12,,
6:48.0,,,5-12,,Turnover by M. Williams (bad pass; steal by D. Augustin)
6:45.0,D. Augustin makes 2-pt shot from 1 ft,2,7-12,,
6:22.0,,,7-12,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft
6:20.0,,,7-12,,Offensive rebound by C. Zeller
6:15.0,,,7-14,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum)
5:53.0,A. Gordon makes 2-pt shot from 18 ft,2,9-14,,
5:35.0,,,9-16,2,M. Kidd-Gilchrist makes 2-pt shot from 12 ft (assist by K. Walker)
5:10.0,S. Ibaka makes 3-pt shot from 25 ft (assist by A. Gordon),3,12-16,,
4:47.0,,,12-16,,M. Williams misses 3-pt shot from 25 ft
4:45.0,Defensive rebound by B. Biyombo,,12-16,,
4:25.0,B. Biyombo makes 2-pt shot from 3 ft (assist by S. Ibaka),2,14-16,,
