time,Philadelphia,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. J. Okafor (C. Paul gains possession),,,,Jump ball: D. Jordan vs. J. Okafor (C. Paul gains possession)
11:51.0,,,0-0,,Turnover by J. Redick (lost ball; steal by T. Luwawu-Cabarrot)
11:41.0,T. Luwawu-Cabarrot misses 3-pt shot from 24 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by D. Jordan
11:27.0,,,0-0,,J. Redick misses 2-pt shot from 19 ft
11:25.0,Defensive rebound by J. Okafor,,0-0,,
11:12.0,J. Okafor makes 2-pt shot from 15 ft,2,2-0,,
10:53.0,,,2-0,,J. Redick misses 3-pt shot from 25 ft
10:53.0,Defensive rebound by R. Covington,,2-0,,
10:44.0,D. Saric misses 2-pt shot from 21 ft,,2-0,,
10:43.0,,,2-0,,Defensive rebound by D. Jordan
10:31.0,,,2-2,2,B. Griffin makes 2-pt shot from 3 ft
10:11.0,J. Okafor misses 2-pt shot from 12 ft,,2-2,,
10:10.0,,,2-2,,Defensive rebound by D. Jordan
10:03.0,,,2-2,,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Redick)
10:03.0,,,2-5,3,J. Redick makes 3-pt shot from 25 ft (assist by D. Jordan)
10:03.0,,,2-6,1,J. Redick makes free throw 1 of 1
9:50.0,D. Saric misses 3-pt shot from 24 ft,,2-6,,
9:49.0,,,2-6,,Defensive rebound by D. Jordan
9:38.0,,,2-6,,Turnover by B. Griffin (bad pass; steal by J. Okafor)
9:31.0,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell),3,5-6,,
9:16.0,Personal foul by R. Covington (drawn by J. Redick),,5-6,,
9:08.0,,,5-9,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
8:44.0,J. Okafor makes 2-pt shot from 14 ft (assist by D. Saric),2,7-9,,
8:39.0,,,7-9,,Turnover by C. Paul (bad pass; steal by J. Okafor)
8:27.0,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by J. Okafor),3,10-9,,
8:15.0,,,10-9,,J. Redick misses 3-pt shot from 24 ft
8:14.0,Defensive rebound by J. Okafor,,10-9,,
8:04.0,R. Covington makes 3-pt shot from 26 ft (assist by T. McConnell),3,13-9,,
7:53.0,,,13-9,,Turnover by B. Griffin (discontinued dribble)
7:39.0,T. Luwawu-Cabarrot misses 2-pt shot from 3 ft (block by D. Jordan),,13-9,,
7:38.0,,,13-9,,Defensive rebound by J. Redick
7:32.0,,,13-11,2,C. Paul makes 2-pt shot from 18 ft
7:12.0,D. Saric misses 2-pt shot from 5 ft (block by D. Jordan),,13-11,,
7:11.0,,,13-11,,Defensive rebound by D. Jordan
7:07.0,,,13-11,,Turnover by C. Paul (bad pass; steal by T. McConnell)
7:04.0,Turnover by J. Okafor (lost ball; steal by C. Paul),,13-11,,
7:01.0,,,13-13,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
7:01.0,Philadelphia full timeout,,13-13,,
7:01.0,R. Holmes enters the game for J. Okafor,,13-13,,
6:43.0,T. McConnell misses 3-pt shot from 25 ft,,13-13,,
6:43.0,Offensive rebound by D. Saric,,13-13,,
6:37.0,R. Holmes makes 3-pt shot from 25 ft (assist by T. McConnell),3,16-13,,
6:20.0,,,16-13,,J. Redick misses 3-pt shot from 25 ft
6:19.0,Defensive rebound by R. Holmes,,16-13,,
6:09.0,T. McConnell makes 2-pt shot from 16 ft,2,18-13,,
6:00.0,Def 3 sec tech foul by R. Holmes,,18-13,,
6:00.0,,,18-14,1,J. Redick makes technical free throw
6:00.0,N. Stauskas enters the game for D. Saric,,18-14,,
5:46.0,,,18-16,2,C. Paul makes 2-pt shot from 18 ft (assist by D. Jordan)
5:37.0,R. Covington misses 3-pt shot from 27 ft,,18-16,,
5:36.0,,,18-16,,Defensive rebound by D. Jordan
5:32.0,,,18-18,2,B. Griffin makes 2-pt shot from 2 ft (assist by D. Jordan)
5:16.0,T. McConnell misses 3-pt shot from 23 ft,,18-18,,
5:16.0,,,18-18,,Defensive rebound by L. Mbah a Moute
4:58.0,Personal foul by N. Stauskas (drawn by D. Jordan),,18-18,,
4:58.0,,,18-18,,J. Crawford enters the game for L. Mbah a Moute
4:58.0,,,18-18,,A. Rivers enters the game for B. Griffin
4:48.0,,,18-20,2,D. Jordan makes 2-pt shot at rim (assist by J. Redick)
4:35.0,T. McConnell misses 2-pt shot from 5 ft,,18-20,,
4:33.0,,,18-20,,Defensive rebound by A. Rivers
4:27.0,,,18-20,,J. Crawford misses 3-pt shot from 24 ft
4:25.0,Defensive rebound by N. Stauskas,,18-20,,
4:07.0,R. Holmes makes 2-pt shot at rim (assist by T. McConnell),2,20-20,,
3:59.0,,,20-20,,C. Paul misses 2-pt shot from 17 ft
3:57.0,Defensive rebound by T. Luwawu-Cabarrot,,20-20,,
3:37.0,N. Stauskas misses 3-pt shot from 25 ft,,20-20,,
3:36.0,Offensive rebound by R. Covington,,20-20,,
3:29.0,Turnover by T. Luwawu-Cabarrot (step out of bounds),,20-20,,
3:29.0,J. Anderson enters the game for T. Luwawu-Cabarrot,,20-20,,
3:29.0,S. Rodriguez enters the game for T. McConnell,,20-20,,
3:15.0,,,20-20,,A. Rivers misses 2-pt shot from 11 ft
3:14.0,Defensive rebound by R. Holmes,,20-20,,
3:05.0,R. Holmes makes 2-pt shot from 19 ft (assist by S. Rodriguez),2,22-20,,
2:38.0,,,22-23,3,C. Paul makes 3-pt shot from 26 ft (assist by J. Redick)
2:27.0,N. Stauskas makes 3-pt shot from 23 ft (assist by S. Rodriguez),3,25-23,,
