time,Toronto,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. J. Valanciunas (D. Carroll gains possession),,,,Jump ball: R. Gobert vs. J. Valanciunas (D. Carroll gains possession)
11:45.0,J. Valanciunas makes 2-pt shot from 11 ft (assist by K. Lowry),2,2-0,,
11:28.0,Personal foul by P. Siakam (drawn by R. Gobert),,2-0,,
11:23.0,,,2-0,,G. Hayward misses 2-pt shot from 22 ft
11:22.0,Defensive rebound by P. Siakam,,2-0,,
11:15.0,K. Lowry misses 3-pt shot from 25 ft,,2-0,,
11:12.0,,,2-0,,Defensive rebound by B. Diaw
10:54.0,,,2-0,,Turnover by B. Diaw (bad pass; steal by D. DeRozan)
10:34.0,P. Siakam misses 2-pt shot from 11 ft,,2-0,,
10:33.0,,,2-0,,Defensive rebound by B. Diaw
10:11.0,,,2-0,,R. Hood misses 3-pt shot from 25 ft
10:11.0,Defensive rebound by P. Siakam,,2-0,,
10:04.0,Turnover by D. Carroll (lost ball),,2-0,,
9:40.0,,,2-0,,R. Hood misses 3-pt shot from 26 ft
9:39.0,Defensive rebound by J. Valanciunas,,2-0,,
9:27.0,J. Valanciunas makes 2-pt shot from 4 ft,2,4-0,,
9:23.0,,,4-0,,Utah full timeout
9:12.0,,,4-2,2,R. Gobert makes 2-pt shot at rim (assist by R. Hood)
8:59.0,Shooting foul by S. Mack (drawn by D. DeRozan),,4-2,,
8:59.0,D. DeRozan makes free throw 1 of 2,1,5-2,,
8:59.0,D. DeRozan makes free throw 2 of 2,1,6-2,,
8:49.0,,,6-4,2,S. Mack makes 2-pt shot from 14 ft
8:32.0,D. DeRozan misses 2-pt shot from 6 ft,,6-4,,
8:31.0,,,6-4,,Defensive rebound by R. Gobert
8:13.0,,,6-4,,Turnover by B. Diaw (bad pass; steal by J. Valanciunas)
8:09.0,D. DeRozan makes 2-pt shot from 3 ft,2,8-4,,
7:48.0,,,8-4,,G. Hayward misses 2-pt shot from 7 ft
7:48.0,Defensive rebound by J. Valanciunas,,8-4,,
7:36.0,Turnover by K. Lowry (lost ball; steal by G. Hayward),,8-4,,
7:29.0,,,8-6,2,R. Hood makes 2-pt shot from 2 ft (assist by S. Mack)
7:07.0,D. DeRozan makes 2-pt shot from 21 ft,2,10-6,,
6:49.0,,,10-9,3,S. Mack makes 3-pt shot from 24 ft (assist by B. Diaw)
6:31.0,D. DeRozan misses 2-pt shot from 15 ft,,10-9,,
6:31.0,,,10-9,,Defensive rebound by R. Gobert
6:30.0,Loose ball foul by J. Valanciunas (drawn by R. Gobert),,10-9,,
6:30.0,,,10-9,,J. Ingles enters the game for R. Hood
6:30.0,,,10-9,,D. Favors enters the game for B. Diaw
6:30.0,P. Patterson enters the game for P. Siakam,,10-9,,
6:30.0,L. Nogueira enters the game for J. Valanciunas,,10-9,,
6:17.0,,,10-9,,G. Hayward misses 3-pt shot from 25 ft
6:16.0,Defensive rebound by D. DeRozan,,10-9,,
6:06.0,D. DeRozan makes 2-pt shot from 7 ft,2,12-9,,
5:40.0,,,12-9,,D. Favors misses 2-pt shot from 8 ft
5:39.0,Defensive rebound by L. Nogueira,,12-9,,
5:27.0,D. Carroll misses 3-pt shot from 24 ft,,12-9,,
5:27.0,,,12-9,,Defensive rebound by R. Gobert
5:12.0,,,12-11,2,S. Mack makes 2-pt shot from 12 ft
4:47.0,L. Nogueira misses 2-pt shot from 14 ft,,12-11,,
4:46.0,,,12-11,,Defensive rebound by R. Gobert
4:29.0,,,12-11,,Turnover by D. Favors (bad pass; steal by D. Carroll)
4:19.0,D. DeRozan misses 2-pt shot from 17 ft,,12-11,,
4:18.0,,,12-11,,Defensive rebound by D. Favors
4:09.0,,,12-11,,Shooting foul by D. DeRozan (drawn by D. Favors)
4:09.0,,,12-12,1,D. Favors makes free throw 1 of 2
4:09.0,,,12-13,1,D. Favors makes free throw 2 of 2
4:09.0,C. Joseph enters the game for K. Lowry,,12-12,,
4:06.0,Toronto full timeout,,12-13,,
4:06.0,T. Ross enters the game for D. Carroll,,12-13,,
4:06.0,,,12-13,,R. Neto enters the game for S. Mack
4:06.0,,,12-13,,T. Lyles enters the game for R. Gobert
3:50.0,T. Ross makes 2-pt shot from 21 ft,2,14-13,,
3:32.0,,,14-16,3,J. Ingles makes 3-pt shot from 24 ft (assist by G. Hayward)
