time,San Antonio,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. P. Gasol (M. Chriss gains possession),,,,Jump ball: T. Chandler vs. P. Gasol (M. Chriss gains possession)
11:44.0,Personal foul by D. Green (drawn by D. Booker),,0-0,,
11:29.0,,,0-0,,E. Bledsoe misses 3-pt shot from 26 ft
11:29.0,Defensive rebound by L. Aldridge,,0-0,,
11:08.0,L. Aldridge misses 2-pt shot from 13 ft,,0-0,,
11:07.0,,,0-0,,Defensive rebound by E. Bledsoe
10:53.0,,,0-3,3,M. Chriss makes 3-pt shot from 25 ft (assist by D. Booker)
10:28.0,T. Parker misses 2-pt shot from 3 ft (block by M. Chriss),,0-3,,
10:28.0,Offensive rebound by Team,,0-3,,
10:25.0,T. Parker misses 2-pt shot from 17 ft,,0-3,,
10:24.0,,,0-3,,Defensive rebound by T. Chandler
10:08.0,,,0-3,,D. Booker misses 2-pt shot from 11 ft
10:08.0,Defensive rebound by L. Aldridge,,0-3,,
10:02.0,Turnover by L. Aldridge (bad pass; steal by D. Booker),,0-3,,
9:59.0,,,0-5,2,D. Booker makes 2-pt shot from 1 ft
9:42.0,T. Parker makes 3-pt shot from 24 ft (assist by L. Aldridge),3,3-5,,
9:28.0,,,3-5,,T. Chandler misses 2-pt shot from 2 ft
9:27.0,,,3-5,,Offensive rebound by T. Chandler
9:18.0,,,3-7,2,P. Tucker makes 2-pt shot from 18 ft (assist by D. Booker)
8:57.0,P. Gasol makes 2-pt shot from 21 ft (assist by T. Parker),2,5-7,,
8:41.0,,,5-9,2,D. Booker makes 2-pt shot from 17 ft
8:20.0,T. Parker misses 3-pt shot from 24 ft,,5-9,,
8:20.0,,,5-9,,Defensive rebound by D. Booker
8:14.0,,,5-9,,M. Chriss misses 2-pt shot from 4 ft
8:13.0,,,5-9,,Offensive rebound by E. Bledsoe
8:05.0,,,5-9,,D. Booker misses 3-pt shot from 26 ft
8:05.0,Defensive rebound by K. Leonard,,5-9,,
7:57.0,Turnover by P. Gasol (bad pass),,5-9,,
7:45.0,,,5-12,3,E. Bledsoe makes 3-pt shot from 25 ft
7:30.0,L. Aldridge misses 2-pt shot from 7 ft,,5-12,,
7:28.0,Offensive rebound by P. Gasol,,5-12,,
7:21.0,K. Leonard makes 2-pt shot from 21 ft,2,7-12,,
6:52.0,,,7-12,,E. Bledsoe misses 2-pt shot from 1 ft
6:50.0,,,7-12,,Offensive rebound by T. Chandler
6:50.0,,,7-12,,T. Chandler misses 2-pt shot from 2 ft
6:49.0,,,7-12,,Offensive rebound by T. Chandler
6:49.0,,,7-14,2,T. Chandler makes 2-pt shot from 1 ft
6:46.0,Shooting foul by P. Tucker (drawn by K. Leonard),,7-14,,
6:46.0,K. Leonard makes free throw 1 of 2,1,8-14,,
6:46.0,K. Leonard makes free throw 2 of 2,1,9-14,,
6:24.0,,,9-14,,M. Chriss misses 2-pt shot from 11 ft
6:23.0,Defensive rebound by P. Gasol,,9-14,,
6:14.0,,,9-14,,Personal foul by D. Booker (drawn by K. Leonard)
6:00.0,P. Gasol makes 2-pt shot from 5 ft,2,11-14,,
5:50.0,,,11-14,,Turnover by E. Bledsoe (offensive foul)
5:50.0,,,11-14,,Offensive foul by E. Bledsoe
5:50.0,,,11-14,,Phoenix full timeout
5:50.0,D. Dedmon enters the game for P. Gasol,,11-14,,
5:50.0,P. Mills enters the game for D. Green,,11-14,,
5:50.0,M. Ginobili enters the game for T. Parker,,11-14,,
