time,Miami,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. W. Reed (M. Barnes gains possession),,,,Jump ball: K. Koufos vs. W. Reed (M. Barnes gains possession)
11:44.0,Personal foul by L. Babbitt (drawn by K. Koufos),,0-0,,
11:35.0,,,0-2,2,D. Cousins makes 2-pt shot from 2 ft (assist by M. Barnes)
11:13.0,,,0-2,,Personal foul by M. Barnes (drawn by W. Reed)
11:01.0,W. Reed misses 2-pt shot from 6 ft (block by K. Koufos),,0-2,,
10:59.0,,,0-2,,Defensive rebound by D. Cousins
10:52.0,,,0-5,3,D. Collison makes 3-pt shot from 24 ft (assist by M. Barnes)
10:37.0,G. Dragic misses 2-pt shot from 8 ft,,0-5,,
10:36.0,,,0-5,,Defensive rebound by M. Barnes
10:20.0,,,0-5,,D. Cousins misses 3-pt shot from 24 ft
10:19.0,Defensive rebound by R. McGruder,,0-5,,
10:06.0,R. McGruder misses 3-pt shot from 25 ft,,0-5,,
10:06.0,,,0-5,,Defensive rebound by D. Collison
9:59.0,,,0-5,,B. McLemore misses 3-pt shot from 23 ft
9:59.0,Defensive rebound by J. Richardson,,0-5,,
9:47.0,L. Babbitt makes 3-pt shot from 25 ft (assist by J. Richardson),3,3-5,,
9:25.0,,,3-5,,D. Cousins misses 2-pt shot from 18 ft
9:24.0,Defensive rebound by L. Babbitt,,3-5,,
9:09.0,Turnover by L. Babbitt (bad pass; steal by D. Cousins),,3-5,,
8:54.0,Personal foul by L. Babbitt (drawn by K. Koufos),,3-5,,
8:54.0,J. Johnson enters the game for L. Babbitt,,3-5,,
8:42.0,,,3-5,,D. Collison misses 2-pt shot from 4 ft (block by J. Johnson)
8:41.0,Defensive rebound by J. Richardson,,3-5,,
8:38.0,G. Dragic makes 2-pt shot from 2 ft (assist by J. Richardson),2,5-5,,
8:21.0,,,5-5,,B. McLemore misses 2-pt shot from 10 ft
8:20.0,Defensive rebound by W. Reed,,5-5,,
8:12.0,J. Richardson makes 3-pt shot from 24 ft (assist by J. Johnson),3,8-5,,
7:58.0,Personal foul by W. Reed (drawn by D. Cousins),,8-5,,
7:43.0,,,8-5,,Turnover by Team (shot clock)
7:30.0,R. McGruder makes 2-pt shot from 22 ft (assist by J. Johnson),2,10-5,,
7:07.0,,,10-8,3,M. Barnes makes 3-pt shot from 23 ft (assist by D. Collison)
6:45.0,J. Johnson makes 3-pt shot from 25 ft (assist by G. Dragic),3,13-8,,
6:31.0,,,13-8,,B. McLemore misses 2-pt shot from 12 ft
6:30.0,Defensive rebound by R. McGruder,,13-8,,
6:22.0,G. Dragic misses 3-pt shot from 25 ft,,13-8,,
6:22.0,Offensive rebound by J. Johnson,,13-8,,
6:22.0,,,13-8,,Personal foul by D. Collison (drawn by J. Johnson)
6:22.0,,,13-8,,A. Tolliver enters the game for K. Koufos
6:14.0,J. Richardson makes 2-pt shot from 20 ft (assist by G. Dragic),2,15-8,,
6:09.0,,,15-8,,Sacramento full timeout
6:09.0,,,15-8,,G. Temple enters the game for B. McLemore
6:01.0,Personal foul by J. Johnson (drawn by D. Cousins),,15-8,,
5:52.0,,,15-11,3,A. Tolliver makes 3-pt shot from 24 ft (assist by G. Temple)
5:35.0,R. McGruder misses 3-pt shot from 25 ft,,15-11,,
5:34.0,,,15-11,,Defensive rebound by D. Cousins
5:23.0,,,15-11,,M. Barnes misses 3-pt shot from 24 ft
5:22.0,Defensive rebound by J. Johnson,,15-11,,
5:14.0,Shooting foul by D. Cousins (drawn by J. Johnson),,15-11,,
5:14.0,J. Johnson makes free throw 1 of 2,1,16-11,,
5:14.0,J. Johnson makes free throw 2 of 2,1,17-11,,
5:14.0,T. Johnson enters the game for G. Dragic,,16-11,,
4:54.0,,,17-13,2,G. Temple makes 2-pt shot from 9 ft (assist by D. Cousins)
4:45.0,,,17-13,,Personal foul by A. Tolliver (drawn by J. Johnson)
4:45.0,,,17-13,,A. Afflalo enters the game for M. Barnes
4:38.0,J. Richardson makes 2-pt shot from 8 ft (assist by T. Johnson),2,19-13,,
4:23.0,,,19-15,2,A. Tolliver makes 2-pt shot from 7 ft (assist by G. Temple)
4:22.0,Miami full timeout,,19-15,,
4:12.0,Offensive foul by W. Reed,,19-15,,
4:12.0,Turnover by W. Reed (offensive foul),,19-15,,
4:12.0,W. Ellington enters the game for W. Reed,,19-15,,
4:00.0,,,19-15,,Turnover by A. Afflalo (lost ball; steal by R. McGruder)
3:55.0,J. Johnson makes 2-pt shot from 9 ft,2,21-15,,
3:35.0,,,21-17,2,D. Cousins makes 2-pt shot from 8 ft
3:19.0,T. Johnson makes 2-pt shot from 23 ft (assist by J. Johnson),2,23-17,,
2:57.0,,,23-17,,D. Cousins misses 3-pt shot from 25 ft
2:57.0,Defensive rebound by J. Richardson,,23-17,,
2:49.0,R. McGruder misses 3-pt shot from 23 ft,,23-17,,
2:48.0,Offensive rebound by J. Johnson,,23-17,,
2:48.0,J. Johnson misses 2-pt shot from 3 ft,,23-17,,
