time,Chicago,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. T. Thompson (L. James gains possession),,,,Jump ball: R. Lopez vs. T. Thompson (L. James gains possession)
11:41.0,,,0-2,2,J. McRae makes 2-pt shot at rim (assist by L. James)
11:26.0,Turnover by T. Gibson (lost ball),,0-2,,
11:11.0,,,0-2,,D. Liggins misses 3-pt shot from 25 ft
11:10.0,Defensive rebound by T. Gibson,,0-2,,
10:55.0,M. Carter-Williams makes 2-pt shot from 8 ft (assist by J. Butler),2,2-2,,
10:39.0,,,2-2,,T. Thompson misses 2-pt shot from 1 ft (block by R. Lopez)
10:38.0,Defensive rebound by R. Lopez,,2-2,,
10:24.0,J. Butler misses 3-pt shot from 25 ft,,2-2,,
10:23.0,,,2-2,,Defensive rebound by D. Liggins
10:10.0,,,2-5,3,J. McRae makes 3-pt shot from 25 ft (assist by L. James)
9:47.0,Turnover by R. Lopez (bad pass; steal by T. Thompson),,2-5,,
9:37.0,,,2-5,,L. James misses 2-pt shot from 1 ft
9:36.0,,,2-5,,Offensive rebound by T. Thompson
9:36.0,,,2-5,,T. Thompson misses 2-pt shot from 2 ft
9:35.0,Defensive rebound by T. Gibson,,2-5,,
9:24.0,J. Butler misses 2-pt shot from 1 ft (block by J. McRae),,2-5,,
9:23.0,Offensive rebound by J. Butler,,2-5,,
9:17.0,M. Carter-Williams misses 3-pt shot from 25 ft,,2-5,,
9:17.0,Offensive rebound by R. Lopez,,2-5,,
9:16.0,R. Lopez misses 2-pt shot from 5 ft,,2-5,,
9:15.0,,,2-5,,Defensive rebound by C. Frye
9:02.0,,,2-8,3,C. Frye makes 3-pt shot from 25 ft (assist by L. James)
8:46.0,R. Lopez misses 2-pt shot from 18 ft,,2-8,,
8:45.0,,,2-8,,Defensive rebound by L. James
8:40.0,,,2-10,2,L. James makes 2-pt shot from 1 ft
8:40.0,Chicago full timeout,,2-10,,
8:23.0,D. Wade misses 2-pt shot from 16 ft,,2-10,,
8:22.0,,,2-10,,Defensive rebound by T. Thompson
8:14.0,,,2-10,,Shooting foul by T. Gibson (drawn by J. McRae)
8:14.0,,,2-11,1,J. McRae makes free throw 1 of 2
8:14.0,,,2-12,1,J. McRae makes free throw 2 of 2
7:51.0,J. Butler misses 3-pt shot from 27 ft,,2-12,,
7:51.0,,,2-12,,Defensive rebound by Team
7:36.0,,,2-12,,D. Liggins misses 3-pt shot from 25 ft
7:36.0,,,2-12,,Offensive rebound by T. Thompson
7:23.0,,,2-15,3,L. James makes 3-pt shot from 28 ft
7:03.0,M. Carter-Williams misses 2-pt shot from 8 ft,,2-15,,
7:00.0,Offensive rebound by D. Wade,,2-15,,
6:56.0,,,2-15,,Personal foul by J. McRae (drawn by D. Wade)
6:51.0,M. Carter-Williams misses 2-pt shot from 10 ft,,2-15,,
6:49.0,Offensive rebound by R. Lopez,,2-15,,
6:49.0,R. Lopez makes 2-pt shot at rim,2,4-15,,
6:34.0,,,4-15,,J. McRae misses 3-pt shot from 26 ft
6:34.0,Defensive rebound by D. Wade,,4-15,,
6:24.0,,,4-15,,Personal foul by D. Liggins (drawn by R. Lopez)
6:14.0,T. Gibson makes 2-pt shot from 5 ft,2,6-15,,
6:05.0,,,6-15,,Shooting foul by M. Carter-Williams (drawn by L. James)
6:05.0,,,6-16,1,L. James makes free throw 1 of 2
6:05.0,,,6-16,,L. James misses free throw 2 of 2
6:04.0,Defensive rebound by D. Wade,,6-16,,
5:47.0,D. Wade misses 2-pt shot from 15 ft,,6-16,,
5:45.0,,,6-16,,Defensive rebound by T. Thompson
5:41.0,,,6-16,,L. James misses 3-pt shot from 25 ft
5:40.0,Defensive rebound by M. Carter-Williams,,6-16,,
5:36.0,M. Carter-Williams makes 2-pt shot from 8 ft,2,8-16,,
5:36.0,Shooting foul by J. McRae (drawn by M. Carter-Williams),,8-16,,
5:36.0,M. Carter-Williams misses free throw 1 of 1,,8-16,,
5:36.0,D. McDermott enters the game for D. Wade,,8-16,,
5:36.0,,,8-16,,R. Jefferson enters the game for J. McRae
5:35.0,,,8-16,,Defensive rebound by Team
5:18.0,,,8-16,,L. James misses 2-pt shot from 5 ft
5:17.0,Defensive rebound by M. Carter-Williams,,8-16,,
5:05.0,Turnover by T. Gibson (bad pass; steal by D. Liggins),,8-16,,
5:01.0,,,8-16,,Turnover by D. Liggins (bad pass; steal by J. Butler)
4:55.0,J. Butler misses 2-pt shot from 17 ft,,8-16,,
4:54.0,Offensive rebound by T. Gibson,,8-16,,
4:52.0,T. Gibson makes 2-pt shot at rim,2,10-16,,
4:35.0,,,10-18,2,C. Frye makes 2-pt shot from 1 ft
4:15.0,T. Gibson makes 2-pt shot from 6 ft (assist by J. Butler),2,12-18,,
3:57.0,,,12-20,2,L. James makes 2-pt shot from 8 ft
3:57.0,,,12-20,,Loose ball foul by T. Thompson (drawn by M. Carter-Williams)
3:57.0,N. Mirotic enters the game for T. Gibson,,12-20,,
3:57.0,,,12-20,,J. Jones enters the game for C. Frye
3:44.0,M. Carter-Williams misses 3-pt shot from 25 ft,,12-20,,
3:44.0,,,12-20,,Defensive rebound by Team
3:24.0,,,12-23,3,J. Jones makes 3-pt shot from 25 ft (assist by D. Liggins)
3:07.0,Turnover by M. Carter-Williams (bad pass),,12-23,,
3:07.0,J. Grant enters the game for M. Carter-Williams,,12-23,,
3:02.0,Personal foul by J. Grant (drawn by L. James),,12-23,,
2:52.0,,,12-23,,Turnover by D. Liggins (back court)
2:52.0,,,12-23,,Cleveland full timeout
2:41.0,N. Mirotic makes 3-pt shot from 26 ft (assist by J. Butler),3,15-23,,
2:28.0,,,15-23,,Turnover by L. James (bad pass)
2:28.0,C. Felicio enters the game for R. Lopez,,15-23,,
2:07.0,C. Felicio misses 2-pt shot from 7 ft,,15-23,,
2:05.0,,,15-23,,Defensive rebound by L. James
1:49.0,,,15-23,,L. James misses 2-pt shot from 11 ft
1:46.0,Defensive rebound by N. Mirotic,,15-23,,
1:39.0,N. Mirotic misses 3-pt shot from 26 ft,,15-23,,
