time,Oklahoma City,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. C. Capela (V. Oladipo gains possession),,,,Jump ball: S. Adams vs. C. Capela (V. Oladipo gains possession)
11:39.0,R. Westbrook misses 2-pt shot from 2 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by P. Beverley
11:32.0,,,0-0,,P. Beverley misses 2-pt shot from 1 ft
11:30.0,Defensive rebound by S. Adams,,0-0,,
11:25.0,T. Gibson misses 2-pt shot from 18 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by C. Capela
11:17.0,,,0-2,2,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden)
10:56.0,S. Adams misses 2-pt shot from 9 ft,,0-2,,
10:54.0,,,0-2,,Defensive rebound by C. Capela
10:44.0,,,0-5,3,E. Gordon makes 3-pt shot from 27 ft (assist by T. Ariza)
10:28.0,V. Oladipo misses 3-pt shot from 24 ft,,0-5,,
10:27.0,,,0-5,,Defensive rebound by E. Gordon
10:11.0,,,0-7,2,T. Ariza makes 2-pt shot from 2 ft
10:02.0,Shooting foul by P. Beverley (drawn by R. Westbrook),,0-7,,
10:02.0,R. Westbrook misses free throw 1 of 2,,0-7,,
10:02.0,Offensive rebound by Team,,0-7,,
10:02.0,R. Westbrook misses free throw 2 of 2,,0-7,,
10:01.0,,,0-7,,Defensive rebound by T. Ariza
9:51.0,,,0-7,,E. Gordon misses 3-pt shot from 24 ft
9:50.0,Defensive rebound by A. Roberson,,0-7,,
9:43.0,V. Oladipo misses 3-pt shot from 23 ft,,0-7,,
9:42.0,,,0-7,,Defensive rebound by E. Gordon
9:35.0,,,0-9,2,J. Harden makes 2-pt shot from 7 ft
9:27.0,Oklahoma City full timeout,,0-9,,
9:14.0,T. Gibson makes 2-pt shot from 1 ft (assist by R. Westbrook),2,2-9,,
8:56.0,,,2-9,,Turnover by J. Harden (bad pass; steal by A. Roberson)
8:47.0,V. Oladipo makes 3-pt shot from 24 ft (assist by T. Gibson),3,5-9,,
8:41.0,,,5-12,3,T. Ariza makes 3-pt shot from 25 ft
8:20.0,A. Roberson misses 2-pt shot from 2 ft,,5-12,,
8:19.0,,,5-12,,Defensive rebound by C. Capela
8:13.0,,,5-12,,J. Harden misses 2-pt shot from 1 ft
8:12.0,Defensive rebound by R. Westbrook,,5-12,,
8:05.0,Turnover by R. Westbrook (bad pass; steal by C. Capela),,5-12,,
7:57.0,,,5-15,3,T. Ariza makes 3-pt shot from 24 ft (assist by P. Beverley)
7:33.0,R. Westbrook makes 2-pt shot from 20 ft,2,7-15,,
7:06.0,,,7-15,,Turnover by P. Beverley (bad pass; steal by A. Roberson)
7:02.0,Offensive charge foul by R. Westbrook,,7-15,,
7:02.0,Turnover by R. Westbrook (offensive foul),,7-15,,
6:49.0,,,7-17,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
6:33.0,T. Gibson makes 2-pt shot from 1 ft (assist by R. Westbrook),2,9-17,,
6:23.0,,,9-17,,E. Gordon misses 3-pt shot from 25 ft
6:21.0,Defensive rebound by V. Oladipo,,9-17,,
6:08.0,R. Westbrook makes 2-pt shot from 10 ft (assist by V. Oladipo),2,11-17,,
5:59.0,Personal foul by A. Roberson (drawn by J. Harden),,11-17,,
5:59.0,,,11-17,,L. Williams enters the game for P. Beverley
5:53.0,,,11-17,,Turnover by C. Capela (bad pass; steal by S. Adams)
5:49.0,Turnover by R. Westbrook (bad pass; steal by T. Ariza),,11-17,,
5:37.0,,,11-17,,E. Gordon misses 3-pt shot from 26 ft
5:36.0,Defensive rebound by A. Roberson,,11-17,,
5:18.0,R. Westbrook makes 2-pt shot from 19 ft,2,13-17,,
5:00.0,,,13-19,2,L. Williams makes 2-pt shot from 4 ft
4:46.0,T. Gibson makes 2-pt shot from 11 ft (assist by R. Westbrook),2,15-19,,
4:34.0,,,15-21,2,J. Harden makes 2-pt shot at rim
4:22.0,T. Gibson makes 2-pt shot from 5 ft (assist by R. Westbrook),2,17-21,,
4:12.0,,,17-21,,Shooting foul by T. Gibson (drawn by C. Capela)
4:12.0,,,17-21,,C. Capela misses free throw 1 of 2
4:12.0,,,17-21,,Offensive rebound by Team
4:12.0,,,17-22,1,C. Capela makes free throw 2 of 2
4:12.0,A. Abrines enters the game for V. Oladipo,,17-21,,
4:12.0,D. Sabonis enters the game for T. Gibson,,17-21,,
4:12.0,,,17-21,,S. Dekker enters the game for E. Gordon
3:48.0,A. Abrines makes 3-pt shot from 26 ft (assist by R. Westbrook),3,20-22,,
3:33.0,,,20-22,,Shooting foul by A. Roberson (drawn by J. Harden)
3:33.0,,,20-23,1,J. Harden makes free throw 1 of 3
3:33.0,,,20-24,1,J. Harden makes free throw 2 of 3
3:33.0,,,20-25,1,J. Harden makes free throw 3 of 3
3:33.0,,,20-24,,N. Hilario enters the game for C. Capela
3:25.0,Shooting foul by S. Dekker (drawn by S. Adams),,20-25,,
3:25.0,S. Adams makes free throw 1 of 2,1,21-25,,
3:25.0,S. Adams makes free throw 2 of 2,1,22-25,,
3:07.0,,,22-27,2,N. Hilario makes 2-pt shot from 1 ft (assist by T. Ariza)
2:57.0,R. Westbrook makes 2-pt shot from 2 ft,2,24-27,,
2:57.0,,,24-27,,Loose ball foul by T. Ariza (drawn by S. Adams)
2:57.0,,,24-27,,Houston full timeout
2:57.0,S. Adams makes free throw 1 of 1,1,25-27,,
2:57.0,V. Oladipo enters the game for A. Roberson,,24-27,,
2:43.0,,,25-29,2,N. Hilario makes 2-pt shot at rim (assist by T. Ariza)
2:29.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,27-29,,
2:17.0,,,27-32,3,T. Ariza makes 3-pt shot from 23 ft (assist by N. Hilario)
2:01.0,A. Abrines makes 3-pt shot from 26 ft (assist by S. Adams),3,30-32,,
1:50.0,,,30-34,2,J. Harden makes 2-pt shot from 2 ft
1:31.0,V. Oladipo misses 3-pt shot from 25 ft,,30-34,,
1:25.0,,,30-34,,Defensive rebound by L. Williams
1:06.0,,,30-34,,N. Hilario misses 3-pt shot from 26 ft
1:05.0,Defensive rebound by R. Westbrook,,30-34,,
1:01.0,Shooting foul by J. Harden (drawn by R. Westbrook),,30-34,,
1:01.0,R. Westbrook misses free throw 1 of 2,,30-34,,
1:01.0,Offensive rebound by Team,,30-34,,
1:01.0,R. Westbrook makes free throw 2 of 2,1,31-34,,
1:01.0,E. Kanter enters the game for S. Adams,,30-34,,
0:52.0,,,31-37,3,L. Williams makes 3-pt shot from 24 ft
0:36.0,V. Oladipo misses 2-pt shot from 2 ft,,31-37,,
0:34.0,,,31-37,,Defensive rebound by N. Hilario
0:12.0,,,31-37,,Houston full timeout
0:11.0,,,31-37,,N. Hilario misses 2-pt shot from 21 ft
0:10.0,,,31-37,,Offensive rebound by Team
0:07.0,,,31-37,,Turnover by Team (shot clock)
0:02.0,E. Kanter misses 2-pt shot from 20 ft,,31-37,,
0:01.0,Offensive rebound by D. Sabonis,,31-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,31-39,2,L. Williams makes 2-pt shot from 2 ft (assist by P. Beverley)
11:29.0,D. Sabonis misses 2-pt shot from 8 ft,,31-39,,
11:27.0,Offensive rebound by E. Kanter,,31-39,,
11:26.0,E. Kanter misses 2-pt shot from 1 ft,,31-39,,
11:25.0,,,31-39,,Defensive rebound by N. Hilario
11:18.0,Violation by D. Sabonis (def goaltending),,31-39,,
11:18.0,,,31-41,2,E. Gordon makes 2-pt shot from 2 ft
10:59.0,E. Kanter makes 2-pt shot from 1 ft,2,33-41,,
10:54.0,,,33-41,,P. Beverley misses 2-pt shot at rim
10:53.0,Defensive rebound by D. Sabonis,,33-41,,
10:43.0,Turnover by D. Sabonis (step out of bounds),,33-41,,
10:32.0,Personal foul by E. Kanter (drawn by N. Hilario),,33-41,,
10:21.0,,,33-41,,Turnover by P. Beverley (bad pass; steal by V. Oladipo)
10:15.0,A. Abrines makes 2-pt shot from 1 ft (assist by V. Oladipo),2,35-41,,
10:07.0,,,35-41,,Turnover by E. Gordon (bad pass; steal by A. Abrines)
10:06.0,,,35-41,,Personal foul by E. Gordon (drawn by A. Abrines)
9:51.0,E. Kanter misses 2-pt shot from 6 ft,,35-41,,
9:50.0,,,35-41,,Defensive rebound by S. Dekker
9:38.0,,,35-44,3,L. Williams makes 3-pt shot from 23 ft (assist by N. Hilario)
9:23.0,Turnover by S. Christon (bad pass; steal by N. Hilario),,35-44,,
9:20.0,,,35-46,2,N. Hilario makes 2-pt shot at rim
9:20.0,Oklahoma City full timeout,,35-46,,
9:06.0,E. Kanter makes 2-pt shot from 1 ft (assist by V. Oladipo),2,37-46,,
8:54.0,,,37-46,,Shooting foul by V. Oladipo (drawn by L. Williams)
8:54.0,,,37-47,1,L. Williams makes free throw 1 of 2
8:54.0,,,37-48,1,L. Williams makes free throw 2 of 2
8:36.0,V. Oladipo makes 3-pt shot from 26 ft (assist by A. Abrines),3,40-48,,
8:18.0,,,40-50,2,E. Gordon makes 2-pt shot from 2 ft (assist by N. Hilario)
8:01.0,V. Oladipo makes 2-pt shot from 3 ft (assist by D. Sabonis),2,42-50,,
7:50.0,,,42-50,,Turnover by N. Hilario (lost ball; steal by S. Christon)
7:43.0,A. Abrines misses 3-pt shot from 24 ft,,42-50,,
7:42.0,Offensive rebound by S. Christon,,42-50,,
7:37.0,A. Abrines misses 3-pt shot from 25 ft,,42-50,,
7:36.0,,,42-50,,Defensive rebound by S. Dekker
7:29.0,,,42-50,,P. Beverley misses 3-pt shot from 25 ft
7:29.0,Defensive rebound by Team,,42-50,,
7:29.0,R. Westbrook enters the game for V. Oladipo,,42-50,,
7:29.0,,,42-50,,C. Capela enters the game for N. Hilario
7:12.0,D. Sabonis misses 2-pt shot from 7 ft,,42-50,,
7:10.0,,,42-50,,Defensive rebound by L. Williams
7:05.0,,,42-52,2,S. Dekker makes 2-pt shot from 3 ft (assist by L. Williams)
7:05.0,,,42-52,,Shooting foul by D. Sabonis (drawn by S. Dekker)
7:05.0,,,42-52,,S. Dekker misses free throw 1 of 1
7:05.0,A. Roberson enters the game for D. Sabonis,,42-52,,
7:04.0,Defensive rebound by R. Westbrook,,42-52,,
6:58.0,,,42-52,,Loose ball foul by S. Dekker (drawn by A. Roberson)
6:42.0,A. Abrines misses 3-pt shot from 26 ft,,42-52,,
6:41.0,Offensive rebound by E. Kanter,,42-52,,
6:38.0,E. Kanter makes 2-pt shot from 3 ft,2,44-52,,
6:34.0,,,44-54,2,S. Dekker makes 2-pt shot from 1 ft (assist by P. Beverley)
6:34.0,,,44-54,,Shooting foul by E. Kanter (drawn by S. Dekker)
6:34.0,,,44-55,1,S. Dekker makes free throw 1 of 1
6:26.0,,,44-55,,Personal block foul by C. Capela (drawn by R. Westbrook)
6:22.0,R. Westbrook misses 3-pt shot from 26 ft,,44-55,,
6:21.0,,,44-55,,Defensive rebound by C. Capela
6:09.0,,,44-55,,Turnover by P. Beverley (bad pass; steal by E. Kanter)
6:02.0,Turnover by S. Christon (bad pass),,44-55,,
6:02.0,,,44-55,,Houston full timeout
6:02.0,D. McDermott enters the game for A. Abrines,,44-55,,
6:02.0,V. Oladipo enters the game for S. Christon,,44-55,,
6:02.0,,,44-55,,T. Ariza enters the game for E. Gordon
6:02.0,,,44-55,,J. Harden enters the game for P. Beverley
5:46.0,,,44-57,2,C. Capela makes 2-pt shot at rim (assist by L. Williams)
5:29.0,V. Oladipo misses 2-pt shot from 18 ft,,44-57,,
5:28.0,,,44-57,,Defensive rebound by L. Williams
5:21.0,,,44-60,3,J. Harden makes 3-pt shot from 27 ft
5:05.0,S. Adams enters the game for E. Kanter,,44-60,,
4:58.0,R. Westbrook misses 2-pt shot from 19 ft,,44-60,,
4:56.0,,,44-60,,Defensive rebound by S. Dekker
4:51.0,,,44-60,,S. Dekker misses 2-pt shot from 3 ft
4:50.0,Defensive rebound by D. McDermott,,44-60,,
4:36.0,S. Adams misses 2-pt shot from 7 ft,,44-60,,
4:35.0,,,44-60,,Defensive rebound by C. Capela
4:22.0,,,44-63,3,S. Dekker makes 3-pt shot from 25 ft (assist by T. Ariza)
4:09.0,Shooting foul by C. Capela (drawn by R. Westbrook),,44-63,,
4:09.0,R. Westbrook makes free throw 1 of 2,1,45-63,,
4:09.0,R. Westbrook makes free throw 2 of 2,1,46-63,,
3:57.0,,,46-65,2,C. Capela makes 2-pt shot at rim (assist by L. Williams)
3:55.0,Oklahoma City full timeout,,46-65,,
3:47.0,A. Roberson misses 2-pt shot from 4 ft (block by C. Capela),,46-65,,
3:38.0,Offensive rebound by D. McDermott,,46-65,,
3:38.0,D. McDermott makes 3-pt shot from 26 ft (assist by S. Adams),3,49-65,,
3:22.0,,,49-68,3,L. Williams makes 3-pt shot from 25 ft (assist by J. Harden)
3:07.0,R. Westbrook makes 2-pt shot from 1 ft (assist by A. Roberson),2,51-68,,
3:00.0,,,51-71,3,L. Williams makes 3-pt shot from 27 ft (assist by J. Harden)
2:49.0,Shooting foul by C. Capela (drawn by S. Adams),,51-71,,
2:49.0,S. Adams makes free throw 1 of 2,1,52-71,,
2:49.0,S. Adams makes free throw 2 of 2,1,53-71,,
2:49.0,S. Christon enters the game for V. Oladipo,,52-71,,
2:49.0,,,52-71,,E. Gordon enters the game for C. Capela
2:49.0,,,52-71,,N. Hilario enters the game for S. Dekker
2:35.0,,,53-74,3,T. Ariza makes 3-pt shot from 26 ft (assist by J. Harden)
2:24.0,,,53-74,,Personal foul by T. Ariza (drawn by R. Westbrook)
2:24.0,R. Westbrook makes free throw 1 of 2,1,54-74,,
2:24.0,R. Westbrook makes free throw 2 of 2,1,55-74,,
2:24.0,,,54-74,,P. Beverley enters the game for L. Williams
2:13.0,Violation by A. Roberson (kicked ball),,55-74,,
