time,Sacramento,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. J. McGee (D. Cousins gains possession),,,,Jump ball: K. Koufos vs. J. McGee (D. Cousins gains possession)
11:45.0,A. Afflalo makes 3-pt shot from 25 ft (assist by D. Collison),3,3-0,,
11:27.0,,,3-2,2,J. McGee makes 2-pt shot from 1 ft (assist by K. Durant)
11:09.0,D. Cousins misses 2-pt shot from 19 ft,,3-2,,
11:08.0,,,3-2,,Defensive rebound by K. Durant
11:00.0,,,3-4,2,J. McGee makes 2-pt shot from 1 ft (assist by K. Durant)
10:40.0,K. Koufos misses 2-pt shot from 3 ft,,3-4,,
10:40.0,Offensive rebound by Team,,3-4,,
10:33.0,D. Cousins makes 2-pt shot from 8 ft,2,5-4,,
10:23.0,,,5-4,,S. Curry misses 2-pt shot from 8 ft (block by D. Collison)
10:21.0,Defensive rebound by K. Koufos,,5-4,,
10:16.0,Shooting foul by D. Green (drawn by K. Koufos),,5-4,,
10:16.0,K. Koufos misses free throw 1 of 2,,5-4,,
10:16.0,Offensive rebound by Team,,5-4,,
10:16.0,K. Koufos makes free throw 2 of 2,1,6-4,,
10:00.0,,,6-4,,Turnover by D. Green (bad pass)
9:43.0,K. Koufos misses 2-pt shot from 3 ft,,6-4,,
9:43.0,,,6-4,,Defensive rebound by K. Thompson
9:28.0,,,6-6,2,S. Curry makes 2-pt shot from 2 ft (assist by K. Durant)
9:08.0,B. McLemore misses 3-pt shot from 26 ft,,6-6,,
9:08.0,,,6-6,,Defensive rebound by D. Green
9:01.0,Violation by D. Cousins (kicked ball),,6-6,,
8:58.0,,,6-8,2,K. Thompson makes 2-pt shot from 19 ft (assist by K. Durant)
8:43.0,B. McLemore makes 3-pt shot from 23 ft (assist by A. Afflalo),3,9-8,,
8:34.0,,,9-10,2,S. Curry makes 2-pt shot from 10 ft
8:12.0,D. Cousins misses 2-pt shot from 16 ft,,9-10,,
8:12.0,Offensive rebound by Team,,9-10,,
8:06.0,D. Collison misses 2-pt shot from 6 ft,,9-10,,
8:05.0,Offensive rebound by Team,,9-10,,
7:56.0,B. McLemore misses 2-pt shot from 11 ft,,9-10,,
7:56.0,,,9-10,,Defensive rebound by J. McGee
7:52.0,,,9-10,,Shooting foul by K. Koufos (drawn by D. Green)
7:52.0,,,9-11,1,D. Green makes free throw 1 of 2
7:52.0,,,9-12,1,D. Green makes free throw 2 of 2
7:35.0,Turnover by A. Afflalo (bad pass; steal by D. Green),,9-12,,
7:35.0,Personal foul by B. McLemore (drawn by S. Curry),,9-12,,
7:25.0,,,9-12,,S. Curry misses 2-pt shot from 18 ft
7:24.0,Defensive rebound by D. Cousins,,9-12,,
7:17.0,Turnover by D. Cousins (bad pass),,9-12,,
7:12.0,,,9-15,3,K. Thompson makes 3-pt shot from 25 ft (assist by K. Durant)
6:57.0,Turnover by D. Collison (lost ball; steal by K. Durant),,9-15,,
6:52.0,,,9-17,2,K. Durant makes 2-pt shot at rim (assist by K. Thompson)
6:51.0,Sacramento full timeout,,9-17,,
6:31.0,A. Afflalo misses 3-pt shot from 25 ft,,9-17,,
6:30.0,,,9-17,,Defensive rebound by J. McGee
6:13.0,,,9-19,2,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry)
5:51.0,B. McLemore makes 3-pt shot from 24 ft (assist by D. Cousins),3,12-19,,
5:35.0,,,12-19,,K. Durant misses 2-pt shot from 5 ft
5:34.0,,,12-19,,Offensive rebound by J. McGee
5:32.0,,,12-21,2,K. Durant makes 2-pt shot from 19 ft (assist by J. McGee)
5:19.0,Turnover by D. Cousins (traveling),,12-21,,
5:19.0,M. Richardson enters the game for A. Afflalo,,12-21,,
5:03.0,,,12-21,,J. McGee misses 2-pt shot from 3 ft
5:02.0,Defensive rebound by D. Cousins,,12-21,,
4:57.0,,,12-21,,Personal foul by J. McGee (drawn by D. Cousins)
4:57.0,A. Tolliver enters the game for K. Koufos,,12-21,,
4:57.0,,,12-21,,A. Iguodala enters the game for D. Green
