time,Cleveland,pts.away,score,pts.home,LA Lakers
0:36.0,,,121-115,1,B. Ingram makes free throw 1 of 2
0:36.0,,,121-116,1,B. Ingram makes free throw 2 of 2
0:31.0,Cleveland full timeout,,121-116,,
0:31.0,Cleveland full timeout,,121-116,,
0:29.0,Shooting foul by C. Brewer (drawn by L. James),,121-116,,
0:29.0,L. James makes free throw 1 of 2,1,122-116,,
0:29.0,L. James makes free throw 2 of 2,1,123-116,,
0:14.0,,,123-116,,B. Ingram misses 3-pt shot from 25 ft
0:13.0,,,123-116,,Offensive rebound by C. Brewer
0:10.0,,,123-118,2,C. Brewer makes 2-pt shot from 3 ft
0:06.0,J. Smith makes 2-pt shot at rim,2,125-118,,
0:04.0,,,125-118,,J. Randle misses 3-pt shot from 25 ft
0:04.0,,,125-118,,Offensive rebound by C. Brewer
0:03.0,,,125-120,2,C. Brewer makes 2-pt shot at rim
0:00.0,End of 4th quarter,,,,End of 4th quarter
