time,Utah,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:39.0,R. Gobert misses 2-pt shot from 4 ft,,0-0,,
12:00.0,Jump ball: R. Gobert vs. K. Towns (G. Hill gains possession),,,,Jump ball: R. Gobert vs. K. Towns (G. Hill gains possession)
11:38.0,Offensive rebound by R. Gobert,,0-0,,
11:37.0,R. Gobert misses 2-pt shot at rim,,0-0,,
11:36.0,Offensive rebound by R. Gobert,,0-0,,
11:35.0,R. Gobert misses 2-pt shot from 1 ft (block by G. Dieng),,0-0,,
11:34.0,Offensive rebound by Team,,0-0,,
11:20.0,R. Hood misses 3-pt shot from 25 ft,,0-0,,
11:19.0,,,0-0,,Defensive rebound by G. Dieng
11:05.0,,,0-3,3,R. Rubio makes 3-pt shot from 23 ft (assist by A. Wiggins)
10:37.0,G. Hayward makes 2-pt shot from 19 ft,2,2-3,,
10:17.0,,,2-3,,A. Wiggins misses 2-pt shot from 2 ft
10:16.0,Defensive rebound by Team,,2-3,,
9:56.0,Shooting foul by R. Rubio (drawn by G. Hill),,2-3,,
9:56.0,G. Hill makes free throw 1 of 3,1,3-3,,
9:56.0,G. Hill makes free throw 2 of 3,1,4-3,,
9:56.0,G. Hill makes free throw 3 of 3,1,5-3,,
9:46.0,,,5-3,,K. Towns misses 3-pt shot from 24 ft
9:44.0,Defensive rebound by G. Hayward,,5-3,,
9:33.0,R. Hood misses 2-pt shot from 8 ft,,5-3,,
9:32.0,Offensive rebound by R. Gobert,,5-3,,
9:31.0,,,5-3,,Personal foul by K. Towns (drawn by R. Gobert)
9:20.0,G. Hill misses 3-pt shot from 24 ft,,5-3,,
9:18.0,,,5-3,,Defensive rebound by Team
9:05.0,,,5-3,,A. Wiggins misses 2-pt shot from 19 ft
9:04.0,Defensive rebound by G. Hill,,5-3,,
8:56.0,G. Hill misses 2-pt shot from 1 ft,,5-3,,
8:55.0,,,5-3,,Defensive rebound by G. Dieng
8:49.0,,,5-3,,Z. LaVine misses 2-pt shot from 15 ft
8:47.0,Defensive rebound by G. Hill,,5-3,,
8:38.0,R. Hood misses 2-pt shot from 11 ft,,5-3,,
8:37.0,Offensive rebound by R. Gobert,,5-3,,
8:35.0,R. Gobert makes 2-pt shot from 2 ft,2,7-3,,
8:11.0,,,7-6,3,K. Towns makes 3-pt shot from 25 ft (assist by Z. LaVine)
7:45.0,G. Hill makes 2-pt shot from 1 ft (assist by R. Hood),2,9-6,,
7:28.0,,,9-9,3,A. Wiggins makes 3-pt shot from 25 ft
7:08.0,,,9-9,,Personal foul by K. Towns (drawn by B. Diaw)
7:00.0,Turnover by R. Gobert (traveling),,9-9,,
7:00.0,,,9-9,,N. Bjelica enters the game for K. Towns
6:46.0,,,9-9,,Turnover by G. Dieng (bad pass)
6:31.0,G. Hayward misses 3-pt shot from 24 ft,,9-9,,
6:31.0,,,9-9,,Defensive rebound by Z. LaVine
6:19.0,,,9-9,,Z. LaVine misses 2-pt shot from 1 ft
6:18.0,Defensive rebound by G. Hill,,9-9,,
6:08.0,,,9-9,,Def 3 sec tech foul by G. Dieng
6:08.0,G. Hayward makes technical free throw,1,10-9,,
6:00.0,G. Hayward makes 2-pt shot from 14 ft,2,12-9,,
5:39.0,,,12-9,,G. Dieng misses 2-pt shot from 18 ft
5:37.0,Defensive rebound by R. Hood,,12-9,,
5:25.0,R. Gobert misses 2-pt shot from 2 ft,,12-9,,
5:23.0,Offensive rebound by R. Gobert,,12-9,,
5:15.0,B. Diaw makes 2-pt shot from 4 ft,2,14-9,,
4:55.0,,,14-9,,N. Bjelica misses 3-pt shot from 24 ft
4:54.0,Defensive rebound by B. Diaw,,14-9,,
4:43.0,G. Hill misses 2-pt shot from 5 ft,,14-9,,
4:42.0,Offensive rebound by R. Gobert,,14-9,,
4:42.0,R. Gobert makes 2-pt shot from 1 ft,2,16-9,,
4:42.0,,,16-9,,Minnesota full timeout
4:42.0,J. Johnson enters the game for G. Hayward,,16-9,,
4:42.0,T. Lyles enters the game for B. Diaw,,16-9,,
4:22.0,,,16-11,2,G. Dieng makes 2-pt shot from 10 ft (assist by Z. LaVine)
4:00.0,Turnover by G. Hill (bad pass; steal by G. Dieng),,16-11,,
3:56.0,,,16-13,2,R. Rubio makes 2-pt shot at rim (assist by A. Wiggins)
3:29.0,G. Hill misses 2-pt shot from 15 ft,,16-13,,
3:28.0,,,16-13,,Defensive rebound by A. Wiggins
3:18.0,,,16-16,3,N. Bjelica makes 3-pt shot from 25 ft (assist by A. Wiggins)
3:18.0,Utah full timeout,,16-16,,
2:59.0,R. Hood makes 2-pt shot from 14 ft,2,18-16,,
2:35.0,,,18-18,2,A. Wiggins makes 2-pt shot from 17 ft
2:11.0,,,18-18,,Personal foul by R. Rubio (drawn by G. Hill)
2:11.0,J. Withey enters the game for R. Gobert,,18-18,,
2:11.0,S. Mack enters the game for G. Hill,,18-18,,
2:11.0,,,18-18,,K. Dunn enters the game for R. Rubio
2:04.0,R. Hood misses 2-pt shot from 14 ft,,18-18,,
2:03.0,,,18-18,,Defensive rebound by N. Bjelica
1:56.0,,,18-20,2,G. Dieng makes 2-pt shot from 1 ft (assist by Z. LaVine)
1:56.0,Shooting block foul by S. Mack (drawn by G. Dieng),,18-20,,
1:56.0,,,18-21,1,G. Dieng makes free throw 1 of 1
1:31.0,Turnover by S. Mack (lost ball; steal by Z. LaVine),,18-21,,
1:29.0,Personal foul by R. Hood (drawn by Z. LaVine),,18-21,,
1:29.0,,,18-22,1,Z. LaVine makes free throw 1 of 2
1:29.0,,,18-23,1,Z. LaVine makes free throw 2 of 2
1:29.0,G. Hayward enters the game for R. Hood,,18-22,,
1:11.0,Turnover by T. Lyles (lost ball; steal by N. Bjelica),,18-23,,
1:07.0,,,18-25,2,Z. LaVine makes 2-pt shot at rim (assist by A. Wiggins)
0:49.0,,,18-25,,S. Muhammad enters the game for Z. LaVine
0:44.0,S. Mack makes 2-pt shot from 10 ft,2,20-25,,
0:32.0,,,20-25,,N. Bjelica misses 3-pt shot from 25 ft
0:31.0,Defensive rebound by G. Hayward,,20-25,,
0:11.0,Shooting foul by K. Dunn (drawn by G. Hayward),,20-25,,
0:11.0,G. Hayward makes free throw 1 of 2,1,21-25,,
0:11.0,G. Hayward makes free throw 2 of 2,1,22-25,,
0:04.0,,,22-25,,N. Bjelica misses 2-pt shot from 2 ft
0:03.0,,,22-25,,Offensive rebound by N. Bjelica
0:02.0,,,22-25,,N. Bjelica misses 2-pt shot from 10 ft
0:01.0,,,22-25,,Offensive rebound by G. Dieng
0:01.0,,,22-27,2,G. Dieng makes 2-pt shot from 2 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,22-29,2,A. Wiggins makes 2-pt shot from 19 ft
11:29.0,Turnover by J. Johnson (bad pass; steal by K. Dunn),,22-29,,
11:27.0,Personal foul by G. Hayward (drawn by K. Dunn),,22-29,,
11:26.0,,,22-29,,Turnover by A. Wiggins (bad pass; steal by G. Hayward)
11:14.0,T. Lyles makes 3-pt shot from 25 ft (assist by G. Hayward),3,25-29,,
10:59.0,,,25-29,,K. Dunn misses 2-pt shot from 17 ft
10:58.0,,,25-29,,Offensive rebound by C. Aldrich
10:55.0,,,25-31,2,N. Bjelica makes 2-pt shot from 1 ft (assist by C. Aldrich)
10:55.0,,,25-31,,Shooting foul by S. Mack (drawn by N. Bjelica)
10:55.0,,,25-32,1,N. Bjelica makes free throw 1 of 1
10:36.0,G. Hayward misses 2-pt shot from 1 ft,,25-32,,
10:34.0,Offensive rebound by J. Withey,,25-32,,
10:34.0,J. Withey misses 2-pt shot from 3 ft,,25-32,,
10:33.0,,,25-32,,Defensive rebound by N. Bjelica
10:28.0,,,25-32,,Turnover by N. Bjelica (bad pass; steal by G. Hayward)
10:24.0,T. Lyles makes 2-pt shot at rim (assist by G. Hayward),2,27-32,,
10:23.0,,,27-32,,Minnesota full timeout
10:23.0,,,27-32,,Z. LaVine enters the game for A. Wiggins
10:23.0,,,27-32,,K. Towns enters the game for N. Bjelica
10:01.0,,,27-32,,S. Muhammad misses 3-pt shot from 24 ft
9:59.0,Defensive rebound by J. Withey,,27-32,,
9:52.0,,,27-32,,Personal foul by C. Aldrich (drawn by J. Withey)
9:48.0,,,27-32,,Violation by K. Dunn (kicked ball)
9:38.0,J. Johnson misses 3-pt shot from 24 ft,,27-32,,
9:37.0,,,27-32,,Defensive rebound by K. Towns
9:31.0,,,27-32,,Z. LaVine misses 3-pt shot from 26 ft
9:30.0,Defensive rebound by J. Withey,,27-32,,
9:20.0,S. Mack makes 3-pt shot from 26 ft,3,30-32,,
9:05.0,,,30-32,,K. Towns misses 2-pt shot from 1 ft
9:04.0,Defensive rebound by G. Hayward,,30-32,,
8:39.0,G. Hayward misses 2-pt shot from 6 ft,,30-32,,
8:38.0,,,30-32,,Defensive rebound by K. Towns
8:26.0,,,30-32,,K. Towns misses 3-pt shot from 24 ft
8:25.0,Defensive rebound by S. Mack,,30-32,,
8:16.0,G. Hayward misses 3-pt shot from 25 ft,,30-32,,
8:15.0,Offensive rebound by T. Lyles,,30-32,,
8:14.0,T. Lyles makes 2-pt shot from 1 ft,2,32-32,,
8:14.0,,,32-32,,Minnesota full timeout
8:14.0,R. Hood enters the game for G. Hayward,,32-32,,
7:58.0,,,32-32,,Turnover by Z. LaVine (lost ball; steal by S. Mack)
7:38.0,J. Withey makes 2-pt shot from 2 ft (assist by R. Hood),2,34-32,,
7:32.0,,,34-32,,Shooting foul by J. Johnson (drawn by S. Muhammad)
7:32.0,,,34-33,1,S. Muhammad makes free throw 1 of 2
7:32.0,,,34-34,1,S. Muhammad makes free throw 2 of 2
7:32.0,,,34-33,,G. Dieng enters the game for C. Aldrich
7:32.0,J. Ingles enters the game for J. Johnson,,34-33,,
7:20.0,S. Mack misses 2-pt shot from 12 ft,,34-34,,
7:19.0,,,34-34,,Defensive rebound by Z. LaVine
7:13.0,,,34-34,,K. Dunn misses 2-pt shot from 22 ft
7:11.0,Defensive rebound by J. Ingles,,34-34,,
7:02.0,T. Lyles makes 2-pt shot from 6 ft,2,36-34,,
6:37.0,,,36-34,,Turnover by K. Dunn (lost ball; steal by J. Ingles)
6:33.0,J. Ingles makes 2-pt shot from 1 ft,2,38-34,,
6:07.0,,,38-36,2,K. Towns makes 2-pt shot from 2 ft (assist by K. Dunn)
5:43.0,J. Withey makes 2-pt shot from 1 ft (assist by J. Ingles),2,40-36,,
5:27.0,Def 3 sec tech foul by J. Withey,,40-36,,
5:27.0,,,40-36,,Minnesota full timeout
5:27.0,,,40-37,1,Z. LaVine makes technical free throw
5:27.0,,,40-36,,R. Rubio enters the game for K. Dunn
5:27.0,,,40-36,,A. Wiggins enters the game for S. Muhammad
5:27.0,G. Hill enters the game for J. Withey,,40-36,,
5:27.0,R. Gobert enters the game for S. Mack,,40-36,,
5:14.0,,,40-37,,G. Dieng misses 2-pt shot from 16 ft
5:13.0,Defensive rebound by G. Hill,,40-37,,
4:54.0,R. Hood misses 3-pt shot from 24 ft,,40-37,,
4:53.0,,,40-37,,Defensive rebound by Z. LaVine
4:42.0,,,40-37,,Turnover by Z. LaVine (lost ball; steal by T. Lyles)
4:39.0,Turnover by R. Hood (bad pass; steal by K. Towns),,40-37,,
4:31.0,,,40-37,,K. Towns misses 2-pt shot from 2 ft
4:30.0,Defensive rebound by G. Hill,,40-37,,
4:16.0,T. Lyles misses 3-pt shot from 25 ft,,40-37,,
4:15.0,,,40-37,,Defensive rebound by Z. LaVine
4:06.0,,,40-40,3,Z. LaVine makes 3-pt shot from 24 ft (assist by G. Dieng)
4:05.0,Utah full timeout,,40-40,,
4:05.0,G. Hayward enters the game for R. Hood,,40-40,,
4:05.0,B. Diaw enters the game for T. Lyles,,40-40,,
3:44.0,G. Hill misses 3-pt shot from 25 ft,,40-40,,
3:42.0,,,40-40,,Defensive rebound by Z. LaVine
3:41.0,,,40-42,2,K. Towns makes 2-pt shot at rim (assist by G. Dieng)
3:41.0,,,40-42,,Shooting foul by G. Hill (drawn by K. Towns)
3:41.0,,,40-43,1,K. Towns makes free throw 1 of 1
3:32.0,Shooting foul by A. Wiggins (drawn by G. Hayward),,40-43,,
3:32.0,G. Hayward makes free throw 1 of 2,1,41-43,,
3:32.0,G. Hayward misses free throw 2 of 2,,41-43,,
3:31.0,,,41-43,,Defensive rebound by K. Towns
3:18.0,Personal foul by J. Ingles (drawn by R. Rubio),,41-43,,
3:18.0,,,41-44,1,R. Rubio makes free throw 1 of 2
3:18.0,,,41-45,1,R. Rubio makes free throw 2 of 2
3:01.0,J. Ingles makes 2-pt shot from 20 ft (assist by B. Diaw),2,43-45,,
2:48.0,,,43-45,,A. Wiggins misses 2-pt shot from 4 ft (block by R. Gobert)
2:46.0,Defensive rebound by G. Hayward,,43-45,,
2:36.0,G. Hayward makes 2-pt shot from 1 ft (assist by R. Gobert),2,45-45,,
2:16.0,,,45-45,,Turnover by A. Wiggins (lost ball; steal by J. Ingles)
2:10.0,,,45-45,,Personal foul by R. Rubio (drawn by R. Gobert)
