time,New York,pts.away,score,pts.home,Dallas
5:44.0,Turnover by C. Anthony (bad pass; steal by S. Curry),,17-20,,
5:22.0,,,17-20,,S. Curry misses 3-pt shot from 28 ft
5:21.0,Defensive rebound by J. Noah,,17-20,,
5:12.0,D. Rose misses 2-pt shot from 1 ft,,17-20,,
5:09.0,,,17-20,,Defensive rebound by A. Bogut
4:54.0,,,17-20,,Shooting foul by D. Rose (drawn by H. Barnes)
4:54.0,,,17-21,1,H. Barnes makes free throw 1 of 2
4:54.0,,,17-22,1,H. Barnes makes free throw 2 of 2
4:54.0,,,17-21,,D. Harris enters the game for D. Williams
4:54.0,W. Hernangomez enters the game for J. Noah,,17-21,,
4:54.0,J. Holiday enters the game for C. Lee,,17-21,,
4:37.0,M. Kuzminskas misses 3-pt shot from 25 ft,,17-22,,
4:36.0,,,17-22,,Defensive rebound by A. Bogut
4:23.0,,,17-22,,H. Barnes misses 3-pt shot from 23 ft
4:22.0,Defensive rebound by W. Hernangomez,,17-22,,
4:15.0,,,17-22,,Personal foul by D. Finney-Smith (drawn by C. Anthony)
4:11.0,Offensive foul by C. Anthony,,17-22,,
4:11.0,Turnover by C. Anthony (offensive foul),,17-22,,
4:11.0,B. Jennings enters the game for D. Rose,,17-22,,
3:58.0,,,17-24,2,D. Harris makes 2-pt shot from 9 ft
3:46.0,W. Hernangomez misses 2-pt shot from 2 ft (block by A. Bogut),,17-24,,
3:46.0,Offensive rebound by Team,,17-24,,
3:44.0,C. Anthony misses 2-pt shot from 8 ft,,17-24,,
3:42.0,Offensive rebound by M. Kuzminskas,,17-24,,
3:40.0,M. Kuzminskas makes 2-pt shot from 6 ft,2,19-24,,
3:28.0,,,19-24,,Turnover by S. Curry (bad pass; steal by W. Hernangomez)
3:13.0,Turnover by M. Kuzminskas (lost ball; steal by D. Harris),,19-24,,
3:05.0,,,19-24,,S. Curry misses 2-pt shot from 19 ft
3:04.0,Defensive rebound by W. Hernangomez,,19-24,,
2:59.0,J. Holiday misses 2-pt shot from 2 ft (block by A. Bogut),,19-24,,
2:58.0,,,19-24,,Defensive rebound by S. Curry
2:58.0,New York full timeout,,19-24,,
