time,New York,pts.away,score,pts.home,Dallas
2:44.0,,,88-97,,Personal foul by J. Anderson (drawn by C. Anthony)
2:44.0,,,88-97,,Dallas full timeout
2:44.0,,,88-97,,D. Finney-Smith enters the game for A. Bogut
2:39.0,D. Rose makes 2-pt shot from 1 ft,2,90-97,,
2:18.0,,,90-99,2,J. Anderson makes 2-pt shot at rim (assist by P. Jackson)
2:18.0,,,90-99,,Shooting foul by K. Porzingis (drawn by J. Anderson)
2:18.0,,,90-99,,J. Anderson misses free throw 1 of 1
2:17.0,Defensive rebound by K. Porzingis,,90-99,,
2:03.0,C. Lee makes 2-pt shot from 15 ft (assist by D. Rose),2,92-99,,
1:35.0,,,92-99,,H. Barnes misses 2-pt shot from 21 ft
1:33.0,Defensive rebound by C. Anthony,,92-99,,
1:24.0,J. Holiday misses 3-pt shot from 26 ft,,92-99,,
1:22.0,,,92-99,,Defensive rebound by H. Barnes
1:10.0,,,92-99,,J. Anderson misses 3-pt shot from 26 ft
1:09.0,Defensive rebound by C. Anthony,,92-99,,
0:59.0,K. Porzingis misses 2-pt shot from 6 ft,,92-99,,
0:58.0,Offensive rebound by K. Porzingis,,92-99,,
0:57.0,K. Porzingis makes 2-pt shot from 6 ft,2,94-99,,
0:57.0,Shooting foul by J. Anderson (drawn by K. Porzingis),,94-99,,
0:57.0,K. Porzingis makes free throw 1 of 1,1,95-99,,
0:57.0,,,95-99,,Dallas full timeout
0:57.0,R. Baker enters the game for K. Porzingis,,95-99,,
0:37.0,,,95-99,,J. Anderson misses 3-pt shot from 25 ft
0:36.0,Defensive rebound by C. Anthony,,95-99,,
0:28.0,Turnover by R. Baker (step out of bounds),,95-99,,
0:27.0,Personal foul by C. Lee (drawn by H. Barnes),,95-99,,
0:27.0,,,95-100,1,H. Barnes makes free throw 1 of 2
0:27.0,,,95-101,1,H. Barnes makes free throw 2 of 2
0:27.0,New York full timeout,,95-101,,
0:27.0,K. Porzingis enters the game for R. Baker,,95-101,,
0:24.0,C. Anthony misses 3-pt shot from 25 ft,,95-101,,
0:21.0,Offensive rebound by K. Porzingis,,95-101,,
0:20.0,K. Porzingis misses 2-pt shot from 4 ft,,95-101,,
0:19.0,,,95-101,,Defensive rebound by H. Barnes
0:17.0,Personal take foul by J. Holiday (drawn by J. Anderson),,95-101,,
0:17.0,,,95-102,1,J. Anderson makes free throw 1 of 2
0:17.0,,,95-103,1,J. Anderson makes free throw 2 of 2
0:17.0,New York full timeout,,95-103,,
0:17.0,Turnover by D. Rose (bad pass; steal by S. Curry),,95-103,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
