time,Charlotte,pts.away,score,pts.home,Minnesota
2:42.0,,,105-100,,Shooting foul by K. Walker (drawn by R. Rubio)
2:42.0,,,105-101,1,R. Rubio makes free throw 1 of 2
2:42.0,,,105-102,1,R. Rubio makes free throw 2 of 2
2:23.0,F. Kaminsky makes 2-pt shot from 5 ft,2,107-102,,
2:23.0,Shooting foul by R. Rubio (drawn by F. Kaminsky),,107-102,,
2:23.0,F. Kaminsky makes free throw 1 of 1,1,108-102,,
2:09.0,,,108-102,,A. Wiggins misses 3-pt shot from 25 ft
2:08.0,Defensive rebound by F. Kaminsky,,108-102,,
1:55.0,K. Walker misses 2-pt shot from 20 ft,,108-102,,
1:54.0,,,108-102,,Defensive rebound by R. Rubio
1:46.0,,,108-105,3,K. Towns makes 3-pt shot from 24 ft (assist by R. Rubio)
1:29.0,Turnover by F. Kaminsky (traveling),,108-105,,
1:18.0,,,108-105,,K. Towns misses 3-pt shot from 25 ft
1:16.0,,,108-105,,Offensive rebound by G. Dieng
1:10.0,,,108-105,,Z. LaVine misses 3-pt shot from 25 ft
1:09.0,Defensive rebound by K. Walker,,108-105,,
1:00.0,Charlotte full timeout,,108-105,,
1:00.0,M. Belinelli enters the game for M. Kidd-Gilchrist,,108-105,,
0:54.0,C. Zeller makes 2-pt shot at rim,2,110-105,,
0:47.0,Personal block foul by C. Zeller (drawn by A. Wiggins),,110-105,,
0:44.0,Personal foul by N. Batum (drawn by A. Wiggins),,110-105,,
0:44.0,,,110-106,1,A. Wiggins makes free throw 1 of 2
0:44.0,,,110-106,,A. Wiggins misses free throw 2 of 2
0:44.0,Defensive rebound by C. Zeller,,110-106,,
0:29.0,F. Kaminsky makes 2-pt shot at rim (assist by N. Batum),2,112-106,,
0:29.0,,,112-106,,Minnesota full timeout
0:29.0,M. Kidd-Gilchrist enters the game for M. Belinelli,,112-106,,
0:22.0,,,112-106,,K. Towns misses 3-pt shot from 25 ft
0:21.0,Defensive rebound by M. Kidd-Gilchrist,,112-106,,
0:20.0,,,112-106,,Personal foul by R. Rubio (drawn by M. Kidd-Gilchrist)
0:20.0,M. Kidd-Gilchrist misses free throw 1 of 2,,112-106,,
0:20.0,Offensive rebound by Team,,112-106,,
0:20.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,113-106,,
0:14.0,,,113-106,,K. Towns misses 3-pt shot from 25 ft
0:13.0,Defensive rebound by K. Walker,,113-106,,
0:11.0,,,113-106,,Personal take foul by Z. LaVine (drawn by K. Walker)
0:11.0,K. Walker makes free throw 1 of 2,1,114-106,,
0:11.0,K. Walker makes free throw 2 of 2,1,115-106,,
0:06.0,,,115-108,2,Z. LaVine makes 2-pt shot from 1 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
