time,Charlotte,pts.away,score,pts.home,Minnesota
0:00.0,,,31-30,,K. Towns misses 3-pt shot from 61 ft
0:00.0,,,31-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,M. Belinelli misses 2-pt shot from 21 ft,,31-30,,
11:42.0,,,31-30,,Defensive rebound by K. Dunn
11:22.0,,,31-30,,A. Wiggins misses 2-pt shot from 2 ft (block by R. Hibbert)
11:20.0,Defensive rebound by M. Kidd-Gilchrist,,31-30,,
11:14.0,Turnover by R. Sessions (traveling),,31-30,,
10:53.0,,,31-30,,A. Wiggins misses 3-pt shot from 25 ft
10:52.0,Defensive rebound by R. Hibbert,,31-30,,
10:41.0,R. Sessions misses 3-pt shot from 24 ft,,31-30,,
10:40.0,,,31-30,,Defensive rebound by K. Towns
10:32.0,,,31-30,,Shooting foul by R. Hibbert (drawn by A. Wiggins)
10:32.0,,,31-30,,A. Wiggins misses free throw 1 of 2
10:32.0,,,31-30,,Offensive rebound by Team
10:32.0,,,31-31,1,A. Wiggins makes free throw 2 of 2
10:32.0,,,31-30,,A. Payne enters the game for K. Towns
10:23.0,,,31-31,,Z. LaVine enters the game for A. Wiggins
10:14.0,R. Hibbert misses 2-pt shot from 18 ft,,31-31,,
10:13.0,,,31-31,,Defensive rebound by C. Aldrich
10:06.0,,,31-33,2,C. Aldrich makes 2-pt shot from 1 ft (assist by K. Dunn)
9:51.0,F. Kaminsky misses 3-pt shot from 24 ft,,31-33,,
9:49.0,,,31-33,,Defensive rebound by C. Aldrich
9:31.0,,,31-35,2,K. Dunn makes 2-pt shot from 18 ft
9:17.0,F. Kaminsky misses 2-pt shot from 2 ft,,31-35,,
9:15.0,,,31-35,,Defensive rebound by N. Bjelica
9:06.0,,,31-35,,A. Payne misses 2-pt shot at rim (block by F. Kaminsky)
9:05.0,,,31-35,,Offensive rebound by A. Payne
9:03.0,,,31-35,,A. Payne misses 2-pt shot from 2 ft
9:02.0,Defensive rebound by R. Hibbert,,31-35,,
8:57.0,Shooting foul by Z. LaVine (drawn by R. Sessions),,31-35,,
8:57.0,Charlotte full timeout,,31-35,,
8:57.0,R. Sessions makes free throw 1 of 2,1,32-35,,
8:57.0,R. Sessions makes free throw 2 of 2,1,33-35,,
8:39.0,,,33-38,3,Z. LaVine makes 3-pt shot from 25 ft (assist by A. Payne)
8:21.0,M. Belinelli misses 2-pt shot from 3 ft,,33-38,,
