time,Utah,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,G. Hill makes 2-pt shot from 8 ft (assist by D. Favors),2,27-31,,
11:25.0,,,27-31,,Turnover by E. Kanter (lost ball; steal by G. Hill)
11:08.0,A. Burks misses 2-pt shot from 5 ft (block by T. Gibson),,27-31,,
11:07.0,Offensive rebound by A. Burks,,27-31,,
11:07.0,A. Burks misses 2-pt shot from 3 ft,,27-31,,
11:06.0,Offensive rebound by D. Favors,,27-31,,
10:59.0,A. Burks makes 3-pt shot from 22 ft (assist by J. Ingles),3,30-31,,
10:40.0,,,30-33,2,E. Kanter makes 2-pt shot from 12 ft
10:18.0,A. Burks makes 2-pt shot from 1 ft,2,32-33,,
10:18.0,Shooting foul by T. Gibson (drawn by A. Burks),,32-33,,
10:18.0,A. Burks makes free throw 1 of 1,1,33-33,,
9:57.0,,,33-33,,T. Gibson misses 2-pt shot from 13 ft
9:56.0,,,33-33,,Offensive rebound by E. Kanter
9:56.0,,,33-33,,E. Kanter misses 2-pt shot at rim
9:55.0,Defensive rebound by G. Hill,,33-33,,
9:35.0,B. Diaw misses 2-pt shot from 5 ft (block by S. Christon),,33-33,,
9:35.0,,,33-33,,Defensive rebound by J. Grant
9:31.0,,,33-36,3,D. McDermott makes 3-pt shot from 22 ft (assist by J. Grant)
9:14.0,D. Favors makes 2-pt shot from 15 ft (assist by G. Hill),2,35-36,,
9:02.0,,,35-38,2,T. Gibson makes 2-pt shot from 2 ft (assist by S. Christon)
8:45.0,G. Hill misses 2-pt shot from 2 ft,,35-38,,
8:44.0,Offensive rebound by Team,,35-38,,
8:44.0,Official timeout,,35-38,,
8:44.0,R. Hood enters the game for A. Burks,,35-38,,
8:42.0,R. Hood makes 2-pt shot from 16 ft (assist by J. Ingles),2,37-38,,
8:26.0,,,37-38,,D. McDermott misses 2-pt shot from 4 ft
8:26.0,Defensive rebound by Team,,37-38,,
8:26.0,,,37-38,,Loose ball foul by E. Kanter (drawn by D. Favors)
8:26.0,,,37-38,,R. Westbrook enters the game for S. Christon
8:26.0,D. Exum enters the game for G. Hill,,37-38,,
8:04.0,D. Exum misses 2-pt shot from 2 ft,,37-38,,
