time,Chicago,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Holmes vs. R. Lopez (T. McConnell gains possession),,,,Jump ball: R. Holmes vs. R. Lopez (T. McConnell gains possession)
11:47.0,,,0-0,,T. McConnell misses 2-pt shot from 17 ft
11:46.0,Defensive rebound by J. Butler,,0-0,,
11:27.0,Turnover by J. Butler (bad pass),,0-0,,
11:03.0,,,0-2,2,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft
10:40.0,R. Lopez misses 2-pt shot from 17 ft,,0-2,,
10:38.0,,,0-2,,Defensive rebound by D. Saric
10:30.0,,,0-2,,Turnover by T. McConnell (bad pass)
10:20.0,R. Lopez misses 2-pt shot from 18 ft,,0-2,,
10:18.0,,,0-2,,Defensive rebound by D. Saric
10:07.0,,,0-2,,Turnover by J. Anderson (bad pass; steal by J. Grant)
9:56.0,J. Butler misses 2-pt shot from 17 ft,,0-2,,
9:55.0,,,0-2,,Defensive rebound by D. Saric
9:47.0,,,0-2,,Turnover by D. Saric (lost ball; steal by P. Zipser)
9:41.0,J. Butler makes 2-pt shot from 2 ft (assist by J. Grant),2,2-2,,
9:30.0,,,2-2,,R. Holmes misses 3-pt shot from 25 ft
9:29.0,Defensive rebound by J. Grant,,2-2,,
9:16.0,J. Butler misses 3-pt shot from 25 ft,,2-2,,
9:15.0,,,2-2,,Defensive rebound by R. Holmes
9:07.0,,,2-2,,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft
9:06.0,Defensive rebound by N. Mirotic,,2-2,,
8:55.0,Turnover by J. Butler (bad pass; steal by T. McConnell),,2-2,,
8:51.0,,,2-4,2,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft (assist by T. McConnell)
8:40.0,J. Butler makes 2-pt shot from 1 ft,2,4-4,,
8:21.0,,,4-4,,T. McConnell misses 3-pt shot from 24 ft
8:20.0,Defensive rebound by J. Butler,,4-4,,
8:15.0,Shooting foul by T. Luwawu-Cabarrot (drawn by J. Butler),,4-4,,
8:15.0,J. Butler makes free throw 1 of 2,1,5-4,,
8:15.0,J. Butler makes free throw 2 of 2,1,6-4,,
7:51.0,,,6-4,,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft
7:50.0,Defensive rebound by N. Mirotic,,6-4,,
7:41.0,,,6-4,,Personal foul by T. Luwawu-Cabarrot (drawn by R. Lopez)
7:41.0,,,6-4,,N. Stauskas enters the game for T. Luwawu-Cabarrot
7:34.0,J. Grant makes 3-pt shot from 24 ft (assist by N. Mirotic),3,9-4,,
7:17.0,,,9-4,,R. Holmes misses 2-pt shot from 5 ft (block by R. Lopez)
7:15.0,Defensive rebound by R. Lopez,,9-4,,
7:07.0,P. Zipser misses 2-pt shot from 16 ft,,9-4,,
7:06.0,,,9-4,,Defensive rebound by D. Saric
6:50.0,,,9-4,,J. Anderson misses 3-pt shot from 27 ft
6:49.0,Defensive rebound by P. Zipser,,9-4,,
6:41.0,Turnover by R. Lopez (bad pass; steal by J. Anderson),,9-4,,
6:36.0,,,9-6,2,J. Anderson makes 2-pt shot from 2 ft (assist by N. Stauskas)
6:23.0,,,9-6,,Violation by N. Stauskas (kicked ball)
6:13.0,J. Grant makes 2-pt shot from 17 ft,2,11-6,,
5:56.0,,,11-8,2,D. Saric makes 2-pt shot from 5 ft (assist by T. McConnell)
5:36.0,R. Lopez misses 2-pt shot from 19 ft,,11-8,,
5:35.0,,,11-8,,Defensive rebound by D. Saric
5:17.0,,,11-8,,Turnover by N. Stauskas (lost ball; steal by J. Grant)
5:12.0,N. Mirotic misses 3-pt shot from 25 ft,,11-8,,
5:11.0,,,11-8,,Defensive rebound by N. Stauskas
5:04.0,,,11-10,2,J. Anderson makes 2-pt shot from 2 ft (assist by T. McConnell)
5:02.0,Chicago full timeout,,11-10,,
5:02.0,A. Morrow enters the game for P. Zipser,,11-10,,
5:02.0,,,11-10,,A. Poythress enters the game for D. Saric
4:53.0,N. Mirotic makes 3-pt shot from 24 ft (assist by A. Morrow),3,14-10,,
4:38.0,,,14-10,,T. McConnell misses 3-pt shot from 24 ft
4:36.0,,,14-10,,Offensive rebound by Team
