time,Oklahoma City,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Davis (T. Jones gains possession),,,,Jump ball: S. Adams vs. A. Davis (T. Jones gains possession)
11:44.0,,,0-0,,A. Davis misses 2-pt shot from 13 ft
11:43.0,Defensive rebound by D. Sabonis,,0-0,,
11:39.0,S. Adams misses 2-pt shot from 5 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by B. Hield
11:23.0,,,0-2,2,B. Hield makes 2-pt shot from 3 ft
11:05.0,S. Adams makes 2-pt shot from 3 ft,2,2-2,,
10:46.0,,,2-2,,A. Davis misses 2-pt shot from 2 ft
10:42.0,Defensive rebound by A. Roberson,,2-2,,
10:40.0,R. Westbrook misses 2-pt shot from 16 ft,,2-2,,
10:39.0,Offensive rebound by S. Adams,,2-2,,
10:35.0,A. Roberson makes 2-pt shot from 1 ft (assist by S. Adams),2,4-2,,
10:24.0,,,4-4,2,J. Holiday makes 2-pt shot from 18 ft
9:58.0,R. Westbrook makes 3-pt shot from 26 ft (assist by A. Roberson),3,7-4,,
9:46.0,,,7-6,2,J. Holiday makes 2-pt shot from 3 ft
9:31.0,V. Oladipo misses 3-pt shot from 26 ft,,7-6,,
9:29.0,,,7-6,,Defensive rebound by S. Hill
9:23.0,,,7-6,,B. Hield misses 2-pt shot from 2 ft (block by A. Roberson)
9:22.0,Defensive rebound by D. Sabonis,,7-6,,
9:12.0,D. Sabonis misses 3-pt shot from 27 ft,,7-6,,
9:12.0,,,7-6,,Defensive rebound by Team
9:10.0,Loose ball foul by S. Adams (drawn by T. Jones),,7-6,,
9:00.0,,,7-6,,A. Davis misses 2-pt shot from 19 ft
8:58.0,Defensive rebound by R. Westbrook,,7-6,,
8:51.0,V. Oladipo misses 3-pt shot from 24 ft,,7-6,,
8:48.0,,,7-6,,Defensive rebound by A. Davis
8:37.0,,,7-6,,T. Jones misses 2-pt shot from 2 ft
8:37.0,,,7-6,,Offensive rebound by T. Jones
8:28.0,,,7-6,,S. Hill misses 3-pt shot from 28 ft
8:27.0,Defensive rebound by R. Westbrook,,7-6,,
8:14.0,R. Westbrook misses 2-pt shot from 18 ft,,7-6,,
8:13.0,,,7-6,,Defensive rebound by A. Davis
8:04.0,,,7-6,,B. Hield misses 2-pt shot from 3 ft (block by V. Oladipo)
8:03.0,Defensive rebound by D. Sabonis,,7-6,,
7:57.0,Shooting foul by J. Holiday (drawn by V. Oladipo),,7-6,,
7:57.0,V. Oladipo misses free throw 1 of 2,,7-6,,
7:57.0,Offensive rebound by Team,,7-6,,
7:57.0,V. Oladipo makes free throw 2 of 2,1,8-6,,
7:34.0,,,8-6,,T. Jones misses 2-pt shot from 3 ft (block by S. Adams)
7:33.0,Defensive rebound by D. Sabonis,,8-6,,
7:25.0,Shooting foul by S. Hill (drawn by R. Westbrook),,8-6,,
7:25.0,R. Westbrook makes free throw 1 of 3,1,9-6,,
7:25.0,R. Westbrook makes free throw 2 of 3,1,10-6,,
7:25.0,R. Westbrook makes free throw 3 of 3,1,11-6,,
7:21.0,,,11-6,,New Orleans full timeout
7:09.0,,,11-8,2,T. Jones makes 2-pt shot at rim (assist by J. Holiday)
7:00.0,Shooting foul by T. Jones (drawn by S. Adams),,11-8,,
7:00.0,S. Adams misses free throw 1 of 2,,11-8,,
7:00.0,Offensive rebound by Team,,11-8,,
7:00.0,S. Adams misses free throw 2 of 2,,11-8,,
6:58.0,,,11-8,,Defensive rebound by A. Davis
6:44.0,Personal foul by R. Westbrook (drawn by S. Hill),,11-8,,
6:30.0,,,11-8,,A. Davis misses 2-pt shot from 16 ft
6:30.0,Defensive rebound by R. Westbrook,,11-8,,
6:25.0,Turnover by R. Westbrook (traveling),,11-8,,
6:12.0,,,11-8,,Turnover by J. Holiday (bad pass; steal by A. Roberson)
5:55.0,A. Roberson makes 2-pt shot at rim (assist by S. Adams),2,13-8,,
5:51.0,,,13-8,,New Orleans full timeout
5:38.0,,,13-8,,B. Hield misses 2-pt shot from 13 ft
5:38.0,Defensive rebound by R. Westbrook,,13-8,,
5:25.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,15-8,,
5:08.0,,,15-8,,Shooting foul by D. Sabonis (drawn by A. Davis)
5:08.0,,,15-9,1,A. Davis makes free throw 1 of 2
5:08.0,,,15-10,1,A. Davis makes free throw 2 of 2
5:08.0,E. Kanter enters the game for D. Sabonis,,15-9,,
5:08.0,,,15-9,,O. Asik enters the game for T. Jones
4:54.0,R. Westbrook misses 3-pt shot from 24 ft,,15-10,,
4:54.0,,,15-10,,Defensive rebound by A. Davis
4:39.0,,,15-10,,Turnover by A. Davis (bad pass)
4:28.0,V. Oladipo misses 3-pt shot from 26 ft,,15-10,,
4:27.0,,,15-10,,Defensive rebound by B. Hield
4:19.0,,,15-10,,Shooting foul by S. Adams (drawn by A. Davis)
4:19.0,,,15-10,,A. Davis misses free throw 1 of 2
4:19.0,,,15-10,,Offensive rebound by Team
4:19.0,,,15-10,,A. Davis misses free throw 2 of 2
4:19.0,D. Sabonis enters the game for S. Adams,,15-10,,
