time,Houston,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. Z. Pachulia (R. Anderson gains possession),,,,Jump ball: C. Capela vs. Z. Pachulia (R. Anderson gains possession)
11:38.0,T. Ariza makes 2-pt shot from 1 ft,2,2-0,,
11:13.0,,,2-2,2,K. Durant makes 2-pt shot at rim (assist by Z. Pachulia)
11:01.0,C. Capela makes 2-pt shot from 3 ft,2,4-2,,
10:48.0,,,4-4,2,S. Curry makes 2-pt shot from 12 ft (assist by D. Green)
10:26.0,R. Anderson misses 2-pt shot from 3 ft (block by Z. Pachulia),,4-4,,
10:25.0,Offensive rebound by R. Anderson,,4-4,,
10:23.0,R. Anderson makes 2-pt shot from 1 ft,2,6-4,,
10:15.0,,,6-4,,Z. Pachulia misses 2-pt shot from 2 ft (block by C. Capela)
10:15.0,Defensive rebound by Team,,6-4,,
10:15.0,,,6-4,,Loose ball foul by Z. Pachulia (drawn by P. Beverley)
10:05.0,J. Harden makes 2-pt shot from 3 ft,2,8-4,,
9:52.0,,,8-4,,K. Durant misses 3-pt shot from 24 ft
9:52.0,Defensive rebound by J. Harden,,8-4,,
9:43.0,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden),3,11-4,,
9:33.0,Personal foul by P. Beverley (drawn by S. Curry),,11-4,,
9:30.0,,,11-4,,Offensive foul by Z. Pachulia
9:30.0,,,11-4,,Turnover by Z. Pachulia (offensive foul)
9:17.0,J. Harden makes 2-pt shot at rim (assist by T. Ariza),2,13-4,,
9:16.0,,,13-4,,Golden State full timeout
9:16.0,,,13-4,,A. Iguodala enters the game for Z. Pachulia
9:00.0,,,13-4,,Turnover by D. Green (bad pass; steal by T. Ariza)
8:55.0,J. Harden misses 2-pt shot from 3 ft (block by K. Durant),,13-4,,
8:54.0,,,13-4,,Defensive rebound by S. Curry
8:50.0,,,13-6,2,A. Iguodala makes 2-pt shot at rim (assist by S. Curry)
8:33.0,P. Beverley misses 3-pt shot from 26 ft,,13-6,,
8:33.0,,,13-6,,Defensive rebound by D. Green
8:25.0,,,13-6,,Turnover by K. Thompson (traveling)
8:12.0,Turnover by J. Harden (bad pass; steal by K. Durant),,13-6,,
8:02.0,,,13-6,,K. Thompson misses 3-pt shot from 26 ft
8:01.0,Defensive rebound by C. Capela,,13-6,,
7:48.0,R. Anderson misses 2-pt shot from 15 ft,,13-6,,
7:47.0,,,13-6,,Defensive rebound by K. Durant
7:38.0,,,13-8,2,K. Durant makes 2-pt shot from 1 ft
7:24.0,T. Ariza misses 2-pt shot from 2 ft,,13-8,,
7:23.0,,,13-8,,Defensive rebound by K. Durant
7:12.0,,,13-8,,S. Curry misses 3-pt shot from 26 ft
7:12.0,Defensive rebound by J. Harden,,13-8,,
7:07.0,Shooting foul by A. Iguodala (drawn by J. Harden),,13-8,,
7:07.0,J. Harden misses free throw 1 of 2,,13-8,,
7:07.0,Offensive rebound by Team,,13-8,,
7:07.0,J. Harden makes free throw 2 of 2,1,14-8,,
6:52.0,,,14-8,,D. Green misses 3-pt shot from 24 ft
6:51.0,Defensive rebound by P. Beverley,,14-8,,
6:42.0,R. Anderson misses 3-pt shot from 26 ft,,14-8,,
6:41.0,,,14-8,,Defensive rebound by A. Iguodala
6:32.0,,,14-11,3,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green)
6:19.0,T. Ariza makes 2-pt shot from 19 ft,2,16-11,,
6:05.0,,,16-13,2,D. Green makes 2-pt shot from 2 ft (assist by S. Curry)
5:51.0,Turnover by C. Capela (traveling),,16-13,,
5:51.0,E. Gordon enters the game for P. Beverley,,16-13,,
5:41.0,,,16-15,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
5:32.0,T. Ariza misses 3-pt shot from 25 ft,,16-15,,
5:31.0,,,16-15,,Defensive rebound by D. Green
5:22.0,,,16-17,2,D. Green makes 2-pt shot from 2 ft
5:22.0,Houston full timeout,,16-17,,
5:22.0,,,16-17,,J. McGee enters the game for K. Durant
5:22.0,M. Harrell enters the game for C. Capela,,16-17,,
5:05.0,J. Harden makes 2-pt shot from 16 ft,2,18-17,,
4:51.0,,,18-17,,Offensive charge foul by J. McGee
4:51.0,,,18-17,,Turnover by J. McGee (offensive foul)
4:38.0,J. Harden makes 2-pt shot from 1 ft,2,20-17,,
4:30.0,,,20-20,3,K. Thompson makes 3-pt shot from 26 ft (assist by D. Green)
4:15.0,Turnover by J. Harden (bad pass; steal by J. McGee),,20-20,,
4:12.0,,,20-20,,Shooting foul by J. Harden (drawn by A. Iguodala)
4:12.0,,,20-20,,A. Iguodala misses free throw 1 of 2
4:12.0,,,20-20,,Offensive rebound by Team
4:12.0,,,20-21,1,A. Iguodala makes free throw 2 of 2
4:12.0,S. Dekker enters the game for R. Anderson,,20-20,,
3:58.0,Turnover by J. Harden (bad pass; steal by J. McGee),,20-21,,
3:47.0,,,20-24,3,A. Iguodala makes 3-pt shot from 26 ft (assist by K. Thompson)
3:37.0,S. Dekker makes 3-pt shot from 25 ft (assist by E. Gordon),3,23-24,,
3:30.0,,,23-24,,K. Thompson misses 2-pt shot from 1 ft
3:28.0,Defensive rebound by T. Ariza,,23-24,,
3:22.0,T. Ariza misses 3-pt shot from 25 ft,,23-24,,
3:22.0,,,23-24,,Defensive rebound by D. Green
3:11.0,,,23-24,,Shooting foul by T. Ariza (drawn by K. Thompson)
3:11.0,,,23-25,1,K. Thompson makes free throw 1 of 2
