time,Brooklyn,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. T. Thompson (J. Lin gains possession),,,,Jump ball: B. Lopez vs. T. Thompson (J. Lin gains possession)
11:43.0,Turnover by J. Hamilton (bad pass),,0-0,,
11:31.0,,,0-0,,T. Thompson misses 2-pt shot from 13 ft
11:31.0,,,0-0,,Offensive rebound by Team
11:31.0,Loose ball foul by S. Kilpatrick (drawn by D. Liggins),,0-0,,
11:23.0,,,0-0,,K. Love misses 2-pt shot from 14 ft
11:21.0,Defensive rebound by J. Lin,,0-0,,
11:17.0,J. Hamilton misses 2-pt shot from 3 ft (block by T. Thompson),,0-0,,
11:16.0,,,0-0,,Defensive rebound by K. Love
11:12.0,,,0-0,,D. Liggins misses 2-pt shot at rim (block by B. Lopez)
11:12.0,,,0-0,,Offensive rebound by Team
11:08.0,,,0-0,,L. James misses 3-pt shot from 26 ft
11:08.0,Defensive rebound by S. Kilpatrick,,0-0,,
10:57.0,Turnover by J. Hamilton (lost ball; steal by K. Irving),,0-0,,
10:51.0,,,0-0,,K. Love misses 3-pt shot from 28 ft
10:49.0,Defensive rebound by J. Hamilton,,0-0,,
10:40.0,J. Lin misses 2-pt shot from 2 ft,,0-0,,
10:38.0,,,0-0,,Defensive rebound by K. Love
10:30.0,,,0-3,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
10:25.0,,,0-3,,Personal foul by D. Liggins (drawn by J. Lin)
10:10.0,B. Lopez makes 2-pt shot from 9 ft (assist by J. Lin),2,2-3,,
9:58.0,,,2-5,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
9:34.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by K. Love),,2-5,,
9:33.0,,,2-5,,Defensive rebound by T. Thompson
9:15.0,,,2-5,,Turnover by D. Liggins (bad pass; steal by S. Kilpatrick)
9:06.0,J. Lin makes 2-pt shot at rim (assist by S. Kilpatrick),2,4-5,,
8:40.0,,,4-5,,L. James misses 2-pt shot from 11 ft
8:38.0,Defensive rebound by S. Kilpatrick,,4-5,,
8:26.0,B. Lopez misses 3-pt shot from 28 ft,,4-5,,
8:25.0,,,4-5,,Defensive rebound by L. James
8:11.0,,,4-5,,K. Irving misses 2-pt shot from 14 ft
8:09.0,Defensive rebound by B. Lopez,,4-5,,
