time,Houston,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. M. Plumlee (R. Anderson gains possession),,,,Jump ball: C. Capela vs. M. Plumlee (R. Anderson gains possession)
11:41.0,C. Capela misses 2-pt shot at rim,,0-0,,
11:38.0,,,0-0,,Defensive rebound by J. Hernangomez
11:32.0,,,0-0,,N. Jokic misses 2-pt shot from 17 ft
11:31.0,Defensive rebound by J. Harden,,0-0,,
11:23.0,T. Ariza misses 3-pt shot from 26 ft,,0-0,,
11:22.0,Offensive rebound by C. Capela,,0-0,,
11:15.0,Turnover by J. Harden (bad pass; steal by G. Harris),,0-0,,
11:09.0,,,0-2,2,G. Harris makes 2-pt shot from 2 ft
10:52.0,P. Beverley makes 2-pt shot from 8 ft,2,2-2,,
10:31.0,,,2-4,2,N. Jokic makes 2-pt shot from 1 ft (assist by J. Nelson)
10:08.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,4-4,,
9:52.0,,,4-4,,J. Nelson misses 2-pt shot from 6 ft
9:52.0,Defensive rebound by C. Capela,,4-4,,
9:37.0,Turnover by J. Harden (offensive foul),,4-4,,
9:37.0,Offensive foul by J. Harden,,4-4,,
9:18.0,,,4-4,,Turnover by G. Harris (step out of bounds)
9:04.0,C. Capela misses 2-pt shot from 4 ft,,4-4,,
9:03.0,Offensive rebound by C. Capela,,4-4,,
9:03.0,C. Capela makes 2-pt shot from 1 ft,2,6-4,,
8:49.0,,,6-4,,N. Jokic misses 3-pt shot from 25 ft
8:48.0,Defensive rebound by T. Ariza,,6-4,,
8:31.0,J. Harden misses 2-pt shot from 6 ft,,6-4,,
8:30.0,,,6-4,,Defensive rebound by M. Plumlee
8:26.0,,,6-4,,Turnover by J. Hernangomez (lost ball; steal by P. Beverley)
8:26.0,,,6-4,,Personal block foul by M. Plumlee (drawn by P. Beverley)
8:09.0,C. Capela misses 2-pt shot from 1 ft,,6-4,,
8:07.0,Offensive rebound by C. Capela,,6-4,,
8:07.0,C. Capela makes 2-pt shot at rim,2,8-4,,
7:55.0,,,8-6,2,J. Hernangomez makes 2-pt shot from 2 ft (assist by N. Jokic)
7:41.0,R. Anderson makes 2-pt shot from 1 ft (assist by J. Harden),2,10-6,,
7:30.0,,,10-9,3,J. Hernangomez makes 3-pt shot from 25 ft (assist by J. Nelson)
7:20.0,R. Anderson misses 3-pt shot from 29 ft,,10-9,,
7:19.0,,,10-9,,Defensive rebound by Team
