time,Houston,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Capela vs. R. Gobert (R. Anderson gains possession),,,,Jump ball: C. Capela vs. R. Gobert (R. Anderson gains possession)
11:36.0,T. Ariza makes 2-pt shot from 17 ft,2,2-0,,
11:26.0,Personal foul by J. Harden (drawn by G. Hill),,2-0,,
11:19.0,,,2-0,,G. Hill misses 2-pt shot from 2 ft (block by T. Ariza)
11:18.0,Defensive rebound by P. Beverley,,2-0,,
11:11.0,T. Ariza misses 3-pt shot from 24 ft,,2-0,,
11:11.0,,,2-0,,Defensive rebound by R. Gobert
10:55.0,,,2-0,,R. Hood misses 2-pt shot from 2 ft
10:54.0,,,2-0,,Offensive rebound by R. Gobert
10:53.0,,,2-2,2,R. Gobert makes 2-pt shot from 2 ft
10:38.0,Shooting foul by R. Hood (drawn by J. Harden),,2-2,,
10:38.0,J. Harden makes free throw 1 of 3,1,3-2,,
10:38.0,J. Harden misses free throw 2 of 3,,3-2,,
10:38.0,Offensive rebound by Team,,3-2,,
10:38.0,J. Harden makes free throw 3 of 3,1,4-2,,
10:24.0,,,4-4,2,G. Hayward makes 2-pt shot at rim
10:05.0,P. Beverley misses 2-pt shot from 6 ft,,4-4,,
10:04.0,Offensive rebound by C. Capela,,4-4,,
10:02.0,C. Capela misses 2-pt shot from 2 ft,,4-4,,
10:00.0,,,4-4,,Defensive rebound by G. Hayward
9:52.0,,,4-4,,Turnover by G. Hill (bad pass; steal by J. Harden)
9:43.0,R. Anderson makes 3-pt shot from 24 ft (assist by J. Harden),3,7-4,,
9:27.0,,,7-6,2,B. Diaw makes 2-pt shot from 2 ft
9:16.0,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden),3,10-6,,
9:01.0,,,10-6,,Turnover by R. Hood (bad pass; steal by T. Ariza)
8:56.0,T. Ariza makes 2-pt shot from 1 ft,2,12-6,,
8:30.0,,,12-9,3,R. Hood makes 3-pt shot from 27 ft (assist by G. Hill)
8:22.0,P. Beverley makes 2-pt shot from 3 ft,2,14-9,,
7:58.0,,,14-9,,G. Hayward misses 2-pt shot from 18 ft
7:56.0,Defensive rebound by P. Beverley,,14-9,,
7:52.0,C. Capela makes 2-pt shot from 2 ft (assist by P. Beverley),2,16-9,,
7:52.0,,,16-9,,Utah full timeout
7:28.0,,,16-12,3,R. Hood makes 3-pt shot from 24 ft
7:17.0,T. Ariza misses 3-pt shot from 23 ft,,16-12,,
7:16.0,,,16-12,,Defensive rebound by G. Hayward
7:06.0,,,16-12,,Shooting foul by C. Capela (drawn by G. Hayward)
7:06.0,,,16-13,1,G. Hayward makes free throw 1 of 2
7:06.0,,,16-14,1,G. Hayward makes free throw 2 of 2
6:53.0,R. Anderson misses 2-pt shot from 21 ft,,16-14,,
6:53.0,,,16-14,,Defensive rebound by G. Hayward
6:48.0,,,16-16,2,B. Diaw makes 2-pt shot from 2 ft (assist by G. Hayward)
6:36.0,,,16-16,,Personal foul by B. Diaw (drawn by J. Harden)
6:36.0,E. Gordon enters the game for P. Beverley,,16-16,,
6:24.0,J. Harden makes 2-pt shot from 5 ft,2,18-16,,
6:06.0,,,18-18,2,R. Gobert makes 2-pt shot at rim (assist by G. Hill)
5:53.0,Turnover by T. Ariza (dbl dribble),,18-18,,
5:53.0,,,18-18,,T. Lyles enters the game for B. Diaw
5:32.0,,,18-20,2,T. Lyles makes 2-pt shot from 11 ft
