time,Oklahoma City,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. R. Gobert (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. R. Gobert (R. Westbrook gains possession)
11:33.0,S. Adams misses 2-pt shot from 9 ft,,0-0,,
11:33.0,Offensive rebound by Team,,0-0,,
11:24.0,V. Oladipo makes 2-pt shot from 20 ft,2,2-0,,
11:07.0,,,2-2,2,G. Hayward makes 2-pt shot from 8 ft
11:07.0,,,2-2,,Shooting foul by A. Roberson (drawn by G. Hayward)
11:07.0,,,2-3,1,G. Hayward makes free throw 1 of 1
10:45.0,S. Adams makes 2-pt shot at rim (assist by D. Sabonis),2,4-3,,
10:19.0,,,4-3,,G. Hayward misses 2-pt shot from 18 ft
10:19.0,Defensive rebound by R. Westbrook,,4-3,,
10:12.0,R. Westbrook misses 2-pt shot from 6 ft,,4-3,,
10:12.0,,,4-3,,Defensive rebound by D. Favors
10:03.0,,,4-3,,Offensive foul by D. Favors
10:03.0,,,4-3,,Turnover by D. Favors (offensive foul)
10:03.0,,,4-3,,Violation by Team (jump ball)
9:52.0,V. Oladipo makes 3-pt shot from 25 ft (assist by R. Westbrook),3,7-3,,
9:26.0,,,7-3,,G. Hill misses 3-pt shot from 24 ft
9:26.0,,,7-3,,Offensive rebound by R. Gobert
9:22.0,,,7-5,2,R. Gobert makes 2-pt shot from 3 ft
9:07.0,V. Oladipo misses 2-pt shot from 21 ft,,7-5,,
9:06.0,,,7-5,,Defensive rebound by G. Hayward
8:56.0,,,7-5,,J. Ingles misses 2-pt shot from 15 ft
8:56.0,Defensive rebound by R. Westbrook,,7-5,,
8:42.0,S. Adams makes 2-pt shot from 2 ft (assist by R. Westbrook),2,9-5,,
8:27.0,,,9-7,2,G. Hill makes 2-pt shot from 9 ft
8:05.0,D. Sabonis misses 2-pt shot from 3 ft,,9-7,,
8:04.0,,,9-7,,Defensive rebound by R. Gobert
7:53.0,Personal foul by A. Roberson (drawn by G. Hayward),,9-7,,
7:45.0,,,9-9,2,G. Hayward makes 2-pt shot from 18 ft
7:38.0,Oklahoma City full timeout,,9-9,,
7:31.0,S. Adams misses 2-pt shot from 1 ft (block by R. Gobert),,9-9,,
7:30.0,,,9-9,,Defensive rebound by G. Hayward
7:15.0,,,9-11,2,J. Ingles makes 2-pt shot from 3 ft
6:59.0,R. Westbrook misses 2-pt shot from 20 ft,,9-11,,
6:58.0,,,9-11,,Defensive rebound by R. Gobert
6:37.0,,,9-11,,G. Hayward misses 3-pt shot from 27 ft
6:36.0,Defensive rebound by A. Roberson,,9-11,,
6:30.0,R. Westbrook makes 2-pt shot from 21 ft (assist by A. Roberson),2,11-11,,
6:12.0,,,11-11,,R. Gobert misses 2-pt shot from 4 ft
6:12.0,,,11-11,,Offensive rebound by D. Favors
6:12.0,,,11-13,2,D. Favors makes 2-pt shot from 2 ft
6:01.0,V. Oladipo makes 2-pt shot from 3 ft (assist by R. Westbrook),2,13-13,,
5:34.0,,,13-13,,D. Favors misses 3-pt shot from 24 ft
5:34.0,Defensive rebound by R. Westbrook,,13-13,,
5:25.0,S. Adams makes 2-pt shot from 5 ft (assist by D. Sabonis),2,15-13,,
5:06.0,,,15-13,,Turnover by G. Hill (bad pass; steal by V. Oladipo)
5:01.0,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook),2,17-13,,
4:52.0,,,17-13,,Utah full timeout
4:52.0,E. Kanter enters the game for S. Adams,,17-13,,
4:52.0,J. Grant enters the game for A. Roberson,,17-13,,
4:52.0,,,17-13,,T. Lyles enters the game for D. Favors
4:52.0,,,17-13,,D. Exum enters the game for G. Hill
4:34.0,,,17-15,2,R. Gobert makes 2-pt shot from 2 ft (assist by D. Exum)
4:17.0,R. Westbrook misses 2-pt shot from 15 ft,,17-15,,
4:17.0,,,17-15,,Defensive rebound by J. Ingles
3:53.0,,,17-15,,J. Ingles misses 2-pt shot from 23 ft
3:52.0,Defensive rebound by J. Grant,,17-15,,
3:47.0,R. Westbrook makes 2-pt shot from 19 ft (assist by J. Grant),2,19-15,,
3:38.0,,,19-15,,Turnover by T. Lyles (bad pass; steal by V. Oladipo)
3:35.0,V. Oladipo makes 2-pt shot at rim,2,21-15,,
3:20.0,Personal foul by V. Oladipo (drawn by R. Gobert),,21-15,,
3:20.0,A. Abrines enters the game for V. Oladipo,,21-15,,
3:20.0,S. Adams enters the game for D. Sabonis,,21-15,,
3:20.0,,,21-15,,A. Burks enters the game for J. Ingles
3:10.0,,,21-17,2,T. Lyles makes 2-pt shot from 8 ft
3:04.0,Shooting foul by D. Exum (drawn by R. Westbrook),,21-17,,
3:04.0,R. Westbrook makes free throw 1 of 2,1,22-17,,
3:04.0,R. Westbrook makes free throw 2 of 2,1,23-17,,
3:04.0,,,22-17,,D. Favors enters the game for R. Gobert
2:54.0,,,23-17,,G. Hayward misses 2-pt shot from 2 ft
2:54.0,Defensive rebound by S. Adams,,23-17,,
2:42.0,R. Westbrook makes 2-pt shot from 11 ft,2,25-17,,
2:20.0,,,25-17,,T. Lyles misses 2-pt shot from 2 ft
2:20.0,Defensive rebound by R. Westbrook,,25-17,,
2:14.0,E. Kanter misses 2-pt shot from 2 ft (block by A. Burks),,25-17,,
2:13.0,,,25-17,,Defensive rebound by T. Lyles
2:04.0,,,25-20,3,T. Lyles makes 3-pt shot from 25 ft (assist by A. Burks)
1:52.0,Turnover by S. Adams (lost ball; steal by D. Exum),,25-20,,
1:51.0,Personal foul by R. Westbrook (drawn by G. Hayward),,25-20,,
1:51.0,C. Payne enters the game for R. Westbrook,,25-20,,
1:51.0,,,25-20,,J. Johnson enters the game for G. Hayward
1:33.0,,,25-20,,D. Favors misses 2-pt shot from 5 ft (block by J. Grant)
1:32.0,Defensive rebound by E. Kanter,,25-20,,
1:23.0,C. Payne misses 3-pt shot from 25 ft,,25-20,,
1:22.0,,,25-20,,Defensive rebound by D. Favors
1:16.0,Personal foul by C. Payne (drawn by A. Burks),,25-20,,
1:16.0,,,25-21,1,A. Burks makes free throw 1 of 2
1:16.0,,,25-22,1,A. Burks makes free throw 2 of 2
1:16.0,,,25-21,,G. Hill enters the game for D. Exum
1:00.0,,,25-22,,Personal foul by A. Burks (drawn by A. Abrines)
0:53.0,E. Kanter makes 2-pt shot from 7 ft (assist by S. Adams),2,27-22,,
0:39.0,,,27-24,2,D. Favors makes 2-pt shot from 15 ft (assist by G. Hill)
0:28.0,E. Kanter misses 2-pt shot from 2 ft (block by T. Lyles),,27-24,,
0:26.0,,,27-24,,Defensive rebound by D. Favors
0:06.0,,,27-26,2,G. Hill makes 2-pt shot from 3 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,27-29,3,T. Lyles makes 3-pt shot from 23 ft (assist by G. Hill)
11:23.0,A. Abrines misses 3-pt shot from 25 ft,,27-29,,
11:22.0,,,27-29,,Defensive rebound by G. Hill
11:11.0,,,27-29,,T. Lyles misses 3-pt shot from 24 ft
11:11.0,Defensive rebound by E. Kanter,,27-29,,
10:51.0,C. Payne misses 2-pt shot from 21 ft,,27-29,,
10:50.0,,,27-29,,Defensive rebound by D. Favors
10:36.0,,,27-29,,G. Hill misses 3-pt shot from 24 ft
10:35.0,,,27-29,,Offensive rebound by D. Favors
10:23.0,Personal foul by C. Payne (drawn by G. Hill),,27-29,,
10:16.0,,,27-29,,D. Favors misses 2-pt shot from 1 ft
10:16.0,Defensive rebound by E. Kanter,,27-29,,
10:08.0,A. Abrines misses 3-pt shot from 25 ft,,27-29,,
10:08.0,,,27-29,,Defensive rebound by J. Johnson
9:55.0,,,27-31,2,J. Johnson makes 2-pt shot from 5 ft
9:32.0,Shooting foul by D. Favors (drawn by E. Kanter),,27-31,,
9:32.0,E. Kanter makes free throw 1 of 2,1,28-31,,
9:32.0,E. Kanter makes free throw 2 of 2,1,29-31,,
9:32.0,V. Oladipo enters the game for C. Payne,,28-31,,
9:32.0,,,28-31,,J. Ingles enters the game for A. Burks
9:32.0,,,28-31,,B. Diaw enters the game for D. Favors
9:21.0,,,29-31,,J. Johnson misses 3-pt shot from 25 ft
9:21.0,Defensive rebound by A. Abrines,,29-31,,
9:07.0,J. Grant misses 2-pt shot from 9 ft,,29-31,,
9:07.0,Offensive rebound by Team,,29-31,,
8:55.0,Shooting foul by J. Ingles (drawn by E. Kanter),,29-31,,
8:55.0,Oklahoma City full timeout,,29-31,,
8:55.0,E. Kanter makes free throw 1 of 2,1,30-31,,
8:55.0,E. Kanter makes free throw 2 of 2,1,31-31,,
8:55.0,,,29-31,,R. Gobert enters the game for T. Lyles
8:55.0,,,29-31,,D. Exum enters the game for G. Hill
8:42.0,,,31-33,2,J. Ingles makes 2-pt shot from 20 ft
8:27.0,V. Oladipo makes 2-pt shot from 13 ft,2,33-33,,
8:10.0,Violation by J. Lauvergne (kicked ball),,33-33,,
8:10.0,R. Westbrook enters the game for A. Abrines,,33-33,,
8:03.0,,,33-33,,Shooting foul by E. Kanter (drawn by R. Gobert)
8:03.0,,,33-33,,R. Gobert misses free throw 1 of 2
8:03.0,,,33-33,,Offensive rebound by Team
8:03.0,,,33-33,,R. Gobert misses free throw 2 of 2
8:03.0,Defensive rebound by R. Westbrook,,33-33,,
