time,Utah,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. Z. Pachulia (K. Durant gains possession),,,,Jump ball: R. Gobert vs. Z. Pachulia (K. Durant gains possession)
11:40.0,,,0-0,,Turnover by K. Durant (lost ball; steal by R. Gobert)
11:24.0,Turnover by J. Johnson (lost ball),,0-0,,
11:11.0,,,0-0,,K. Durant misses 2-pt shot from 2 ft
11:11.0,Defensive rebound by R. Gobert,,0-0,,
11:03.0,G. Hill misses 2-pt shot from 15 ft,,0-0,,
11:02.0,,,0-0,,Defensive rebound by K. Thompson
10:48.0,,,0-0,,K. Durant misses 2-pt shot from 20 ft
10:48.0,Defensive rebound by J. Johnson,,0-0,,
10:32.0,J. Ingles misses 2-pt shot from 15 ft,,0-0,,
10:32.0,,,0-0,,Defensive rebound by D. Green
10:27.0,,,0-2,2,Z. Pachulia makes 2-pt shot at rim (assist by D. Green)
10:03.0,J. Johnson misses 2-pt shot from 10 ft,,0-2,,
10:03.0,,,0-2,,Defensive rebound by S. Curry
9:56.0,,,0-2,,S. Curry misses 3-pt shot from 25 ft
9:55.0,Defensive rebound by R. Gobert,,0-2,,
9:33.0,R. Gobert misses 2-pt shot from 4 ft (block by Z. Pachulia),,0-2,,
9:32.0,Offensive rebound by R. Gobert,,0-2,,
9:31.0,Turnover by Team (shot clock),,0-2,,
9:19.0,,,0-4,2,K. Thompson makes 2-pt shot from 18 ft (assist by S. Curry)
9:01.0,Turnover by R. Gobert (lost ball; steal by D. Green),,0-4,,
8:57.0,,,0-4,,Shooting foul by J. Johnson (drawn by D. Green)
8:57.0,,,0-5,1,D. Green makes free throw 1 of 2
8:57.0,,,0-5,,D. Green misses free throw 2 of 2
8:56.0,Defensive rebound by J. Johnson,,0-5,,
8:36.0,G. Hayward misses 2-pt shot from 12 ft,,0-5,,
8:36.0,,,0-5,,Defensive rebound by S. Curry
8:32.0,Violation by G. Hayward (kicked ball),,0-5,,
8:31.0,,,0-7,2,K. Thompson makes 2-pt shot at rim (assist by K. Durant)
8:30.0,Utah full timeout,,0-7,,
8:21.0,,,0-7,,Personal foul by Z. Pachulia (drawn by R. Gobert)
8:11.0,G. Hayward misses 3-pt shot from 26 ft,,0-7,,
8:11.0,,,0-7,,Defensive rebound by Team
7:56.0,,,0-9,2,Z. Pachulia makes 2-pt shot from 17 ft (assist by S. Curry)
7:48.0,Shooting foul by Z. Pachulia (drawn by R. Gobert),,0-9,,
7:48.0,R. Gobert makes 2-pt shot from 2 ft (assist by J. Ingles),2,2-9,,
7:48.0,R. Gobert makes free throw 1 of 1,1,3-9,,
7:32.0,,,3-9,,D. Green misses 3-pt shot from 25 ft
7:29.0,Defensive rebound by J. Ingles,,3-9,,
7:19.0,J. Ingles misses 3-pt shot from 27 ft,,3-9,,
7:19.0,Offensive rebound by J. Johnson,,3-9,,
7:05.0,J. Johnson makes 3-pt shot from 25 ft (assist by R. Gobert),3,6-9,,
6:49.0,,,6-11,2,K. Durant makes 2-pt shot from 21 ft
6:38.0,Turnover by G. Hayward (bad pass),,6-11,,
6:25.0,,,6-14,3,S. Curry makes 3-pt shot from 26 ft (assist by D. Green)
5:58.0,R. Gobert misses 2-pt shot from 3 ft,,6-14,,
5:57.0,,,6-14,,Defensive rebound by Z. Pachulia
5:50.0,,,6-14,,K. Thompson misses 3-pt shot from 23 ft
5:49.0,Defensive rebound by J. Johnson,,6-14,,
5:39.0,G. Hayward makes 3-pt shot from 26 ft (assist by J. Ingles),3,9-14,,
5:32.0,,,9-14,,Turnover by Z. Pachulia (bad pass; steal by G. Hayward)
5:31.0,,,9-14,,Personal foul by K. Thompson (drawn by G. Hayward)
5:31.0,,,9-14,,J. McGee enters the game for Z. Pachulia
5:31.0,,,9-14,,A. Iguodala enters the game for D. Green
5:16.0,,,9-14,,Personal foul by K. Thompson (drawn by G. Hayward)
5:16.0,R. Hood enters the game for J. Johnson,,9-14,,
5:16.0,B. Diaw enters the game for J. Ingles,,9-14,,
5:16.0,,,9-14,,S. Livingston enters the game for K. Thompson
5:03.0,R. Hood misses 3-pt shot from 27 ft,,9-14,,
5:03.0,,,9-14,,Defensive rebound by K. Durant
4:55.0,,,9-14,,K. Durant misses 2-pt shot from 4 ft (block by R. Gobert)
4:55.0,,,9-14,,Offensive rebound by Team
4:49.0,,,9-14,,Shooting foul by G. Hill (drawn by S. Curry)
4:49.0,,,9-15,1,S. Curry makes free throw 1 of 2
4:49.0,,,9-16,1,S. Curry makes free throw 2 of 2
4:36.0,G. Hayward misses 2-pt shot from 13 ft (block by A. Iguodala),,9-16,,
4:35.0,Offensive rebound by Team,,9-16,,
4:30.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,11-16,,
4:21.0,,,11-18,2,S. Curry makes 2-pt shot from 15 ft
4:01.0,,,11-18,,Personal foul by K. Durant (drawn by G. Hayward)
4:01.0,G. Hayward makes free throw 1 of 2,1,12-18,,
4:01.0,G. Hayward makes free throw 2 of 2,1,13-18,,
4:01.0,D. Favors enters the game for R. Gobert,,12-18,,
3:45.0,,,13-18,,S. Curry misses 3-pt shot from 25 ft (block by G. Hayward)
3:44.0,Defensive rebound by D. Favors,,13-18,,
3:38.0,R. Hood makes 2-pt shot from 2 ft (assist by G. Hill),2,15-18,,
3:30.0,,,15-18,,Golden State full timeout
3:30.0,S. Mack enters the game for G. Hill,,15-18,,
3:19.0,,,15-18,,A. Iguodala misses 3-pt shot from 25 ft
3:19.0,Defensive rebound by D. Favors,,15-18,,
3:08.0,D. Favors misses 2-pt shot from 18 ft,,15-18,,
3:07.0,Offensive rebound by B. Diaw,,15-18,,
2:59.0,G. Hayward misses 3-pt shot from 26 ft,,15-18,,
2:59.0,Offensive rebound by D. Favors,,15-18,,
2:56.0,D. Favors makes 2-pt shot from 1 ft,2,17-18,,
2:36.0,,,17-18,,K. Durant misses 3-pt shot from 26 ft
2:35.0,,,17-18,,Offensive rebound by S. Curry
2:30.0,,,17-18,,A. Iguodala misses 3-pt shot from 27 ft
2:30.0,Defensive rebound by D. Favors,,17-18,,
2:22.0,Turnover by S. Mack (bad pass; steal by A. Iguodala),,17-18,,
2:12.0,,,17-20,2,K. Durant makes 2-pt shot from 1 ft (assist by S. Curry)
1:56.0,S. Mack makes 2-pt shot from 1 ft (assist by B. Diaw),2,19-20,,
1:45.0,Personal foul by R. Hood (drawn by S. Curry),,19-20,,
1:45.0,,,19-20,,D. Green enters the game for K. Durant
1:40.0,,,19-20,,Shooting foul by R. Hood (drawn by S. Curry)
1:40.0,,,19-21,1,S. Curry makes free throw 1 of 3
1:40.0,,,19-22,1,S. Curry makes free throw 2 of 3
1:40.0,,,19-23,1,S. Curry makes free throw 3 of 3
1:40.0,J. Ingles enters the game for R. Hood,,19-22,,
1:24.0,G. Hayward makes 2-pt shot from 17 ft,2,21-23,,
1:10.0,,,21-25,2,S. Curry makes 2-pt shot from 12 ft (assist by D. Green)
0:55.0,Turnover by J. Ingles (bad pass; steal by S. Livingston),,21-25,,
0:51.0,,,21-27,2,A. Iguodala makes 2-pt shot at rim (assist by S. Livingston)
0:32.0,S. Mack misses 3-pt shot from 27 ft,,21-27,,
0:31.0,,,21-27,,Defensive rebound by S. Livingston
0:13.0,,,21-27,,A. Iguodala misses 3-pt shot from 24 ft
0:12.0,Defensive rebound by S. Mack,,21-27,,
0:04.0,S. Mack misses 2-pt shot from 2 ft,,21-27,,
0:00.0,,,21-27,,Defensive rebound by S. Curry
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,D. Favors misses 2-pt shot from 5 ft (block by D. Green),,21-27,,
11:40.0,,,21-27,,Defensive rebound by D. Green
11:25.0,,,21-29,2,D. West makes 2-pt shot at rim (assist by A. Iguodala)
11:12.0,G. Hill makes 2-pt shot from 18 ft (assist by J. Ingles),2,23-29,,
10:47.0,,,23-32,3,K. Thompson makes 3-pt shot from 27 ft
10:31.0,G. Hill misses 3-pt shot from 25 ft,,23-32,,
10:31.0,,,23-32,,Defensive rebound by D. Green
10:27.0,,,23-34,2,D. West makes 2-pt shot at rim (assist by D. Green)
10:00.0,J. Johnson makes 2-pt shot from 19 ft (assist by J. Ingles),2,25-34,,
9:45.0,,,25-37,3,D. Green makes 3-pt shot from 26 ft (assist by A. Iguodala)
9:27.0,G. Hill misses 2-pt shot from 5 ft,,25-37,,
9:27.0,,,25-37,,Defensive rebound by D. West
9:22.0,,,25-39,2,D. Green makes 2-pt shot from 1 ft (assist by A. Iguodala)
9:22.0,Utah full timeout,,25-39,,
9:22.0,R. Hood enters the game for D. Favors,,25-39,,
9:22.0,R. Gobert enters the game for S. Mack,,25-39,,
9:01.0,J. Johnson misses 2-pt shot from 12 ft (block by D. West),,25-39,,
9:00.0,Offensive rebound by Team,,25-39,,
8:56.0,J. Johnson misses 2-pt shot from 22 ft,,25-39,,
8:55.0,Offensive rebound by G. Hill,,25-39,,
8:52.0,G. Hill makes 3-pt shot from 26 ft,3,28-39,,
8:35.0,,,28-39,,K. Thompson misses 3-pt shot from 26 ft
8:35.0,Defensive rebound by R. Hood,,28-39,,
8:21.0,R. Hood misses 3-pt shot from 25 ft,,28-39,,
8:20.0,,,28-39,,Defensive rebound by D. Green
8:15.0,,,28-41,2,I. Clark makes 2-pt shot from 9 ft (assist by D. Green)
8:00.0,R. Gobert makes 2-pt shot at rim (assist by J. Johnson),2,30-41,,
8:00.0,Shooting foul by A. Iguodala (drawn by R. Gobert),,30-41,,
