time,Philadelphia,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Embiid vs. A. Johnson (A. Horford gains possession),,,,Jump ball: J. Embiid vs. A. Johnson (A. Horford gains possession)
11:42.0,,,0-0,,Turnover by I. Thomas (bad pass; steal by N. Stauskas)
11:36.0,J. Embiid makes 2-pt shot at rim (assist by T. McConnell),2,2-0,,
11:17.0,,,2-0,,Turnover by I. Thomas (bad pass)
11:03.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by R. Covington),3,5-0,,
10:46.0,,,5-0,,A. Horford misses 2-pt shot from 9 ft
10:45.0,Defensive rebound by J. Embiid,,5-0,,
10:23.0,J. Embiid misses 3-pt shot from 25 ft,,5-0,,
10:22.0,,,5-0,,Defensive rebound by A. Horford
10:12.0,,,5-0,,Offensive foul by A. Johnson
10:12.0,,,5-0,,Turnover by A. Johnson (offensive foul)
10:01.0,E. Ilyasova misses 3-pt shot from 25 ft,,5-0,,
10:00.0,,,5-0,,Defensive rebound by J. Crowder
9:49.0,,,5-0,,Shooting foul by T. McConnell (drawn by I. Thomas)
9:49.0,,,5-2,2,I. Thomas makes 2-pt shot from 4 ft (assist by A. Horford)
9:49.0,,,5-3,1,I. Thomas makes free throw 1 of 1
9:31.0,T. McConnell makes 2-pt shot from 7 ft (assist by E. Ilyasova),2,7-3,,
9:19.0,,,7-3,,A. Bradley misses 2-pt shot from 15 ft
9:18.0,Defensive rebound by R. Covington,,7-3,,
9:03.0,J. Embiid misses 2-pt shot from 3 ft,,7-3,,
9:02.0,,,7-3,,Defensive rebound by A. Johnson
8:43.0,,,7-6,3,A. Bradley makes 3-pt shot from 25 ft (assist by A. Johnson)
8:30.0,J. Embiid makes 2-pt shot from 1 ft (assist by N. Stauskas),2,9-6,,
8:07.0,,,9-6,,Turnover by I. Thomas (lost ball; steal by E. Ilyasova)
8:02.0,Turnover by T. McConnell (bad pass; steal by J. Crowder),,9-6,,
7:56.0,,,9-9,3,A. Bradley makes 3-pt shot from 24 ft (assist by J. Crowder)
7:37.0,E. Ilyasova misses 3-pt shot from 24 ft,,9-9,,
7:36.0,,,9-9,,Defensive rebound by I. Thomas
7:27.0,,,9-9,,J. Crowder misses 3-pt shot from 26 ft
7:26.0,,,9-9,,Offensive rebound by A. Horford
7:26.0,,,9-9,,A. Horford misses 2-pt shot from 2 ft
7:24.0,Defensive rebound by T. McConnell,,9-9,,
7:15.0,J. Embiid makes 3-pt shot from 26 ft (assist by T. McConnell),3,12-9,,
7:04.0,Personal foul by T. McConnell (drawn by I. Thomas),,12-9,,
7:04.0,N. Noel enters the game for J. Embiid,,12-9,,
7:04.0,G. Henderson enters the game for T. McConnell,,12-9,,
6:57.0,,,12-9,,A. Johnson misses 2-pt shot from 5 ft
6:56.0,Defensive rebound by N. Noel,,12-9,,
6:45.0,N. Stauskas misses 2-pt shot at rim,,12-9,,
6:44.0,,,12-9,,Defensive rebound by A. Horford
6:39.0,,,12-12,3,A. Bradley makes 3-pt shot from 26 ft (assist by A. Horford)
6:17.0,,,12-12,,Personal foul by I. Thomas (drawn by R. Covington)
6:10.0,,,12-12,,Personal foul by A. Bradley (drawn by N. Noel)
6:02.0,G. Henderson misses 2-pt shot from 17 ft,,12-12,,
6:01.0,,,12-12,,Defensive rebound by A. Horford
5:54.0,,,12-12,,A. Bradley misses 3-pt shot from 26 ft
5:53.0,Defensive rebound by G. Henderson,,12-12,,
5:41.0,R. Covington makes 3-pt shot from 25 ft (assist by G. Henderson),3,15-12,,
5:29.0,,,15-15,3,I. Thomas makes 3-pt shot from 26 ft
5:19.0,Philadelphia full timeout,,15-15,,
5:19.0,,,15-15,,J. Jerebko enters the game for A. Johnson
5:19.0,D. Saric enters the game for E. Ilyasova,,15-15,,
5:06.0,N. Stauskas misses 2-pt shot from 16 ft,,15-15,,
5:05.0,,,15-15,,Defensive rebound by A. Horford
4:50.0,,,15-18,3,J. Jerebko makes 3-pt shot from 25 ft (assist by A. Horford)
4:38.0,Turnover by R. Covington (traveling),,15-18,,
4:27.0,,,15-18,,A. Horford misses 2-pt shot from 2 ft (block by N. Noel)
4:25.0,Defensive rebound by N. Stauskas,,15-18,,
4:13.0,Turnover by D. Saric (traveling),,15-18,,
4:13.0,,,15-18,,M. Smart enters the game for I. Thomas
3:53.0,,,15-18,,A. Horford misses 3-pt shot from 25 ft
3:52.0,Defensive rebound by D. Saric,,15-18,,
3:37.0,Turnover by N. Stauskas (bad pass; steal by A. Bradley),,15-18,,
3:23.0,,,15-20,2,A. Bradley makes 2-pt shot from 10 ft (assist by A. Horford)
3:07.0,D. Saric makes 2-pt shot from 19 ft (assist by N. Noel),2,17-20,,
2:47.0,,,17-20,,Boston full timeout
2:47.0,,,17-20,,J. Brown enters the game for J. Crowder
2:47.0,J. Embiid enters the game for R. Covington,,17-20,,
2:45.0,Jump ball: A. Horford vs. D. Saric (M. Smart gains possession),,,,Jump ball: A. Horford vs. D. Saric (M. Smart gains possession)
2:38.0,,,17-23,3,A. Bradley makes 3-pt shot from 23 ft (assist by M. Smart)
2:10.0,N. Stauskas misses 3-pt shot from 27 ft,,17-23,,
2:09.0,,,17-23,,Defensive rebound by M. Smart
1:57.0,,,17-23,,Turnover by M. Smart (lost ball; steal by N. Noel)
1:46.0,N. Noel makes 2-pt shot at rim (assist by J. Embiid),2,19-23,,
