time,Indiana,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. M. Turner (L. James gains possession),,,,Jump ball: T. Thompson vs. M. Turner (L. James gains possession)
11:41.0,,,0-0,,J. Smith misses 3-pt shot from 25 ft
11:40.0,,,0-0,,Offensive rebound by K. Love
11:34.0,,,0-2,2,K. Love makes 2-pt shot from 14 ft
11:06.0,Turnover by Team (shot clock),,0-2,,
10:53.0,,,0-4,2,K. Love makes 2-pt shot from 21 ft (assist by J. Smith)
10:40.0,,,0-4,,Personal foul by L. James (drawn by P. George)
10:33.0,Turnover by J. Teague (lost ball),,0-4,,
10:23.0,,,0-4,,K. Irving misses 2-pt shot from 6 ft
10:21.0,,,0-4,,Offensive rebound by K. Irving
10:17.0,,,0-4,,K. Love misses 3-pt shot from 26 ft
10:17.0,Defensive rebound by P. George,,0-4,,
10:10.0,P. George misses 2-pt shot from 16 ft,,0-4,,
10:09.0,,,0-4,,Defensive rebound by T. Thompson
10:03.0,,,0-4,,L. James misses 2-pt shot from 2 ft
10:01.0,,,0-4,,Offensive rebound by T. Thompson
10:01.0,,,0-6,2,T. Thompson makes 2-pt shot from 1 ft
9:40.0,M. Ellis makes 3-pt shot from 24 ft (assist by P. George),3,3-6,,
9:21.0,,,3-6,,Shooting foul by T. Young (drawn by K. Love)
9:21.0,,,3-7,1,K. Love makes free throw 1 of 2
9:21.0,,,3-7,,K. Love misses free throw 2 of 2
9:19.0,Defensive rebound by T. Young,,3-7,,
9:04.0,J. Teague misses 3-pt shot from 25 ft,,3-7,,
9:03.0,,,3-7,,Defensive rebound by J. Smith
8:57.0,,,3-7,,L. James misses 2-pt shot from 3 ft (block by M. Turner)
8:56.0,Defensive rebound by M. Turner,,3-7,,
8:48.0,T. Young makes 2-pt shot from 1 ft (assist by M. Ellis),2,5-7,,
8:23.0,,,5-7,,Turnover by Team (shot clock)
7:59.0,T. Young makes 2-pt shot at rim (assist by J. Teague),2,7-7,,
7:39.0,,,7-7,,K. Irving misses 2-pt shot at rim
7:37.0,Defensive rebound by P. George,,7-7,,
7:29.0,P. George makes 2-pt shot from 1 ft,2,9-7,,
7:21.0,,,9-7,,Offensive foul by T. Thompson
7:21.0,,,9-7,,Turnover by T. Thompson (offensive foul)
7:06.0,P. George makes 2-pt shot at rim,2,11-7,,
6:56.0,,,11-7,,T. Thompson misses 2-pt shot from 2 ft
6:55.0,,,11-7,,Offensive rebound by L. James
6:55.0,,,11-9,2,L. James makes 2-pt shot at rim
6:45.0,M. Turner misses 2-pt shot from 17 ft,,11-9,,
6:44.0,,,11-9,,Defensive rebound by K. Love
6:36.0,Personal foul by T. Young (drawn by T. Thompson),,11-9,,
6:36.0,L. Allen enters the game for T. Young,,11-9,,
6:28.0,,,11-11,2,K. Irving makes 2-pt shot from 15 ft
6:21.0,Turnover by J. Teague (lost ball; steal by J. Smith),,11-11,,
6:16.0,,,11-11,,L. James misses 2-pt shot from 1 ft
6:15.0,,,11-11,,Offensive rebound by L. James
6:15.0,,,11-13,2,L. James makes 2-pt shot at rim
6:14.0,Indiana full timeout,,11-13,,
6:01.0,M. Turner makes 2-pt shot from 12 ft (assist by J. Teague),2,13-13,,
5:38.0,,,13-13,,K. Irving misses 3-pt shot from 26 ft
5:38.0,Defensive rebound by P. George,,13-13,,
5:23.0,M. Ellis makes 2-pt shot from 7 ft (assist by P. George),2,15-13,,
5:04.0,Personal foul by P. George (drawn by T. Thompson),,15-13,,
5:04.0,,,15-13,,C. Frye enters the game for K. Love
4:55.0,,,15-13,,C. Frye misses 3-pt shot from 24 ft
4:54.0,Defensive rebound by L. Allen,,15-13,,
4:32.0,J. Teague misses 2-pt shot from 7 ft (block by K. Irving),,15-13,,
4:30.0,,,15-13,,Defensive rebound by L. James
4:26.0,,,15-15,2,L. James makes 2-pt shot at rim
4:13.0,Turnover by P. George (bad pass; steal by J. Smith),,15-15,,
