time,Minnesota,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. K. Towns (R. Rubio gains possession),,,,Jump ball: S. Adams vs. K. Towns (R. Rubio gains possession)
11:38.0,Turnover by Z. LaVine (step out of bounds),,0-0,,
11:22.0,,,0-0,,D. Sabonis misses 2-pt shot from 19 ft
11:22.0,Defensive rebound by G. Dieng,,0-0,,
11:11.0,K. Towns misses 2-pt shot from 17 ft,,0-0,,
11:10.0,,,0-0,,Defensive rebound by A. Roberson
10:52.0,,,0-0,,A. Morrow misses 3-pt shot from 25 ft
10:51.0,,,0-0,,Offensive rebound by D. Sabonis
10:47.0,,,0-0,,A. Morrow misses 3-pt shot from 24 ft
10:46.0,Defensive rebound by K. Towns,,0-0,,
10:36.0,,,0-0,,Personal foul by A. Morrow (drawn by A. Wiggins)
10:27.0,A. Wiggins makes 2-pt shot from 13 ft,2,2-0,,
10:08.0,,,2-2,2,S. Adams makes 2-pt shot from 5 ft
9:58.0,A. Wiggins misses 2-pt shot from 16 ft,,2-2,,
9:57.0,,,2-2,,Defensive rebound by R. Westbrook
9:43.0,,,2-4,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
9:33.0,,,2-4,,Personal foul by S. Adams (drawn by K. Towns)
9:26.0,Z. LaVine makes 3-pt shot from 25 ft (assist by R. Rubio),3,5-4,,
9:05.0,,,5-4,,Turnover by R. Westbrook (bad pass; steal by G. Dieng)
9:01.0,Turnover by G. Dieng (lost ball; steal by R. Westbrook),,5-4,,
8:58.0,Personal foul by G. Dieng (drawn by S. Adams),,5-4,,
8:53.0,,,5-4,,Turnover by R. Westbrook (lost ball)
8:40.0,A. Wiggins makes 2-pt shot from 15 ft (assist by R. Rubio),2,7-4,,
8:32.0,Personal foul by R. Rubio (drawn by R. Westbrook),,7-4,,
8:23.0,,,7-6,2,R. Westbrook makes 2-pt shot from 18 ft
8:03.0,Turnover by Z. LaVine (step out of bounds),,7-6,,
7:50.0,,,7-8,2,D. Sabonis makes 2-pt shot at rim
7:50.0,,,7-8,,Shooting foul by G. Dieng (drawn by D. Sabonis)
7:50.0,,,7-9,1,D. Sabonis makes free throw 1 of 1
7:38.0,R. Rubio misses 2-pt shot from 2 ft,,7-9,,
7:35.0,,,7-9,,Defensive rebound by S. Adams
7:34.0,,,7-9,,Turnover by S. Adams (bad pass; steal by R. Rubio)
7:29.0,K. Towns misses 3-pt shot from 24 ft,,7-9,,
7:28.0,,,7-9,,Defensive rebound by R. Westbrook
7:22.0,J. Hill enters the game for G. Dieng,,7-9,,
7:15.0,,,7-9,,Turnover by S. Adams (bad pass; steal by J. Hill)
7:06.0,K. Towns misses 2-pt shot at rim (block by R. Westbrook),,7-9,,
7:05.0,Offensive rebound by J. Hill,,7-9,,
7:01.0,J. Hill makes 2-pt shot from 2 ft,2,9-9,,
6:48.0,,,9-11,2,A. Morrow makes 2-pt shot from 13 ft (assist by R. Westbrook)
6:28.0,A. Wiggins misses 2-pt shot from 10 ft,,9-11,,
6:27.0,Offensive rebound by K. Towns,,9-11,,
6:22.0,J. Hill misses 2-pt shot from 11 ft,,9-11,,
6:22.0,,,9-11,,Defensive rebound by S. Adams
6:17.0,,,9-11,,A. Morrow misses 3-pt shot from 25 ft
6:16.0,Defensive rebound by J. Hill,,9-11,,
5:54.0,K. Towns makes 2-pt shot from 4 ft,2,11-11,,
