time,New York,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Noah vs. H. Whiteside (K. Porzingis gains possession),,,,Jump ball: J. Noah vs. H. Whiteside (K. Porzingis gains possession)
11:47.0,C. Anthony misses 2-pt shot from 19 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by H. Whiteside
11:31.0,,,0-3,3,W. Ellington makes 3-pt shot from 25 ft (assist by G. Dragic)
11:18.0,D. Rose misses 2-pt shot from 19 ft,,0-3,,
11:17.0,,,0-3,,Defensive rebound by R. McGruder
11:01.0,,,0-3,,Turnover by G. Dragic (traveling)
11:01.0,C. Lee misses 2-pt shot from 19 ft,,0-3,,
11:00.0,,,0-3,,Defensive rebound by J. McRoberts
10:39.0,,,0-3,,G. Dragic misses 2-pt shot from 10 ft
10:38.0,Defensive rebound by Team,,0-3,,
10:07.0,K. Porzingis misses 2-pt shot from 6 ft,,0-3,,
10:06.0,Offensive rebound by J. Noah,,0-3,,
10:04.0,J. Noah misses 2-pt shot from 4 ft (block by H. Whiteside),,0-3,,
10:03.0,Offensive rebound by K. Porzingis,,0-3,,
10:02.0,K. Porzingis makes 2-pt shot at rim,2,2-3,,
9:45.0,,,2-3,,W. Ellington misses 3-pt shot from 24 ft
9:44.0,Defensive rebound by K. Porzingis,,2-3,,
9:35.0,D. Rose misses 2-pt shot from 2 ft (block by H. Whiteside),,2-3,,
9:34.0,Offensive rebound by J. Noah,,2-3,,
9:33.0,J. Noah makes 2-pt shot from 1 ft,2,4-3,,
9:21.0,,,4-3,,J. McRoberts misses 3-pt shot from 25 ft
9:20.0,Defensive rebound by C. Lee,,4-3,,
9:10.0,Shooting foul by G. Dragic (drawn by D. Rose),,4-3,,
9:10.0,D. Rose makes free throw 1 of 2,1,5-3,,
9:10.0,D. Rose makes free throw 2 of 2,1,6-3,,
8:52.0,,,6-3,,R. McGruder misses 2-pt shot from 20 ft
8:51.0,,,6-3,,Offensive rebound by J. McRoberts
8:50.0,,,6-3,,J. McRoberts misses 2-pt shot from 1 ft
8:49.0,,,6-3,,Offensive rebound by H. Whiteside
8:45.0,,,6-3,,H. Whiteside misses 2-pt shot from 5 ft
8:44.0,,,6-3,,Offensive rebound by J. McRoberts
8:41.0,,,6-3,,W. Ellington misses 3-pt shot from 23 ft
8:40.0,Defensive rebound by K. Porzingis,,6-3,,
8:30.0,C. Anthony misses 2-pt shot from 16 ft,,6-3,,
8:29.0,,,6-3,,Defensive rebound by J. McRoberts
8:23.0,,,6-5,2,R. McGruder makes 2-pt shot from 2 ft (assist by G. Dragic)
8:07.0,C. Lee makes 2-pt shot from 12 ft,2,8-5,,
7:53.0,,,8-8,3,W. Ellington makes 3-pt shot from 26 ft (assist by J. McRoberts)
7:29.0,C. Anthony misses 2-pt shot from 13 ft,,8-8,,
7:28.0,,,8-8,,Defensive rebound by R. McGruder
7:22.0,,,8-10,2,G. Dragic makes 2-pt shot from 18 ft (assist by R. McGruder)
7:15.0,D. Rose misses 2-pt shot from 3 ft (block by R. McGruder),,8-10,,
7:14.0,Offensive rebound by C. Lee,,8-10,,
7:05.0,K. Porzingis makes 2-pt shot from 18 ft (assist by J. Noah),2,10-10,,
6:40.0,,,10-10,,R. McGruder misses 3-pt shot from 24 ft
6:39.0,,,10-10,,Offensive rebound by R. McGruder
6:34.0,,,10-10,,H. Whiteside misses 2-pt shot from 16 ft
6:33.0,Defensive rebound by K. Porzingis,,10-10,,
6:23.0,C. Anthony misses 3-pt shot from 25 ft,,10-10,,
6:22.0,,,10-10,,Defensive rebound by J. McRoberts
6:11.0,,,10-10,,R. McGruder misses 2-pt shot from 8 ft
6:10.0,,,10-10,,Offensive rebound by J. McRoberts
6:06.0,,,10-10,,Turnover by R. McGruder (lost ball)
6:06.0,,,10-10,,T. Johnson enters the game for W. Ellington
5:49.0,K. Porzingis misses 3-pt shot from 24 ft,,10-10,,
5:48.0,,,10-10,,Defensive rebound by G. Dragic
5:43.0,,,10-12,2,G. Dragic makes 2-pt shot from 7 ft
5:34.0,C. Anthony misses 3-pt shot from 25 ft,,10-12,,
5:33.0,,,10-12,,Defensive rebound by H. Whiteside
5:20.0,,,10-12,,R. McGruder misses 2-pt shot from 2 ft (block by C. Anthony)
5:19.0,Defensive rebound by J. Noah,,10-12,,
5:01.0,D. Rose makes 2-pt shot from 18 ft,2,12-12,,
4:40.0,,,12-12,,G. Dragic misses 2-pt shot from 18 ft
4:39.0,Defensive rebound by K. Porzingis,,12-12,,
4:34.0,New York full timeout,,12-12,,
4:34.0,K. O'Quinn enters the game for J. Noah,,12-12,,
4:18.0,D. Rose misses 2-pt shot from 14 ft,,12-12,,
4:17.0,Offensive rebound by D. Rose,,12-12,,
4:15.0,D. Rose makes 2-pt shot from 2 ft,2,14-12,,
3:56.0,,,14-12,,Turnover by G. Dragic (bad pass; steal by D. Rose)
3:50.0,C. Anthony makes 2-pt shot from 2 ft (assist by D. Rose),2,16-12,,
3:50.0,,,16-12,,Miami full timeout
3:50.0,M. Kuzminskas enters the game for K. Porzingis,,16-12,,
3:27.0,,,16-14,2,H. Whiteside makes 2-pt shot from 12 ft
3:06.0,C. Anthony misses 2-pt shot from 11 ft,,16-14,,
3:05.0,Offensive rebound by K. O'Quinn,,16-14,,
2:56.0,M. Kuzminskas misses 2-pt shot from 1 ft,,16-14,,
2:55.0,,,16-14,,Defensive rebound by J. McRoberts
2:42.0,,,16-17,3,R. McGruder makes 3-pt shot from 25 ft (assist by T. Johnson)
2:27.0,D. Rose makes 2-pt shot from 12 ft,2,18-17,,
2:11.0,,,18-17,,T. Johnson misses 2-pt shot from 8 ft
2:10.0,Defensive rebound by C. Lee,,18-17,,
2:00.0,Turnover by D. Rose (bad pass; steal by R. McGruder),,18-17,,
1:56.0,,,18-19,2,G. Dragic makes 2-pt shot from 2 ft (assist by R. McGruder)
1:41.0,Shooting foul by J. McRoberts (drawn by C. Anthony),,18-19,,
1:41.0,C. Anthony makes free throw 1 of 2,1,19-19,,
1:41.0,C. Anthony makes free throw 2 of 2,1,20-19,,
1:41.0,J. Holiday enters the game for C. Lee,,19-19,,
1:41.0,,,19-19,,D. Williams enters the game for J. McRoberts
1:41.0,,,19-19,,W. Ellington enters the game for R. McGruder
1:31.0,,,20-19,,H. Whiteside misses 2-pt shot from 5 ft (block by K. O'Quinn)
1:30.0,Defensive rebound by J. Holiday,,20-19,,
1:19.0,M. Kuzminskas misses 3-pt shot from 27 ft,,20-19,,
1:18.0,,,20-19,,Defensive rebound by T. Johnson
1:13.0,,,20-19,,W. Ellington misses 3-pt shot from 25 ft
1:12.0,,,20-19,,Offensive rebound by G. Dragic
1:05.0,,,20-19,,G. Dragic misses 2-pt shot from 3 ft
1:04.0,,,20-19,,Offensive rebound by T. Johnson
1:00.0,,,20-22,3,T. Johnson makes 3-pt shot from 26 ft
0:53.0,C. Anthony makes 2-pt shot at rim (assist by K. O'Quinn),2,22-22,,
0:46.0,,,22-22,,H. Whiteside misses 2-pt shot from 2 ft
0:45.0,Defensive rebound by C. Anthony,,22-22,,
0:44.0,Turnover by C. Anthony (bad pass; steal by T. Johnson),,22-22,,
0:39.0,,,22-25,3,G. Dragic makes 3-pt shot from 24 ft (assist by W. Ellington)
0:28.0,K. O'Quinn makes 2-pt shot from 17 ft (assist by J. Holiday),2,24-25,,
0:10.0,,,24-25,,W. Ellington misses 3-pt shot from 26 ft
0:09.0,Defensive rebound by M. Kuzminskas,,24-25,,
0:04.0,K. O'Quinn makes 2-pt shot from 3 ft (assist by M. Kuzminskas),2,26-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,26-25,,W. Reed misses 2-pt shot from 2 ft (block by K. O'Quinn)
11:41.0,Defensive rebound by M. Kuzminskas,,26-25,,
11:33.0,Turnover by K. O'Quinn (lost ball; steal by G. Dragic),,26-25,,
11:29.0,,,26-27,2,W. Reed makes 2-pt shot at rim (assist by G. Dragic)
11:12.0,Turnover by B. Jennings (bad pass; steal by W. Ellington),,26-27,,
11:09.0,,,26-29,2,W. Ellington makes 2-pt shot from 2 ft
10:45.0,L. Thomas makes 2-pt shot from 13 ft,2,28-29,,
10:30.0,,,28-29,,Turnover by G. Dragic (bad pass)
10:30.0,,,28-29,,R. McGruder enters the game for G. Dragic
10:17.0,M. Kuzminskas misses 3-pt shot from 24 ft,,28-29,,
10:16.0,,,28-29,,Defensive rebound by D. Williams
10:10.0,,,28-29,,Shooting foul by J. Holiday (drawn by D. Williams)
10:10.0,,,28-30,1,D. Williams makes free throw 1 of 2
10:10.0,,,28-31,1,D. Williams makes free throw 2 of 2
9:49.0,Turnover by Team (back court),,28-31,,
9:37.0,,,28-31,,Shooting foul by K. O'Quinn (drawn by W. Reed)
9:37.0,,,28-32,1,W. Reed makes free throw 1 of 2
9:37.0,,,28-33,1,W. Reed makes free throw 2 of 2
9:37.0,K. Porzingis enters the game for K. O'Quinn,,28-32,,
9:19.0,K. Porzingis misses 3-pt shot from 24 ft,,28-33,,
9:18.0,,,28-33,,Defensive rebound by D. Williams
9:06.0,,,28-33,,Turnover by T. Johnson (lost ball; steal by J. Holiday)
9:03.0,Shooting foul by D. Williams (drawn by K. Porzingis),,28-33,,
9:03.0,K. Porzingis misses free throw 1 of 2,,28-33,,
9:03.0,Offensive rebound by Team,,28-33,,
9:03.0,K. Porzingis makes free throw 2 of 2,1,29-33,,
8:50.0,,,29-35,2,T. Johnson makes 2-pt shot from 19 ft
8:38.0,B. Jennings misses 3-pt shot from 25 ft,,29-35,,
