time,San Antonio,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: P. Gasol vs. Z. Pachulia (D. Green gains possession)
11:41.0,,,0-0,,Z. Pachulia misses 2-pt shot from 2 ft
11:39.0,Defensive rebound by P. Gasol,,0-0,,
11:16.0,D. Green misses 2-pt shot from 2 ft,,0-0,,
11:15.0,Offensive rebound by P. Gasol,,0-0,,
11:15.0,P. Gasol misses 2-pt shot from 2 ft,,0-0,,
11:14.0,,,0-0,,Defensive rebound by Z. Pachulia
11:04.0,,,0-2,2,K. Durant makes 2-pt shot from 16 ft (assist by Z. Pachulia)
10:52.0,L. Aldridge misses 2-pt shot from 22 ft,,0-2,,
10:51.0,,,0-2,,Defensive rebound by S. Curry
10:39.0,,,0-2,,Z. Pachulia misses 2-pt shot from 3 ft
10:39.0,Defensive rebound by L. Aldridge,,0-2,,
10:27.0,J. Simmons misses 2-pt shot from 14 ft (block by K. Durant),,0-2,,
10:27.0,Offensive rebound by Team,,0-2,,
10:14.0,D. Green misses 3-pt shot from 59 ft,,0-2,,
10:14.0,Offensive rebound by Team,,0-2,,
10:14.0,Turnover by Team (shot clock),,0-2,,
10:03.0,,,0-5,3,D. Green makes 3-pt shot from 26 ft (assist by Z. Pachulia)
9:43.0,P. Gasol makes 2-pt shot from 15 ft,2,2-5,,
9:32.0,,,2-7,2,Z. Pachulia makes 2-pt shot at rim (assist by S. Curry)
9:15.0,J. Simmons misses 2-pt shot from 3 ft,,2-7,,
9:14.0,Offensive rebound by J. Simmons,,2-7,,
9:00.0,L. Aldridge misses 2-pt shot from 15 ft,,2-7,,
8:58.0,Offensive rebound by P. Gasol,,2-7,,
8:58.0,P. Gasol misses 2-pt shot from 1 ft,,2-7,,
8:56.0,,,2-7,,Defensive rebound by K. Thompson
8:47.0,,,2-7,,D. Green misses 2-pt shot from 3 ft (block by D. Green)
8:47.0,,,2-7,,Offensive rebound by Team
8:35.0,,,2-7,,Turnover by K. Thompson (lost ball)
8:35.0,,,2-7,,Personal foul by D. Green (drawn by P. Gasol)
8:32.0,J. Simmons misses 3-pt shot from 26 ft,,2-7,,
8:31.0,,,2-7,,Defensive rebound by D. Green
8:16.0,,,2-9,2,K. Thompson makes 2-pt shot from 20 ft (assist by D. Green)
7:48.0,J. Simmons makes 2-pt shot from 16 ft,2,4-9,,
7:41.0,,,4-9,,S. Curry misses 3-pt shot from 26 ft
7:41.0,Defensive rebound by P. Gasol,,4-9,,
7:30.0,J. Simmons makes 2-pt shot from 19 ft,2,6-9,,
7:18.0,,,6-11,2,Z. Pachulia makes 2-pt shot from 2 ft (assist by D. Green)
6:57.0,Turnover by P. Gasol (lost ball; steal by D. Green),,6-11,,
6:51.0,,,6-14,3,S. Curry makes 3-pt shot from 26 ft (assist by D. Green)
6:51.0,San Antonio full timeout,,6-14,,
6:39.0,J. Simmons makes 2-pt shot from 11 ft (assist by P. Gasol),2,8-14,,
6:17.0,,,8-14,,K. Thompson misses 3-pt shot from 25 ft
6:16.0,Defensive rebound by P. Mills,,8-14,,
6:07.0,P. Mills misses 3-pt shot from 27 ft,,8-14,,
6:06.0,Offensive rebound by Team,,8-14,,
6:02.0,Turnover by L. Aldridge (3 sec),,8-14,,
6:02.0,D. Dedmon enters the game for P. Gasol,,8-14,,
5:48.0,,,8-17,3,D. Green makes 3-pt shot from 26 ft (assist by S. Curry)
5:31.0,J. Simmons makes 2-pt shot from 19 ft (assist by L. Aldridge),2,10-17,,
5:21.0,,,10-17,,Turnover by S. Curry (bad pass; steal by L. Aldridge)
5:09.0,Turnover by L. Aldridge (bad pass; steal by S. Curry),,10-17,,
5:06.0,Personal foul by J. Simmons (drawn by K. Durant),,10-17,,
5:06.0,,,10-17,,J. McGee enters the game for Z. Pachulia
5:06.0,,,10-17,,P. McCaw enters the game for D. Green
5:06.0,M. Ginobili enters the game for D. Green,,10-17,,
4:59.0,,,10-17,,K. Thompson misses 2-pt shot from 15 ft
4:57.0,,,10-17,,Offensive rebound by P. McCaw
4:52.0,,,10-20,3,S. Curry makes 3-pt shot from 27 ft (assist by K. Durant)
4:41.0,,,10-20,,Personal foul by S. Curry
4:34.0,D. Lee enters the game for L. Aldridge,,10-20,,
4:19.0,D. Lee misses 2-pt shot from 16 ft,,10-20,,
4:19.0,,,10-20,,Defensive rebound by S. Curry
4:11.0,,,10-20,,Turnover by J. McGee (bad pass)
3:58.0,D. Dedmon misses 2-pt shot from 8 ft,,10-20,,
3:57.0,Offensive rebound by D. Lee,,10-20,,
3:57.0,D. Lee misses 2-pt shot from 1 ft,,10-20,,
3:55.0,,,10-20,,Defensive rebound by J. McGee
3:46.0,,,10-22,2,J. McGee makes 2-pt shot from 1 ft (assist by K. Thompson)
3:37.0,,,10-22,,Personal foul by J. McGee
3:37.0,D. Murray enters the game for P. Mills,,10-22,,
3:31.0,Shooting foul by K. Thompson (drawn by M. Ginobili),,10-22,,
3:31.0,M. Ginobili makes free throw 1 of 2,1,11-22,,
3:31.0,M. Ginobili makes free throw 2 of 2,1,12-22,,
3:31.0,K. Anderson enters the game for J. Simmons,,11-22,,
3:20.0,Violation by D. Dedmon (kicked ball),,12-22,,
3:17.0,Personal foul by D. Murray (drawn by P. McCaw),,12-22,,
3:17.0,,,12-22,,S. Livingston enters the game for K. Thompson
3:06.0,,,12-25,3,S. Curry makes 3-pt shot from 26 ft (assist by K. Durant)
2:58.0,,,12-25,,Personal foul by J. McGee (drawn by D. Dedmon)
2:58.0,,,12-25,,Golden State full timeout
2:58.0,D. Dedmon makes free throw 1 of 2,1,13-25,,
2:58.0,D. Dedmon makes free throw 2 of 2,1,14-25,,
2:58.0,,,12-25,,D. Green enters the game for K. Durant
2:38.0,,,14-25,,D. Green misses 3-pt shot from 25 ft
2:37.0,Defensive rebound by D. Murray,,14-25,,
2:29.0,D. Murray misses 2-pt shot from 14 ft,,14-25,,
2:29.0,,,14-25,,Defensive rebound by D. Green
2:21.0,,,14-25,,Turnover by S. Livingston (bad pass; steal by D. Murray)
2:13.0,D. Lee makes 2-pt shot from 3 ft (assist by M. Ginobili),2,16-25,,
2:13.0,Shooting foul by S. Livingston (drawn by D. Lee),,16-25,,
2:13.0,D. Lee misses free throw 1 of 1,,16-25,,
2:11.0,Offensive rebound by D. Lee,,16-25,,
2:00.0,M. Ginobili misses 2-pt shot from 13 ft,,16-25,,
2:00.0,,,16-25,,Defensive rebound by D. Green
1:53.0,,,16-27,2,S. Livingston makes 2-pt shot from 18 ft
1:37.0,K. Anderson misses 2-pt shot from 2 ft,,16-27,,
1:37.0,,,16-27,,Defensive rebound by J. McGee
1:27.0,,,16-27,,S. Curry misses 2-pt shot from 3 ft
1:27.0,Defensive rebound by D. Murray,,16-27,,
1:21.0,D. Murray misses 2-pt shot from 4 ft (block by D. Green),,16-27,,
1:21.0,,,16-27,,Defensive rebound by P. McCaw
1:21.0,Personal foul by M. Ginobili (drawn by S. Curry),,16-27,,
1:21.0,,,16-27,,K. Durant enters the game for J. McGee
1:11.0,,,16-30,3,S. Curry makes 3-pt shot from 26 ft (assist by S. Livingston)
0:49.0,M. Ginobili misses 2-pt shot from 5 ft,,16-30,,
0:48.0,,,16-30,,Defensive rebound by D. Green
0:43.0,,,16-30,,Turnover by K. Durant (bad pass)
0:32.0,M. Ginobili misses 3-pt shot from 26 ft,,16-30,,
0:32.0,,,16-30,,Defensive rebound by S. Curry
0:22.0,,,16-30,,Shooting foul by M. Ginobili (drawn by S. Curry)
0:22.0,,,16-31,1,S. Curry makes free throw 1 of 3
0:22.0,,,16-32,1,S. Curry makes free throw 2 of 3
0:22.0,,,16-33,1,S. Curry makes free throw 3 of 3
0:04.0,K. Anderson misses 2-pt shot from 16 ft,,16-33,,
0:00.0,Offensive rebound by Team,,16-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,D. Green makes 3-pt shot from 23 ft (assist by D. Murray),3,19-33,,
11:24.0,,,19-33,,K. Thompson misses 2-pt shot from 3 ft (block by L. Aldridge)
11:24.0,,,19-33,,Offensive rebound by Team
11:17.0,,,19-35,2,S. Livingston makes 2-pt shot from 9 ft (assist by K. Thompson)
10:59.0,L. Aldridge misses 2-pt shot from 15 ft (block by D. West),,19-35,,
10:59.0,,,19-35,,Defensive rebound by Team
10:43.0,,,19-37,2,D. West makes 2-pt shot from 2 ft
10:20.0,D. Green misses 3-pt shot from 24 ft (block by D. West),,19-37,,
10:20.0,,,19-37,,Defensive rebound by Team
10:13.0,,,19-37,,D. Green misses 2-pt shot from 7 ft (block by L. Aldridge)
10:13.0,,,19-37,,Offensive rebound by Team
10:01.0,,,19-39,2,D. West makes 2-pt shot from 17 ft (assist by D. Green)
9:48.0,K. Anderson misses 2-pt shot from 9 ft,,19-39,,
9:48.0,Offensive rebound by Team,,19-39,,
9:45.0,P. Gasol misses 2-pt shot from 8 ft,,19-39,,
9:45.0,,,19-39,,Defensive rebound by K. Thompson
9:23.0,,,19-42,3,K. Thompson makes 3-pt shot from 24 ft (assist by S. Livingston)
9:09.0,P. Mills enters the game for D. Murray,,19-42,,
9:09.0,J. Simmons enters the game for K. Anderson,,19-42,,
8:59.0,Turnover by J. Simmons (bad pass; steal by S. Livingston),,19-42,,
8:48.0,,,19-44,2,S. Livingston makes 2-pt shot from 17 ft
8:35.0,Turnover by P. Mills (bad pass; steal by S. Livingston),,19-44,,
8:31.0,,,19-44,,Turnover by S. Livingston (bad pass; steal by P. Mills)
8:28.0,,,19-44,,Personal foul by S. Livingston
8:28.0,Official timeout,,19-44,,
8:28.0,,,19-44,,K. Durant enters the game for D. Green
8:28.0,,,19-44,,P. McCaw enters the game for S. Livingston
8:17.0,J. Simmons makes 2-pt shot from 1 ft,2,21-44,,
8:17.0,Shooting foul by K. Durant (drawn by J. Simmons),,21-44,,
8:17.0,J. Simmons makes free throw 1 of 1,1,22-44,,
7:54.0,,,22-47,3,P. McCaw makes 3-pt shot from 25 ft (assist by K. Durant)
7:33.0,J. Simmons makes 2-pt shot at rim,2,24-47,,
7:17.0,,,24-49,2,I. Clark makes 2-pt shot at rim (assist by D. West)
7:00.0,Turnover by P. Gasol (bad pass; steal by D. West),,24-49,,
6:55.0,,,24-49,,Turnover by P. McCaw (bad pass; steal by P. Gasol)
6:52.0,,,24-49,,Personal foul by P. McCaw (drawn by J. Simmons)
6:52.0,J. Simmons makes free throw 1 of 2,1,25-49,,
6:52.0,J. Simmons misses free throw 2 of 2,,25-49,,
6:52.0,B. Forbes enters the game for D. Green,,25-49,,
6:52.0,D. Dedmon enters the game for P. Gasol,,25-49,,
6:52.0,,,25-49,,S. Curry enters the game for K. Thompson
6:50.0,,,25-49,,Defensive rebound by P. McCaw
6:32.0,,,25-51,2,K. Durant makes 2-pt shot from 10 ft (assist by P. McCaw)
6:08.0,P. Mills makes 3-pt shot from 23 ft (assist by J. Simmons),3,28-51,,
5:48.0,,,28-53,2,P. McCaw makes 2-pt shot from 2 ft (assist by D. West)
5:48.0,,,28-53,,Shooting foul by L. Aldridge (drawn by P. McCaw)
5:48.0,,,28-53,,Golden State full timeout
5:48.0,,,28-54,1,P. McCaw makes free throw 1 of 1
5:27.0,J. Simmons makes 3-pt shot from 26 ft (assist by L. Aldridge),3,31-54,,
5:12.0,,,31-57,3,K. Durant makes 3-pt shot from 27 ft (assist by I. Clark)
4:55.0,L. Aldridge makes 2-pt shot from 12 ft,2,33-57,,
4:38.0,,,33-60,3,I. Clark makes 3-pt shot from 24 ft (assist by S. Curry)
4:18.0,D. Dedmon makes 2-pt shot at rim (assist by J. Simmons),2,35-60,,
3:48.0,,,35-60,,I. Clark misses 3-pt shot from 28 ft
3:47.0,Defensive rebound by L. Aldridge,,35-60,,
3:44.0,Turnover by L. Aldridge (lost ball; steal by P. McCaw),,35-60,,
3:41.0,,,35-62,2,D. West makes 2-pt shot from 1 ft (assist by P. McCaw)
3:15.0,L. Aldridge misses 2-pt shot from 15 ft,,35-62,,
3:15.0,,,35-62,,Defensive rebound by K. Durant
3:10.0,D. Murray enters the game for P. Mills,,35-62,,
3:10.0,,,35-62,,D. Green enters the game for D. West
3:10.0,,,35-62,,K. Thompson enters the game for I. Clark
3:10.0,San Antonio full timeout,,35-62,,
3:05.0,,,35-64,2,K. Durant makes 2-pt shot from 10 ft (assist by D. Green)
2:53.0,Turnover by D. Murray (bad pass; steal by S. Curry),,35-64,,
2:42.0,,,35-64,,K. Durant misses 3-pt shot from 28 ft
2:41.0,Defensive rebound by D. Murray,,35-64,,
2:35.0,,,35-64,,Personal foul by S. Curry (drawn by D. Murray)
2:28.0,J. Simmons misses 2-pt shot from 12 ft,,35-64,,
2:27.0,Offensive rebound by D. Dedmon,,35-64,,
2:27.0,D. Dedmon misses 2-pt shot from 2 ft,,35-64,,
2:25.0,Offensive rebound by D. Dedmon,,35-64,,
2:25.0,D. Dedmon misses 2-pt shot from 2 ft,,35-64,,
2:24.0,Offensive rebound by J. Simmons,,35-64,,
2:16.0,D. Murray misses 2-pt shot from 2 ft,,35-64,,
2:16.0,,,35-64,,Defensive rebound by D. Green
2:14.0,K. Anderson enters the game for J. Simmons,,35-64,,
2:04.0,,,35-64,,D. Green misses 3-pt shot from 24 ft
2:03.0,,,35-64,,Offensive rebound by S. Curry
1:58.0,,,35-64,,K. Thompson misses 3-pt shot from 23 ft
1:56.0,Defensive rebound by D. Dedmon,,35-64,,
1:46.0,K. Anderson makes 2-pt shot from 2 ft (assist by D. Murray),2,37-64,,
1:36.0,,,37-67,3,S. Curry makes 3-pt shot from 26 ft
1:36.0,,,37-67,,Shooting foul by D. Murray (drawn by S. Curry)
1:36.0,,,37-68,1,S. Curry makes free throw 1 of 1
1:16.0,B. Forbes makes 3-pt shot from 25 ft (assist by L. Aldridge),3,40-68,,
1:00.0,,,40-68,,Turnover by K. Durant (bad pass; steal by D. Murray)
0:56.0,K. Anderson makes 2-pt shot at rim (assist by D. Murray),2,42-68,,
0:39.0,,,42-70,2,D. Green makes 2-pt shot from 2 ft (assist by K. Thompson)
0:30.0,D. Murray misses 2-pt shot from 7 ft,,42-70,,
0:29.0,,,42-70,,Defensive rebound by K. Durant
0:09.0,,,42-72,2,K. Durant makes 2-pt shot from 20 ft
0:03.0,D. Murray makes 2-pt shot from 16 ft,2,44-72,,
0:01.0,,,44-72,,S. Curry misses 3-pt shot from 69 ft
0:00.0,,,44-72,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,L. Aldridge makes 2-pt shot from 11 ft (assist by P. Mills),2,46-72,,
11:36.0,,,46-72,,K. Thompson misses 2-pt shot from 15 ft
11:35.0,,,46-72,,Offensive rebound by K. Thompson
11:31.0,,,46-72,,D. Green misses 3-pt shot from 26 ft
11:31.0,Defensive rebound by Team,,46-72,,
11:23.0,P. Mills misses 3-pt shot from 25 ft,,46-72,,
11:19.0,,,46-72,,Defensive rebound by K. Thompson
11:13.0,,,46-72,,Turnover by K. Thompson (bad pass)
10:56.0,L. Aldridge misses 2-pt shot from 17 ft,,46-72,,
10:54.0,Offensive rebound by P. Gasol,,46-72,,
10:53.0,,,46-72,,Personal foul by M. Barnes (drawn by P. Gasol)
10:53.0,P. Gasol makes free throw 1 of 2,1,47-72,,
10:53.0,P. Gasol makes free throw 2 of 2,1,48-72,,
10:33.0,,,48-72,,K. Durant misses 3-pt shot from 26 ft
10:32.0,Defensive rebound by P. Gasol,,48-72,,
10:17.0,P. Mills misses 3-pt shot from 23 ft,,48-72,,
10:17.0,,,48-72,,Defensive rebound by S. Curry
10:06.0,,,48-72,,M. Barnes misses 3-pt shot from 23 ft
10:06.0,Defensive rebound by P. Mills,,48-72,,
9:51.0,Shooting foul by S. Curry (drawn by J. Simmons),,48-72,,
9:51.0,J. Simmons makes free throw 1 of 2,1,49-72,,
9:51.0,J. Simmons makes free throw 2 of 2,1,50-72,,
9:43.0,,,50-72,,S. Curry misses 2-pt shot from 8 ft
9:43.0,Defensive rebound by P. Gasol,,50-72,,
9:34.0,J. Simmons misses 2-pt shot from 6 ft,,50-72,,
9:34.0,,,50-72,,Defensive rebound by K. Thompson
9:30.0,Personal foul by J. Simmons (drawn by K. Thompson),,50-72,,
9:17.0,,,50-72,,K. Durant misses 2-pt shot from 13 ft
9:16.0,Defensive rebound by D. Green,,50-72,,
9:05.0,D. Green misses 3-pt shot from 26 ft,,50-72,,
9:05.0,,,50-72,,Defensive rebound by S. Curry
9:03.0,Violation by D. Green (def goaltending),,50-72,,
9:03.0,,,50-74,2,M. Barnes makes 2-pt shot from 3 ft (assist by S. Curry)
8:46.0,J. Simmons misses 2-pt shot from 5 ft,,50-74,,
8:44.0,Offensive rebound by P. Gasol,,50-74,,
8:43.0,P. Gasol makes 2-pt shot from 1 ft,2,52-74,,
8:34.0,,,52-76,2,S. Curry makes 2-pt shot from 1 ft
8:22.0,P. Mills makes 2-pt shot from 19 ft,2,54-76,,
8:22.0,,,54-76,,Loose ball foul by K. Durant (drawn by P. Gasol)
8:22.0,P. Gasol makes free throw 1 of 1,1,55-76,,
8:11.0,,,55-76,,Shooting foul by J. Simmons (drawn by K. Durant)
8:11.0,,,55-77,1,K. Durant makes free throw 1 of 2
8:11.0,,,55-78,1,K. Durant makes free throw 2 of 2
7:58.0,Turnover by P. Gasol (bad pass; steal by D. Green),,55-78,,
7:49.0,,,55-81,3,K. Durant makes 3-pt shot from 24 ft (assist by S. Curry)
7:30.0,L. Aldridge makes 2-pt shot from 2 ft (assist by J. Simmons),2,57-81,,
7:25.0,,,57-81,,Turnover by D. Green (bad pass; steal by P. Mills)
7:22.0,D. Green misses 3-pt shot from 26 ft,,57-81,,
7:20.0,Offensive rebound by D. Green,,57-81,,
7:18.0,D. Green makes 2-pt shot from 8 ft,2,59-81,,
7:18.0,,,59-81,,Golden State full timeout
7:18.0,D. Dedmon enters the game for P. Gasol,,59-81,,
7:18.0,B. Forbes enters the game for D. Green,,59-81,,
7:04.0,,,59-81,,M. Barnes misses 2-pt shot from 3 ft
7:01.0,Defensive rebound by L. Aldridge,,59-81,,
6:46.0,L. Aldridge misses 2-pt shot from 6 ft,,59-81,,
6:45.0,Offensive rebound by D. Dedmon,,59-81,,
6:45.0,D. Dedmon makes 2-pt shot at rim,2,61-81,,
6:40.0,,,61-81,,M. Barnes misses 2-pt shot from 1 ft
6:39.0,Defensive rebound by D. Dedmon,,61-81,,
6:30.0,L. Aldridge misses 3-pt shot from 25 ft,,61-81,,
6:29.0,,,61-81,,Defensive rebound by S. Curry
6:27.0,,,61-83,2,S. Curry makes 2-pt shot from 2 ft
6:27.0,,,61-83,,Shooting foul by D. Dedmon (drawn by S. Curry)
6:27.0,,,61-84,1,S. Curry makes free throw 1 of 1
6:27.0,,,61-83,,J. McGee enters the game for M. Barnes
6:16.0,P. Mills misses 2-pt shot from 19 ft,,61-84,,
6:16.0,,,61-84,,Defensive rebound by D. Green
6:09.0,,,61-87,3,K. Thompson makes 3-pt shot from 23 ft (assist by D. Green)
5:51.0,D. Dedmon misses 2-pt shot from 18 ft,,61-87,,
5:50.0,Offensive rebound by L. Aldridge,,61-87,,
5:48.0,L. Aldridge makes 2-pt shot from 4 ft,2,63-87,,
5:40.0,,,63-87,,K. Durant misses 3-pt shot from 27 ft
5:40.0,Defensive rebound by J. Simmons,,63-87,,
5:32.0,J. Simmons makes 3-pt shot from 27 ft,3,66-87,,
