time,Atlanta,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Humphries vs. M. Turner (E. Ilyasova gains possession),,,,Jump ball: K. Humphries vs. M. Turner (E. Ilyasova gains possession)
11:39.0,,,0-0,,Personal foul by P. George (drawn by K. Humphries)
11:31.0,T. Waller-Prince misses 2-pt shot from 14 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by T. Young
11:17.0,,,0-0,,Shooting foul by D. Bembry (drawn by J. Teague)
11:17.0,,,0-0,,J. Teague misses free throw 1 of 3
11:17.0,,,0-0,,Offensive rebound by Team
11:17.0,,,0-0,,J. Teague misses free throw 2 of 3
11:17.0,,,0-0,,Offensive rebound by Team
11:17.0,,,0-1,1,J. Teague makes free throw 3 of 3
11:01.0,E. Ilyasova makes 2-pt shot at rim (assist by J. Calderon),2,2-1,,
10:45.0,,,2-1,,M. Turner misses 3-pt shot from 26 ft
10:43.0,Defensive rebound by Team,,2-1,,
10:25.0,E. Ilyasova misses 2-pt shot from 1 ft,,2-1,,
10:24.0,Offensive rebound by K. Humphries,,2-1,,
10:19.0,T. Waller-Prince misses 2-pt shot from 6 ft,,2-1,,
10:18.0,,,2-1,,Defensive rebound by M. Turner
10:08.0,,,2-1,,Turnover by T. Young (lost ball; steal by T. Waller-Prince)
9:58.0,E. Ilyasova misses 3-pt shot from 25 ft,,2-1,,
9:57.0,Offensive rebound by D. Bembry,,2-1,,
9:54.0,Turnover by D. Bembry (discontinued dribble),,2-1,,
9:41.0,,,2-1,,M. Turner misses 2-pt shot from 18 ft
9:40.0,Defensive rebound by D. Bembry,,2-1,,
9:26.0,K. Humphries makes 2-pt shot from 19 ft (assist by D. Bembry),2,4-1,,
9:10.0,,,4-1,,M. Ellis misses 2-pt shot from 8 ft
9:09.0,Defensive rebound by E. Ilyasova,,4-1,,
8:59.0,D. Bembry makes 3-pt shot from 23 ft (assist by T. Waller-Prince),3,7-1,,
8:46.0,,,7-4,3,P. George makes 3-pt shot from 27 ft (assist by J. Teague)
8:21.0,K. Humphries misses 3-pt shot from 27 ft,,7-4,,
8:20.0,,,7-4,,Defensive rebound by M. Turner
8:12.0,Personal foul by T. Waller-Prince (drawn by M. Turner),,7-4,,
8:06.0,,,7-4,,P. George misses 3-pt shot from 25 ft
8:05.0,Defensive rebound by J. Calderon,,7-4,,
7:55.0,Turnover by J. Calderon (bad pass; steal by M. Ellis),,7-4,,
7:50.0,,,7-4,,Shooting foul by D. Bembry (drawn by T. Young)
7:50.0,,,7-5,1,T. Young makes free throw 1 of 2
7:50.0,,,7-5,,T. Young misses free throw 2 of 2
7:50.0,Defensive rebound by K. Humphries,,7-5,,
7:50.0,T. Sefolosha enters the game for D. Bembry,,7-5,,
7:32.0,J. Calderon makes 3-pt shot from 25 ft (assist by E. Ilyasova),3,10-5,,
7:18.0,,,10-5,,M. Ellis misses 3-pt shot from 23 ft
7:17.0,Defensive rebound by K. Humphries,,10-5,,
7:06.0,Turnover by T. Sefolosha (step out of bounds),,10-5,,
7:06.0,R. Kelly enters the game for E. Ilyasova,,10-5,,
6:51.0,,,10-7,2,M. Turner makes 2-pt shot from 2 ft (assist by P. George)
6:25.0,Turnover by Team (shot clock),,10-7,,
6:08.0,,,10-7,,M. Ellis misses 2-pt shot at rim (block by K. Humphries)
6:07.0,,,10-7,,Offensive rebound by M. Turner
6:05.0,,,10-9,2,M. Turner makes 2-pt shot at rim
6:01.0,Atlanta full timeout,,10-9,,
5:44.0,R. Kelly misses 2-pt shot from 7 ft,,10-9,,
5:43.0,,,10-9,,Defensive rebound by P. George
5:37.0,Personal foul by T. Waller-Prince (drawn by P. George),,10-9,,
5:37.0,M. Delaney enters the game for T. Waller-Prince,,10-9,,
5:37.0,,,10-9,,Turnover by P. George (back court)
5:29.0,,,10-9,,Violation by M. Turner (kicked ball)
5:21.0,Turnover by R. Kelly (lost ball; steal by T. Young),,10-9,,
5:13.0,,,10-12,3,P. George makes 3-pt shot from 25 ft (assist by J. Teague)
5:00.0,J. Calderon misses 3-pt shot from 26 ft,,10-12,,
4:59.0,,,10-12,,Defensive rebound by M. Turner
4:52.0,,,10-12,,Turnover by T. Young (bad pass; steal by M. Delaney)
4:45.0,K. Humphries misses 2-pt shot from 2 ft (block by M. Turner),,10-12,,
4:44.0,,,10-12,,Defensive rebound by P. George
4:35.0,,,10-12,,J. Teague misses 3-pt shot from 24 ft
4:34.0,,,10-12,,Offensive rebound by T. Young
4:34.0,,,10-12,,T. Young misses 2-pt shot at rim
4:33.0,Defensive rebound by K. Humphries,,10-12,,
4:19.0,,,10-12,,K. Seraphin enters the game for M. Turner
4:19.0,M. Dunleavy enters the game for J. Calderon,,10-12,,
4:19.0,M. Muscala enters the game for K. Humphries,,10-12,,
4:17.0,Shooting foul by M. Ellis (drawn by M. Delaney),,10-12,,
4:17.0,M. Delaney makes free throw 1 of 2,1,11-12,,
4:17.0,M. Delaney makes free throw 2 of 2,1,12-12,,
4:04.0,,,12-12,,M. Ellis misses 2-pt shot from 2 ft (block by M. Muscala)
4:03.0,,,12-12,,Offensive rebound by Team
3:56.0,,,12-12,,J. Teague misses 2-pt shot from 8 ft
3:55.0,Defensive rebound by M. Muscala,,12-12,,
3:42.0,Turnover by M. Muscala (lost ball; steal by P. George),,12-12,,
3:31.0,,,12-14,2,J. Teague makes 2-pt shot from 12 ft
3:03.0,R. Kelly misses 2-pt shot from 18 ft,,12-14,,
3:02.0,,,12-14,,Defensive rebound by P. George
2:56.0,,,12-14,,Indiana full timeout
2:56.0,,,12-14,,C. Miles enters the game for T. Young
2:56.0,,,12-14,,L. Stephenson enters the game for M. Ellis
2:44.0,,,12-14,,A. Brooks enters the game for J. Teague
2:37.0,,,12-14,,C. Miles misses 3-pt shot from 32 ft
2:36.0,Defensive rebound by T. Sefolosha,,12-14,,
2:25.0,M. Dunleavy misses 3-pt shot from 24 ft,,12-14,,
2:24.0,,,12-14,,Defensive rebound by L. Stephenson
2:04.0,,,12-14,,L. Stephenson misses 3-pt shot from 27 ft
2:03.0,Defensive rebound by Team,,12-14,,
1:51.0,M. Muscala misses 2-pt shot from 18 ft,,12-14,,
1:49.0,,,12-14,,Defensive rebound by L. Stephenson
1:44.0,,,12-14,,L. Stephenson misses 2-pt shot from 18 ft
1:44.0,Defensive rebound by M. Dunleavy,,12-14,,
1:34.0,M. Dunleavy makes 3-pt shot from 25 ft (assist by M. Delaney),3,15-14,,
1:19.0,,,15-17,3,A. Brooks makes 3-pt shot from 28 ft (assist by P. George)
1:01.0,T. Sefolosha misses 2-pt shot from 10 ft,,15-17,,
1:01.0,,,15-17,,Defensive rebound by L. Stephenson
0:51.0,,,15-20,3,C. Miles makes 3-pt shot from 25 ft (assist by L. Stephenson)
0:36.0,M. Delaney misses 2-pt shot from 20 ft,,15-20,,
0:35.0,,,15-20,,Defensive rebound by K. Seraphin
0:25.0,,,15-22,2,P. George makes 2-pt shot from 17 ft
0:06.0,,,15-22,,Personal foul by K. Seraphin (drawn by M. Muscala)
0:06.0,,,15-22,,T. Young enters the game for P. George
0:01.0,M. Delaney misses 2-pt shot from 15 ft,,15-22,,
0:00.0,,,15-22,,Defensive rebound by L. Stephenson
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,15-25,3,C. Miles makes 3-pt shot from 26 ft (assist by L. Stephenson)
11:29.0,Shooting foul by A. Brooks (drawn by M. Muscala),,15-25,,
11:29.0,M. Muscala makes free throw 1 of 2,1,16-25,,
11:29.0,M. Muscala makes free throw 2 of 2,1,17-25,,
11:03.0,,,17-25,,K. Seraphin misses 2-pt shot from 19 ft
11:02.0,Defensive rebound by M. Delaney,,17-25,,
10:50.0,E. Ilyasova makes 2-pt shot from 19 ft (assist by M. Delaney),2,19-25,,
10:33.0,,,19-28,3,C. Miles makes 3-pt shot from 23 ft (assist by L. Stephenson)
10:12.0,Turnover by M. Dunleavy (bad pass),,19-28,,
10:12.0,D. Bembry enters the game for M. Delaney,,19-28,,
10:12.0,K. Humphries enters the game for M. Muscala,,19-28,,
10:02.0,,,19-28,,Turnover by K. Seraphin (traveling)
9:48.0,Turnover by E. Ilyasova (3 sec),,19-28,,
9:36.0,,,19-30,2,L. Stephenson makes 2-pt shot from 8 ft
9:24.0,J. Calderon makes 2-pt shot from 1 ft,2,21-30,,
9:11.0,,,21-30,,K. Seraphin misses 2-pt shot from 18 ft
9:09.0,Defensive rebound by E. Ilyasova,,21-30,,
8:57.0,M. Dunleavy misses 2-pt shot from 17 ft,,21-30,,
8:56.0,,,21-30,,Defensive rebound by L. Stephenson
8:46.0,,,21-30,,K. Seraphin misses 2-pt shot from 2 ft
8:44.0,,,21-30,,Offensive rebound by L. Stephenson
8:44.0,,,21-32,2,L. Stephenson makes 2-pt shot at rim
8:43.0,Atlanta full timeout,,21-32,,
8:43.0,T. Waller-Prince enters the game for M. Dunleavy,,21-32,,
8:43.0,,,21-32,,M. Turner enters the game for K. Seraphin
8:43.0,,,21-32,,P. George enters the game for T. Young
8:23.0,E. Ilyasova makes 2-pt shot at rim,2,23-32,,
8:07.0,,,23-32,,P. George misses 3-pt shot from 25 ft
8:06.0,,,23-32,,Offensive rebound by M. Turner
8:02.0,,,23-32,,C. Miles misses 3-pt shot from 24 ft
8:00.0,Defensive rebound by T. Waller-Prince,,23-32,,
7:49.0,T. Waller-Prince makes 3-pt shot from 26 ft (assist by D. Bembry),3,26-32,,
7:30.0,,,26-32,,Shooting foul by K. Humphries (drawn by M. Turner)
7:30.0,,,26-33,1,M. Turner makes free throw 1 of 2
7:30.0,,,26-34,1,M. Turner makes free throw 2 of 2
7:21.0,Shooting foul by C. Miles (drawn by E. Ilyasova),,26-34,,
7:21.0,E. Ilyasova makes free throw 1 of 2,1,27-34,,
7:21.0,E. Ilyasova makes free throw 2 of 2,1,28-34,,
7:09.0,,,28-34,,M. Turner misses 2-pt shot from 15 ft
7:08.0,Defensive rebound by K. Humphries,,28-34,,
6:48.0,E. Ilyasova misses 3-pt shot from 25 ft (block by L. Stephenson),,28-34,,
6:47.0,,,28-34,,Defensive rebound by Team
6:47.0,Loose ball foul by E. Ilyasova (drawn by L. Stephenson),,28-34,,
6:36.0,,,28-34,,P. George misses 3-pt shot from 25 ft
6:35.0,Defensive rebound by E. Ilyasova,,28-34,,
6:25.0,T. Waller-Prince makes 2-pt shot from 4 ft,2,30-34,,
6:15.0,,,30-34,,M. Turner misses 2-pt shot from 2 ft (block by K. Humphries)
6:15.0,,,30-34,,Offensive rebound by Team
6:08.0,,,30-36,2,A. Brooks makes 2-pt shot from 1 ft
5:52.0,Official timeout,,30-36,,
5:52.0,,,30-36,,J. Teague enters the game for A. Brooks
5:52.0,,,30-36,,T. Young enters the game for C. Miles
5:52.0,M. Delaney enters the game for E. Ilyasova,,30-36,,
5:52.0,T. Sefolosha enters the game for J. Calderon,,30-36,,
5:44.0,K. Humphries makes 2-pt shot from 10 ft,2,32-36,,
5:26.0,,,32-36,,P. George misses 2-pt shot from 19 ft
5:26.0,Defensive rebound by T. Waller-Prince,,32-36,,
5:07.0,M. Delaney misses 3-pt shot from 25 ft,,32-36,,
5:05.0,Offensive rebound by D. Bembry,,32-36,,
5:03.0,D. Bembry makes 2-pt shot at rim,2,34-36,,
4:43.0,,,34-36,,Turnover by L. Stephenson (bad pass; steal by D. Bembry)
4:40.0,Shooting foul by M. Turner (drawn by K. Humphries),,34-36,,
4:40.0,K. Humphries misses free throw 1 of 2,,34-36,,
4:40.0,Offensive rebound by Team,,34-36,,
4:40.0,K. Humphries misses free throw 2 of 2,,34-36,,
4:40.0,,,34-36,,Defensive rebound by P. George
4:40.0,,,34-36,,M. Ellis enters the game for L. Stephenson
4:27.0,,,34-38,2,M. Turner makes 2-pt shot from 4 ft (assist by J. Teague)
4:03.0,Turnover by T. Waller-Prince (lost ball),,34-38,,
4:03.0,M. Muscala enters the game for K. Humphries,,34-38,,
3:51.0,,,34-41,3,P. George makes 3-pt shot from 26 ft (assist by M. Turner)
3:31.0,D. Bembry misses 3-pt shot from 26 ft,,34-41,,
3:31.0,,,34-41,,Defensive rebound by P. George
3:15.0,,,34-41,,T. Young misses 2-pt shot from 8 ft
3:14.0,Defensive rebound by D. Bembry,,34-41,,
3:04.0,T. Waller-Prince misses 3-pt shot from 24 ft,,34-41,,
3:04.0,,,34-41,,Defensive rebound by P. George
2:52.0,,,34-41,,P. George misses 2-pt shot from 20 ft
2:51.0,,,34-41,,Offensive rebound by M. Turner
2:51.0,,,34-43,2,M. Turner makes 2-pt shot from 1 ft
2:50.0,Atlanta full timeout,,34-43,,
2:50.0,,,34-43,,Indiana full timeout
2:50.0,M. Dunleavy enters the game for T. Waller-Prince,,34-43,,
2:50.0,R. Kelly enters the game for T. Sefolosha,,34-43,,
2:38.0,D. Bembry makes 2-pt shot at rim (assist by M. Delaney),2,36-43,,
2:16.0,,,36-43,,M. Turner misses 2-pt shot from 8 ft
2:15.0,Defensive rebound by R. Kelly,,36-43,,
1:58.0,M. Muscala makes 3-pt shot from 27 ft (assist by D. Bembry),3,39-43,,
1:37.0,,,39-45,2,J. Teague makes 2-pt shot from 9 ft
1:26.0,M. Muscala misses 3-pt shot from 26 ft,,39-45,,
1:26.0,,,39-45,,Defensive rebound by P. George
1:13.0,,,39-48,3,P. George makes 3-pt shot from 24 ft (assist by J. Teague)
0:57.0,R. Kelly makes 2-pt shot at rim (assist by M. Muscala),2,41-48,,
0:39.0,,,41-48,,P. George misses 3-pt shot from 26 ft
0:38.0,Defensive rebound by D. Bembry,,41-48,,
0:29.0,M. Dunleavy makes 2-pt shot from 1 ft (assist by M. Delaney),2,43-48,,
0:10.0,,,43-50,2,T. Young makes 2-pt shot from 2 ft (assist by J. Teague)
0:00.0,D. Bembry misses 2-pt shot from 17 ft,,43-50,,
0:00.0,Offensive rebound by Team,,43-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,,,43-52,2,J. Teague makes 2-pt shot from 2 ft
11:13.0,K. Humphries misses 3-pt shot from 25 ft,,43-52,,
11:13.0,,,43-52,,Defensive rebound by P. George
11:04.0,,,43-54,2,J. Teague makes 2-pt shot from 19 ft
10:42.0,E. Ilyasova makes 2-pt shot from 3 ft (assist by T. Waller-Prince),2,45-54,,
10:34.0,,,45-56,2,J. Teague makes 2-pt shot from 1 ft
10:34.0,,,45-56,,Shooting foul by D. Bembry (drawn by J. Teague)
10:34.0,,,45-57,1,J. Teague makes free throw 1 of 1
10:13.0,K. Humphries misses 2-pt shot from 2 ft (block by M. Turner),,45-57,,
10:12.0,,,45-57,,Defensive rebound by T. Young
10:06.0,,,45-59,2,M. Turner makes 2-pt shot from 1 ft (assist by M. Ellis)
10:06.0,Atlanta full timeout,,45-59,,
9:52.0,J. Calderon makes 2-pt shot from 1 ft,2,47-59,,
9:30.0,,,47-59,,Shooting foul by K. Humphries (drawn by J. Teague)
9:30.0,,,47-60,1,J. Teague makes free throw 1 of 2
9:30.0,,,47-61,1,J. Teague makes free throw 2 of 2
9:17.0,Turnover by J. Calderon (back court),,47-61,,
9:03.0,,,47-61,,J. Teague misses 2-pt shot from 2 ft (block by D. Bembry)
9:03.0,,,47-61,,Offensive rebound by Team
8:54.0,,,47-63,2,T. Young makes 2-pt shot from 2 ft (assist by P. George)
8:32.0,Turnover by E. Ilyasova (step out of bounds),,47-63,,
8:21.0,,,47-63,,M. Turner misses 2-pt shot at rim
8:20.0,Defensive rebound by J. Calderon,,47-63,,
7:59.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by J. Calderon),2,49-63,,
7:49.0,,,49-63,,Shooting foul by E. Ilyasova (drawn by M. Turner)
7:49.0,,,49-64,1,M. Turner makes free throw 1 of 2
7:49.0,,,49-65,1,M. Turner makes free throw 2 of 2
7:49.0,M. Muscala enters the game for K. Humphries,,49-64,,
7:32.0,J. Calderon makes 3-pt shot from 26 ft,3,52-65,,
7:22.0,Personal foul by J. Calderon (drawn by T. Young),,52-65,,
7:12.0,,,52-65,,P. George misses 2-pt shot from 14 ft
7:12.0,Defensive rebound by Team,,52-65,,
6:51.0,Shooting foul by P. George (drawn by T. Waller-Prince),,52-65,,
6:51.0,T. Waller-Prince makes free throw 1 of 2,1,53-65,,
6:51.0,T. Waller-Prince makes free throw 2 of 2,1,54-65,,
6:42.0,,,54-65,,Turnover by M. Turner (bad pass; steal by E. Ilyasova)
6:36.0,Turnover by M. Muscala (lost ball),,54-65,,
6:16.0,,,54-67,2,T. Young makes 2-pt shot at rim (assist by M. Turner)
6:00.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by M. Muscala),3,57-67,,
5:49.0,,,57-70,3,J. Teague makes 3-pt shot from 25 ft
5:34.0,E. Ilyasova misses 2-pt shot from 22 ft,,57-70,,
5:33.0,,,57-70,,Defensive rebound by P. George
5:26.0,,,57-72,2,P. George makes 2-pt shot from 5 ft
5:09.0,T. Waller-Prince makes 2-pt shot from 2 ft,2,59-72,,
5:01.0,,,59-72,,Shooting foul by T. Waller-Prince (drawn by P. George)
5:01.0,,,59-73,1,P. George makes free throw 1 of 2
5:01.0,,,59-74,1,P. George makes free throw 2 of 2
5:01.0,T. Sefolosha enters the game for J. Calderon,,59-73,,
5:01.0,M. Delaney enters the game for E. Ilyasova,,59-73,,
