time,Charlotte,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. F. Kaminsky (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. F. Kaminsky (R. Jackson gains possession)
11:44.0,,,0-0,,K. Caldwell-Pope misses 2-pt shot from 18 ft
11:43.0,Defensive rebound by M. Kidd-Gilchrist,,0-0,,
11:20.0,M. Williams makes 2-pt shot from 2 ft (assist by K. Walker),2,2-0,,
11:01.0,,,2-2,2,A. Drummond makes 2-pt shot from 2 ft (assist by K. Caldwell-Pope)
10:40.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by M. Williams),3,5-2,,
10:25.0,,,5-2,,J. Leuer misses 3-pt shot from 23 ft
10:24.0,Defensive rebound by N. Batum,,5-2,,
10:04.0,K. Walker misses 2-pt shot at rim,,5-2,,
10:03.0,,,5-2,,Defensive rebound by A. Drummond
9:47.0,,,5-2,,A. Drummond misses 2-pt shot from 1 ft
9:46.0,Defensive rebound by M. Kidd-Gilchrist,,5-2,,
9:30.0,F. Kaminsky misses 2-pt shot from 18 ft,,5-2,,
9:29.0,,,5-2,,Defensive rebound by M. Morris
9:18.0,,,5-5,3,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by J. Leuer)
9:06.0,Turnover by F. Kaminsky (traveling),,5-5,,
8:53.0,,,5-7,2,A. Drummond makes 2-pt shot from 8 ft (assist by J. Leuer)
8:39.0,K. Walker makes 3-pt shot from 26 ft,3,8-7,,
8:23.0,,,8-7,,M. Morris misses 2-pt shot from 18 ft
8:22.0,Defensive rebound by M. Williams,,8-7,,
8:12.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by K. Walker),2,10-7,,
7:59.0,,,10-10,3,M. Morris makes 3-pt shot from 27 ft (assist by R. Jackson)
7:35.0,F. Kaminsky misses 3-pt shot from 26 ft,,10-10,,
7:35.0,,,10-10,,Defensive rebound by R. Jackson
7:15.0,,,10-10,,J. Leuer misses 2-pt shot from 6 ft
7:14.0,Defensive rebound by M. Williams,,10-10,,
7:00.0,Shooting foul by R. Jackson (drawn by N. Batum),,10-10,,
7:00.0,N. Batum makes free throw 1 of 2,1,11-10,,
7:00.0,N. Batum makes free throw 2 of 2,1,12-10,,
6:46.0,,,12-10,,J. Leuer misses 3-pt shot from 26 ft
6:45.0,Defensive rebound by K. Walker,,12-10,,
6:31.0,K. Walker makes 2-pt shot from 16 ft,2,14-10,,
6:19.0,,,14-10,,Turnover by R. Jackson (lost ball; steal by K. Walker)
6:03.0,F. Kaminsky makes 3-pt shot from 24 ft (assist by K. Walker),3,17-10,,
5:56.0,,,17-10,,Detroit full timeout
5:56.0,,,17-10,,T. Harris enters the game for J. Leuer
5:56.0,J. Lamb enters the game for M. Williams,,17-10,,
5:39.0,,,17-10,,A. Drummond misses 2-pt shot from 5 ft
5:38.0,Defensive rebound by N. Batum,,17-10,,
5:19.0,F. Kaminsky makes 2-pt shot from 2 ft,2,19-10,,
5:10.0,,,19-12,2,T. Harris makes 2-pt shot from 6 ft (assist by K. Caldwell-Pope)
4:52.0,N. Batum misses 3-pt shot from 26 ft,,19-12,,
4:51.0,,,19-12,,Defensive rebound by A. Drummond
4:46.0,,,19-12,,R. Jackson misses 3-pt shot from 27 ft
4:45.0,Defensive rebound by N. Batum,,19-12,,
4:34.0,N. Batum misses 2-pt shot from 10 ft,,19-12,,
4:32.0,,,19-12,,Defensive rebound by T. Harris
4:28.0,,,19-12,,Shooting foul by K. Walker (drawn by R. Jackson)
4:28.0,,,19-13,1,R. Jackson makes free throw 1 of 2
4:28.0,,,19-14,1,R. Jackson makes free throw 2 of 2
4:28.0,M. Tobey enters the game for F. Kaminsky,,19-13,,
4:01.0,J. Lamb misses 3-pt shot from 26 ft,,19-14,,
4:01.0,,,19-14,,Defensive rebound by K. Caldwell-Pope
3:59.0,,,19-17,3,K. Caldwell-Pope makes 3-pt shot from 27 ft
3:45.0,K. Walker misses 3-pt shot from 26 ft,,19-17,,
3:45.0,,,19-17,,Defensive rebound by T. Harris
3:33.0,,,19-19,2,R. Jackson makes 2-pt shot from 7 ft
3:28.0,Charlotte full timeout,,19-19,,
3:28.0,,,19-19,,I. Smith enters the game for M. Morris
3:28.0,,,19-19,,S. Johnson enters the game for R. Jackson
3:28.0,M. Belinelli enters the game for N. Batum,,19-19,,
3:19.0,Shooting foul by T. Harris (drawn by M. Kidd-Gilchrist),,19-19,,
3:19.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,20-19,,
3:19.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,21-19,,
3:04.0,,,21-21,2,A. Drummond makes 2-pt shot from 8 ft (assist by I. Smith)
2:47.0,K. Walker makes 3-pt shot from 24 ft (assist by J. Lamb),3,24-21,,
2:22.0,,,24-21,,I. Smith misses 2-pt shot from 17 ft
2:21.0,Defensive rebound by M. Belinelli,,24-21,,
2:09.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by M. Belinelli),2,26-21,,
1:55.0,,,26-21,,K. Caldwell-Pope misses 3-pt shot from 24 ft
1:54.0,,,26-21,,Offensive rebound by K. Caldwell-Pope
1:50.0,,,26-21,,K. Caldwell-Pope misses 2-pt shot from 4 ft
1:49.0,Defensive rebound by J. Lamb,,26-21,,
1:37.0,M. Tobey misses 2-pt shot from 20 ft,,26-21,,
1:36.0,,,26-21,,Defensive rebound by K. Caldwell-Pope
1:25.0,,,26-21,,K. Caldwell-Pope misses 2-pt shot from 5 ft
1:24.0,Defensive rebound by J. Lamb,,26-21,,
1:07.0,M. Kidd-Gilchrist misses 2-pt shot from 17 ft,,26-21,,
1:06.0,,,26-21,,Defensive rebound by S. Johnson
1:00.0,,,26-23,2,S. Johnson makes 2-pt shot at rim
0:46.0,Shooting foul by I. Smith (drawn by K. Walker),,26-23,,
0:46.0,K. Walker makes free throw 1 of 2,1,27-23,,
0:46.0,K. Walker makes free throw 2 of 2,1,28-23,,
0:46.0,M. Williams enters the game for M. Kidd-Gilchrist,,27-23,,
0:33.0,,,28-23,,T. Harris misses 2-pt shot from 10 ft
0:32.0,,,28-23,,Offensive rebound by Team
0:32.0,Loose ball foul by J. Lamb (drawn by A. Drummond),,28-23,,
0:32.0,B. Roberts enters the game for K. Walker,,28-23,,
